generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,9103829014872.047,8.571428571428571,9.103832244873047,9.103832244873047,3.229999999999979,0,1,78.21694532036781,305,9103829.014872046,"[0.0, 9.103832244873047, -3.229999999999979, -1.0]",0.2,0.2,0,48,48,0,0,48,0,44,4,44,4,317.06000000000444,317.06000000000444,29783,29783,11.257029700034764,11.335838600003626,2.7976190476190474,3.7842887923831032,3.7842887923831032,3784282.18696552,6.605416666666759,1.0646997102981768,96.87771277899795,0.031222872210020448,0.0,0.0,0.0,2.857142857142857,2.7976190476190474,2.439023958160462,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.882967267717634,3.073035648890904,3.7842887923831032,2.592984034089406,6.5294020516531805,7.4693467276436945,9.103832244873047,0.0,0.0,1.882967267717634,3.073035648890904,3.7842887923831032,2.592984034089406,6.5294020516531805,7.4693467276436945,9.103832244873047,1.9800000000000015,2.5429999999999913,2.8174999999999866,5.014999999999944,6.605416666666759,7.175765045837413,5.71249999999993,6.018999999999925,30.00000000000164,5.148963625411852,5.152535262631136,18.427222192753106,18.50633307228418,54.30051516584111,76.17812195692349,66.38439790531993,76.82114894837142,293.6159993900219,-30.00000000000164,-5.010000999999943,1882962.2577166338,3073029.938889904,3784282.18696552,2592988.0674895733,6529399.586652181,7469343.985642694,9103829.014872046,-30000000.000001643,-5010000.999999943,1882962257716.6338,3073029938889.9043,3784282186965.5195,2592988067489.573,6529399586652.181,7469343985642.694,9103829014872.047,190.0,243.0,264.0,469.0,620.4791666666666,676.2438536252823,538.25,561.9000000000001,2843.0,1.0421052631578946,1.0504787165221892,1.055427287174905,1.0660815425620522,1.0646997102981768,0.010827542238083866,1.0710859001811892,1.0781159621802001,1.0844277673545966,95.91932457786116,96.22773642128482,96.58687241804371,96.83713035249586,96.87771277899795,0.5045465000012208,97.27319794385718,97.53852080123266,97.89473684210526,0.021052631578947368,0.024614791987673346,0.027268020561428193,0.03162869647504141,0.031222872210020448,0.005045465000012199,0.0341312758195629,0.03772263578715192,0.04080675422138837
2,9104057896707.984,8.571428571428571,9.104061126708984,9.104061126708984,3.229999999999977,0,1,78.21614652127028,305,9104057.896707984,"[0.0, 9.104061126708984, -3.229999999999977, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,160.32999999999882,477.3900000000033,15159,44942,1.8263624000246637,13.235657899989747,4.940476190476191,6.300160090128581,6.300160090128581,6300156.749919247,3.3402083333333086,1.0576734494463722,97.18027275026748,0.028197272497325242,0.0,2.857142857142857,5.714285714285714,5.714285714285714,4.940476190476191,1.8201053394548399,5.714285714285714,5.714285714285714,8.571428571428571,1.8830599103655132,3.0510918753487726,6.254504067557198,6.938648223876953,6.300160090128581,1.9443807515424971,7.310632978166853,8.140809740339009,9.104061126708984,1.8830599103655132,3.0510918753487726,6.254504067557198,6.938648223876953,6.300160090128581,1.9443807515424971,7.310632978166853,8.140809740339009,9.104061126708984,2.1099999999999994,2.3879999999999946,2.542499999999991,2.7549999999999866,3.3402083333333086,1.2168906578915912,3.7524999999999666,5.709999999999928,6.46999999999991,5.146760814765003,18.429179670207667,55.208001555874944,62.15956524014473,55.69096900861177,22.036406704523614,70.24376811087132,74.82960506975651,78.21614652127028,1883054.9003645133,3051086.0853477726,6254501.257556198,6938645.7388759535,6300156.749919247,1944381.6755241356,7310630.233165854,8140806.951338008,9104057.896707984,1883054900364.5132,3051086085347.7725,6254501257556.198,6938645738875.953,6300156749919.247,1944381675524.1355,7310630233165.854,8140806951338.008,9104057896707.984,195.0,225.4,239.25,260.0,315.8125,115.17896513867741,358.75,536.3,619.0,1.0289256198347108,1.0356194690265488,1.0448631865912763,1.0594227266358414,1.0576734494463722,0.01628675114410082,1.066117216117216,1.0827523531321,1.099630996309963,95.29520295202953,96.22654982148653,96.73084264968593,97.11809947235956,97.18027275026748,0.763452000412127,97.77420178154729,98.21902654867256,98.55371900826447,0.014462809917355372,0.017809734513274337,0.022257982184527014,0.02881900527640438,0.028197272497325242,0.007634520004121282,0.03269157350314066,0.037734501785134704,0.0470479704797048
3,9196068744754.86,8.571428571428571,9.19607162475586,9.19607162475586,2.8799999999999866,0,1,78.82435143738985,262,9196068.74475486,"[0.0, 9.19607162475586, -2.8799999999999866, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,167.31999999999869,644.710000000002,15710,60652,1.7559929999988526,15.060137299995404,4.464285714285714,6.047645807266235,6.047645807266235,6047642.321431901,3.485833333333306,1.0648210971110126,96.82865031434154,0.03171349685658442,0.0,0.0,2.857142857142857,5.714285714285714,4.464285714285714,2.535881952873904,5.714285714285714,6.571428571428584,8.571428571428571,1.1184964861188615,1.8829274858747211,3.0729321071079796,7.22609383719308,6.047645807266235,2.621958888673238,8.179571287972587,8.589521135602677,9.19607162475586,1.1184964861188615,1.8829274858747211,3.0729321071079796,7.22609383719308,6.047645807266235,2.621958888673238,8.179571287972587,8.589521135602677,9.19607162475586,1.7700000000000014,2.4439999999999937,2.7074999999999876,2.829999999999986,3.485833333333306,1.2255438135329273,5.009999999999942,5.70999999999993,5.759999999999929,5.131686580796668,5.1539864865175335,18.436462126745027,69.66809080913663,52.18713306212218,28.23808505190394,75.2315480131656,76.58126587420702,78.82435143738985,1118491.4761178615,1882922.4758737213,3072926.39210698,7226090.73719208,6047642.321431901,2621959.8585866187,8179568.487971586,8589518.292601679,9196068.74475486,1118491476117.8616,1882922475873.7212,3072926392106.9795,7226090737192.08,6047642321431.901,2621959858586.6187,8179568487971.587,8589518292601.678,9196068744754.86,170.0,225.8,254.25,267.0,327.2916666666667,114.5421971613761,467.5,523.6,547.0,1.0369230769230768,1.0410911874043298,1.052582298442736,1.0651061253107272,1.0648210971110126,0.017550718090142817,1.0733806784240565,1.0924748906617439,1.1049723756906078,95.1657458563536,95.61402166985341,96.47447525265612,96.74469373446362,96.82865031434154,0.7986058810920793,97.37088507786319,97.9454406297835,98.25641025641025,0.01743589743589744,0.02054559370216488,0.026291149221368028,0.03255306265536363,0.03171349685658442,0.007986058810920812,0.035255247473438715,0.04385978330146591,0.04834254143646409
4,9487265095310.104,8.571428571428571,9.487269265311104,9.487269265311104,4.169999999999963,0,1,79.94164376705885,389,9487265.095310103,"[0.0, 9.487269265311104, -4.169999999999963, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,175.31999999999852,820.0300000000004,16528,77180,2.0792948000016622,17.211537599971052,4.7023809523809526,6.211847521009898,6.211847521009898,6211843.8685089005,3.652499999999969,1.0620385559634757,96.9560601508967,0.030439398491032957,0.0,0.0,2.857142857142857,5.714285714285714,4.7023809523809526,2.6399329597067482,5.714285714285714,8.571428571428571,8.571428571428571,1.2342180524553572,1.8831596374511719,4.0938200269426614,7.349252700805664,6.211847521009898,2.5483333367608356,8.280692781720843,8.921449661254883,9.487269265311104,1.2342180524553572,1.8831596374511719,4.0938200269426614,7.349252700805664,6.211847521009898,2.5483333367608356,8.280692781720843,8.921449661254883,9.487269265311104,1.7900000000000014,2.4159999999999933,2.7699999999999867,2.854999999999986,3.652499999999969,1.5350020358292378,5.009999999999942,5.741999999999926,9.499999999999847,5.145837540039793,14.445149840638626,34.50045619192679,70.69268364086747,53.86046357243913,26.309981605157205,75.56853599660099,77.55509594306349,79.94164376705885,1234212.862454357,1883154.6274501719,4093817.256941662,7349249.965804664,6211843.8685089005,2548334.0899782097,8280689.836719843,8921446.808253882,9487265.095310103,1234212862454.3572,1883154627450.1719,4093817256941.6616,7349249965804.664,6211843868508.899,2548334089978.2095,8280689836719.843,8921446808253.883,9487265095310.104,164.0,233.20000000000002,256.75,268.5,344.3333333333333,146.04698635104467,470.5,547.9,903.0,1.0348258706467661,1.0394548994159636,1.049115933705284,1.0614406779661016,1.0620385559634757,0.01766563004802885,1.0709688363069925,1.0840466926070038,1.1111111111111112,94.44444444444444,95.93385214007782,96.47004154821781,96.99858757062147,96.9560601508967,0.8860475331863843,97.547065807327,98.09971879731776,98.42454394693202,0.015754560530679935,0.01900281202682241,0.024529341926729988,0.03001412429378531,0.030439398491032957,0.008860475331863833,0.035299584517822,0.04066147859922181,0.05555555555555555
5,9509533288206.31,8.571428571428571,9.50953619820731,9.50953619820731,2.9099999999999833,0,1,80.13767968863249,272,9509533.288206311,"[0.0, 9.50953619820731, -2.9099999999999833, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,164.86999999999873,984.8999999999992,15502,92682,2.0496585000073537,19.32885599997826,5.357142857142857,6.9702628680637915,6.9702628680637915,6970259.433271125,3.4347916666666403,1.0637590038455589,96.87002623226472,0.031299737677352946,0.0,0.0,2.857142857142857,5.714285714285714,5.357142857142857,2.774090523269296,8.571428571428571,8.571428571428571,8.571428571428571,1.8812561035156252,2.5482788085937504,5.231800079345703,8.057748249598912,6.9702628680637915,2.4774532527158595,8.821311678205218,9.187271935599192,9.50953619820731,1.8812561035156252,2.5482788085937504,5.231800079345703,8.057748249598912,6.9702628680637915,2.4774532527158595,8.821311678205218,9.187271935599192,9.50953619820731,1.6600000000000013,2.549999999999992,2.779999999999988,2.8499999999999854,3.4347916666666403,1.2018943200619454,4.347499999999956,5.0279999999999445,6.409999999999917,5.14965995021339,14.412301135426244,44.3022338822484,74.66560442373157,60.14808589332824,25.498515763019498,77.26902516931295,78.8050046004355,80.13767968863249,1881251.0935146252,2548273.7985927504,5231798.071844703,8057745.464597911,6970259.433271125,2477453.7835839544,8821308.828204218,9187268.950598191,9509533.288206311,1881251093514.6252,2548273798592.7505,5231798071844.703,8057745464597.911,6970259433271.124,2477453783583.954,8821308828204.219,9187268950598.191,9509533288206.31,156.0,238.8,260.5,270.0,322.9583333333333,112.47128491555326,412.25,481.20000000000005,594.0,1.0217391304347827,1.04234375,1.0507824244909116,1.0635327635327636,1.0637590038455589,0.017024273604497833,1.0772200772200773,1.0847665847665848,1.0977011494252873,95.11494252873563,95.80700726505742,96.17298279890429,96.82336182336182,96.87002623226472,0.8352184684052519,97.55312969796366,97.8828125,98.91304347826087,0.010869565217391304,0.021171875,0.02446870302036354,0.03176638176638176,0.031299737677352946,0.008352184684052502,0.038270172010957136,0.04192992734942583,0.04885057471264368
6,9508928386211.332,8.571428571428571,9.508931296212332,9.508931296212332,2.9099999999999846,0,1,80.13574608415365,273,9508928.386211332,"[0.0, 9.508931296212332, -2.9099999999999846, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,164.43999999999872,1149.3399999999979,15546,108228,1.800731499970425,21.19648609997239,5.714285714285714,6.965218328294299,6.965218328294299,6965214.902459967,3.4258333333333066,1.0576840421634748,97.15865473755373,0.028413452624462533,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,3.2471861183299655,8.571428571428571,8.571428571428571,8.571428571428571,1.570603506905692,1.8833231244768416,5.427280153547015,8.479561124529159,6.965218328294299,2.7115680263823854,8.882291657584053,9.268808909824918,9.508931296212332,1.570603506905692,1.8833231244768416,5.427280153547015,8.479561124529159,6.965218328294299,2.7115680263823854,8.882291657584053,9.268808909824918,9.508931296212332,1.9200000000000015,2.446999999999993,2.8199999999999865,2.869999999999985,3.4258333333333066,1.1043622468294423,4.429999999999955,5.009999999999943,6.319999999999915,4.579421008151257,5.1548473475442735,46.39092713594437,76.18082068115473,59.1201166417859,27.55539299458383,77.59235793352127,79.17252021580934,80.13858234137297,1570598.4969046921,1883318.1144758416,5427278.086046015,8479558.304528158,6965214.902459967,2711568.6730462546,8882288.660083054,9268806.014823917,9508928.386211332,1570598496904.6921,1883318114475.8416,5427278086046.015,8479558304528.158,6965214902459.966,2711568673046.255,8882288660083.055,9268806014823.916,9508928386211.332,180.0,231.0,264.75,272.5,323.875,104.11644622728919,416.75,475.90000000000003,594.0,1.0212014134275618,1.0355,1.0449916759156492,1.0621951591269356,1.0576840421634748,0.015389255853799208,1.0691304347826087,1.0751314982735811,1.0842911877394636,95.78544061302682,96.24342508632095,96.5837306718388,97.00124103552626,97.15865473755373,0.7557619753392891,97.75041620421753,98.225,98.93992932862191,0.01060070671378092,0.01775,0.022495837957824637,0.02998758964473739,0.028413452624462533,0.0075576197533928835,0.03416269328161198,0.03756574913679048,0.0421455938697318
7,9485761014673.943,8.571428571428571,9.485765184674943,9.485765184674943,4.169999999999963,0,1,79.87083927541971,388,9485761.014673943,"[0.0, 9.485765184674943, -4.169999999999963, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,160.4699999999988,1309.8099999999968,15072,123300,1.7787237000302412,23.044023900001775,4.761904761904762,6.390823807035173,6.390823807035173,6390820.463909174,3.3431249999999753,1.0642116995718514,96.81977827859798,0.031802217214020184,0.0,0.0,2.857142857142857,5.714285714285714,4.761904761904762,2.992810735708699,8.571428571428571,8.571428571428571,8.571428571428571,1.8821007864815849,1.947903769356864,4.910135269165039,6.315206800188337,6.390823807035173,2.52082895454009,8.695754323686872,9.169245311192103,9.485765184674943,1.8821007864815849,1.947903769356864,4.910135269165039,6.315206800188337,6.390823807035173,2.52082895454009,8.695754323686872,9.169245311192103,9.485765184674943,1.8100000000000014,1.9650000000000016,2.2249999999999974,2.844999999999986,3.3431249999999753,1.3154754467650085,5.009999999999942,5.22599999999994,6.189999999999916,5.153219321946381,5.908394849003526,40.87151732854545,55.839392617344856,54.038336800641595,25.69360212183397,77.0788891017437,78.47347908262164,80.02455194666982,1882095.7764805849,1947898.7563558638,4910133.361664039,6315204.465187337,6390820.463909174,2520829.3384795515,8695751.451185873,9169241.445191104,9485761.014673943,1882095776480.585,1947898756355.864,4910133361664.039,6315204465187.338,6390820463909.173,2520829338479.5513,8695751451185.872,9169241445191.104,9485761014673.943,169.0,185.5,214.5,266.5,314.0,123.0401357281436,468.0,490.7000000000001,577.0,1.025,1.0445692883895132,1.0554166666666667,1.067969305259417,1.0642116995718514,0.016071833464374068,1.0732782879808465,1.083686023132204,1.1,95.12345679012346,95.81569884338981,96.34625600062958,96.65318908917966,96.81977827859798,0.8018515034809839,97.22916666666667,97.8319220539543,98.75,0.0125,0.021680779460457038,0.02770833333333333,0.033468109108203414,0.031802217214020184,0.008018515034809829,0.036537439993704256,0.04184301156610196,0.04876543209876543
8,9631074962656.645,8.571428571428571,9.631077902657644,9.631077902657644,2.939999999999985,0,1,81.47060818225145,277,9631074.962656645,"[0.0, 9.631077902657644, -2.939999999999985, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,143.06999999999914,1452.879999999996,13451,136751,1.5669037000043318,24.67883469996741,5.773809523809523,7.210100548607964,7.210100548607964,7210097.567981963,2.980624999999982,1.0647763071847132,96.81065230675671,0.03189347693243292,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.773809523809523,2.765776227497367,8.571428571428571,8.571428571428571,8.571428571428571,1.8823351178850447,4.51316887991769,5.273795809064593,8.349336896623884,7.210100548607964,2.2278088409692223,9.207258224487305,9.328182220458984,9.631077902657644,1.8823351178850447,4.51316887991769,5.273795809064593,8.349336896623884,7.210100548607964,2.2278088409692223,9.207258224487305,9.328182220458984,9.631077902657644,1.7500000000000013,1.9740000000000015,2.1174999999999993,2.8349999999999866,2.980624999999982,1.073400760530888,2.8899999999999846,5.009999999999942,5.799999999999925,5.146075307246065,36.62212851122022,44.741699835285544,76.02724904194474,61.93003730795575,21.591853301646676,78.80580097436905,79.37838275358081,81.47060818225145,1882330.1078840448,4513167.10191669,5273793.789063593,8349334.076622884,7210097.567981963,2227808.8708188953,9207255.344486305,9328179.327457985,9631074.962656645,1882330107884.0447,4513167101916.69,5273793789063.593,8349334076622.884,7210097567981.964,2227808870818.8955,9207255344486.305,9328179327457.986,9631074962656.645,167.0,183.4,202.25,265.5,280.2291666666667,102.00944392214653,274.0,474.0,554.0,1.029126213592233,1.047412755716005,1.0548074837310195,1.0664965986394557,1.0647763071847132,0.01647663511324768,1.0725487012987014,1.0809617626955088,1.1142857142857143,94.421768707483,95.95191186522456,96.4131171619026,96.72214755175098,96.81065230675671,0.7936135857252691,97.28903753886924,97.76898392421859,98.54368932038835,0.014563106796116505,0.022310160757814185,0.02710962461130761,0.032778524482490135,0.03189347693243292,0.007936135857252696,0.0358688283809739,0.04048088134775442,0.055782312925170066
9,9633816095120.373,8.571428571428571,9.633819035121373,9.633819035121373,2.9399999999999826,0,1,81.46489871293306,281,9633816.095120372,"[0.0, 9.633819035121373, -2.9399999999999826, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,160.1799999999988,1613.059999999995,15129,151880,1.8689751999918371,26.61744359997101,5.1190476190476195,6.5078665528978625,6.5078665528978625,6507863.215813529,3.3370833333333088,1.0590055469898383,97.09540061446341,0.029045993855365968,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.1190476190476195,2.7944510938822624,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.0037847246442526,5.0326415470668255,6.648733956473214,6.5078665528978625,2.4917798018995447,8.903012956891743,9.369269234793526,9.633819035121373,0.0,3.0037847246442526,5.0326415470668255,6.648733956473214,6.5078665528978625,2.4917798018995447,8.903012956891743,9.369269234793526,9.633819035121373,1.7500000000000013,2.0310000000000006,2.62249999999999,2.8649999999999847,3.3370833333333088,1.355991270764239,3.8274999999999673,5.797999999999925,6.739999999999907,6.083510506323364,21.784738826577087,43.28640767559409,65.06792232920998,57.55129381835953,21.773627375872497,77.5768181849271,79.68824982270598,81.46489871293306,-6.740000999999907,3003778.7826432525,5032639.602065825,6648730.946472215,6507863.215813529,2491780.3917258526,8903010.004390743,9369265.563792527,9633816.095120372,-6740000.999999907,3003778782643.2524,5032639602065.825,6648730946472.215,6507863215813.528,2491780391725.853,8903010004390.742,9369265563792.527,9633816095120.373,169.0,192.8,244.25,272.0,315.1875,127.90078450534747,361.25,546.5,628.0,1.0215827338129497,1.0390991844177138,1.0491657499083242,1.0598507462686566,1.0590055469898383,0.015429787506942075,1.0684130764234683,1.077639846743295,1.1028571428571428,95.04761904761907,96.11800766283525,96.66712787265443,97.06180589087398,97.09540061446341,0.755752366031345,97.55991285403051,98.0450407791143,98.92086330935251,0.01079136690647482,0.019549592208856912,0.024400871459694988,0.02938194109126026,0.029045993855365968,0.007557523660313456,0.03332872127345562,0.03881992337164752,0.04952380952380953
10,9632107655702.125,8.571428571428571,9.632110595703125,9.632110595703125,2.939999999999983,0,1,81.46912480145693,279,9632107.655702125,"[0.0, 9.632110595703125, -2.939999999999983, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,142.7499999999992,1755.809999999994,13491,165371,1.674430500017479,28.358623899985105,5.773809523809523,7.296213763100759,7.296213763100759,7296210.789141427,2.9739583333333166,1.058308586285486,97.1464137032904,0.028535862967096082,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.773809523809523,2.5077826705882016,8.571428571428571,8.571428571428571,8.571428571428571,3.044635227748326,5.007107870919364,5.461243220738003,8.24103627886091,7.296213763100759,1.91692519989716,9.02135099683489,9.407778331211636,9.632110595703125,3.044635227748326,5.007107870919364,5.461243220738003,8.24103627886091,7.296213763100759,1.91692519989716,9.02135099683489,9.407778331211636,9.632110595703125,1.8400000000000014,2.064,2.147499999999999,2.8349999999999866,2.9739583333333166,0.9343730955015711,2.939999999999983,4.6019999999999515,5.789999999999925,18.43260396997357,41.93165256306529,46.75971318036318,75.60331357270479,63.233129481742104,17.57630970803267,78.03013618662953,79.73254801481963,81.46912480145693,3044629.437747326,5007105.932918363,5461241.143237003,8241033.47385991,7296210.789141427,1916925.0564580427,9021348.134333892,9407774.108210636,9632107.655702125,3044629437747.326,5007105932918.363,5461241143237.003,8241033473859.91,7296210789141.427,1916925056458.0427,9021348134333.89,9407774108210.635,9632107655702.125,165.0,196.1,205.75,269.0,281.0625,88.25965628237702,280.75,432.50000000000006,549.0,1.0142857142857142,1.0352474747474747,1.045012461503604,1.056322440087146,1.058308586285486,0.019248229278522485,1.0722311879757203,1.0788636741940854,1.1151515151515152,94.44444444444444,96.09399101148533,96.5689901349948,97.20526315789473,97.1464137032904,0.9049177640110172,97.74937692481979,98.23762626262626,99.28571428571429,0.007142857142857143,0.017623737373737375,0.022506230751802095,0.02794736842105263,0.028535862967096082,0.00904917764011017,0.03431009865005192,0.03906008988514676,0.05555555555555556
