generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2184383.278471478,0.0,2.1843882969447543,2.1843882969447543,5.018473276192211,0,1,8.533359176581143,227,2.184383278471478,"[0.0, 2.1843882969447543, -5.018473276192211]",0,48,48,0,48,0,48,0,240.6705089389956,240.6705089389956,11084,11084,11.910579000017606,11.96186320000561,0.0,1.9734079497201102,1.9734079497201102,1.9734029357511738,5.013968936229075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851365225655692,1.879497528076172,1.9295556204659596,1.9773537772042413,1.9734079497201102,0.07226622908187758,2.0128168378557474,2.0697964259556363,2.1843882969447543,1.851365225655692,1.879497528076172,1.9295556204659596,1.9773537772042413,1.9734079497201102,0.07226622908187758,2.0128168378557474,2.0697964259556363,2.1843882969447543,5.000515393352295,5.007696947918895,5.009000860999253,5.014537443965731,5.013968936229075,0.006716253921753286,5.01821342605437,5.018992186334015,5.027893211587208,4.994408326107077,5.317748347156157,5.824305125075625,6.3142155949281005,6.28604411939735,0.7516671866937106,6.7042625046724424,7.293929601505806,8.533359176581143,1.851360210894928,1.8794925221782028,1.9295506107338383,1.9773487613065694,1.9734029357511738,0.07226622636399956,2.0128118137350497,2.0697914076869983,2.184383278471478,1851360.210894928,1879492.5221782029,1929550.6107338383,1977348.7613065694,1973402.9357511736,72266.22636399955,2012811.8137350495,2069791.4076869981,2184383.278471478,225.0,227.0,228.5,230.0,230.91666666666666,3.522743564641375,234.0,235.0,237.0
2,2267483.7454976994,0.0,2.2674887520926337,2.2674887520926337,5.006594934619537,0,1,9.445967677980661,237,2.2674837454976995,"[0.0, 2.2674887520926337, -5.006594934619537]",0,48,48,0,48,0,48,0,240.50258046516555,481.17308940416115,11028,22112,3.6453978000208735,15.759582800004864,0.0,2.0592933609372097,2.0592933609372097,2.059288350466783,5.010470426357616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8381881713867188,1.9290738786969865,2.0085648127964566,2.0591490609305243,2.0592933609372097,0.09572901770214669,2.1197577885219028,2.1665894644601003,2.2674887520926337,1.8381881713867188,1.9290738786969865,2.0085648127964566,2.0591490609305243,2.0592933609372097,0.09572901770214669,2.1197577885219028,2.1665894644601003,2.2674887520926337,5.000170450532883,5.003510641074351,5.006135696228055,5.010340071862718,5.010470426357616,0.006057522766494609,5.01617769540342,5.01910618071402,5.020007707984212,4.897096376109403,5.814774918793409,6.659538111114671,7.1804662242066115,7.192065269253362,1.0170464151147476,7.824085214895604,8.341173974212143,9.445967677980661,1.8381831647917841,1.9290688642818197,2.008559797762208,2.059144045534535,2.059288350466783,0.09572901787601057,2.1197527719799303,2.1665844570673793,2.2674837454976995,1838183.164791784,1929068.8642818197,2008559.7977622077,2059144.045534535,2059288.350466783,95729.01787601058,2119752.7719799303,2166584.4570673793,2267483.7454976994,222.0,223.0,224.5,232.0,229.75,4.9180788932265,233.0,235.0,237.0
3,2736827.7475916063,0.0,2.736832754952567,2.736832754952567,5.0073609602284055,0,1,14.67148941537016,222,2.7368277475916063,"[0.0, 2.736832754952567, -5.0073609602284055]",0,48,48,0,48,0,48,0,240.49478858616627,721.6678779903274,11048,33160,3.577455300022848,19.442657000006875,0.0,2.16118369783674,2.16118369783674,2.1611786875286443,5.01030809554513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8445314679827007,2.0032185145786827,2.0428398677280972,2.1634973798479353,2.16118369783674,0.16257541858198962,2.2248853955950056,2.2931763785226007,2.736832754952567,1.8445314679827007,2.0032185145786827,2.0428398677280972,2.1634973798479353,2.16118369783674,0.16257541858198962,2.2248853955950056,2.2931763785226007,2.736832754952567,5.001911559727818,5.002094908641092,5.003847357446753,5.006851427993539,5.01030809554513,0.007882471435726882,5.016846724553218,5.02227965901497,5.024709118824299,4.971620144831832,6.603125660357182,6.999528137628658,8.301119014708092,8.302959270639198,1.7707275839196994,8.988760313561215,9.730049658808275,14.67148941537016,1.8445264636607763,2.0032135089807452,2.0428348617981698,2.1634923671749395,2.1611786875286443,0.16257541980338747,2.2248803925758622,2.293171373454801,2.7368277475916063,1844526.4636607764,2003213.5089807452,2042834.8617981696,2163492.3671749397,2161178.687528644,162575.41980338746,2224880.392575862,2293171.373454801,2736827.7475916063,219.0,220.0,226.5,231.5,230.16666666666666,6.7679801680823175,234.5,236.0,242.0
4,3155440.8476147885,2.857142857142857,3.15544673374721,3.15544673374721,5.886132421592889,0,1,19.344294094509678,274,3.1554408476147886,"[0.0, 3.15544673374721, -5.886132421592889]",0,48,48,0,48,0,48,0,243.58116005961193,965.2490380499394,11369,44529,3.616968000016641,23.19185010000365,0.17857142857142858,2.325011662074498,2.325011662074498,2.3250065874669965,5.074607501241915,0.0,0.0,0.0,0.0,0.17857142857142858,0.6916041689656102,0.0,0.0,2.857142857142857,1.8806729997907365,2.0729440961565286,2.1085630144391745,2.2670909336635043,2.325011662074498,0.2731988974950905,2.447663715907505,2.6767125810895647,3.15544673374721,1.8806729997907365,2.0729440961565286,2.1085630144391745,2.2670909336635043,2.325011662074498,0.2731988974950905,2.447663715907505,2.6767125810895647,3.15544673374721,5.001677317463373,5.002696982520783,5.003139533222884,5.012498342751991,5.074607501241915,0.2498536992388336,5.01922030676599,5.02668155320876,6.37117555364904,5.318007450929144,7.327728935119376,7.726512013763568,9.505392528044467,10.111080569128262,3.024042734610021,11.438114557160588,13.992480089596938,19.344294094509678,1.8806679912765099,2.0729390847859275,2.1085580086879925,2.2670859113049904,2.3250065874669965,0.2731987365320735,2.447658704302841,2.6767075666638855,3.1554408476147886,1880667.9912765098,2072939.0847859276,2108558.0086879926,2267085.9113049908,2325006.5874669966,273198.73653207347,2447658.704302841,2676707.5666638855,3155440.8476147885,226.0,227.0,228.0,235.0,236.85416666666666,12.426432820358741,238.0,243.0,292.0
5,8706921.192632983,8.571428571428571,8.706932067871094,8.706932067871094,10.875238111149413,0,1,79.85469061881304,504,8.706921192632983,"[0.0, 8.706932067871094, -10.875238111149413]",0,48,48,0,48,0,48,0,259.3111488665595,1224.5601869164989,11960,56489,3.845571600017138,27.164277799980482,0.5357142857142857,2.6886198634193064,2.6886198634193064,2.6886144611037044,5.402315601386657,0.0,0.0,0.0,0.0,0.5357142857142857,1.613743060919757,0.0,2.857142857142857,8.571428571428571,2.044132777622768,2.1643224443708147,2.2697176252092635,2.4646949768066406,2.6886198634193064,1.0759886967288668,2.640267780848912,2.9081279209681923,8.706932067871094,2.044132777622768,2.1643224443708147,2.2697176252092635,2.4646949768066406,2.6886198634193064,1.0759886967288668,2.640267780848912,2.9081279209681923,8.706932067871094,5.000262983481287,5.002410553147243,5.006346205683188,5.010993513223862,5.402315601386657,1.4994545090578308,5.019989076208973,5.806396570022093,13.730875490669483,7.0039617294678465,8.311523529145052,9.473640199081274,11.62262030573038,14.12864373514943,11.845077652348245,13.705330949294876,16.617224696560882,79.85469061881304,2.0441277752122144,2.164317431465097,2.269712608268431,2.464689966881996,2.6886144611037044,1.075987353685853,2.6402627691316503,2.9081214957520825,8.706921192632983,2044127.7752122146,2164317.431465097,2269712.608268431,2464689.966881996,2688614.4611037043,1075987.3536858528,2640262.76913165,2908121.4957520827,8706921.192632983,225.0,227.0,229.0,232.0,249.16666666666666,69.22316969210686,234.0,270.20000000000005,632.0
6,9208592.996132247,8.571428571428571,9.208605630057198,9.208605630057198,12.633924949949334,0,1,81.9205984249711,589,9.208592996132246,"[0.0, 9.208605630057198, -12.633924949949334]",0,48,48,0,48,0,48,0,296.23828087036236,1520.7984677868612,13636,70125,4.658041300019249,31.94038640000508,1.6666666666666667,3.245218083972022,3.245218083972022,3.2452119123411713,6.171630851465882,0.0,0.0,0.0,0.0,1.6666666666666667,2.089277235093362,2.857142857142857,2.857142857142857,8.571428571428571,2.0367704119001115,2.300229208809989,2.598280225481306,2.8084836687360495,3.245218083972022,1.43914021041926,3.15521240234375,4.19602203369141,9.208605630057198,2.0367704119001115,2.300229208809989,2.598280225481306,2.8084836687360495,3.245218083972022,1.43914021041926,3.15521240234375,4.19602203369141,9.208605630057198,5.000645894418001,5.005147141566445,5.010122418070208,5.029504993201203,6.171630851465882,2.089374130395499,6.007876607556025,8.439306535264192,14.444375498209151,6.937030310684349,9.869281710084033,13.206607973355858,15.535873191001883,20.45777891364969,15.605553775027321,19.376137464603744,34.017071819491704,81.9205984249711,2.0367654093064815,2.300224199642503,2.5982752038081,2.808478653000641,3.2452119123411713,1.4391383024938633,3.1552064991782722,4.196013594384874,9.208592996132246,2036765.4093064817,2300224.199642503,2598275.2038081,2808478.653000641,3245211.9123411714,1439138.3024938635,3155206.499178272,4196013.594384874,9208592.996132247,222.0,226.7,229.75,242.5,284.0833333333333,96.94969342682603,277.25,395.7000000000003,659.0
7,9209172.025640618,8.571428571428571,9.209180559430804,9.209180559430804,8.533790186039619,0,1,82.05551611632109,390,9.209172025640617,"[0.0, 9.209180559430804, -8.533790186039619]",0,48,48,0,48,0,48,0,383.1051187530198,1903.903586539881,17724,87849,5.707689800008666,37.76222649999545,3.035714285714285,4.373765616189866,4.373765616189866,4.3737576348332246,7.981356640687912,0.0,0.0,2.142857142857143,2.857142857142857,3.035714285714285,2.433206361424964,2.857142857142857,5.714285714285714,8.571428571428571,2.1276092529296875,2.453129359654018,2.889112745012556,3.4679603576660156,4.373765616189866,2.096120588422971,5.363768168858119,7.812511444091798,9.209180559430804,2.1276092529296875,2.453129359654018,2.889112745012556,3.4679603576660156,4.373765616189866,2.096120588422971,5.363768168858119,7.812511444091798,9.209180559430804,5.002980416461028,5.008532061692549,5.5382611264994965,6.23713932275295,7.981356640687912,3.8407979720509475,8.617314855833847,14.104196194439808,22.44290667433316,7.936815667482733,11.509945447010978,16.39700254829222,23.028309284651186,33.762735545443775,23.920316561836927,45.78708278853446,76.55240482911468,82.05551611632109,2.127604242868298,2.45312435426155,2.8891065007391394,3.467953899907618,4.3737576348332246,2.0961174996683507,5.36375650789405,7.8124936301248455,9.209172025640617,2127604.242868298,2453124.35426155,2889106.5007391395,3467953.899907618,4373757.634833225,2096117.4996683511,5363756.50789405,7812493.630124846,9209172.025640618,221.0,232.1,251.25,284.5,369.25,180.33608670110004,395.75,646.7,1057.0
8,10231086.0073642,8.571428571428571,10.231099809919085,10.231099809919085,13.80255488433577,0,1,87.0085378922522,642,10.231086007364201,"[0.0, 10.231099809919085, -13.80255488433577]",0,48,48,0,48,0,48,0,401.24285195745546,2305.1464384973365,18595,106444,6.229980199976126,44.104499799985206,4.0476190476190474,5.457989772160848,5.457989772160848,5.457981412934765,8.35922608244699,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.0476190476190474,2.3206653201926106,5.714285714285714,8.571428571428571,8.571428571428571,2.1999250139508932,3.0579114641462057,3.599034718104771,4.9753924778529575,5.457989772160848,2.180100832233784,7.195171628679548,8.714149475097656,10.231099809919085,2.1999250139508932,3.0579114641462057,3.599034718104771,4.9753924778529575,5.457989772160848,2.180100832233784,7.195171628679548,8.714149475097656,10.231099809919085,4.33771213996169,5.093719876252888,6.269987295404952,7.772133883295877,8.35922608244699,2.8361117816698447,9.16041596036111,12.242346458023162,17.656275736547098,8.688564919139026,18.363667373698263,25.287343940290157,41.60726210474968,46.204807234676686,24.24836001428744,72.90623481059447,79.95691132918,87.0085378922522,2.19991998661003,3.057905378204437,3.599027791940533,4.9753844534683225,5.457981412934765,2.1800989042377226,7.195163154956744,8.71414132589586,10.231086007364201,2199919.9866100303,3057905.378204437,3599027.791940533,4975384.453468323,5457981.412934765,2180098.904237723,7195163.154956745,8714141.325895859,10231086.0073642,203.0,233.7,289.75,363.0,387.3958333333333,131.95828564097656,426.25,568.1,823.0
9,13332756.873032577,11.428571428571429,13.332781110491071,13.332781110491071,24.23745849404063,0,1,120.73281140998006,1111,13.332756873032578,"[0.0, 13.332781110491071, -24.23745849404063]",0,48,48,0,48,0,48,0,437.63814622952304,2742.7845847268595,20321,126765,6.5355493999959435,50.782359100005124,5.416666666666667,6.756520441600254,6.756520441600254,6.756511324138875,9.11746137978173,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.416666666666667,2.5581391603505117,6.428571428571429,8.571428571428571,11.428571428571429,2.336289542061942,3.3313162667410716,4.599246978759766,7.142857142857142,6.756520441600254,2.3511910558808147,8.412143162318639,9.1887024470738,13.332781110491071,2.336289542061942,3.3313162667410716,4.599246978759766,7.142857142857142,6.756520441600254,2.3511910558808147,8.412143162318639,9.1887024470738,13.332781110491071,5.014309117177114,5.498587350021061,6.754358187372606,8.599886870131847,9.11746137978173,3.418893296997171,10.29673192931517,12.562368559272505,24.23745849404063,10.25790751841123,21.424222818086854,35.975671910448,71.0937971547246,60.26642012522158,24.896622262715756,78.92462665215135,81.77334623076021,120.73281140998006,2.3362845255510907,3.3313101062457506,4.599238077981578,7.142848127571358,6.756511324138875,2.3511887637829547,8.41213286558671,9.188691201442355,13.332756873032578,2336284.5255510905,3331310.10624575,4599238.077981578,7142848.127571357,6756511.324138875,2351188.7637829543,8412132.86558671,9188691.201442355,13332756.873032577,221.0,254.0,315.25,400.0,423.3541666666667,158.54356519888222,477.5,581.1,1111.0
10,13253557.962199623,11.428571428571429,13.253582545689174,13.253582545689174,24.583489550325382,0,1,120.20581808313727,1143,13.253557962199622,"[0.0, 13.253582545689174, -24.583489550325382]",0,48,48,0,48,0,48,0,460.9213889891947,3203.7059737160544,21342,148107,6.755147499992745,57.661190699989675,6.1309523809523805,7.428297088259742,7.428297088259742,7.428287485730805,9.60252893727489,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,6.1309523809523805,2.181366928786749,8.571428571428571,8.571428571428571,11.428571428571429,2.8945650373186385,4.262664794921875,6.304197311401367,7.610315595354352,7.428297088259742,2.14942978126383,9.045280047825404,9.511827196393694,13.253582545689174,2.8945650373186385,4.262664794921875,6.304197311401367,7.610315595354352,7.428297088259742,2.14942978126383,9.045280047825404,9.511827196393694,13.253582545689174,3.809083799760309,5.795094078785274,6.630380951741297,8.646069001684857,9.60252893727489,3.8990560587793905,11.516906309798397,14.391743044816893,24.583489550325382,16.439227135117108,34.2472186989151,56.53951600100845,75.47227453626692,67.13280378394013,21.46274943783148,81.14961106143892,83.28845228329301,120.20581808313727,2.894558423829155,4.262656892159432,6.304189395746029,7.610303936936624,7.428287485730805,2.149427409829697,9.045272318877059,9.51181559368775,13.253557962199622,2894558.423829155,4262656.892159433,6304189.39574603,7610303.936936624,7428287.4857308045,2149427.409829697,9045272.318877058,9511815.59368775,13253557.962199623,177.0,268.0,308.0,404.0,444.625,180.98130946315976,535.5,666.7000000000002,1143.0
