generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,40,0,1,1,2184383.278471478,"[0.0, 2.1843882969447543, -5.018473276192211]",2.1843882969447543,0.0,2.1843882969447543,5.018473276192211,0,1,0,8.533359176581143,2.184383278471478,227,1,0
1,2,8,0,1,1,2098291.0111003113,"[0.0, 2.0982960292271207, -5.018126809341757]",2.0982960292271207,0.0,2.0982960292271207,5.018126809341757,0,1,0,7.602982311305823,2.0982910111003115,230,1,0
1,3,18,0,1,1,2086323.7510548912,"[0.0, 2.086328778948103, -5.027893211587208]",2.086328778948103,0.0,2.086328778948103,5.027893211587208,0,1,0,7.488829410664039,2.0863237510548913,227,1,0
1,4,14,0,1,1,2081631.6936144356,"[0.0, 2.0816367013113837, -5.007696947918895]",2.0816367013113837,0.0,2.0816367013113837,5.007696947918895,0,1,0,7.397858095529955,2.0816316936144355,234,1,0
1,5,9,0,0,1,2071130.3681155122,"[0.0, 2.0711353846958707, -5.0165803584388655]",2.0711353846958707,0.0,2.0711353846958707,5.0165803584388655,0,1,0,7.30584433619515,2.071130368115512,237,1,0
1,6,31,0,0,1,2069217.5675033494,"[0.0, 2.0692225864955356, -5.018992186334015]",2.0692225864955356,0.0,2.0692225864955356,5.018992186334015,0,1,0,7.288823286638944,2.0692175675033493,230,1,0
1,7,13,0,0,1,2055304.825850285,"[0.0, 2.055309840611049, -5.014760764170297]",2.055309840611049,0.0,2.055309840611049,5.014760764170297,0,1,0,7.14050881381263,2.055304825850285,229,1,0
1,8,6,0,0,1,2053784.3946919627,"[0.0, 2.053789411272321, -5.0165803584388655]",2.053789411272321,0.0,2.053789411272321,5.0165803584388655,0,1,0,7.120053730526706,2.053784394691963,237,1,0
1,9,2,0,0,1,2049817.1079892623,"[0.0, 2.0498221261160716, -5.018126809341757]",2.0498221261160716,0.0,2.0498221261160716,5.018126809341757,0,1,0,7.065043524082284,2.0498171079892624,230,1,0
1,10,42,0,0,1,2035119.6343035826,"[0.0, 2.03512464250837, -5.008204787415424]",2.03512464250837,0.0,2.03512464250837,5.008204787415424,0,1,0,6.9223849525733385,2.0351196343035824,235,1,0
1,11,46,0,0,1,2029059.7049502728,"[0.0, 2.029064723423549, -5.018473276192211]",2.029064723423549,0.0,2.029064723423549,5.018473276192211,0,1,0,6.863566950865788,2.029059704950273,227,1,0
1,12,26,0,0,1,2017691.9127688291,"[0.0, 2.0176969255719865, -5.012803157376244]",2.0176969255719865,0.0,2.0176969255719865,5.012803157376244,0,1,0,6.74778603931918,2.017691912768829,230,1,0
1,13,21,0,0,1,2011185.114057123,"[0.0, 2.0111901419503346, -5.027893211587208]",2.0111901419503346,0.0,2.0111901419503346,5.027893211587208,0,1,0,6.681122413021512,2.011185114057123,227,1,0
1,14,47,0,0,1,2011027.0901780638,"[0.0, 2.0110321044921875, -5.014314123761164]",2.0110321044921875,0.0,2.0110321044921875,5.014314123761164,0,1,0,6.6897546597901965,2.011027090178064,225,1,0
1,15,22,0,0,1,2004841.8305935883,"[0.0, 2.0048468453543524, -5.014760764170297]",2.0048468453543524,0.0,2.0048468453543524,5.014760764170297,0,1,0,6.599850969083491,2.0048418305935884,229,1,0
1,16,12,0,0,1,2003713.7569840206,"[0.0, 2.003718784877232, -5.027893211587208]",2.003718784877232,0.0,2.003718784877232,5.027893211587208,0,1,0,6.59444954970968,2.0037137569840207,227,1,0
1,17,24,0,0,0,1996574.8421567723,"[0.0, 1.996579851422991, -5.009266218860529]",1.996579851422991,0.0,1.996579851422991,5.009266218860529,0,1,0,6.510389994829893,1.9965748421567722,233,1,0
1,18,17,0,0,0,1995343.2414659983,"[0.0, 1.9953482491629464, -5.007696947918895]",1.9953482491629464,0.0,1.9953482491629464,5.007696947918895,0,1,0,6.5309825190634,1.9953432414659984,234,1,0
1,19,5,0,0,0,1986258.8019764272,"[0.0, 1.9862638201032365, -5.018126809341757]",1.9862638201032365,0.0,1.9862638201032365,5.018126809341757,0,1,0,6.408205066996743,1.9862588019764271,230,1,0
1,20,3,0,0,0,1985425.019691963,"[0.0, 1.9854300362723214, -5.0165803584388655]",1.9854300362723214,0.0,1.9854300362723214,5.0165803584388655,0,1,0,6.400785873527639,1.985425019691963,237,1,0
1,21,4,0,0,0,1981588.5402212138,"[0.0, 1.9815935407366072, -5.000515393352295]",1.9815935407366072,0.0,1.9815935407366072,5.000515393352295,0,1,0,6.3303247559815645,1.981588540221214,234,1,0
1,22,44,0,0,0,1981348.7454515013,"[0.0, 1.981353759765625, -5.014314123761164]",1.981353759765625,0.0,1.981353759765625,5.014314123761164,0,1,0,6.386305948995869,1.9813487454515013,225,1,0
1,23,15,0,0,0,1980585.7924192883,"[0.0, 1.9805908203125, -5.027893211587208]",1.9805908203125,0.0,1.9805908203125,5.027893211587208,0,1,0,6.37202586219064,1.9805857924192882,227,1,0
1,24,35,0,0,0,1978318.787420057,"[0.0, 1.9783238002232144, -5.012803157376244]",1.9783238002232144,0.0,1.9783238002232144,5.012803157376244,0,1,0,6.324981815065257,1.978318787420057,230,1,0
1,25,28,0,0,0,1976378.7351930817,"[0.0, 1.976383754185268, -5.018992186334015]",1.976383754185268,0.0,1.976383754185268,5.018992186334015,0,1,0,6.303449374790944,1.9763787351930817,230,1,0
1,26,32,0,0,0,1966498.6754641416,"[0.0, 1.966503688267299, -5.012803157376244]",1.966503688267299,0.0,1.966503688267299,5.012803157376244,0,1,0,6.188719633268192,1.9664986754641416,230,1,0
1,27,30,0,0,0,1960269.823323067,"[0.0, 1.9602748325892858, -5.009266218860529]",1.9602748325892858,0.0,1.9602748325892858,5.009266218860529,0,1,0,6.122967586503364,1.960269823323067,233,1,0
1,28,41,0,0,0,1954155.4035151172,"[0.0, 1.9541604178292409, -5.014314123761164]",1.9541604178292409,0.0,1.9541604178292409,5.014314123761164,0,1,0,6.074486992292805,1.9541554035151172,225,1,0
1,29,27,0,0,0,1948079.140775634,"[0.0, 1.9480841500418529, -5.009266218860529]",1.9480841500418529,0.0,1.9480841500418529,5.009266218860529,0,1,0,5.99380257876328,1.948079140775634,233,1,0
1,30,25,0,0,0,1946411.563387836,"[0.0, 1.9464165823800224, -5.018992186334015]",1.9464165823800224,0.0,1.9464165823800224,5.018992186334015,0,1,0,6.009271368267946,1.946411563387836,230,1,0
1,31,43,0,0,0,1941359.8148135543,"[0.0, 1.9413648332868305, -5.018473276192211]",1.9413648332868305,0.0,1.9413648332868305,5.018473276192211,0,1,0,5.925317755434662,1.9413598148135542,227,1,0
1,32,33,0,0,0,1939708.605061348,"[0.0, 1.9397136143275668, -5.009266218860529]",1.9397136143275668,0.0,1.9397136143275668,5.009266218860529,0,1,0,5.915976494550705,1.9397086050613481,233,1,0
1,33,11,0,0,0,1938308.0573475212,"[0.0, 1.9383130754743305, -5.018126809341757]",1.9383130754743305,0.0,1.9383130754743305,5.018126809341757,0,1,0,5.8800355585844954,1.938308057347521,230,1,0
1,34,20,0,0,0,1938106.4337790564,"[0.0, 1.9381114414760043, -5.007696947918895]",1.9381114414760043,0.0,1.9381114414760043,5.007696947918895,0,1,0,5.886482376081403,1.9381064337790563,234,1,0
1,35,29,0,0,0,1934580.558485905,"[0.0, 1.9345855712890623, -5.012803157376244]",1.9345855712890623,0.0,1.9345855712890623,5.012803157376244,0,1,0,5.853668624069542,1.934580558485905,230,1,0
1,36,36,0,0,0,1931621.4479196544,"[0.0, 1.9316264561244418, -5.008204787415424]",1.9316264561244418,0.0,1.9316264561244418,5.008204787415424,0,1,0,5.843934168573469,1.9316214479196545,235,1,0
1,37,38,0,0,0,1923338.0991763899,"[0.0, 1.9233431134905135, -5.014314123761164]",1.9233431134905135,0.0,1.9233431134905135,5.014314123761164,0,1,0,5.765417994582094,1.9233380991763898,225,1,0
1,38,39,0,0,0,1903539.826477132,"[0.0, 1.9035448346819195, -5.008204787415424]",1.9035448346819195,0.0,1.9035448346819195,5.008204787415424,0,1,0,5.5594822402636055,1.903539826477132,235,1,0
1,39,0,0,0,0,1903229.1927527888,"[0.0, 1.9032342093331471, -5.0165803584388655]",1.9032342093331471,0.0,1.9032342093331471,5.0165803584388655,0,1,0,5.607667374861194,1.9032291927527887,237,1,0
1,40,37,0,0,0,1896706.0585356525,"[0.0, 1.8967110770089286, -5.018473276192211]",1.8967110770089286,0.0,1.8967110770089286,5.018473276192211,0,1,0,5.532252340257401,1.8967060585356526,227,1,0
1,41,19,0,0,0,1896286.4455489456,"[0.0, 1.8962914603097096, -5.014760764170297]",1.8962914603097096,0.0,1.8962914603097096,5.014760764170297,0,1,0,5.500789833749877,1.8962864455489457,229,1,0
1,42,23,0,0,0,1895741.4958605296,"[0.0, 1.8957465035574776, -5.007696947918895]",1.8957465035574776,0.0,1.8957465035574776,5.007696947918895,0,1,0,5.475058622192591,1.8957414958605296,234,1,0
1,43,45,0,0,0,1883970.429504476,"[0.0, 1.8839754377092635, -5.008204787415424]",1.8839754377092635,0.0,1.8839754377092635,5.008204787415424,0,1,0,5.35187834687531,1.8839704295044761,235,1,0
1,44,7,0,0,0,1869044.0717502318,"[0.0, 1.8690490722656252, -5.000515393352295]",1.8690490722656252,0.0,1.8690490722656252,5.000515393352295,0,1,0,5.238111681144801,1.8690440717502317,234,1,0
1,45,10,0,0,0,1863027.7492055886,"[0.0, 1.863032749720982, -5.000515393352295]",1.863032749720982,0.0,1.863032749720982,5.000515393352295,0,1,0,5.192031167476671,1.8630277492055887,234,1,0
1,46,34,0,0,0,1860640.820154019,"[0.0, 1.8606458391462053, -5.018992186334015]",1.8606458391462053,0.0,1.8606458391462053,5.018992186334015,0,1,0,5.144555783444957,1.860640820154019,230,1,0
1,47,1,0,0,0,1853011.4440995618,"[0.0, 1.8530164446149553, -5.000515393352295]",1.8530164446149553,0.0,1.8530164446149553,5.000515393352295,0,1,0,5.0641314525855705,1.8530114440995618,234,1,0
1,48,16,0,0,0,1851360.210894928,"[0.0, 1.851365225655692, -5.014760764170297]",1.851365225655692,0.0,1.851365225655692,5.014760764170297,0,1,0,4.994408326107077,1.851360210894928,229,1,0
2,1,29,0,1,1,2267483.7454976994,"[0.0, 2.2674887520926337, -5.006594934619537]",2.2674887520926337,0.0,2.2674887520926337,5.006594934619537,0,1,0,9.445967677980661,2.2674837454976995,237,1,0
2,2,40,0,1,1,2258001.501093154,"[0.0, 2.2580065046037947, -5.003510641074351]",2.2580065046037947,0.0,2.2580065046037947,5.003510641074351,0,1,0,9.335776666150196,2.258001501093154,232,1,0
2,3,19,0,1,1,2221680.1368970713,"[0.0, 2.221685137067522, -5.000170450532883]",2.221685137067522,0.0,2.221685137067522,5.000170450532883,0,1,0,8.94172992122185,2.221680136897071,230,1,0
2,4,38,0,1,1,2183767.4767085514,"[0.0, 2.183772495814732, -5.01910618071402]",2.183772495814732,0.0,2.183772495814732,5.01910618071402,0,1,0,8.518593684129883,2.1837674767085513,233,1,0
2,5,0,0,0,1,2182846.5024525514,"[0.0, 2.1828515189034596, -5.016450908242513]",2.1828515189034596,0.0,2.1828515189034596,5.016450908242513,0,1,0,8.516230280452874,2.182846502452551,232,1,0
2,6,37,0,0,1,2159615.0090451622,"[0.0, 2.1596200125558034, -5.003510641074351]",2.1596200125558034,0.0,2.1596200125558034,5.003510641074351,0,1,0,8.266149842966115,2.1596150090451625,232,1,0
2,7,25,0,0,1,2156753.97944154,"[0.0, 2.1567589896065846, -5.010165044408131]",2.1567589896065846,0.0,2.1567589896065846,5.010165044408131,0,1,0,8.239161984922248,2.15675397944154,232,1,0
2,8,17,0,0,1,2154628.652128114,"[0.0, 2.1546336582728793, -5.006144765490964]",2.1546336582728793,0.0,2.1546336582728793,5.006144765490964,0,1,0,8.209615275351098,2.154628652128114,233,1,0
