generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2264971.4886616864,0.0,2.2649765014648438,2.2649765014648438,5.012803157376244,0,1,9.428837100596866,230,2.2649714886616863,"[0.0, 2.2649765014648438, -5.012803157376244]",0,48,48,0,48,0,48,0,240.6705089389956,240.6705089389956,11084,11084,16.244648699997924,16.360362699982943,0.0,1.9952179136730377,1.9952179136730377,1.9952128997041012,5.013968936229075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8175833565848214,1.8967579432896207,1.938980647495815,1.9827352251325334,1.9952179136730377,0.09030001170034259,2.0352254595075334,2.1255858285086497,2.2649765014648438,1.8175833565848214,1.8967579432896207,1.938980647495815,1.9827352251325334,1.9952179136730377,0.09030001170034259,2.0352254595075334,2.1255858285086497,2.2649765014648438,5.000515393352295,5.007696947918895,5.009000860999253,5.014537443965731,5.013968936229075,0.006716253921753286,5.01821342605437,5.018992186334015,5.027893211587208,4.672877027187496,5.474970351156662,5.931754981826089,6.375071845384809,6.516380811923379,0.9557825501661779,6.935335849670082,7.88346283165156,9.428837100596866,1.8175783473186025,1.896752940467409,1.9389756371971347,1.982730217717775,1.9952128997041012,0.09030001105542652,2.0352204433820735,2.125580810122227,2.2649714886616863,1817578.3473186025,1896752.940467409,1938975.6371971346,1982730.217717775,1995212.8997041013,90300.01105542653,2035220.4433820737,2125580.810122227,2264971.4886616864,225.0,227.0,228.5,230.0,230.91666666666666,3.522743564641375,234.0,235.0,237.0
2,2279516.387016875,0.0,2.2795213971819197,2.2795213971819197,5.010165044408131,0,1,9.58368493517628,232,2.279516387016875,"[0.0, 2.2795213971819197, -5.010165044408131]",0,48,48,0,48,0,48,0,240.50258046516555,481.17308940416115,11028,22112,4.8370398999832105,21.32532099998207,0.0,2.0560993467058455,2.0560993467058455,2.056094336235419,5.010470426357616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.805049351283482,1.9473315647670202,1.9867474692208427,2.0489529200962613,2.0560993467058455,0.09993776561901542,2.1076897212437222,2.1828645978655135,2.2795213971819197,1.805049351283482,1.9473315647670202,1.9867474692208427,2.0489529200962613,2.0560993467058455,0.09993776561901542,2.1076897212437222,2.1828645978655135,2.2795213971819197,5.000170450532883,5.003510641074351,5.006135696228055,5.010340071862718,5.010470426357616,0.006057522766494609,5.01617769540342,5.01910618071402,5.020007707984212,4.579814473749138,5.994547666407743,6.423230034321023,7.053377061034553,7.158342818157204,1.062923419010568,7.703878578611693,8.526132743604832,9.58368493517628,1.8050443446885474,1.947326561493175,1.9867424625662058,2.0489479135013267,2.056094336235419,0.09993776500577264,2.107684703541873,2.182859594696685,2.279516387016875,1805044.3446885473,1947326.5614931749,1986742.4625662058,2048947.9135013265,2056094.336235419,99937.76500577266,2107684.703541873,2182859.5946966847,2279516.387016875,222.0,223.0,224.5,232.0,229.75,4.9180788932265,233.0,235.0,237.0
3,2880808.546286706,2.857142857142857,2.880815778459821,2.880815778459821,7.232173115373955,0,1,16.301021404717176,323,2.8808085462867057,"[0.0, 2.880815778459821, -7.232173115373955]",0,48,48,0,48,0,48,0,242.6995838222663,723.8726732264274,11153,33265,5.099352599994745,26.610326299996814,0.05952380952380953,2.146776857830229,2.146776857830229,2.1467718015888995,5.056241329630548,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.828362601143973,1.9681347438267298,2.013109752110073,2.118816375732422,2.146776857830229,0.18241235324050806,2.2274317060198103,2.362610953194755,2.880815778459821,1.828362601143973,1.9681347438267298,2.013109752110073,2.118816375732422,2.146776857830229,0.18241235324050806,2.2274317060198103,2.362610953194755,2.880815778459821,5.000206812699897,5.001911559727818,5.003847357446753,5.006724660492518,5.056241329630548,0.31748923938354945,5.01646728905764,5.023008496957769,7.232173115373955,4.787271992361639,6.226062018583616,6.705493354529608,7.824770313047338,8.154422234897083,1.9948072725634638,9.01519133660986,10.485353781568124,16.301021404717176,1.8283575968220487,1.968129731660356,2.013104735263348,2.1188113656924523,2.1467718015888995,0.18241216757062087,2.227426702300477,2.362605946042839,2.8808085462867057,1828357.5968220488,1968129.731660356,2013104.735263348,2118811.365692452,2146771.8015888995,182412.1675706209,2227426.702300477,2362605.946042839,2880808.546286706,219.0,220.0,228.0,232.5,232.35416666666666,14.619464170717368,234.0,236.60000000000002,323.0
4,3072645.7201638035,2.857142857142857,3.0726514543805803,3.0726514543805803,5.7342167768984185,0,1,18.49962495001091,261,3.0726457201638033,"[0.0, 3.0726514543805803, -5.7342167768984185]",0,48,48,0,48,0,48,0,241.32057040620697,965.1932436326344,11262,44527,5.2612758000032045,32.02174109997577,0.05952380952380953,2.246483507610503,2.246483507610503,2.2464784800986193,5.027511883462645,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.9488198416573659,2.0390107291085378,2.0813846588134766,2.2058405194963724,2.246483507610503,0.2148426563987089,2.3565006256103516,2.476039341517857,3.0726514543805803,1.9488198416573659,2.0390107291085378,2.0813846588134766,2.2058405194963724,2.246483507610503,0.2148426563987089,2.3565006256103516,2.476039341517857,3.0726514543805803,5.001677317463373,5.002696982520783,5.004887350933492,5.011065983094152,5.027511883462645,0.10340007854831325,5.01922030676599,5.025195638985155,5.7342167768984185,6.022366393590346,6.980644920666236,7.411289349067374,8.766227275056735,9.245669880753061,2.3814464485665003,10.55688867358731,11.771391069887613,18.49962495001091,1.9488148289167828,2.0390057210915677,2.081379646953896,2.2058355129081293,2.2464784800986193,0.2148425987501211,2.356495622569311,2.476034320754451,3.0726457201638033,1948814.8289167827,2039005.7210915678,2081379.646953896,2205835.5129081295,2246478.4800986196,214842.5987501211,2356495.622569311,2476034.3207544507,3072645.7201638035,218.0,227.0,228.0,235.0,234.625,6.948096262046652,238.0,243.0,261.0
5,4578287.306291939,2.857142857142857,4.578296116420201,4.578296116420201,8.8101282624045,0,1,35.28003588039428,396,4.578287306291939,"[0.0, 4.578296116420201, -8.8101282624045]",0,48,48,0,48,0,48,0,245.00707747057004,1210.2003211032045,11297,55824,4.521280399989337,36.756844799994724,0.11904761904761905,2.3354753993806385,2.3354753993806385,2.3354702950665245,5.104314113970209,0.0,0.0,0.0,0.0,0.11904761904761905,0.5709323242038953,0.0,0.0,2.857142857142857,1.966923304966518,2.0707609994070872,2.1426119123186385,2.2874695914132257,2.3354753993806385,0.38338941217786443,2.386178970336914,2.517728533063616,4.578296116420201,1.966923304966518,2.0707609994070872,2.1426119123186385,2.2874695914132257,2.3354753993806385,0.38338941217786443,2.386178970336914,2.517728533063616,4.578296116420201,5.000311407850963,5.002069188939875,5.00444706552153,5.00847059880866,5.104314113970209,0.5503472020695858,5.013283874986039,5.026393814223881,8.8101282624045,6.18896185716585,7.329717320464988,8.094750892632874,9.669115377146227,10.231561888473758,4.2741358108318845,10.769478402184177,12.265731854615296,35.28003588039428,1.9669182980937936,2.070755981651485,2.1426069099674327,2.28746457111513,2.3354702950665245,0.38338892076691683,2.3861739649345988,2.5177235273792316,4.578287306291939,1966918.2980937937,2070755.9816514852,2142606.9099674327,2287464.5711151296,2335470.2950665248,383388.92076691677,2386173.964934599,2517723.5273792315,4578287.306291939,225.0,226.0,229.0,231.0,235.35416666666666,24.263732866953692,235.0,238.0,396.0
6,4527748.152224624,2.857142857142857,4.527756827218192,4.527756827218192,8.674993568102474,0,1,34.71323706395924,397,4.527748152224624,"[0.0, 4.527756827218192, -8.674993568102474]",0,48,48,0,48,0,48,0,249.6684282552372,1459.8687493584416,11520,67344,5.250801699992735,42.12532629998168,0.35714285714285715,2.442179634457543,2.442179634457543,2.4421744330319544,5.201425588650775,0.0,0.0,0.0,0.0,0.35714285714285715,0.944911182523068,0.0,2.857142857142857,2.857142857142857,1.9682529994419644,2.141289302280971,2.216747828892299,2.312025342668806,2.442179634457543,0.43712807819316823,2.490756171090262,2.940238407679967,4.527756827218192,1.9682529994419644,2.141289302280971,2.216747828892299,2.312025342668806,2.442179634457543,0.43712807819316823,2.490756171090262,2.940238407679967,4.527756827218192,5.000152522839724,5.003120844580394,5.009171617596662,5.013329774525613,5.201425588650775,0.6118756404715017,5.018307347636206,5.800647210613514,8.674993568102474,6.24771964669344,8.086813961579173,8.885256251160172,9.942844527919078,11.418263060308618,4.871835041416826,11.941823251205278,16.978428000323774,34.71323706395924,1.9682479801284016,2.1412842976432023,2.2167428226624133,2.312020328729272,2.4421744330319544,0.4371275289532494,2.4907511485852396,2.9402321663070183,4.527748152224624,1968247.9801284017,2141284.2976432024,2216742.822662413,2312020.328729272,2442174.4330319543,437127.5289532494,2490751.1485852394,2940232.166307018,4527748.152224624,221.0,228.0,230.0,232.0,240.0,27.441604666394177,235.25,261.40000000000003,397.0
7,6942911.06217733,5.714285714285714,6.942917960030693,6.942917960030693,6.897853361932415,0,1,62.801337860524654,321,6.9429110621773305,"[0.0, 6.942917960030693, -6.897853361932415]",0,48,48,0,48,0,48,0,257.25185086164186,1717.1206002200834,11901,79245,5.417038000014145,47.72417089997907,0.6547619047619048,2.643414451962425,2.643414451962425,2.643409092548866,5.359413559617539,0.0,0.0,0.0,0.0,0.6547619047619048,1.3349798507146313,0.0,2.857142857142857,5.714285714285714,2.030808585030692,2.1202305385044644,2.232912608555385,2.3706327165876115,2.643414451962425,0.8266694981893049,2.6954705374581476,3.3001992361886168,6.942917960030693,2.030808585030692,2.1202305385044644,2.232912608555385,2.3706327165876115,2.643414451962425,0.8266694981893049,2.6954705374581476,3.3001992361886168,6.942917960030693,5.000696742135632,5.002105322945775,5.004194065828303,5.012487215306935,5.359413559617539,0.8349496867199884,5.024875880355455,6.146068940600958,8.791887217289071,6.870915754931048,7.84692771981936,9.057742250890442,10.587086761501268,13.682707349777957,9.367884942254584,14.21592001971294,20.996235518062903,62.801337860524654,2.0308035601952956,2.1202255355231565,2.232907600194187,2.3706277014566197,2.643409092548866,0.8266688402441911,2.695465531566794,3.3001930901196763,6.9429110621773305,2030803.5601952956,2120225.5355231566,2232907.600194187,2370627.70145662,2643409.0925488663,826668.8402441912,2695465.531566794,3300193.090119676,6942911.06217733,220.0,225.7,228.0,234.5,247.9375,38.25485059113419,242.0,288.30000000000007,401.0
8,9010660.355989818,8.571428571428571,9.010674612862724,9.010674612862724,14.256872906482814,0,1,69.1207530152169,660,9.010660355989817,"[0.0, 9.010674612862724, -14.256872906482814]",0,48,48,0,48,0,48,0,313.9282553471919,2031.0488555672753,14501,93746,7.353431000025012,55.31170189997647,1.4880952380952381,3.3720911116827104,3.3720911116827104,3.3720845715107237,6.540171986399831,0.0,0.0,0.0,0.0,1.4880952380952381,2.101957569405902,2.857142857142857,3.7142857142857264,8.571428571428571,2.033337184361049,2.173840114048549,2.3590101514543806,2.7077674865722656,3.3720911116827104,1.6754073461747667,3.435257502964565,5.539868491036559,9.010674612862724,2.033337184361049,2.173840114048549,2.3590101514543806,2.7077674865722656,3.3720911116827104,1.6754073461747667,3.435257502964565,5.539868491036559,9.010674612862724,5.00023881491349,5.0033255875270894,5.007923201876338,5.019748526142559,6.540171986399831,2.84449851001236,6.431181210638147,10.306385760519607,17.088472483606935,6.9213974970334675,8.422997936306638,10.525247653509723,14.435911395572475,21.683011788317042,18.028125216380428,22.49600858494523,47.7513203833253,79.73725454136729,2.033332161654081,2.1738351028148735,2.3590051274869666,2.707762476038465,3.3720845715107237,1.6754047856301775,3.435251112037516,5.539856677940529,9.010660355989817,2033332.161654081,2173835.102814873,2359005.1274869666,2707762.476038465,3372084.5715107243,1675404.7856301777,3435251.112037516,5539856.677940529,9010660.355989818,224.0,226.0,229.75,235.5,302.1041666666667,132.6254499809101,295.25,484.70000000000005,792.0
9,9016692.93980406,8.571428571428571,9.016707284109932,9.016707284109932,14.344305871319184,0,1,69.31596322893165,665,9.016692939804061,"[0.0, 9.016707284109932, -14.344305871319184]",0,48,48,0,48,0,48,0,351.82465313165426,2382.8735086989295,16311,110057,8.884436899999855,64.50148449998233,2.3214285714285716,3.9710733436402825,3.9710733436402825,3.9710660139600087,7.32968027357613,0.0,0.0,0.0,2.857142857142857,2.3214285714285716,2.3076514255928724,2.857142857142857,5.714285714285714,8.571428571428571,1.9330651419503349,2.4138210841587613,2.6184449877057756,3.0539403642926897,3.9710733436402825,1.9414383013514387,4.411348615373884,7.142857142857142,9.016707284109932,1.9330651419503349,2.4138210841587613,2.6184449877057756,3.0539403642926897,3.9710733436402825,1.9414383013514387,4.411348615373884,7.142857142857142,9.016707284109932,5.001689199711164,5.007452150439521,5.01558216000664,6.065273658691206,7.32968027357613,3.176104493895054,7.907861405291819,12.553120568581585,17.1126779804058,5.841005334164947,11.092228817426804,13.336304820259102,18.20689715919434,28.74224933705788,21.744838974968932,34.327706687385216,66.32075375479182,79.72100825235248,1.9330601263681748,2.4138160709372105,2.6184399733791923,3.053934520406436,3.9710660139600087,1.9414353606542587,4.411340216054175,7.142845653175717,9.016692939804061,1933060.1263681748,2413816.07093721,2618439.9733791924,3053934.520406436,3971066.013960008,1941435.3606542589,4411340.216054175,7142845.653175717,9016692.93980406,226.0,228.0,233.75,281.5,339.8125,147.42705205315383,368.75,577.8000000000002,800.0
10,8988510.70106338,8.571428571428571,8.988524845668248,8.988524845668248,14.144604869493,0,1,68.88534130438347,659,8.98851070106338,"[0.0, 8.988524845668248, -14.144604869493]",0,48,48,0,48,0,48,0,400.91484047610976,2783.7883491750395,18591,128648,8.789594100002432,73.51700049999636,3.214285714285714,4.859098479861305,4.859098479861305,4.859090127468796,8.352392509918953,0.0,0.0,2.857142857142857,2.857142857142857,3.214285714285714,2.305347229885367,5.714285714285714,5.714285714285714,8.571428571428571,2.188688005719866,2.4552383422851562,2.9600306919642856,4.381836482456753,4.859098479861305,2.164703574586953,7.142857142857142,8.209336144583565,8.988524845668248,2.188688005719866,2.4552383422851562,2.9600306919642856,4.381836482456753,4.859098479861305,2.164703574586953,7.142857142857142,8.209336144583565,8.988524845668248,5.002988467852326,5.0124886291226805,5.23799040769612,7.388823267896539,8.352392509918953,3.5607985303124265,9.689693382565073,14.346547488507829,17.12623081519279,8.608014580902818,11.530335873027798,17.177120721324172,33.08639306016266,38.49230262775594,23.656044226134167,60.97112215613015,74.04487935639918,79.99411774799228,2.1886829866552615,2.4552333294466067,2.9600246197369056,4.38182815483766,4.859090127468796,2.1647005036332323,7.142846048026256,8.209325178659915,8.98851070106338,2188682.9866552614,2455233.3294466063,2960024.619736905,4381828.1548376605,4859090.127468795,2164700.503633233,7142846.048026257,8209325.178659916,8988510.70106338,222.0,230.7,247.0,346.5,387.3125,165.35355507845404,458.0,663.8000000000001,808.0
