generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,35,0,1,1,2264971.4886616864,"[0.0, 2.2649765014648438, -5.012803157376244]",2.2649765014648438,0.0,2.2649765014648438,5.012803157376244,0,1,0,9.428837100596866,2.2649714886616863,230,1,0
1,2,17,0,1,1,2222819.0889827395,"[0.0, 2.2228240966796875, -5.007696947918895]",2.2228240966796875,0.0,2.2228240966796875,5.007696947918895,0,1,0,8.945069568231702,2.2228190889827393,234,1,0
1,3,40,0,1,1,2171544.0973888887,"[0.0, 2.171549115862165, -5.018473276192211]",2.171549115862165,0.0,2.171549115862165,5.018473276192211,0,1,0,8.422665421225247,2.171544097388889,227,1,0
1,4,29,0,1,1,2146154.567972512,"[0.0, 2.1461595807756693, -5.012803157376244]",2.1461595807756693,0.0,2.1461595807756693,5.012803157376244,0,1,0,8.128099482419202,2.146154567972512,230,1,0
1,5,31,0,0,1,2139958.403510604,"[0.0, 2.1399634225027904, -5.018992186334015]",2.1399634225027904,0.0,2.1399634225027904,5.018992186334015,0,1,0,8.035741163184866,2.139958403510604,230,1,0
1,6,11,0,0,1,2119418.984384351,"[0.0, 2.1194240025111606, -5.018126809341757]",2.1194240025111606,0.0,2.1194240025111606,5.018126809341757,0,1,0,7.818200689565856,2.119418984384351,230,1,0
1,7,30,0,0,1,2089195.691766147,"[0.0, 2.089200701032366, -5.009266218860529]",2.089200701032366,0.0,2.089200701032366,5.009266218860529,0,1,0,7.48140825695009,2.089195691766147,233,1,0
1,8,10,0,0,1,2060454.6814042493,"[0.0, 2.060459681919643, -5.000515393352295]",2.060459681919643,0.0,2.060459681919643,5.000515393352295,0,1,0,7.207036699372111,2.0604546814042495,234,1,0
1,9,34,0,0,1,2054639.9743811397,"[0.0, 2.054644993373326, -5.018992186334015]",2.054644993373326,0.0,2.054644993373326,5.018992186334015,0,1,0,7.139205765095539,2.0546399743811397,230,1,0
1,10,22,0,0,1,2051174.0536683658,"[0.0, 2.05117906842913, -5.014760764170297]",2.05117906842913,0.0,2.05117906842913,5.014760764170297,0,1,0,7.1039440975291654,2.051174053668366,229,1,0
1,11,16,0,0,1,2047048.7310539682,"[0.0, 2.047053745814732, -5.014760764170297]",2.047053745814732,0.0,2.047053745814732,5.014760764170297,0,1,0,7.045101683121175,2.0470487310539682,229,1,0
1,12,13,0,0,1,2046182.2498179185,"[0.0, 2.0461872645786827, -5.014760764170297]",2.0461872645786827,0.0,2.0461872645786827,5.014760764170297,0,1,0,7.053899825899862,2.0461822498179187,229,1,0
1,13,9,0,0,1,2031566.5079034586,"[0.0, 2.031571524483817, -5.0165803584388655]",2.031571524483817,0.0,2.031571524483817,5.0165803584388655,0,1,0,6.898747238519718,2.0315665079034586,237,1,0
1,14,45,0,0,1,2018634.6925485607,"[0.0, 2.018639700753348, -5.008204787415424]",2.018639700753348,0.0,2.018639700753348,5.008204787415424,0,1,0,6.763480357360095,2.0186346925485608,235,1,0
1,15,6,0,0,1,2016427.6093264492,"[0.0, 2.0164326259068077, -5.0165803584388655]",2.0164326259068077,0.0,2.0164326259068077,5.0165803584388655,0,1,0,6.716486738601816,2.016427609326449,237,1,0
