generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,7913346906567.08,5.714285714285714,7.91334969656808,7.91334969656808,2.7899999999999845,0,1,74.6932058185339,279,7913346.90656708,"[0.0, 7.91334969656808, -2.7899999999999845, -1.0]",0,48,48,0,40,8,40,8,423.06000000001296,423.06000000001296,42306,42306,15.933201699983329,15.994401199975982,2.2619047619047623,3.3339296636127287,3.3339296636127287,3333920.8498618957,8.81375000000027,0.0,0.0,0.0,2.857142857142857,2.2619047619047623,2.3298078322358244,3.5714285714285716,5.714285714285714,5.714285714285714,0.0,0.0,1.8836539132254464,3.045365469796317,3.3339296636127287,2.5679378036944858,4.0912982395717075,7.403014319283623,7.91334969656808,0.0,0.0,1.8836539132254464,3.045365469796317,3.3339296636127287,2.5679378036944858,4.0912982395717075,7.403014319283623,7.91334969656808,2.5499999999999896,2.7399999999999856,4.464999999999949,5.009999999999938,8.81375000000027,9.543375674825286,5.732499999999922,30.00000000000189,30.00000000000189,5.0589055169402855,5.134881022811169,15.244300283040502,18.436356629761576,74.14915444229307,101.15106545080128,72.69816918112338,293.6007587665343,293.60434658662416,-30.00000000000189,-30.00000000000189,1883648.9032244463,3045359.679795317,3333920.8498618957,2567943.5613884144,4091293.2595707076,7403011.6002826225,7913346.90656708,-30000000.00000189,-30000000.00000189,1883648903224.4463,3045359679795.317,3333920849861.896,2567943561388.4146,4091293259570.7075,7403011600282.623,7913346906567.08,255.0,274.0,446.5,501.0,881.375,954.3375674824571,573.25,3000.0,3000.0
2,8503210749966.913,5.714285714285714,8.503213609967913,8.503213609967913,2.859999999999983,0,1,76.76541237533092,286,8503210.749966914,"[0.0, 8.503213609967913, -2.859999999999983, -1.0]",0,48,48,0,45,3,45,3,288.2100000000034,711.2700000000164,28821,71127,4.6445307999965735,20.70791369996732,3.214285714285714,4.484687930061703,4.484687930061703,4484681.925685766,6.004375000000071,0.0,0.0,0.0,2.857142857142857,3.214285714285714,2.4484480715718013,5.714285714285714,5.714285714285714,5.714285714285714,0.0,1.6213177272251675,1.8837084089006695,3.5657201494489397,4.484687930061703,2.6699436943298953,7.142857142857142,7.779573168073383,8.503213609967913,0.0,1.6213177272251675,1.8837084089006695,3.5657201494489397,4.484687930061703,2.6699436943298953,7.142857142857142,7.779573168073383,8.503213609967913,1.6400000000000012,2.626999999999988,2.762499999999985,5.009999999999938,6.004375000000071,6.418920244821608,5.7199999999999225,6.424999999999908,30.00000000000189,5.134554100048263,5.135044685474713,17.947568416373542,48.85689255400575,54.448443046879525,63.91659787533708,71.30168180912733,75.24094758406282,293.5981514113955,-30.00000000000189,1621312.7172241674,1883703.3988996695,3565715.70944794,4484681.925685766,2669947.1418672563,7142854.530356143,7779570.395072382,8503210.749966914,-30000000.00000189,1621312717224.1675,1883703398899.6694,3565715709447.9395,4484681925685.767,2669947141867.256,7142854530356.143,7779570395072.382,8503210749966.913,164.0,262.7,276.25,501.0,600.4375,641.8920244821164,572.0,642.5000000000001,3000.0
3,9369781843880.137,8.571428571428571,9.369784763881137,9.369784763881137,2.9199999999999817,0,1,80.26889619231224,292,9369781.843880137,"[0.0, 9.369784763881137, -2.9199999999999817, -1.0]",0,48,48,0,44,4,44,4,282.68000000000603,993.9500000000223,28268,99395,4.193739400012419,24.984404199989513,3.690476190476191,5.3643372512999035,5.3643372512999035,5364331.36213232,5.889166666666792,0.0,0.0,0.0,5.714285714285714,3.690476190476191,2.7944510938822624,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8832015991210938,2.592297962733678,7.142857142857142,5.3643372512999035,2.7737095274427106,7.540621757507324,8.256456102643694,9.369784763881137,0.0,1.8832015991210938,2.592297962733678,7.142857142857142,5.3643372512999035,2.7737095274427106,7.540621757507324,8.256456102643694,9.369784763881137,1.7100000000000013,2.5869999999999886,2.724999999999986,2.9399999999999813,5.889166666666792,7.382617487871757,5.009999999999938,6.4909999999999135,30.00000000000189,5.134616771712899,5.135403928529558,21.356495019732392,69.5487822368741,70.97012796229485,72.41134528671157,74.73289234563708,78.30223313197494,293.6012557336362,-30.00000000000189,1883196.5891200937,2592290.9652326778,7142854.5178561425,5364331.36213232,2773712.984636522,7540618.985006325,8256453.282642694,9369781.843880137,-30000000.00000189,1883196589120.0938,2592290965232.6777,7142854517856.143,5364331362132.32,2773712984636.5215,7540618985006.324,8256453282642.694,9369781843880.137,171.0,258.7,272.5,294.0,588.9166666666666,738.2617487871239,501.0,649.1000000000007,3000.0
4,9843215617165.574,8.571428571428571,9.843218667166575,9.843218667166575,3.049999999999979,0,1,82.93715347349644,305,9843215.617165575,"[0.0, 9.843218667166575, -3.049999999999979, -1.0]",0,48,48,0,47,1,47,1,207.76000000000016,1201.7100000000225,20776,120171,3.243235200003255,28.320065699983388,3.630952380952381,5.136860892886207,5.136860892886207,5136856.564551895,4.328333333333337,0.0,0.0,0.0,2.857142857142857,3.630952380952381,3.126558568254499,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8825018746512279,2.562187739780971,4.702306474958148,5.136860892886207,2.9493530425871315,8.221431459699359,8.820395060947964,9.843218667166575,0.0,1.8825018746512279,2.562187739780971,4.702306474958148,5.136860892886207,2.9493530425871315,8.221431459699359,8.820395060947964,9.843218667166575,1.5500000000000012,2.0420000000000003,2.7999999999999843,2.944999999999981,4.328333333333337,3.992937689081921,5.009999999999938,5.709999999999923,30.00000000000189,4.999016389141616,5.135272468279436,16.39803065250271,41.480406772345304,48.01870933225124,46.717601280311726,76.58432091586292,78.23815863132477,293.6019297327148,-30.00000000000189,1882496.8646502278,2562182.744779971,4702304.629957147,5136856.564551895,2949354.911466625,8221428.637198359,8820392.160946965,9843215.617165575,-30000000.00000189,1882496864650.2278,2562182744779.9707,4702304629957.147,5136856564551.895,2949354911466.625,8221428637198.358,8820392160946.965,9843215617165.574,155.0,204.2,280.0,294.5,432.8333333333333,399.29376890816724,501.0,571.0,3000.0
5,9843215617165.574,8.571428571428571,9.843218667166575,9.843218667166575,3.049999999999979,0,1,82.93715347349644,305,9843215.617165575,"[0.0, 9.843218667166575, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,179.95999999999935,1381.670000000022,17996,138167,3.1480302000418305,31.555231300008018,3.9880952380952386,5.633481627418881,5.633481627418881,5633477.8782512145,3.749166666666653,0.0,0.0,0.0,5.714285714285714,3.9880952380952386,2.958878219437278,5.714285714285714,8.571428571428571,8.571428571428571,1.4230292184012276,1.8815563746861048,2.7148846217564175,5.916543688092912,5.633481627418881,2.6831541646798756,7.994285992213658,8.964005878993444,9.843218667166575,1.4230292184012276,1.8815563746861048,2.7148846217564175,5.916543688092912,5.633481627418881,2.6831541646798756,7.994285992213658,8.964005878993444,9.843218667166575,1.5700000000000012,2.0050000000000012,2.5899999999999888,2.914999999999982,3.749166666666653,2.9459335202200423,5.009999999999938,5.009999999999938,22.290000000000685,2.903612278882065,5.134596382710152,18.042275827689082,54.46983364969492,51.367552101301804,36.53329841174869,75.26379376277328,78.89047143906355,209.82206372881774,1423024.2084002276,1881551.3646851047,2714875.2917554174,5916541.468091913,5633477.8782512145,2683155.3358712452,7994282.332212659,8964003.005992442,9843215.617165575,1423024208400.2275,1881551364685.1047,2714875291755.4175,5916541468091.912,5633477878251.214,2683155335871.245,7994282332212.658,8964003005992.443,9843215617165.574,157.0,200.5,259.0,291.5,374.9166666666667,294.5933520219958,501.0,501.0,2229.0
6,9843215617165.574,8.571428571428571,9.843218667166575,9.843218667166575,3.049999999999979,0,1,82.93715347349644,305,9843215.617165575,"[0.0, 9.843218667166575, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,184.2399999999982,1565.91000000002,18424,156591,2.736551300040446,34.366242399963085,4.464285714285714,5.8244649569193525,5.8244649569193525,5824461.118585019,3.8383333333332956,0.0,0.0,2.857142857142857,5.714285714285714,4.464285714285714,3.025191847517396,5.714285714285714,8.571428571428571,8.571428571428571,1.8797465733119418,1.8830953325544084,3.0865560259137834,6.86236790248326,5.8244649569193525,2.667014583663369,8.127346720014302,8.927749633789062,9.843218667166575,1.8797465733119418,1.8830953325544084,3.0865560259137834,6.86236790248326,5.8244649569193525,2.667014583663369,8.127346720014302,8.927749633789062,9.843218667166575,1.9100000000000015,2.407999999999993,2.7824999999999847,2.99999999999998,3.8383333333332956,1.4121973618757417,5.009999999999938,5.805999999999921,7.809999999999878,5.134400827810168,5.135206976427435,18.875593865419432,61.645559418946505,49.20889636755434,28.608455197118317,75.61178680881858,78.4703650444746,82.93715347349644,1879741.563310942,1883090.3225534083,3086550.270912783,6862365.42248226,5824461.118585019,2667015.3091131,8127343.800013301,8927746.763788063,9843215.617165575,1879741563310.942,1883090322553.4084,3086550270912.783,6862365422482.26,5824461118585.019,2667015309113.0996,8127343800013.301,8927746763788.062,9843215617165.574,191.0,240.8,278.25,300.0,383.8333333333333,141.21973618757715,501.0,580.6,781.0
7,9843215617165.574,8.571428571428571,9.843218667166575,9.843218667166575,3.049999999999979,0,1,82.93715347349644,305,9843215.617165575,"[0.0, 9.843218667166575, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,191.60999999999802,1757.5200000000182,19161,175752,2.9092402000096627,37.37450779997744,4.107142857142858,5.6153118042718795,5.6153118042718795,5615307.812395879,3.991874999999959,0.0,0.0,2.857142857142857,2.857142857142857,4.107142857142858,2.8515570397627346,5.714285714285714,8.571428571428571,8.571428571428571,0.17038617815290177,1.883730207170759,3.069220951625279,5.3603444780622205,5.6153118042718795,2.810956525642309,8.207235336303711,9.240112849644252,9.843218667166575,0.17038617815290177,1.883730207170759,3.069220951625279,5.3603444780622205,5.6153118042718795,2.810956525642309,8.207235336303711,9.240112849644252,9.843218667166575,1.6700000000000013,2.621999999999988,2.817499999999984,4.334999999999952,3.991874999999959,1.3340971607701317,5.009999999999938,5.722999999999923,6.339999999999909,5.13456092227716,5.217684872607061,18.435060762587455,45.69828446021711,47.38885069963544,28.47248617664305,75.87205893360078,79.48676034659148,82.93715347349644,170381.16815190177,1883725.1971697588,3069215.5616242792,5360339.898061221,5615307.812395879,2810957.106225488,8207232.523802711,9240109.953643253,9843215.617165575,170381168151.90176,1883725197169.7588,3069215561624.2793,5360339898061.221,5615307812395.88,2810957106225.488,8207232523802.711,9240109953643.252,9843215617165.574,167.0,262.2,281.75,433.5,399.1875,133.40971607701593,501.0,572.3,634.0
8,9843215617165.574,8.571428571428571,9.843218667166575,9.843218667166575,3.049999999999979,0,1,82.93715347349644,305,9843215.617165575,"[0.0, 9.843218667166575, -3.049999999999979, -1.0]",0,48,48,0,47,1,47,1,188.16000000000054,1945.6800000000187,18816,194568,3.3339970000088215,40.80877740000142,3.8095238095238098,5.380590756734212,5.380590756734212,5380586.836733233,3.920000000000011,0.0,0.0,2.857142857142857,2.857142857142857,3.8095238095238098,2.7561516435214823,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.883103506905692,3.0477496555873325,5.173977443150111,5.380590756734212,2.729284165240278,7.18391145978655,8.905755451747352,9.843218667166575,0.0,1.883103506905692,3.0477496555873325,5.173977443150111,5.380590756734212,2.729284165240278,7.18391145978655,8.905755451747352,9.843218667166575,1.5600000000000012,1.9300000000000015,2.5024999999999906,2.9199999999999817,3.920000000000011,4.0234841866225866,5.009999999999938,5.009999999999938,30.00000000000189,4.941226122318767,5.13498727085098,27.033447662008257,46.36756939813495,51.675763772368555,44.40311070766285,72.1792611759156,80.35410771965981,293.60086614638567,-30.00000000000189,1883098.4969046921,3047743.8755863328,5173975.443149112,5380586.836733233,2729285.912015683,7183908.839785551,8905752.43374635,9843215.617165575,-30000000.00000189,1883098496904.6921,3047743875586.3325,5173975443149.111,5380586836733.233,2729285912015.6826,7183908839785.551,8905752433746.35,9843215617165.574,156.0,193.0,250.25,292.0,392.0,402.3484186622336,501.0,501.0,3000.0
9,9843215617165.574,8.571428571428571,9.843218667166575,9.843218667166575,3.049999999999979,0,1,82.93715347349644,305,9843215.617165575,"[0.0, 9.843218667166575, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,187.40999999999858,2133.0900000000174,18741,213309,2.8793206000118516,43.762615200015716,3.9880952380952386,5.514551401138306,5.514551401138306,5514547.4967623055,3.90437499999997,0.0,0.0,2.857142857142857,2.857142857142857,3.9880952380952386,2.6559894663479886,5.714285714285714,8.571428571428571,8.571428571428571,1.3032695225306918,1.883455548967634,3.0647100721086775,5.357145581926618,5.514551401138306,2.6058749627384654,7.627152715410505,9.236711774553573,9.843218667166575,1.3032695225306918,1.883455548967634,3.0647100721086775,5.357145581926618,5.514551401138306,2.6058749627384654,7.627152715410505,9.236711774553573,9.843218667166575,1.5300000000000011,1.7770000000000015,2.5649999999999893,2.9349999999999814,3.90437499999997,2.625179284552139,5.009999999999938,5.790999999999921,18.75000000000013,4.2493921142595354,5.135276852220704,18.439583300449158,46.80380190163851,48.899196341259085,33.51824880001438,73.95130676031113,80.95539418533446,180.60685588774504,1303264.512529692,1883450.5389666338,3064704.339607678,5357141.501925619,5514547.4967623055,2605875.7640179493,7627149.967909505,9236708.875552572,9843215.617165575,1303264512529.692,1883450538966.6338,3064704339607.6777,5357141501925.619,5514547496762.306,2605875764017.949,7627149967909.505,9236708875552.572,9843215617165.574,153.0,177.7,256.5,293.5,390.4375,262.5179284552136,501.0,579.1,1875.0
10,9843215617165.574,8.571428571428571,9.843218667166575,9.843218667166575,3.049999999999979,0,1,82.93715347349644,305,9843215.617165575,"[0.0, 9.843218667166575, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,167.71999999999855,2300.810000000016,16772,230081,2.487725800019689,46.339513699989766,5.0,6.613253525325232,6.613253525325232,6613250.031157563,3.4941666666666364,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.0,2.2961073240459418,5.714285714285714,8.571428571428571,8.571428571428571,1.882901872907366,3.044039045061384,5.284252166748047,7.146985190255301,6.613253525325232,2.178924146713531,8.094086647033691,9.36380113874163,9.843218667166575,1.882901872907366,3.044039045061384,5.284252166748047,7.146985190255301,6.613253525325232,2.178924146713531,8.094086647033691,9.36380113874163,9.843218667166575,1.8600000000000014,2.099999999999999,2.727499999999986,2.8849999999999825,3.4941666666666364,1.3580068626074064,5.009999999999938,5.761999999999921,6.339999999999909,5.135553226406046,18.146796487190294,45.230142345651984,69.68299534264952,58.15898028602836,22.648761254882455,75.80443361215293,80.33308867141605,82.93715347349644,1882896.8629063661,3044033.266060384,5284249.561747047,7146981.000254301,6613250.031157563,2178924.8031246755,8094083.752032692,9363798.223740632,9843215.617165575,1882896862906.3662,3044033266060.384,5284249561747.047,7146981000254.301,6613250031157.5625,2178924803124.6753,8094083752032.691,9363798223740.63,9843215617165.574,186.0,210.0,272.75,288.5,349.4166666666667,135.8006862607435,501.0,576.2,634.0
