generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,9069709562614.793,8.571428571428571,9.069712502615793,9.069712502615793,2.9399999999999813,0,1,78.96542206406593,294,9069709.562614793,"[0.0, 9.069712502615793, -2.9399999999999813, -1.0]",0,48,48,0,33,15,33,15,609.2600000000264,609.2600000000264,60926,60926,27.1303488999838,27.18131249997532,1.4285714285714286,2.179814577102661,2.179814577102661,2179801.884185307,12.692916666667216,0.0,0.0,0.0,0.0,1.4285714285714286,2.1821789023599236,2.857142857142857,5.714285714285714,8.571428571428571,0.0,0.0,0.0,1.8829154968261719,2.179814577102661,2.385613267159507,3.065061569213867,6.3326307024274575,9.069712502615793,0.0,0.0,0.0,1.8829154968261719,2.179814577102661,2.385613267159507,3.065061569213867,6.3326307024274575,9.069712502615793,2.0899999999999994,2.891999999999982,5.009999999999938,5.724999999999922,12.692916666667216,11.710048917905649,30.00000000000189,30.00000000000189,30.00000000000189,5.134408553072717,5.135132161743241,13.218147644201963,28.881919987372385,109.36610967645736,125.48153002487365,293.59861753162113,293.6010979419807,293.6037572182249,-30.00000000000189,-30.00000000000189,-30.00000000000189,1882910.4868251719,2179801.884185307,2385620.413798729,3065055.831712867,6332628.364426457,9069709.562614793,-30000000.00000189,-30000000.00000189,-30000000.00000189,1882910486825.1719,2179801884185.307,2385620413798.7285,3065055831712.867,6332628364426.458,9069709562614.793,209.0,289.2,501.0,572.5,1269.2916666666667,1171.004891790475,3000.0,3000.0,3000.0
2,9069709562614.793,8.571428571428571,9.069712502615793,9.069712502615793,2.9399999999999813,0,1,78.96542206406593,294,9069709.562614793,"[0.0, 9.069712502615793, -2.9399999999999813, -1.0]",0,48,48,0,47,1,47,1,238.14999999999952,847.4100000000259,23815,84741,6.230110000004061,33.48988879995886,3.9285714285714284,4.892055477414812,4.892055477414812,4892050.515955499,4.961458333333323,0.0,0.0,2.857142857142857,5.714285714285714,3.9285714285714284,2.516949346650711,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.7981970650809153,3.023003169468471,6.145362854003906,4.892055477414812,2.8380571326541264,7.170414924621583,7.995457785470147,9.069712502615793,0.0,0.7981970650809153,3.023003169468471,6.145362854003906,4.892055477414812,2.8380571326541264,7.170414924621583,7.995457785470147,9.069712502615793,2.4499999999999917,2.666999999999987,2.7374999999999856,5.009999999999938,4.961458333333323,3.9340394791188644,5.744999999999922,6.099999999999915,30.00000000000189,5.134410201339051,17.389026242330146,18.43769229229656,59.11261747597018,50.6674746188443,44.27735702506768,70.68104991130531,76.34427496120334,293.6002375019016,-30.00000000000189,798192.0550799153,3022997.306967471,6145356.739002906,4892050.515955499,2838059.058210782,7170411.522120583,7995454.3994691465,9069709.562614793,-30000000.00000189,798192055079.9153,3022997306967.4707,6145356739002.906,4892050515955.5,2838059058210.7817,7170411522120.583,7995454399469.146,9069709562614.793,245.0,266.7,273.75,501.0,496.1458333333333,393.4039479118618,574.5,610.0000000000001,3000.0
3,9271689648478.352,8.571428571428571,9.271692548479352,9.271692548479352,2.899999999999982,0,1,79.6638815626502,290,9271689.648478352,"[0.0, 9.271692548479352, -2.899999999999982, -1.0]",0,48,48,0,47,1,47,1,220.30999999999992,1067.7200000000257,22031,106772,7.814472500002012,41.42467709997436,3.869047619047619,5.235349734624227,5.235349734624227,5235345.144831581,4.589791666666665,0.0,0.0,0.0,5.714285714285714,3.869047619047619,2.8265976358532776,5.714285714285714,6.571428571428584,8.571428571428571,0.0,1.883507319859096,2.6158455439976285,5.824922834123884,5.235349734624227,2.803067059233963,7.632570266723633,8.396727698189874,9.271692548479352,0.0,1.883507319859096,2.6158455439976285,5.824922834123884,5.235349734624227,2.803067059233963,7.632570266723633,8.396727698189874,9.271692548479352,1.9100000000000015,2.4589999999999916,2.7424999999999855,2.9249999999999816,4.589791666666665,4.185304394338097,5.009999999999938,5.782999999999921,30.00000000000189,4.985975571151357,5.13453864856856,18.434360510960687,65.33857621997595,52.98720659736235,46.85228886566405,74.03324358724058,78.81254335418343,293.59862257074565,-13.740000999999753,1883502.3098580958,2615821.7914973786,5824920.614122884,5235345.144831581,2803068.8214231567,7632567.149222633,8396724.866188874,9271689.648478352,-13740000.999999752,1883502309858.096,2615821791497.3784,5824920614122.884,5235345144831.581,2803068821423.1567,7632567149222.633,8396724866188.874,9271689648478.352,191.0,245.9,274.25,292.5,458.9791666666667,418.5304394337871,501.0,578.3000000000001,3000.0
4,9575508457415.295,8.571428571428571,9.575511387416295,9.575511387416295,2.9299999999999815,0,1,80.99892648309469,293,9575508.457415296,"[0.0, 9.575511387416295, -2.9299999999999815, -1.0]",0,48,48,0,48,0,48,0,197.39999999999787,1265.1200000000235,19740,126512,6.405101999989711,47.96102299995255,5.0,6.346434411548432,6.346434411548432,6346430.299047433,4.112499999999955,0.0,0.0,2.857142857142857,5.714285714285714,5.0,2.7664166758624407,6.428571428571429,8.571428571428571,8.571428571428571,0.0,2.5592912946428577,3.0725111280168806,7.888003758021763,6.346434411548432,2.849337412831998,8.579431942531041,9.23631695338658,9.575511387416295,0.0,2.5592912946428577,3.0725111280168806,7.888003758021763,6.346434411548432,2.849337412831998,8.579431942531041,9.23631695338658,9.575511387416295,2.0300000000000007,2.7539999999999853,2.807499999999984,2.9299999999999815,4.112499999999955,2.090572589029095,5.187499999999934,5.812999999999921,13.619999999999754,5.13503532861796,18.435353775811382,19.81585799744971,74.84730107709765,57.463023566397474,27.79136559099944,77.48821893706918,79.66402540504933,97.37892444706085,-10.080000999999829,2559286.2846418577,3072505.4080158807,7888000.973020763,6346430.299047433,2849338.6513076476,8579428.30503004,9236314.053385578,9575508.457415296,-10080000.999999829,2559286284641.8574,3072505408015.8804,7888000973020.764,6346430299047.434,2849338651307.648,8579428305030.041,9236314053385.58,9575508457415.295,203.0,275.4,280.75,293.0,411.25,209.05725890291396,518.75,581.3000000000001,1362.0
5,9575508457415.295,8.571428571428571,9.575511387416295,9.575511387416295,2.9299999999999815,0,1,80.99892648309469,293,9575508.457415296,"[0.0, 9.575511387416295, -2.9299999999999815, -1.0]",0,48,48,0,48,0,48,0,188.3599999999982,1453.4800000000218,18836,145348,5.71850469999481,53.79874339996604,5.654761904761905,6.806210222698392,6.806210222698392,6806206.298530727,3.924166666666629,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.654761904761905,3.0016765912197543,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.699783325195313,5.013555799211774,8.221231188092911,6.806210222698392,2.822947491677215,8.888557297842844,9.291436876569474,9.575511387416295,0.0,2.699783325195313,5.013555799211774,8.221231188092911,6.806210222698392,2.822947491677215,8.888557297842844,9.291436876569474,9.575511387416295,1.9300000000000015,2.2209999999999965,2.8324999999999836,2.904999999999982,3.924166666666629,2.361587419277276,5.009999999999938,5.998999999999917,16.56999999999979,5.134595808835002,18.4364717697601,44.197047762572765,76.22875758912414,63.01885992543779,27.5581584601928,78.8498050365597,80.14827776774764,144.91211836843286,-16.57000099999979,2699777.7761943126,5013553.854210774,8221226.8030919125,6806206.298530727,2822948.936428795,8888554.425341845,9291433.938568475,9575508.457415296,-16570000.999999791,2699777776194.313,5013553854210.774,8221226803091.912,6806206298530.727,2822948936428.7954,8888554425341.844,9291433938568.475,9575508457415.295,193.0,222.1,283.25,290.5,392.4166666666667,236.15874192773148,501.0,599.9000000000001,1657.0
6,9744308781419.201,8.571428571428571,9.744311741420201,9.744311741420201,2.959999999999981,0,1,82.18084735423326,296,9744308.7814192,"[0.0, 9.744311741420201, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,171.84999999999843,1625.3300000000204,17185,162533,4.496502299967688,58.37631549994694,5.476190476190477,6.710229657945178,6.710229657945178,6710226.077735845,3.580208333333301,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.476190476190477,2.7251245576808563,8.571428571428571,8.571428571428571,8.571428571428571,1.8818392072405135,3.038305010114397,4.472718920026506,7.7939156123570035,6.710229657945178,2.538422279419145,8.756919588361468,9.284932000296457,9.744311741420201,1.8818392072405135,3.038305010114397,4.472718920026506,7.7939156123570035,6.710229657945178,2.538422279419145,8.756919588361468,9.284932000296457,9.744311741420201,1.7500000000000013,1.9580000000000015,2.7899999999999845,2.914999999999982,3.580208333333301,1.3398483894072297,4.7624999999999424,5.812999999999921,5.979999999999917,5.134713673585793,18.438107488365496,36.4299674872309,74.27611359208822,57.6915420970181,25.95793115520479,77.89817386120558,80.01655948087574,82.18084735423326,1881834.1972395135,3038299.197113397,4472717.147525506,7793912.827356003,6710226.077735845,2538422.8164412025,8756916.728360469,9284929.091295457,9744308.7814192,1881834197239.5134,3038299197113.397,4472717147525.506,7793912827356.004,6710226077735.847,2538422816441.202,8756916728360.468,9284929091295.457,9744308781419.201,175.0,195.8,279.0,291.5,358.0208333333333,133.98483894072575,476.25,581.3,598.0
7,9787199602603.633,8.571428571428571,9.787202562604632,9.787202562604632,2.959999999999981,0,1,82.34263686835766,296,9787199.602603633,"[0.0, 9.787202562604632, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,193.52999999999798,1818.8600000000183,19353,181886,5.653140199952759,64.12855519994628,4.583333333333333,5.967251289458503,5.967251289458503,5967247.257582503,4.031874999999958,0.0,0.0,2.857142857142857,4.285714285714286,4.583333333333333,3.2335182989383497,8.571428571428571,8.571428571428571,8.571428571428571,1.7433874947684151,1.8827122279575894,3.046023505074637,6.090403965541295,5.967251289458503,3.0300581854976394,8.930309840611049,9.466650281633651,9.787202562604632,1.7433874947684151,1.8827122279575894,3.046023505074637,6.090403965541295,5.967251289458503,3.0300581854976394,8.930309840611049,9.466650281633651,9.787202562604632,1.6200000000000012,2.721999999999986,2.854999999999983,2.959999999999981,4.031874999999958,2.0175084223801467,5.009999999999938,5.7729999999999215,14.619999999999733,5.134395717577718,5.13523854822779,18.438466284875176,66.80825187731534,50.07138273876717,31.277317961792438,78.88937783800066,81.05830009356141,90.24405282332009,1743382.484767415,1882707.2179565893,3046017.720073637,6090400.160540296,5967247.257582503,3030059.155564464,8930306.968110051,9466647.35863265,9787199.602603633,1743382484767.415,1882707217956.5894,3046017720073.637,6090400160540.295,5967247257582.503,3030059155564.4644,8930306968110.05,9466647358632.65,9787199602603.633,162.0,272.2,285.5,296.0,403.1875,201.75084223801892,501.0,577.3,1462.0
8,9787199602603.633,8.571428571428571,9.787202562604632,9.787202562604632,2.959999999999981,0,1,82.34263686835766,296,9787199.602603633,"[0.0, 9.787202562604632, -2.959999999999981, -1.0]",0,48,48,0,47,1,47,1,177.9700000000008,1996.830000000019,17797,199683,5.165799200010952,69.40719229995739,6.25,7.680021524429321,7.680021524429321,7680017.816720009,3.70770833333335,0.0,2.0000000000000004,5.714285714285714,8.571428571428571,6.25,2.8959419178976527,8.571428571428571,8.571428571428571,8.571428571428571,1.8835394723074776,4.243747166224889,7.548539979117257,8.721113204956055,7.680021524429321,2.3156447727226337,9.315766607012069,9.570269448416575,9.787202562604632,1.8835394723074776,4.243747166224889,7.548539979117257,8.721113204956055,7.680021524429321,2.3156447727226337,9.315766607012069,9.570269448416575,9.787202562604632,1.8900000000000015,2.186999999999997,2.8299999999999836,2.904999999999982,3.70770833333335,3.9445644244030222,3.0299999999999794,5.009999999999938,30.00000000000189,5.134454975835979,40.68128852173686,74.10428317449987,77.75325713679194,72.08172339703515,37.30980449478377,80.10803640633821,81.33368528559804,279.8172182666167,1883534.4623064776,4243736.843224188,7548537.159116258,8721110.334955055,7680017.816720009,2315646.1340319584,9315762.902011067,9570266.358415574,9787199.602603633,1883534462306.4775,4243736843224.1885,7548537159116.258,8721110334955.055,7680017816720.009,2315646134031.9585,9315762902011.068,9570266358415.574,9787199602603.633,189.0,218.70000000000002,283.0,290.5,370.7708333333333,394.4564424402761,303.0,501.0,3000.0
9,10383343857356.7,8.571428571428571,10.3833498273577,10.3833498273577,5.969999999999917,0,1,87.2710804566741,597,10383343.8573567,"[0.0, 10.3833498273577, -5.969999999999917, -1.0]",0,48,48,0,46,2,46,2,206.1000000000027,2202.9300000000217,20610,220293,5.829520800034516,75.34373389999382,5.059523809523809,6.600133123851958,6.600133123851958,6600128.830100998,4.293750000000056,0.0,0.0,2.857142857142857,5.714285714285714,5.059523809523809,3.099241915939241,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.857142857142857,4.89734240940639,7.2259834834507535,6.600133123851958,2.720611045660795,8.899536132812498,9.681140354701451,10.3833498273577,0.0,2.857142857142857,4.89734240940639,7.2259834834507535,6.600133123851958,2.720611045660795,8.899536132812498,9.681140354701451,10.3833498273577,1.7900000000000014,2.0340000000000007,2.2324999999999964,2.8949999999999823,4.293750000000056,5.490049569069242,3.5824999999999676,5.762999999999922,30.00000000000189,5.1357870171632385,18.857922778619105,44.42915307357907,74.63705334439874,67.95327630431181,52.71030402527025,79.24189985916018,82.26681778281927,292.9040449124295,-5.010000999999938,2857112.8571428573,4897340.25440539,7225980.818449753,6600128.830100998,2720612.9349779054,8899533.2553115,9681137.31270045,10383343.8573567,-5010000.999999938,2857112857142.8574,4897340254405.39,7225980818449.754,6600128830101.0,2720612934977.9053,8899533255311.5,9681137312700.451,10383343857356.7,179.0,203.4,223.25,289.5,429.375,549.0049569068874,358.25,576.3,3000.0
10,10383343857356.7,8.571428571428571,10.3833498273577,10.3833498273577,5.969999999999917,0,1,87.2710804566741,597,10383343.8573567,"[0.0, 10.3833498273577, -5.969999999999917, -1.0]",0,48,48,0,48,0,48,0,180.4700000000001,2383.400000000022,18047,238340,5.064128400001209,80.49491209996631,5.059523809523809,6.478060938063122,6.478060938063122,6478057.1782704545,3.759791666666669,0.0,2.857142857142857,2.857142857142857,4.285714285714286,5.059523809523809,2.9299986843426113,8.571428571428571,8.571428571428571,8.571428571428571,1.877931867327009,2.997362954275949,4.862322126116072,6.327026912144252,6.478060938063122,2.4953473215402036,8.911163466317314,9.353789738246371,10.3833498273577,1.877931867327009,2.997362954275949,4.862322126116072,6.327026912144252,6.478060938063122,2.4953473215402036,8.911163466317314,9.353789738246371,10.3833498273577,1.6600000000000013,1.9940000000000013,2.4574999999999916,2.869999999999983,3.759791666666669,3.61169136831094,3.4124999999999712,5.882999999999919,26.440000000001334,5.135353066390962,18.44820100708457,41.92027551504725,68.90441826730967,59.64245068994569,33.84391318210515,78.44867477379739,80.85646981298923,222.21525289070996,1877926.8573260088,2997356.9982749484,4862319.843615072,6327024.557143252,6478057.1782704545,2495348.0427550925,8911160.593816314,9353785.064245371,10383343.8573567,1877926857326.0088,2997356998274.9487,4862319843615.072,6327024557143.252,6478057178270.456,2495348042755.093,8911160593816.312,9353785064245.371,10383343857356.7,166.0,199.4,245.75,287.0,375.9791666666667,361.1691368310775,341.25,588.3,2644.0
