generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,9188757594707.426,8.571428571428571,9.188763754708425,9.188763754708425,6.159999999999913,0,1,78.87353210896254,616,9188757.594707426,"[0.0, 9.188763754708425, -6.159999999999913, -1.0]",0,48,48,0,39,9,39,9,444.880000000015,444.880000000015,44488,44488,21.265605600026902,21.327422700007446,2.3214285714285716,3.3647007033938454,3.3647007033938454,3364691.4350596997,9.268333333333645,0.0,0.0,0.0,0.0,2.3214285714285716,2.836607751772347,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.8835626329694477,2.8430393763950894,3.3647007033938454,2.715536403753686,6.164966310773577,7.212515967232841,9.188763754708425,0.0,0.0,1.8835626329694477,2.8430393763950894,3.3647007033938454,2.715536403753686,6.164966310773577,7.212515967232841,9.188763754708425,2.2699999999999956,2.5869999999999886,4.564999999999947,5.009999999999938,9.268333333333645,10.027529675294106,5.729999999999922,30.00000000000189,30.00000000000189,5.134416379733011,5.134745629776444,5.139827105969744,18.435813877396868,79.55458860501358,104.50673951353468,73.88858349621296,293.60048457679807,293.6068545235321,-30.00000000000189,-30.00000000000189,1883557.6229684479,2843034.366394089,3364691.4350596997,2715542.496243663,6164963.980772578,7212513.284231841,9188757.594707426,-30000000.00000189,-30000000.00000189,1883557622968.4478,2843034366394.089,3364691435059.699,2715542496243.663,6164963980772.578,7212513284231.84,9188757594707.426,227.0,258.7,456.5,501.0,926.8333333333334,1002.7529675293355,573.0,3000.0,3000.0
2,9244515380028.297,8.571428571428571,9.244518280029297,9.244518280029297,2.899999999999982,0,1,79.66343411058187,290,9244515.380028296,"[0.0, 9.244518280029297, -2.899999999999982, -1.0]",0,48,48,0,48,0,48,0,150.6499999999989,595.5300000000138,15065,59553,4.488521400024183,25.909119300020393,5.476190476190477,6.852832692010062,6.852832692010062,6852829.553467396,3.1385416666666437,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.476190476190477,1.9195851781663213,5.714285714285714,8.571428571428571,8.571428571428571,1.8834304809570312,3.073468344552176,7.142746789114815,7.142857142857142,6.852832692010062,1.8050849354396308,7.541512080601284,8.684345245361328,9.244518280029297,1.8834304809570312,3.073468344552176,7.142746789114815,7.142857142857142,6.852832692010062,1.8050849354396308,7.541512080601284,8.684345245361328,9.244518280029297,2.1299999999999986,2.566999999999989,2.622499999999988,2.714999999999986,3.1385416666666437,1.026098983170651,2.9199999999999817,5.009999999999938,6.159999999999913,5.13440106343478,18.442449145198044,64.96708332933486,69.31410567462444,62.35850611011119,20.094330478422798,72.66202087886631,77.45915498062968,79.66343411058187,1883425.4709560312,3073462.6315511763,7142743.111613816,7142854.562856142,6852829.553467396,1805085.5955186437,7541509.273100284,8684342.395360328,9244515.380028296,1883425470956.0312,3073462631551.1763,7142743111613.815,7142854562856.143,6852829553467.3955,1805085595518.6438,7541509273100.283,8684342395360.328,9244515380028.297,213.0,256.7,262.25,271.5,313.8541666666667,102.60989831706729,292.0,501.0,616.0
3,9244515380028.297,8.571428571428571,9.244518280029297,9.244518280029297,2.899999999999982,0,1,79.66343411058187,290,9244515.380028296,"[0.0, 9.244518280029297, -2.899999999999982, -1.0]",0,48,48,0,48,0,48,0,159.37999999999872,754.9100000000126,15938,75491,5.034828300005756,31.05596399999922,5.773809523809523,7.3826533272152846,7.3826533272152846,7382650.006797619,3.32041666666664,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,5.773809523809523,1.5960818664038001,5.714285714285714,8.571428571428571,8.571428571428571,3.026678902762277,4.704378400530135,7.210076195853097,7.91419301714216,7.3826533272152846,1.652443461596583,8.300329617091586,8.882074356079102,9.244518280029297,3.026678902762277,4.704378400530135,7.210076195853097,7.91419301714216,7.3826533272152846,1.652443461596583,8.300329617091586,8.882074356079102,9.244518280029297,2.0500000000000003,2.6769999999999867,2.7299999999999858,2.819999999999984,3.32041666666664,1.211844252804581,2.9274999999999816,5.715999999999923,6.989999999999895,18.434908690920565,37.981502107251444,70.40007982216775,74.63107484206557,67.38771758932687,17.7172646854913,76.29075093753636,78.03019815310836,79.66343411058187,3026673.0527612767,4704375.252529134,7210073.493352097,7914190.23214116,7382650.006797619,1652444.1191947511,8300326.652090588,8882071.3850781,9244515.380028296,3026673052761.277,4704375252529.135,7210073493352.098,7914190232141.16,7382650006797.618,1652444119194.7512,8300326652090.587,8882071385078.102,9244515380028.297,205.0,267.7,273.0,282.0,332.0416666666667,121.18442528046067,292.75,571.6,699.0
4,9310910175936.5,8.571428571428571,9.3109130859375,9.3109130859375,2.909999999999982,0,1,80.1082128956914,291,9310910.1759365,"[0.0, 9.3109130859375, -2.909999999999982, -1.0]",0,48,48,0,48,0,48,0,154.69999999999882,909.6100000000114,15470,90961,4.647605400008615,35.8263592000003,6.25,7.50996050380525,7.50996050380525,7509957.280887584,3.222916666666642,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.25,2.5190599963689078,8.571428571428571,8.571428571428571,8.571428571428571,1.8827002389090401,3.0503202165876115,7.536044801984515,8.436722074236188,7.50996050380525,2.195581848236191,8.929550988333565,9.198443821498325,9.3109130859375,1.8827002389090401,3.0503202165876115,7.536044801984515,8.436722074236188,7.50996050380525,2.195581848236191,8.929550988333565,9.198443821498325,9.3109130859375,1.6800000000000013,2.7299999999999858,2.807499999999984,2.859999999999983,3.222916666666642,1.0461217231862536,2.899999999999982,5.015999999999938,6.159999999999913,5.135270977021719,18.443250199837347,72.46103057265282,76.80234484374523,66.11050830810639,22.770131417249367,78.33802337013185,79.31149667724966,80.1082128956914,1882695.22890804,3050314.4365866114,7536041.996983514,8436719.239235189,7509957.280887584,2195582.4154245444,8929548.118332565,9198438.639497325,9310910.1759365,1882695228908.04,3050314436586.6113,7536041996983.515,8436719239235.188,7509957280887.585,2195582415424.5444,8929548118332.566,9198438639497.326,9310910175936.5,168.0,273.0,280.75,286.0,322.2916666666667,104.61217231862756,290.0,501.6,616.0
5,9567884512451.568,8.571428571428571,9.567887442452568,9.567887442452568,2.9299999999999815,0,1,80.99913089722395,293,9567884.512451569,"[0.0, 9.567887442452568, -2.9299999999999815, -1.0]",0,48,48,0,48,0,48,0,155.89999999999878,1065.5100000000102,15590,106551,3.8980722000123933,39.846348399994895,6.666666666666667,7.8702438445318315,7.8702438445318315,7870240.596614164,3.2479166666666415,0.0,2.857142857142857,5.714285714285714,8.571428571428571,6.666666666666667,2.357022603955158,8.571428571428571,8.571428571428571,8.571428571428571,1.8819754464285716,4.521243504115514,7.815544264657156,8.651515415736608,7.8702438445318315,1.9542303444519902,8.97470133645194,9.252174649919782,9.567887442452568,1.8819754464285716,4.521243504115514,7.815544264657156,8.651515415736608,7.8702438445318315,1.9542303444519902,8.97470133645194,9.252174649919782,9.567887442452568,1.6600000000000013,2.7509999999999852,2.819999999999984,2.859999999999983,3.2479166666666415,1.16241121226046,2.909999999999982,5.009999999999938,7.859999999999877,5.135221959615592,36.90268047600985,74.30792731977999,77.45905999839306,69.37330540700107,19.878223214834822,78.77872770093381,79.66414050608873,80.99913089722395,1881970.4364275716,4521241.718114514,7815541.487156156,8651512.565735608,7870240.596614164,1954230.6600217842,8974698.45645094,9252168.277918782,9567884.512451569,1881970436427.5715,4521241718114.514,7815541487156.156,8651512565735.607,7870240596614.164,1954230660021.7842,8974698456450.94,9252168277918.783,9567884512451.568,166.0,275.1,282.0,286.0,324.7916666666667,116.24112122604843,291.0,501.0,786.0
6,9711856616823.775,8.571428571428571,9.711859566824776,9.711859566824776,2.949999999999981,0,1,81.89410031586885,295,9711856.616823776,"[0.0, 9.711859566824776, -2.949999999999981, -1.0]",0,48,48,0,48,0,48,0,150.84999999999891,1216.3600000000092,15085,121636,4.4043532000505365,44.35542560002068,6.845238095238095,7.91335389727638,7.91335389727638,7913350.754567046,3.1427083333333106,0.0,2.857142857142857,5.714285714285714,8.571428571428571,6.845238095238095,2.524679769101011,8.571428571428571,8.571428571428571,8.571428571428571,1.8829781668526786,4.562471117292132,7.817035402570452,8.84828839983259,7.91335389727638,2.0654870481332868,9.23388957977295,9.410820279802595,9.711859566824776,1.8829781668526786,4.562471117292132,7.817035402570452,8.84828839983259,7.91335389727638,2.0654870481332868,9.23388957977295,9.410820279802595,9.711859566824776,1.6900000000000013,2.4199999999999924,2.8374999999999835,2.8849999999999825,3.1427083333333106,0.9367446725747552,2.9349999999999814,4.834999999999942,6.31999999999991,5.135122120307642,37.34828187078237,74.10347310081124,78.03842062875628,68.63058201508284,20.129234797956933,79.66377324424684,80.31599481031299,81.89410031586885,1882973.1568516786,4562468.361291133,7817032.630069452,8848285.534831591,7913350.754567046,2065487.3832723377,9233886.644771948,9410817.359801596,9711856.616823776,1882973156851.6787,4562468361291.133,7817032630069.452,8848285534831.59,7913350754567.046,2065487383272.3376,9233886644771.95,9410817359801.596,9711856616823.775,169.0,242.0,283.75,288.5,314.2708333333333,93.67446725747749,293.5,483.5000000000001,632.0
7,9711856616823.775,8.571428571428571,9.711859566824776,9.711859566824776,2.949999999999981,0,1,81.89410031586885,295,9711856.616823776,"[0.0, 9.711859566824776, -2.949999999999981, -1.0]",0,48,48,0,48,0,48,0,136.0999999999992,1352.4600000000084,13610,135246,4.016971699951682,48.51731069997186,7.261904761904762,8.297360794884817,8.297360794884817,8297357.95946715,2.83541666666665,2.857142857142857,2.857142857142857,5.714285714285714,8.571428571428571,7.261904761904762,2.099427629589095,8.571428571428571,8.571428571428571,8.571428571428571,3.0347606113978793,5.496861049107143,8.226035663059779,8.967846461704799,8.297360794884817,1.621602266753241,9.317910330636161,9.572254180908203,9.711859566824776,3.0347606113978793,5.496861049107143,8.226035663059779,8.967846461704799,8.297360794884817,1.621602266753241,9.317910330636161,9.572254180908203,9.711859566824776,1.6600000000000013,2.158999999999998,2.8374999999999835,2.8799999999999826,2.83541666666665,0.5278926592804741,2.912499999999982,2.949999999999981,5.81999999999992,18.439102356045623,47.36259985119104,75.93133382871747,78.33843329921365,72.22133351359328,14.628654665756038,79.77526520937681,81.04644505307078,81.89410031586885,3034754.7913968796,5496858.954106144,8226032.84805878,8967843.5917038,8297357.95946715,1621602.2425339033,9317907.42813516,9572251.244907204,9711856.616823776,3034754791396.8794,5496858954106.144,8226032848058.779,8967843591703.8,8297357959467.151,1621602242533.9033,9317907428135.16,9572251244907.205,9711856616823.775,166.0,215.9,283.75,288.0,283.5416666666667,52.7892659280485,291.25,295.0,582.0
8,9711856616823.775,8.571428571428571,9.711859566824776,9.711859566824776,2.949999999999981,0,1,81.89410031586885,295,9711856.616823776,"[0.0, 9.711859566824776, -2.949999999999981, -1.0]",0,48,48,0,48,0,48,0,137.36999999999918,1489.8300000000077,13737,148983,4.121310399961658,52.75592989998404,6.011904761904762,7.4732450644175215,7.4732450644175215,7473242.202541522,2.861874999999983,0.0,2.857142857142857,2.857142857142857,8.571428571428571,6.011904761904762,3.0438732560822848,8.571428571428571,8.571428571428571,8.571428571428571,1.882291521344866,4.941929953438896,5.472923006330218,8.76122202192034,7.4732450644175215,2.400817519355871,9.447962897164482,9.567714963640485,9.711859566824776,1.882291521344866,4.941929953438896,5.472923006330218,8.76122202192034,7.4732450644175215,2.400817519355871,9.447962897164482,9.567714963640485,9.711859566824776,1.8900000000000015,2.0500000000000003,2.5549999999999895,2.8849999999999825,2.861874999999983,0.7466554768041571,2.9399999999999813,3.04299999999998,5.009999999999938,5.135068430143292,41.33306284993887,47.09162232838571,77.89827671274543,63.88740984126798,23.18850666391381,80.5526825580746,81.19260928854347,81.89410031586885,1882286.5113438661,4941927.496437896,5472920.918829218,8761219.16691934,7473242.202541522,2400817.723065813,9447959.962163482,9567712.023639485,9711856.616823776,1882286511343.8662,4941927496437.8955,5472920918829.218,8761219166919.34,7473242202541.5205,2400817723065.813,9447959962163.482,9567712023639.484,9711856616823.775,189.0,205.0,255.5,288.5,286.1875,74.66554768041729,294.0,304.30000000000007,501.0
9,10261450535801.176,8.571428571428571,10.261456625802175,10.261456625802175,6.089999999999915,0,1,85.92398660443723,609,10261450.535801176,"[0.0, 10.261456625802175, -6.089999999999915, -1.0]",0,48,48,0,48,0,48,0,148.39999999999895,1638.2300000000066,14840,163823,4.50604949996341,57.38312319997931,5.2976190476190474,6.819235256740026,6.819235256740026,6819232.165072359,3.091666666666645,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.2976190476190474,3.1401277831214234,8.571428571428571,8.571428571428571,8.571428571428571,1.882051740373884,2.6358718872070312,5.069168635777065,7.676674979073661,6.819235256740026,2.704658272159578,9.4069698878697,9.695554460797991,10.261456625802175,1.882051740373884,2.6358718872070312,5.069168635777065,7.676674979073661,6.819235256740026,2.704658272159578,9.4069698878697,9.695554460797991,10.261456625802175,1.7100000000000013,1.9910000000000014,2.0974999999999993,2.8799999999999826,3.091666666666645,1.2207482905533094,2.952499999999981,5.009999999999938,6.1399999999999135,5.135047505245893,14.498675098193782,42.72674713656306,70.03846425935626,57.16874997157053,26.07065937917479,80.4395839702338,81.89380504339934,85.92398660443723,1882046.7303728838,2635866.086206031,5069166.600776065,7676672.30407266,6819232.165072359,2704658.513067119,9406966.8053687,9695551.510796992,10261450.535801176,1882046730372.8838,2635866086206.0312,5069166600776.065,7676672304072.66,6819232165072.359,2704658513067.118,9406966805368.7,9695551510796.99,10261450535801.176,171.0,199.1,209.75,288.0,309.1666666666667,122.07482905533347,295.25,501.0,614.0
10,10261450535801.176,8.571428571428571,10.261456625802175,10.261456625802175,6.089999999999915,0,1,85.92398660443723,609,10261450.535801176,"[0.0, 10.261456625802175, -6.089999999999915, -1.0]",0,48,48,0,48,0,48,0,142.07999999999907,1780.3100000000056,14208,178031,4.325397000007797,61.821456799982116,5.416666666666667,6.9423860027676545,6.9423860027676545,6942383.042766653,2.959999999999981,0.0,0.0,2.857142857142857,5.714285714285714,5.416666666666667,3.207112807862903,8.571428571428571,8.571428571428571,8.571428571428571,1.8825476510184154,1.889047350202288,5.176211765834263,7.84947395324707,6.9423860027676545,2.6739296072692937,9.371182577950613,9.681315285818918,10.261456625802175,1.8825476510184154,1.889047350202288,5.176211765834263,7.84947395324707,6.9423860027676545,2.6739296072692937,9.371182577950613,9.681315285818918,10.261456625802175,1.7300000000000013,1.9840000000000015,2.0849999999999995,2.899999999999982,2.959999999999981,1.0100577541242997,2.949999999999981,5.009999999999938,6.089999999999915,5.134997677145293,5.261705660621374,43.928684048354626,73.79031464457512,58.56990112354166,25.931436460820876,80.10813454724848,81.5802935935557,85.92398660443723,1882542.6410174153,1889042.3402012882,5176209.768333263,7849471.05824607,6942383.042766653,2673929.83141123,9371179.667949613,9681312.342817917,10261450.535801176,1882542641017.4153,1889042340201.288,5176209768333.263,7849471058246.07,6942383042766.653,2673929831411.2295,9371179667949.613,9681312342817.918,10261450535801.176,173.0,198.4,208.5,290.0,296.0,101.00577541243207,295.0,501.0,609.0
