generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8444115669754.859,5.714285714285714,8.44411849975586,8.44411849975586,2.8299999999999836,0,1,76.58385527133942,283,8444115.669754859,"[0.0, 8.44411849975586, -2.8299999999999836, -1.0]",0,48,48,0,45,3,45,3,305.0900000000031,305.0900000000031,30509,30509,13.358159200055525,13.434411499998532,2.4404761904761902,3.4197052319844565,3.4197052319844565,3419698.8759418526,6.356041666666731,0.0,0.0,0.0,2.857142857142857,2.4404761904761902,2.257985325998888,3.5714285714285716,5.714285714285714,5.714285714285714,0.0,0.38064466203962055,1.8836212158203123,3.0657277788434714,3.4197052319844565,2.5307347992057565,4.03071403503418,7.142857142857142,8.44411849975586,0.0,0.38064466203962055,1.8836212158203123,3.0657277788434714,3.4197052319844565,2.5307347992057565,4.03071403503418,7.142857142857142,8.44411849975586,2.479999999999991,2.633999999999988,5.009999999999938,5.009999999999938,6.356041666666731,6.222818138239532,5.7199999999999225,5.768999999999922,30.00000000000189,5.1344001442193985,5.134846923423174,13.413018295646907,18.435226191722904,45.028041644289864,68.50821000819414,64.29842557571828,75.35506307855249,293.60157587204594,-30.00000000000189,380639.65203862055,1883616.2058193123,3065722.048842471,3419698.8759418526,2530737.696808682,4030709.1325331796,7142854.571856143,8444115.669754859,-30000000.00000189,380639652038.62054,1883616205819.3123,3065722048842.471,3419698875941.852,2530737696808.6816,4030709132533.1797,7142854571856.143,8444115669754.859,248.0,263.4,501.0,501.0,635.6041666666666,622.2818138239076,572.0,576.9,3000.0
2,8963579295117.584,8.571428571428571,8.963582175118583,8.963582175118583,2.8799999999999826,0,1,78.77900652587414,288,8963579.295117583,"[0.0, 8.963582175118583, -2.8799999999999826, -1.0]",0,48,48,0,46,2,46,2,256.4700000000016,561.5600000000047,25647,56156,3.706174799997825,17.222453100024723,3.5714285714285716,4.779362848826817,4.779362848826817,4779357.505700858,5.343125000000033,0.0,0.0,2.857142857142857,2.857142857142857,3.5714285714285716,2.369017707396714,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.723937443324498,3.05370603288923,5.066016060965402,4.779362848826817,2.5207232134293918,7.142857142857142,7.453545161655971,8.963582175118583,0.0,1.723937443324498,3.05370603288923,5.066016060965402,4.779362848826817,2.5207232134293918,7.142857142857142,7.453545161655971,8.963582175118583,1.9600000000000015,2.573999999999989,2.677499999999987,5.009999999999938,5.343125000000033,5.352194704141989,5.712499999999922,6.030999999999917,30.00000000000189,3.6205516408226686,14.354324333568366,18.43504295260209,53.57526687346399,53.40080134669491,55.9859433746173,68.16631279699504,73.55213716030123,293.6015338471625,-30.00000000000189,1723932.433323498,3053700.26788823,5066013.900964402,4779357.505700858,2520726.2002089503,7142854.512856143,7453541.969654971,8963579.295117583,-30000000.00000189,1723932433323.498,3053700267888.23,5066013900964.402,4779357505700.858,2520726200208.9507,7142854512856.143,7453541969654.971,8963579295117.584,196.0,257.4,267.75,501.0,534.3125,535.2194704141626,571.25,603.1000000000001,3000.0
3,8963579295117.584,8.571428571428571,8.963582175118583,8.963582175118583,2.8799999999999826,0,1,78.77900652587414,288,8963579.295117583,"[0.0, 8.963582175118583, -2.8799999999999826, -1.0]",0,48,48,0,47,1,47,1,216.2,777.7600000000048,21620,77776,3.8249086999567226,21.131529700011015,4.107142857142858,5.445559308642433,5.445559308642433,5445554.804474787,4.504166666666666,0.0,0.0,2.857142857142857,5.714285714285714,4.107142857142858,2.467906243050938,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8836936950683592,3.073079245431083,7.142857142857142,5.445559308642433,2.559219781198996,7.151972225734165,7.654142379760744,8.963582175118583,0.0,1.8836936950683592,3.073079245431083,7.142857142857142,5.445559308642433,2.559219781198996,7.151972225734165,7.654142379760744,8.963582175118583,2.2299999999999964,2.606999999999988,2.667499999999987,3.7199999999999647,4.504166666666666,3.971879715226053,5.009999999999938,5.806999999999922,30.00000000000189,5.134400378912687,5.134825676557375,18.435044213198125,66.67062875255942,54.33278878789997,44.18273005400379,70.26387683674693,74.96514000818134,293.6008045343915,-30.00000000000189,1883688.6850673591,3073073.5329300826,7142853.152856143,5445554.804474787,2559221.8796636444,7151969.643233166,7654139.624759744,8963579.295117583,-30000000.00000189,1883688685067.3591,3073073532930.083,7142853152856.143,5445554804474.786,2559221879663.644,7151969643233.166,7654139624759.744,8963579295117.584,223.0,260.7,266.75,372.0,450.4166666666667,397.1879715225805,501.0,580.7000000000002,3000.0
4,9550219739327.96,8.571428571428571,9.550222669328962,9.550222669328962,2.9299999999999815,0,1,80.99845842272043,293,9550219.739327962,"[0.0, 9.550222669328962, -2.9299999999999815, -1.0]",0,48,48,0,48,0,48,0,158.98999999999873,936.7500000000035,15899,93675,2.153463499969803,23.352788100019097,4.821428571428572,6.328231039501373,6.328231039501373,6328227.727208705,3.31229166666664,0.0,0.0,2.857142857142857,5.714285714285714,4.821428571428572,2.6183711247527106,5.714285714285714,8.571428571428571,8.571428571428571,1.8830217633928572,1.883730207170759,5.180907930646624,7.142857142857142,6.328231039501373,2.410624397594213,7.849076816013881,8.88897786821638,9.550222669328962,1.8830217633928572,1.883730207170759,5.180907930646624,7.142857142857142,6.328231039501373,2.410624397594213,7.849076816013881,8.88897786821638,9.550222669328962,1.9100000000000015,2.388999999999993,2.662499999999987,2.864999999999983,3.31229166666664,1.0641550630729721,3.8799999999999613,5.009999999999938,5.789999999999921,5.134410728467628,5.134814965404803,43.92862449400127,68.27011015638709,55.650486040716864,26.562366116177152,74.31842189282179,78.30490579530597,80.99845842272043,1883016.7533918573,1883725.1971697588,5180905.933145624,7142854.507856143,6328227.727208705,2410625.1331955465,7849072.646012881,8888974.883215379,9550219.739327962,1883016753391.8572,1883725197169.7588,5180905933145.624,7142854507856.143,6328227727208.706,2410625133195.5464,7849072646012.881,8888974883215.379,9550219739327.96,191.0,238.9,266.25,286.5,331.2291666666667,106.41550630729945,388.0,501.0,579.0
5,9748229705251.512,8.571428571428571,9.748232705252512,9.748232705252512,2.99999999999998,0,1,82.0978389158845,300,9748229.705251511,"[0.0, 9.748232705252512, -2.99999999999998, -1.0]",0,48,48,0,48,0,48,0,190.1600000000001,1126.9100000000037,19016,112691,3.2175181999919005,26.6571677000029,5.476190476190475,6.882725329626175,6.882725329626175,6882721.3679585075,3.961666666666669,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.476190476190475,2.7251245576808563,8.571428571428571,8.571428571428571,8.571428571428571,0.4465757097516741,2.9911226545061385,5.314219338553293,7.663308552333287,6.882725329626175,2.4543072760331373,8.735572269984655,9.240593501499722,9.748232705252512,0.4465757097516741,2.9911226545061385,5.314219338553293,7.663308552333287,6.882725329626175,2.4543072760331373,8.735572269984655,9.240593501499722,9.748232705252512,1.8900000000000015,2.53999999999999,2.7874999999999845,2.8799999999999826,3.961666666666669,3.633955222007694,4.619999999999946,5.734999999999922,27.470000000001495,5.134420037968084,18.435374086536466,46.88685869425535,73.8861367739737,65.93663413498795,37.80942248657277,78.34203242138028,80.10751469507814,268.30028707371093,446570.29975067405,2991110.3675051383,5314216.728552292,7663304.932332287,6882721.3679585075,2454308.685155719,8735569.329983655,9240590.605498722,9748229.705251511,446570299750.6741,2991110367505.138,5314216728552.293,7663304932332.287,6882721367958.508,2454308685155.7188,8735569329983.655,9240590605498.723,9748229705251.512,189.0,254.0,278.75,288.0,396.1666666666667,363.3955222007497,462.0,573.5,2747.0
6,9748229705251.512,8.571428571428571,9.748232705252512,9.748232705252512,2.99999999999998,0,1,82.0978389158845,300,9748229.705251511,"[0.0, 9.748232705252512, -2.99999999999998, -1.0]",0,48,48,0,48,0,48,0,162.44999999999862,1289.3600000000024,16245,128936,2.0208122999756597,28.74748040002305,4.940476190476191,6.656999304181054,6.656999304181054,6656995.919805055,3.3843749999999715,0.0,0.0,2.857142857142857,5.714285714285714,4.940476190476191,2.841599586257145,6.428571428571429,8.571428571428571,8.571428571428571,1.8827874319893974,2.554065159388951,5.079733984810965,7.879130499703543,6.656999304181054,2.4952528023118474,8.561584608895439,8.964649745396205,9.748232705252512,1.8827874319893974,2.554065159388951,5.079733984810965,7.879130499703543,6.656999304181054,2.4952528023118474,8.561584608895439,8.964649745396205,9.748232705252512,1.7900000000000014,2.110999999999999,2.7874999999999845,2.869999999999983,3.3843749999999715,1.1791591394046896,4.949999999999939,5.122999999999935,5.919999999999918,5.134546302317176,13.06462087556429,42.98071143217385,74.54394294321537,58.292565826456666,25.514350712426197,77.25752637162805,78.38388225138188,82.0978389158845,1882782.4219883974,2554060.072387951,5079731.919809965,7879127.684702544,6656995.919805055,2495253.4689764995,8561581.766394438,8964646.872395206,9748229.705251511,1882782421988.3975,2554060072387.951,5079731919809.965,7879127684702.543,6656995919805.054,2495253468976.4995,8561581766394.438,8964646872395.207,9748229705251.512,179.0,211.1,278.75,287.0,338.4375,117.91591394047144,495.0,512.3,592.0
7,9748229705251.512,8.571428571428571,9.748232705252512,9.748232705252512,2.99999999999998,0,1,82.0978389158845,300,9748229.705251511,"[0.0, 9.748232705252512, -2.99999999999998, -1.0]",0,48,48,0,48,0,48,0,171.97999999999843,1461.3400000000008,17198,146134,2.304214600007981,31.151813000033144,5.238095238095238,6.513711043766567,6.513711043766567,6513707.4608489005,3.582916666666634,0.0,0.0,2.857142857142857,5.714285714285714,5.238095238095238,3.212080372198105,8.571428571428571,8.571428571428571,8.571428571428571,1.8809291294642858,1.8908326285226005,3.6138125828334267,7.826949528285436,6.513711043766567,2.8397124603532578,8.964134625026158,9.516870771135602,9.748232705252512,1.8809291294642858,1.8908326285226005,3.6138125828334267,7.826949528285436,6.513711043766567,2.8397124603532578,8.964134625026158,9.516870771135602,9.748232705252512,1.7200000000000013,2.1349999999999985,2.814999999999984,2.914999999999982,3.582916666666634,1.3366764728443008,5.009999999999938,5.728999999999923,7.22999999999989,5.134435661835596,5.2956449521152535,33.471103460062295,74.1998062171042,55.0217008122307,28.21999173518796,78.53355165570974,80.68707528933884,82.34352543205023,1880924.119463286,1890827.6185216005,3613807.7028324264,7826946.753284436,6513707.4608489005,2839713.2607038342,8964131.742525157,9516867.848134601,9748229.705251511,1880924119463.286,1890827618521.6006,3613807702832.427,7826946753284.436,6513707460848.901,2839713260703.8345,8964131742525.158,9516867848134.602,9748229705251.512,172.0,213.5,281.5,291.5,358.2916666666667,133.66764728443286,501.0,572.9,723.0
8,9787104215171.992,8.571428571428571,9.787107195172991,9.787107195172991,2.9799999999999804,0,1,82.40860719233751,298,9787104.215171993,"[0.0, 9.787107195172991, -2.9799999999999804, -1.0]",0,48,48,0,48,0,48,0,168.7799999999985,1630.1199999999994,16878,163012,2.157804500020575,33.39601320005022,5.119047619047618,6.5337674390702025,6.5337674390702025,6533763.922819202,3.516249999999969,0.0,0.0,2.857142857142857,5.714285714285714,5.119047619047618,3.2969958152681498,8.571428571428571,8.571428571428571,8.571428571428571,0.36521366664341515,1.8831759861537387,3.80145754132952,8.43386241367885,6.5337674390702025,3.005982928963223,8.926565987723215,9.572372164045062,9.787107195172991,0.36521366664341515,1.8831759861537387,3.80145754132952,8.43386241367885,6.5337674390702025,3.005982928963223,8.926565987723215,9.572372164045062,9.787107195172991,1.6300000000000012,2.0400000000000005,2.857499999999983,2.9399999999999813,3.516249999999969,1.2718664516501983,5.009999999999938,5.057999999999937,5.929999999999918,5.134684008764452,5.135557869857439,28.602577049574393,76.67371202632785,55.12212366379314,29.70875075915473,78.36210540682077,81.24640527814627,82.40860719233751,365207.77664241515,1883170.9761527388,3801454.87882852,8433858.573677849,6533763.922819202,3005983.594801012,8926563.117722215,9572369.228044063,9787104.215171993,365207776642.41516,1883170976152.7388,3801454878828.52,8433858573677.851,6533763922819.202,3005983594801.0117,8926563117722.215,9572369228044.062,9787104215171.992,163.0,204.0,285.75,294.0,351.625,127.18664516502247,501.0,505.8,593.0
9,9796425660418.922,8.571428571428571,9.796428680419922,9.796428680419922,3.0199999999999796,0,1,82.39781558513641,302,9796425.660418922,"[0.0, 9.796428680419922, -3.0199999999999796, -1.0]",0,48,48,0,48,0,48,0,153.92999999999884,1784.0499999999984,15393,178405,2.099575600004755,35.58532680000644,5.535714285714286,6.864700147083828,6.864700147083828,6864696.940207828,3.2068749999999757,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.535714285714286,2.569195458917528,8.571428571428571,8.571428571428571,8.571428571428571,1.8819972446986608,3.0671844482421875,5.176969255719866,7.784491947719029,6.864700147083828,2.2899787802154483,8.794210978916713,9.25042724609375,9.796428680419922,1.8819972446986608,3.0671844482421875,5.176969255719866,7.784491947719029,6.864700147083828,2.2899787802154483,8.794210978916713,9.25042724609375,9.796428680419922,1.9500000000000015,2.099999999999999,2.4649999999999914,2.859999999999983,3.2068749999999757,1.205453158653737,2.9849999999999803,5.7279999999999225,6.659999999999902,5.135832672385732,18.439595166379878,43.90774556994438,73.98487243801355,59.311850188337154,22.77562945907157,77.9263539724052,79.75849591195583,82.40860719233751,1881992.234697661,3067178.720241187,5176967.160718866,7784489.177718028,6864696.940207828,2289979.4141150042,8794208.116415713,9250424.34309275,9796425.660418922,1881992234697.661,3067178720241.1875,5176967160718.866,7784489177718.029,6864696940207.828,2289979414115.0044,8794208116415.713,9250424343092.75,9796425660418.922,195.0,210.0,246.5,286.0,320.6875,120.54531586537627,298.5,572.8000000000001,666.0
10,9796425660418.922,8.571428571428571,9.796428680419922,9.796428680419922,3.0199999999999796,0,1,82.39781558513641,302,9796425.660418922,"[0.0, 9.796428680419922, -3.0199999999999796, -1.0]",0,48,48,0,48,0,48,0,152.11999999999887,1936.1699999999973,15212,193617,1.9306798999896273,37.5962845000322,6.19047619047619,7.584867534183321,7.584867534183321,7584864.365015655,3.169166666666643,0.0,2.857142857142857,5.0,7.142857142857142,6.19047619047619,2.817180849095055,8.571428571428571,8.571428571428571,8.571428571428571,1.8829400198800221,4.3743760245186945,6.5748637063162665,8.525284358433314,7.584867534183321,2.340012028837405,9.331941604614258,9.571513312203544,9.796428680419922,1.8829400198800221,4.3743760245186945,6.5748637063162665,8.525284358433314,7.584867534183321,2.340012028837405,9.331941604614258,9.571513312203544,9.796428680419922,1.6200000000000012,2.343999999999994,2.822499999999984,2.904999999999982,3.169166666666643,1.1690288585925352,2.9699999999999807,5.009999999999938,8.899999999999855,5.134633884357754,35.41485687866807,53.473104257618616,77.15389808639884,65.29651944394452,23.044045428757926,80.10776705667377,81.37240712493659,82.40860719233751,1882935.0098790221,4374372.108517694,6574861.316315266,8525281.513432315,7584864.365015655,2340012.297798523,9331938.69461326,9571508.717202546,9796425.660418922,1882935009879.0222,4374372108517.6943,6574861316315.266,8525281513432.314,7584864365015.653,2340012297798.5234,9331938694613.258,9571508717202.545,9796425660418.922,162.0,234.4,282.25,290.5,316.9166666666667,116.90288585925593,297.0,501.0,890.0
