generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max,front0_size,best_rank,best_crowding,best_priority_score,best_scalar_fitness,best_obj_finished,best_obj_progress,mean_obj_finished,mean_obj_progress
1,0.008041373661586217,5.714285714285714,8.041373661586217,8.041373661586217,2.7799999999999847,0,1,74.41531519591808,278,8.003499246271021,"[0.0, 0.08041373661586217]",0.2,0.2,0,48,48,0,0,48,0,41,7,41,7,406.49000000001087,406.49000000001087,40649,40649,10.03087380004581,10.078256899956614,2.023809523809524,2.9536367030370805,2.9536367030370805,2.860344873662742,8.468541666666892,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.023809523809524,2.3298078322358244,2.857142857142857,5.714285714285714,5.714285714285714,0.0,0.0,1.7990166800362724,1.8837411063058036,2.9536367030370805,2.4194220176424373,3.4128911154610773,6.84656960623605,8.041373661586217,0.0,0.0,1.7990166800362724,1.8837411063058036,2.9536367030370805,2.4194220176424373,3.4128911154610773,6.84656960623605,8.041373661586217,2.3299999999999943,2.666999999999987,5.009999999999938,5.009999999999938,8.468541666666892,8.973387503609922,5.777499999999922,30.00000000000189,30.00000000000189,1.49176025390625,5.134532198967645,5.135301935195457,18.43780687879189,64.74604100306351,97.08312286114634,61.31193753890693,293.60008544593586,293.60152719786856,-0.3002936015272168,-0.30029360008546485,1.738912453420455,1.8236359718816768,2.860344873662742,2.469936928712404,3.342143371085846,6.811728023866398,8.003499246271021,-300293.6015272168,-300293.60008546483,1738912.4534204549,1823635.9718816767,2860344.873662742,2469936.928712404,3342143.371085846,6811728.023866397,8003499.246271021,233.0,266.7,501.0,501.0,846.8541666666666,897.3387503609246,577.75,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.008041373661586217,8003499.246271021,0.0,0.08041373661586217,0.0,0.0295363670303708
2,0.008066953931535994,5.714285714285714,8.066953931535993,8.066953931535993,2.7899999999999845,0,1,74.84761305898428,279,8.028979083922934,"[0.0, 0.08066953931535993]",0.2,0.2,0,48,48,0,0,48,0,45,3,45,3,260.470000000004,666.9600000000148,26047,66696,4.000069000001531,14.142724599980284,3.5714285714285716,4.8442887124561125,4.8442887124561125,4.780589563600746,5.426458333333417,1.0,100.0,0.0,0.0,0.0,2.857142857142857,2.857142857142857,3.5714285714285716,2.2961073240459418,5.714285714285714,5.714285714285714,5.714285714285714,0.0,1.431703839983259,3.0637441362653455,5.547161102294922,4.8442887124561125,2.5127567637575186,7.142857142857142,7.364189965384346,8.066953931535993,0.0,1.431703839983259,3.0637441362653455,5.547161102294922,4.8442887124561125,2.5127567637575186,7.142857142857142,7.364189965384346,8.066953931535993,1.9200000000000015,2.3649999999999936,2.6499999999999875,3.374999999999972,5.426458333333417,6.490368983342657,5.184999999999934,5.739999999999922,30.00000000000189,5.134476746665314,5.377394465914404,18.435423842563978,56.85181163996458,59.56552203343426,65.29247069031415,69.58498161658645,73.33680674135685,293.600923576043,-0.30029360092359497,1.3715966093539484,2.9963256997272745,5.515863358251572,4.780589563600746,2.5523530637223106,7.106288266944806,7.327189263338215,8.028979083922934,-300293.60092359496,1371596.6093539484,2996325.6997272745,5515863.358251572,4780589.563600745,2552353.063722311,7106288.266944806,7327189.263338216,8028979.083922934,192.0,236.5,265.0,337.5,542.6458333333334,649.0368983342207,518.5,574.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.008066953931535994,8028979.083922934,0.0,0.08066953931535993,0.0,0.04844288712456113
3,0.009122862134660993,8.571428571428571,9.122862134660993,9.122862134660993,3.519999999999969,0,1,78.42296674847603,352,9.077583711694244,"[0.0, 0.09122862134660993]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,170.63999999999848,837.6000000000133,17064,83760,2.595346799993422,16.803722799988464,4.642857142857143,6.347614469982329,6.347614469982329,6.302008217228649,3.554999999999968,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.642857142857143,2.0722494268487153,5.714285714285714,5.714285714285714,8.571428571428571,1.8835340227399553,2.5312292916434154,5.262429373604911,7.142857142857142,6.347614469982329,2.1677100482085563,7.716914585658482,8.23128536769322,9.122862134660993,1.8835340227399553,2.5312292916434154,5.262429373604911,7.142857142857142,6.347614469982329,2.1677100482085563,7.716914585658482,8.23128536769322,9.122862134660993,1.7600000000000013,2.5489999999999897,2.6874999999999867,2.7999999999999843,3.554999999999968,1.3082128394620125,5.009999999999938,5.712999999999923,6.949999999999896,5.1346294293762185,13.902898048382488,44.66333887539804,68.43707382306457,56.252753680066384,24.42640504337554,73.0198544561863,75.28009380847216,78.42296674847603,1.823428887416397,2.4711153889565525,5.230134710266036,7.107041351057951,6.302008217228649,2.1749272787681435,7.6793916980918535,8.19206994152636,9.077583711694244,1823428.887416397,2471115.3889565524,5230134.710266035,7107041.351057951,6302008.217228648,2174927.278768143,7679391.698091853,8192069.941526359,9077583.711694244,176.0,254.9,268.75,280.0,355.5,130.821283946204,501.0,571.3,695.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.009122862134660993,9077583.711694244,0.0,0.09122862134660993,0.0,0.0634761446998233
4,0.009277362823486329,8.571428571428571,9.277362823486328,9.277362823486328,2.8799999999999826,0,1,78.77907057106495,288,9.238484044415758,"[0.0, 0.09277362823486328]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,172.81999999999843,1010.4200000000118,17282,101042,2.868495900009293,19.736146899987943,4.583333333333333,6.375005301975069,6.375005301975069,6.328945544933448,3.600416666666634,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.583333333333333,2.5246797691010117,5.714285714285714,5.714285714285714,8.571428571428571,1.881288800920759,1.8837868826729913,3.694700513567243,7.431873594011579,6.375005301975069,2.5190165911211095,8.220913750784737,8.54870469229562,9.277362823486328,1.881288800920759,1.8837868826729913,3.694700513567243,7.431873594011579,6.375005301975069,2.5190165911211095,8.220913750784737,8.54870469229562,9.277362823486328,1.8500000000000014,2.679999999999987,2.7499999999999853,2.8399999999999834,3.600416666666634,1.1737048861286061,5.009999999999938,5.316999999999932,5.929999999999918,5.1343994140625,5.137668363164266,27.38288370016926,71.09085058793426,55.590374954312665,27.63231331558133,75.2800046056509,76.53072022031992,78.77943369746208,1.8211836651885098,1.8236817437088477,3.6360731312171195,7.385902503160992,6.328945544933448,2.5272921590880415,8.182838470662741,8.4919881615754,9.238484044415758,1821183.6651885097,1823681.7437088476,3636073.1312171193,7385902.503160993,6328945.544933449,2527292.1590880416,8182838.470662741,8491988.1615754,9238484.044415757,185.0,268.0,275.0,284.0,360.0416666666667,117.37048861286308,501.0,531.7,593.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.009277362823486329,9238484.044415757,0.0,0.09277362823486328,0.0,0.06375005301975069
5,0.009580612182617188,8.571428571428571,9.580612182617188,9.580612182617188,2.9399999999999813,0,1,80.983960442245,294,9.541131198656744,"[0.0, 0.09580612182617188]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,172.65999999999843,1183.0800000000102,17266,118308,2.549165799980983,22.350335799972527,5.238095238095238,6.647220679691859,6.647220679691859,6.601191762624801,3.5970833333333005,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.238095238095238,2.2080044036894533,5.714285714285714,8.571428571428571,8.571428571428571,1.8834250313895091,3.064698900495257,4.199417659214564,7.621807370867048,6.647220679691859,2.320602454054371,8.307971273149763,8.955322538103376,9.580612182617188,1.8834250313895091,3.064698900495257,4.199417659214564,7.621807370867048,6.647220679691859,2.320602454054371,8.307971273149763,8.955322538103376,9.580612182617188,1.8600000000000014,2.6059999999999883,2.7874999999999845,2.8399999999999834,3.5970833333333005,1.295332901762639,4.769999999999943,5.739999999999922,6.519999999999905,5.134403911419213,18.435760769491754,39.428845026064664,72.4849210307002,58.08373372511642,24.079316336932447,75.64117796346545,77.74849113002419,80.983960442245,1.82331989579347,2.9973504644181337,4.142784270845186,7.584384885946017,6.601191762624801,2.3298312266088206,8.269795583834604,8.914734789612245,9.541131198656744,1823319.89579347,2997350.4644181337,4142784.2708451855,7584384.885946017,6601191.762624801,2329831.2266088207,8269795.583834603,8914734.789612247,9541131.198656745,186.0,260.6,278.75,284.0,359.7083333333333,129.53329017626663,477.0,574.0,652.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.009580612182617188,9541131.198656745,0.0,0.09580612182617188,0.0,0.06647220679691859
6,0.009580612182617188,8.571428571428571,9.580612182617188,9.580612182617188,2.9399999999999813,0,1,80.983960442245,294,9.541131198656744,"[0.0, 0.09580612182617188]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,144.34999999999903,1327.4300000000092,14435,132743,2.151541500003077,24.564871200011112,6.011904761904762,7.571111747196743,7.571111747196743,7.5309717985036855,3.0072916666666463,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.011904761904762,2.122088508330463,8.571428571428571,8.571428571428571,8.571428571428571,1.8837411063058036,4.694039481026786,7.43469374520438,8.139570781162806,7.571111747196743,1.8592615409016977,8.798630578177317,9.117883682250977,9.580612182617188,1.8837411063058036,4.694039481026786,7.43469374520438,8.139570781162806,7.571111747196743,1.8592615409016977,8.798630578177317,9.117883682250977,9.580612182617188,1.7600000000000013,2.4609999999999914,2.774999999999985,2.8349999999999835,3.0072916666666463,0.864059555198902,2.8899999999999824,3.5849999999999733,5.779999999999921,5.134428983321413,38.533137059956786,71.00380802340806,74.84689293429255,67.03202638965315,18.870484516776976,77.07884333282709,78.47008017748594,80.983960442245,1.823635971876821,4.665630947889726,7.3976729490983075,8.101546022392835,7.5309717985036855,1.8635525975417098,8.759803499333984,9.079075212119934,9.541131198656744,1823635.971876821,4665630.947889726,7397672.949098308,8101546.0223928355,7530971.798503687,1863552.59754171,8759803.499333983,9079075.212119933,9541131.198656745,176.0,246.10000000000002,277.5,283.5,300.7291666666667,86.405955519892,289.0,358.50000000000057,578.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.009580612182617188,9541131.198656745,0.0,0.09580612182617188,0.0,0.07571111747196742
7,0.009919493538992746,8.571428571428571,9.919493538992745,9.919493538992745,5.969999999999917,0,1,83.6554299350828,597,9.84970988356281,"[0.0, 0.09919493538992745]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,163.62999999999863,1491.0600000000077,16363,149106,2.5119883000152186,27.141069999954198,5.714285714285714,7.097690559568858,7.097690559568858,7.0535403403388335,3.4089583333333047,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,2.7969857439216024,8.571428571428571,8.571428571428571,8.571428571428571,1.8822860717773438,3.0267442975725447,5.167119162423271,8.443664823259628,7.097690559568858,2.5568656028350354,8.848565646580289,9.353404726300921,9.919493538992745,1.8822860717773438,3.0267442975725447,5.167119162423271,8.443664823259628,7.097690559568858,2.5568656028350354,8.848565646580289,9.353404726300921,9.919493538992745,1.7200000000000013,2.763999999999985,2.819999999999984,2.849999999999983,3.4089583333333047,1.1853027735268726,3.7299999999999645,5.712999999999923,5.969999999999917,5.134406031109393,18.393602690384434,43.648509562946856,76.1484111174941,60.635896693040046,25.97817104131309,77.45936962217093,79.29510629102587,83.6554299350828,1.822180936079567,2.958295857509,5.114450513913709,8.405388674506813,7.0535403403388335,2.5640690974950737,8.809988187310333,9.314395431461534,9.84970988356281,1822180.936079567,2958295.857509,5114450.513913708,8405388.674506813,7053540.340338834,2564069.097495074,8809988.187310332,9314395.431461535,9849709.883562809,172.0,276.4,282.0,285.0,340.8958333333333,118.53027735268974,373.0,571.3,597.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.009919493538992746,9849709.883562809,0.0,0.09919493538992745,0.0,0.07097690559568859
8,0.009919493538992746,8.571428571428571,9.919493538992745,9.919493538992745,5.969999999999917,0,1,83.6554299350828,597,9.84970988356281,"[0.0, 0.09919493538992745]",0.2,0.2,0,48,48,0,0,48,0,47,1,47,1,203.19000000000028,1694.250000000008,20319,169425,3.44656179996673,30.65017589996569,5.535714285714285,6.946687584831601,6.946687584831601,6.894500118612633,4.233125000000006,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,5.535714285714285,3.0531710960076572,8.571428571428571,8.571428571428571,8.571428571428571,1.8827547345842632,2.593354906354632,5.074813025338308,8.358723776681082,6.946687584831601,2.6280851224630832,9.057548386710032,9.405832290649414,9.919493538992745,1.8827547345842632,2.593354906354632,5.074813025338308,8.358723776681082,6.946687584831601,2.6280851224630832,9.057548386710032,9.405832290649414,9.919493538992745,1.8000000000000014,2.149999999999998,2.809999999999984,2.8949999999999823,4.233125000000006,4.061502265300813,5.009999999999938,5.872999999999919,30.00000000000189,5.135068378323922,14.803271359959766,45.41186893545091,75.71378304064274,64.54955230082305,42.03500641417425,78.58557212725282,80.07223418504,293.4449572326848,1.822649598947392,2.3651175961381643,5.045195425159746,8.320548062898041,6.894500118612633,2.6430416468620592,8.992620245754427,9.362392458016139,9.84970988356281,1822649.598947392,2365117.5961381644,5045195.425159747,8320548.062898042,6894500.118612633,2643041.6468620594,8992620.245754428,9362392.458016139,9849709.883562809,180.0,215.0,281.0,289.5,423.3125,406.15022653005707,501.0,587.3000000000001,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.009919493538992746,9849709.883562809,0.0,0.09919493538992745,0.0,0.06946687584831601
9,0.009919493538992746,8.571428571428571,9.919493538992745,9.919493538992745,5.969999999999917,0,1,83.6554299350828,597,9.84970988356281,"[0.0, 0.09919493538992745]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,167.73999999999853,1861.9900000000066,16774,186199,2.745283800002653,33.45824179996271,5.773809523809523,7.10466532480149,7.10466532480149,7.059658396219035,3.4945833333333027,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.773809523809523,2.639932959706748,8.571428571428571,8.571428571428571,8.571428571428571,1.3270459856305805,3.1416576930454805,5.23529188973563,8.125528608049665,7.10466532480149,2.363131725310485,9.044669696262904,9.37186976841518,9.919493538992745,1.3270459856305805,3.1416576930454805,5.23529188973563,8.125528608049665,7.10466532480149,2.363131725310485,9.044669696262904,9.37186976841518,9.919493538992745,1.7700000000000014,2.0879999999999996,2.7824999999999847,2.8949999999999823,3.4945833333333027,1.2730490929479066,4.669999999999945,5.695999999999923,6.239999999999911,4.076297330320813,21.91508298445915,44.36940920166671,74.84713711589575,61.09524912230942,22.894960024546847,78.05311173386872,79.71423220559954,83.6554299350828,1.266941909333251,3.0816357779624965,5.205147520326428,8.087553760912549,7.059658396219035,2.3654280258870415,9.000241643151169,9.332670100860923,9.84970988356281,1266941.909333251,3081635.7779624965,5205147.520326428,8087553.760912549,7059658.396219035,2365428.025887042,9000241.64315117,9332670.100860924,9849709.883562809,177.0,208.8,278.25,289.5,349.4583333333333,127.30490929479332,467.0,569.6,624.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.009919493538992746,9849709.883562809,0.0,0.09919493538992745,0.0,0.0710466532480149
10,0.009919493538992746,8.571428571428571,9.919493538992745,9.919493538992745,5.969999999999917,0,1,83.6554299350828,597,9.84970988356281,"[0.0, 0.09919493538992745]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,155.8799999999988,2017.8700000000053,15588,201787,2.437289100023918,35.959185099985916,6.011904761904762,7.378552300589426,7.378552300589426,7.336013216357807,3.247499999999975,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.011904761904762,2.4907709467747234,8.571428571428571,8.571428571428571,8.571428571428571,2.7614484514508932,4.52447509765625,5.4509285518101285,8.466803686959402,7.378552300589426,2.07433358795121,8.957958902631487,9.440923690795898,9.919493538992745,2.7614484514508932,4.52447509765625,5.4509285518101285,8.466803686959402,7.378552300589426,2.07433358795121,8.957958902631487,9.440923690795898,9.919493538992745,1.7400000000000013,2.100999999999999,2.814999999999984,2.864999999999983,3.247499999999975,1.155361595634289,2.962499999999981,5.704999999999923,6.079999999999915,18.43620296053996,36.73803870603442,46.71729847043753,76.14874331280589,64.08423161848395,19.774138208654563,77.87026500329375,80.2415546424687,83.6554299350828,2.7056293129240245,4.4966183596175435,5.417431834511658,8.418377437381968,7.336013216357807,2.076182215368147,8.919206032366482,9.401673271048997,9.84970988356281,2705629.3129240246,4496618.359617544,5417431.834511658,8418377.437381968,7336013.216357808,2076182.215368147,8919206.032366484,9401673.271048998,9849709.883562809,174.0,210.1,281.5,286.5,324.75,115.53615956343134,296.25,570.5,608.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,inf,0.009919493538992746,9849709.883562809,0.0,0.09919493538992745,0.0,0.07378552300589426
