generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max,front0_size,best_rank,best_crowding,best_priority_score,best_scalar_fitness,best_obj_finished,best_obj_progress,best_obj_neg_crashes,best_obj_neg_time,mean_obj_finished,mean_obj_progress,mean_obj_neg_crashes,mean_obj_neg_time
1,-0.002619912520635692,5.714285714285714,7.6427541460309705,7.6427541460309705,7.879999999999876,0,1,65.66130264275125,788,7.553888484728329,"[0.0, 0.07642754146030971, -1.0, -0.26266666666666255]",0.2,0.2,0,48,48,0,0,48,0,38,10,38,10,494.68000000001683,494.68000000001683,49468,49468,25.8260539000039,25.890266600006726,1.6666666666666667,2.6786586784181137,2.6786586784181137,2.567599832409686,10.305833333333684,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.246185983823001,2.857142857142857,5.714285714285714,5.714285714285714,0.0,0.0,0.9196894509451731,1.8837111336844308,2.6786586784181137,2.398170641285738,3.0707263946533203,7.142857142857142,7.6427541460309705,0.0,0.0,0.9196894509451731,1.8837111336844308,2.6786586784181137,2.398170641285738,3.0707263946533203,7.142857142857142,7.6427541460309705,2.4099999999999926,2.630999999999988,5.009999999999938,5.009999999999938,10.305833333333684,10.353139385660025,6.31999999999991,30.00000000000189,30.00000000000189,5.1345566136878915,5.135111993287865,5.138215672635852,18.438774929083593,83.84600842447435,111.30415504198562,70.36804363504052,293.59986331266117,293.6009590245085,-0.30029360095904345,-0.30029359909766723,0.8595809111238208,1.8236059991104194,2.567599832409686,2.454623662637166,3.003507960149549,7.106479771610254,7.553888484728329,-300293.6009590434,-300293.5990976672,859580.9111238208,1823605.9991104193,2567599.832409686,2454623.6626371657,3003507.960149549,7106479.7716102535,7553888.484728329,241.0,263.1,501.0,501.0,1030.5833333333333,1035.3139385659254,632.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,inf,-0.002619912520635692,7553888.484728329,0.0,0.07642754146030971,-1.0,-0.26266666666666255,0.0,0.026786586784181138,-0.7916666666666666,-0.3435277777777765
2,-0.0013985901373000354,8.571428571428571,8.69607652936663,8.69607652936663,2.8399999999999834,0,1,76.7696459069848,284,8.657599759720725,"[0.0, 0.08696076529366631, -1.0, -0.09466666666666611]",0.2,0.2,0,48,48,0,0,48,0,41,7,41,7,401.800000000012,896.4800000000289,40180,89648,14.295237399986945,40.293309100030456,2.5595238095238098,3.7314737978435697,3.7314737978435697,3.639145094180867,8.370833333333584,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.5595238095238098,2.811515637766558,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.6559777941022602,2.8529848371233255,3.7314737978435697,2.919326689509505,7.142857142857142,7.232336316789901,8.69607652936663,0.0,0.0,1.6559777941022602,2.8529848371233255,3.7314737978435697,2.919326689509505,7.142857142857142,7.232336316789901,8.69607652936663,2.289999999999995,2.5569999999999893,2.717499999999986,5.009999999999938,8.370833333333584,9.393910889803463,5.749999999999922,30.00000000000189,30.00000000000189,5.134538761398289,5.134887375877588,11.642217046437509,60.43899157748092,78.70366270011057,95.11258005645442,69.83874145150185,293.5987487284234,293.60104202257935,-0.3002936010420415,-0.30029359874874734,1.5958716466268443,2.783227926567424,3.639145094180867,2.975238024379249,7.1012913090705005,7.195536457032568,8.657599759720725,-300293.6010420415,-300293.5987487473,1595871.6466268443,2783227.926567423,3639145.094180867,2975238.0243792487,7101291.309070501,7195536.457032568,8657599.759720724,229.0,255.7,271.75,501.0,837.0833333333334,939.3910889802795,575.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,inf,-0.0013985901373000354,8657599.759720724,0.0,0.08696076529366631,-1.0,-0.09466666666666611,0.0,0.037314737978435694,-0.8541666666666666,-0.279027777777777
3,-0.0013985901373000354,8.571428571428571,8.69607652936663,8.69607652936663,2.8399999999999834,0,1,76.7696459069848,284,8.657599759720725,"[0.0, 0.08696076529366631, -1.0, -0.09466666666666611]",0.2,0.2,0,48,48,0,0,48,0,41,7,41,7,375.0500000000115,1271.5300000000404,37505,127153,13.142466499994043,53.58484419999877,2.7976190476190474,3.8298278763180686,3.8298278763180686,3.7430747510779443,7.813541666666906,1.0,100.0,0.0,0.0,0.0,0.0,2.857142857142857,2.7976190476190474,2.7657762274973674,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.3571058000837053,3.066577911376953,3.8298278763180686,2.928553392424597,7.142857142857142,7.361901147024972,8.69607652936663,0.0,0.0,1.3571058000837053,3.066577911376953,3.8298278763180686,2.928553392424597,7.142857142857142,7.361901147024972,8.69607652936663,1.6700000000000013,2.4539999999999917,2.669999999999987,5.009999999999938,7.813541666666906,9.262035973438904,5.717499999999923,30.00000000000189,30.00000000000189,5.134399745613337,5.135106455520145,16.14141458791346,54.50060474872589,76.04190678877937,93.11325014635365,70.71811640635133,293.5979966550367,293.60350110498257,-0.3002936035011239,-0.13217753378423483,1.291280212564523,2.9992594748060375,3.7430747510779443,2.9787627668750223,7.106815425596503,7.315120400257351,8.657599759720725,-300293.6035011239,-132177.53378423484,1291280.212564523,2999259.4748060377,3743074.751077944,2978762.766875022,7106815.425596503,7315120.400257351,8657599.759720724,167.0,245.4,267.0,501.0,781.3541666666666,926.2035973438232,571.75,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,inf,-0.0013985901373000354,8657599.759720724,0.0,0.08696076529366631,-1.0,-0.09466666666666611,0.0,0.03829827876318068,-0.8541666666666666,-0.2604513888888877
4,-0.0012274092320033474,8.571428571428571,8.867590767996651,8.867590767996651,2.849999999999983,0,1,77.45953051745892,285,8.829013308466132,"[0.0, 0.08867590767996651, -1.0, -0.09499999999999945]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,142.35999999999908,1413.8900000000394,14236,141389,4.744728599966038,58.43013870000141,4.8809523809523805,6.189479487282888,6.189479487282888,6.149766002246626,2.9658333333333142,1.0,100.0,0.0,0.0,2.0000000000000004,5.0,5.714285714285714,4.8809523809523805,2.099427629589095,5.714285714285714,5.714285714285714,8.571428571428571,0.1796449933733259,2.6928700038364957,5.864780970982143,6.99676241193499,6.189479487282888,2.0128174903934744,7.288558142525809,7.690676825387137,8.867590767996651,0.1796449933733259,2.6928700038364957,5.864780970982143,6.99676241193499,6.189479487282888,2.0128174903934744,7.288558142525809,7.690676825387137,8.867590767996651,1.6700000000000013,2.3169999999999944,2.4574999999999916,2.6399999999999877,2.9658333333333142,0.9965248644943658,2.809999999999984,5.009999999999938,5.799999999999921,5.1346636613307055,18.438019939031072,51.16843082010746,62.76602312549949,55.151702930594034,21.058105503425036,70.15365784242749,72.69857858791947,77.45953051745892,0.11952645927936376,2.6272255562844453,5.828429802551323,6.961249645911863,6.149766002246626,2.0199155185859645,7.251687988687088,7.653204126950763,8.829013308466132,119526.45927936376,2627225.5562844453,5828429.802551324,6961249.645911863,6149766.002246626,2019915.5185859646,7251687.988687089,7653204.126950763,8829013.308466133,167.0,231.7,245.75,264.0,296.5833333333333,99.65248644943865,281.0,501.0,580.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,inf,-0.0012274092320033474,8829013.308466133,0.0,0.08867590767996651,-1.0,-0.09499999999999945,0.0,0.061894794872828895,-1.0,-0.09886111111111047
5,-0.0012274092320033474,8.571428571428571,8.867590767996651,8.867590767996651,2.849999999999983,0,1,77.45953051745892,285,8.829013308466132,"[0.0, 0.08867590767996651, -1.0, -0.09499999999999945]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,153.81999999999883,1567.7100000000382,15382,156771,5.355990600015502,63.89804180001374,4.940476190476191,6.440094482331049,6.440094482331049,6.397991213543636,3.204583333333309,1.0,100.0,0.0,0.0,2.857142857142857,5.0,5.714285714285714,4.940476190476191,1.9982631347136333,5.714285714285714,5.714285714285714,8.571428571428571,1.8835122244698659,3.0704067775181363,6.28476687840053,7.142857142857142,6.440094482331049,2.053175499775149,7.511391639709473,8.267730985369,8.867590767996651,1.8835122244698659,3.0704067775181363,6.28476687840053,7.142857142857142,6.440094482331049,2.053175499775149,7.511391639709473,8.267730985369,8.867590767996651,1.7100000000000013,2.493999999999991,2.6149999999999882,2.719999999999986,3.204583333333309,1.1534097247099573,2.8424999999999834,5.42999999999993,5.739999999999922,5.134400634095073,18.434768773865652,55.47474614903331,67.85446014255285,57.43545407926907,23.239774995924208,71.6497229076922,75.4913236733526,77.45953051745892,1.823407089083299,3.0031983420743322,6.251586403654382,7.107091697681662,6.397991213543636,2.0615654395921066,7.471994989986565,8.22212549408424,8.829013308466132,1823407.089083299,3003198.3420743323,6251586.403654382,7107091.697681663,6397991.213543636,2061565.4395921065,7471994.989986565,8222125.494084241,8829013.308466133,171.0,249.4,261.5,272.0,320.4583333333333,115.34097247099815,284.25,543.0000000000002,574.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,inf,-0.0012274092320033474,8829013.308466133,0.0,0.08867590767996651,-1.0,-0.09499999999999945,0.0,0.06440094482331049,-1.0,-0.10681944444444362
6,-0.0008264091695149742,8.571428571428571,9.26992416381836,9.26992416381836,2.8899999999999824,0,1,79.22121270745993,289,9.230944942605651,"[0.0, 0.09269924163818359, -1.0, -0.09633333333333274]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,143.03999999999905,1710.7500000000373,14304,171075,5.136905399966054,69.15498079999816,5.595238095238095,7.234856344404675,7.234856344404675,7.19499086823168,2.9799999999999804,1.0,100.0,0.0,0.0,4.857142857142858,5.714285714285714,5.714285714285714,5.595238095238095,1.6452708287006255,5.714285714285714,6.571428571428584,8.571428571428571,1.8835176740373882,6.079049791608539,7.112338202340261,7.469358444213867,7.234856344404675,1.6428756739057826,8.074053355625697,8.59296716962542,9.26992416381836,1.8835176740373882,6.079049791608539,7.112338202340261,7.469358444213867,7.234856344404675,1.6428756739057826,8.074053355625697,8.59296716962542,9.26992416381836,1.8600000000000014,2.5179999999999905,2.674999999999987,2.7849999999999846,2.9799999999999804,0.7908223567906851,2.849999999999983,3.6919999999999695,5.729999999999922,5.135282515533618,53.20307345613838,63.9575713891536,71.42125930637121,65.47617299531112,17.700341708278298,74.90214773826301,76.71559365689755,79.22121270745993,1.8234125387548734,6.03934848979827,7.076974244768873,7.432187022954561,7.19499086823168,1.6485986933943249,8.03605340027175,8.554560454031762,9.230944942605651,1823412.5387548734,6039348.48979827,7076974.244768873,7432187.022954561,7194990.868231679,1648598.693394325,8036053.40027175,8554560.454031762,9230944.942605652,186.0,251.8,267.5,278.5,298.0,79.08223567907018,285.0,369.2000000000004,573.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,inf,-0.0008264091695149742,9230944.942605652,0.0,0.09269924163818359,-1.0,-0.09633333333333274,0.0,0.07234856344404675,-1.0,-0.09933333333333268
7,-0.000646937656947543,8.571428571428571,9.450062343052455,9.450062343052455,2.909999999999982,0,1,80.10819941014051,291,9.410882234853045,"[0.0, 0.09450062343052455, -1.0, -0.09699999999999939]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,157.52999999999878,1868.2800000000361,15753,186828,5.748261600034311,75.01838760002283,5.535714285714286,7.026741164071218,7.026741164071218,6.983860809534035,3.2818749999999746,1.0,100.0,0.0,0.0,0.0,5.714285714285714,5.714285714285714,5.535714285714286,2.569195458917528,6.428571428571429,8.571428571428571,8.571428571428571,1.8823732648577007,1.8837378365652901,6.894720622471401,7.845943995884486,7.026741164071218,2.3289420919366908,8.582374027797155,8.94408770969936,9.450062343052455,1.8823732648577007,1.8837378365652901,6.894720622471401,7.845943995884486,7.026741164071218,2.3289420919366908,8.582374027797155,8.94408770969936,9.450062343052455,2.07,2.5589999999999895,2.7374999999999856,2.819999999999984,3.2818749999999746,1.0831467587735362,2.909999999999982,5.009999999999938,6.409999999999908,5.134435096522793,5.139404818245384,61.74543172866106,73.5550525970757,61.60453718410918,24.828045867045674,76.69386928156018,77.66556197404861,80.10819941014051,1.8222681295000844,1.8236327020714356,6.859908877039672,7.808270440831889,6.983860809534035,2.3367790834295183,8.543947266064642,8.905420064171718,9.410882234853045,1822268.1295000843,1823632.7020714355,6859908.877039672,7808270.4408318885,6983860.809534036,2336779.083429518,8543947.266064642,8905420.064171718,9410882.234853044,207.0,255.9,273.75,282.0,328.1875,108.31467587735591,291.0,501.0,641.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,inf,-0.000646937656947543,9410882.234853044,0.0,0.09450062343052455,-1.0,-0.09699999999999939,0.0,0.0702674116407122,-1.0,-0.10939583333333247
8,-0.000646937656947543,8.571428571428571,9.450062343052455,9.450062343052455,2.909999999999982,0,1,80.10819941014051,291,9.410882234853045,"[0.0, 0.09450062343052455, -1.0, -0.09699999999999939]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,144.29999999999905,2012.5800000000352,14430,201258,4.405361499986611,79.52723669999978,5.654761904761905,7.334507192884172,7.334507192884172,7.294379056192102,3.00624999999998,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.654761904761905,2.1420302637436404,5.714285714285714,8.571428571428571,8.571428571428571,1.8827710832868303,5.35888671875,7.142857142857142,7.7707508632114966,7.334507192884172,1.873638628681318,8.51414612361363,9.166661671229772,9.450062343052455,1.8827710832868303,5.35888671875,7.142857142857142,7.7707508632114966,7.334507192884172,1.873638628681318,8.51414612361363,9.166661671229772,9.450062343052455,2.0300000000000007,2.588999999999989,2.7399999999999856,2.814999999999984,3.00624999999998,0.7605607169494374,2.8799999999999826,3.998999999999959,5.749999999999922,5.135138467376237,45.717011933773755,68.4801590051502,73.34030751883984,65.63669207063761,19.571946637745434,76.14867476001382,78.76515960991382,80.10819941014051,1.8226659479147085,5.324481001738066,7.107217062017643,7.733127522817242,7.294379056192102,1.878002031468095,8.475869974922874,9.12454289793154,9.410882234853045,1822665.9479147084,5324481.001738066,7107217.062017643,7733127.522817241,7294379.056192103,1878002.031468095,8475869.974922875,9124542.89793154,9410882.234853044,203.0,258.9,274.0,281.5,300.625,76.05607169494535,288.0,399.90000000000003,575.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,inf,-0.000646937656947543,9410882.234853044,0.0,0.09450062343052455,-1.0,-0.09699999999999939,0.0,0.07334507192884172,-1.0,-0.10020833333333268
9,-0.0006367660391671296,8.571428571428571,9.460233960832868,9.460233960832868,2.909999999999982,0,1,80.10782800614834,291,9.421053853004862,"[0.0, 0.09460233960832869, -1.0, -0.09699999999999939]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,148.15999999999897,2160.7400000000343,14816,216074,5.607595500012394,85.25100119999843,5.357142857142858,6.860242514383224,6.860242514383224,6.819315131476489,3.086666666666645,1.0,100.0,0.0,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,5.357142857142858,2.3779743280283547,5.714285714285714,8.571428571428571,8.571428571428571,1.8824332101004464,3.730971200125559,6.0450703757149835,7.4377209799630295,6.860242514383224,2.0831607711705167,8.00229413168771,9.214785712105888,9.460233960832868,1.8824332101004464,3.730971200125559,6.0450703757149835,7.4377209799630295,6.860242514383224,2.0831607711705167,8.00229413168771,9.214785712105888,9.460233960832868,1.7900000000000014,2.1369999999999982,2.6499999999999875,2.7799999999999847,3.086666666666645,1.0343362068925384,2.909999999999982,5.009999999999938,6.339999999999909,5.13493506355735,27.232311711585503,52.70210622623563,71.23781308531761,60.716240069651725,22.000190983608743,74.39634530805051,78.91192280054092,80.10819941014051,1.8223280748576627,3.6933839678138476,5.987967676587941,7.4004997419575185,6.819315131476489,2.0876846431566642,7.959475057328305,9.175876800068165,9.421053853004862,1822328.0748576627,3693383.9678138476,5987967.676587941,7400499.741957518,6819315.131476489,2087684.6431566642,7959475.057328305,9175876.800068166,9421053.853004862,179.0,213.7,265.0,278.0,308.6666666666667,103.433620689256,291.0,501.0,634.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,inf,-0.0006367660391671296,9421053.853004862,0.0,0.09460233960832869,-1.0,-0.09699999999999939,0.0,0.06860242514383226,-1.0,-0.10288888888888816
10,-0.0006367660391671296,8.571428571428571,9.460233960832868,9.460233960832868,2.909999999999982,0,1,80.10782800614834,291,9.421053853004862,"[0.0, 0.09460233960832869, -1.0, -0.09699999999999939]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,139.7899999999991,2300.5300000000334,13979,230053,5.1460960999829695,90.50408869999228,6.011904761904762,7.542594898314703,7.542594898314703,7.503403900663112,2.9122916666666483,1.0,100.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,6.011904761904762,1.7727705490280274,6.428571428571429,8.571428571428571,8.571428571428571,4.487054007393973,5.346311296735491,7.142857142857142,7.719930921282087,7.542594898314703,1.2662992651074858,8.561432021004814,9.119701113019671,9.460233960832868,4.487054007393973,5.346311296735491,7.142857142857142,7.719930921282087,7.542594898314703,1.2662992651074858,8.561432021004814,9.119701113019671,9.460233960832868,1.7700000000000014,2.1269999999999984,2.622499999999988,2.774999999999985,2.9122916666666483,0.9133756975804209,2.852499999999983,3.11799999999998,6.31999999999991,36.34900622069836,45.551555179059505,65.89413869194686,72.91214313730597,68.0809849249237,11.758311543138413,76.25707696564496,78.16231794804335,80.10782800614834,4.459317658387752,5.3158257451803115,7.104213838075887,7.68240800913895,7.503403900663112,1.2660177108192892,8.523130763927849,9.073192962972858,9.421053853004862,4459317.658387752,5315825.745180312,7104213.8380758865,7682408.00913895,7503403.900663111,1266017.7108192889,8523130.763927847,9073192.962972857,9421053.853004862,177.0,212.7,262.25,277.5,291.2291666666667,91.33756975804401,285.25,311.80000000000024,632.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,inf,-0.0006367660391671296,9421053.853004862,0.0,0.09460233960832869,-1.0,-0.09699999999999939,0.0,0.07542594898314703,-1.0,-0.0970763888888883
