generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max,front0_size,best_rank,best_crowding,best_priority_score,best_scalar_fitness,best_obj_finished,best_obj_progress,best_obj_neg_time,mean_obj_finished,mean_obj_progress,mean_obj_neg_time
1,0.007157451295398536,5.714285714285714,8.150784628731863,8.150784628731863,2.9799999999999804,0,1,74.96290022879839,298,8.110909665831635,"[0.0, 0.08150784628731862, -0.09933333333333268]",0.2,0.2,0,48,48,0,0,48,0,39,9,39,9,453.7400000000148,453.7400000000148,45374,45374,25.66328809998231,25.723412499995902,1.9642857142857144,3.0627971036093578,3.0627971036093578,2.960065845532277,9.452916666666974,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.9642857142857144,2.2705037050905537,2.857142857142857,5.714285714285714,5.714285714285714,0.0,0.0,1.882990428379604,2.856358119419643,3.0627971036093578,2.472046112458565,4.08257211957659,7.123615809849331,8.150784628731863,0.0,0.0,1.882990428379604,2.856358119419643,3.0627971036093578,2.472046112458565,4.08257211957659,7.123615809849331,8.150784628731863,2.259999999999996,2.592999999999989,5.009999999999938,5.009999999999938,9.452916666666974,9.950715417818149,5.7199999999999225,30.00000000000189,30.00000000000189,5.1343994140625,5.1345089896844005,5.579469135507679,18.43901326287596,77.09141041119453,106.13637316890033,71.7363678086549,293.59835600156805,293.6017446955666,-0.3002936017447145,-0.3002935983560205,1.8228852932023547,2.676153083843084,2.960065845532277,2.5307260272421805,4.017541754111198,7.087980745089083,8.110909665831635,-300293.6017447145,-300293.59835602046,1822885.2932023546,2676153.0838430836,2960065.845532277,2530726.027242181,4017541.754111198,7087980.745089082,8110909.665831634,226.0,259.3,501.0,501.0,945.2916666666666,995.0715417817399,572.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,inf,0.007157451295398536,8110909.665831634,0.0,0.08150784628731862,-0.09933333333333268,0.0,0.030627971036093576,-0.3150972222222207
2,0.008089081362769725,8.571428571428571,9.045748029436385,9.045748029436385,2.869999999999983,0,1,78.33810593187809,287,9.006969691330454,"[0.0, 0.09045748029436386, -0.0956666666666661]",0.2,0.2,0,48,48,0,0,48,0,46,2,46,2,244.06000000000188,697.8000000000167,24406,69780,7.676252199977171,33.52137610001955,3.3928571428571423,4.796582914534069,4.796582914534069,4.736099287149753,5.084583333333373,1.0,100.0,0.0,0.0,0.0,0.0,4.285714285714286,3.3928571428571423,2.6506481045490857,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.6617578778948103,1.8837029593331471,5.78132084437779,4.796582914534069,2.736911030840053,7.142857142857142,7.714264733450755,9.045748029436385,0.0,1.6617578778948103,1.8837029593331471,5.78132084437779,4.796582914534069,2.736911030840053,7.142857142857142,7.714264733450755,9.045748029436385,1.9000000000000015,2.4169999999999923,2.617499999999988,3.559999999999968,5.084583333333373,5.460261729965525,5.019999999999937,5.969999999999919,30.00000000000189,5.134404453448951,5.135072747376398,17.493634004858905,59.36926105618477,54.46071764937096,56.73459446348338,69.6471620760858,75.18818906918169,293.60167760786135,-0.30029360167762675,1.6016524757317627,1.8235978248065412,5.688108122973,4.736099287149753,2.7647587892740577,7.106615073159368,7.676231771091321,9.006969691330454,-300293.6016776268,1601652.4757317626,1823597.8248065412,5688108.122973,4736099.2871497525,2764758.789274058,7106615.073159368,7676231.771091321,9006969.691330453,190.0,241.7,261.75,356.0,508.4583333333333,546.0261729965168,502.0,597.0000000000002,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,inf,0.008089081362769725,9006969.691330453,0.0,0.09045748029436386,-0.0956666666666661,0.0,0.04796582914534069,-0.16948611111110978
3,0.008089081362769725,8.571428571428571,9.045748029436385,9.045748029436385,2.869999999999983,0,1,78.33810593187809,287,9.006969691330454,"[0.0, 0.09045748029436386, -0.0956666666666661]",0.2,0.2,0,48,48,0,0,48,0,47,1,47,1,225.93000000000146,923.7300000000181,22593,92373,9.288881499960553,42.93211069999961,3.630952380952381,5.0569584256126765,5.0569584256126765,5.000044290193135,4.70687500000003,1.0,100.0,0.0,0.0,0.0,0.0,5.714285714285714,3.630952380952381,2.8415995862571455,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8828544616699219,1.8837029593331474,6.280206952776227,5.0569584256126765,2.797625978456009,7.228057043892997,8.270003727504186,9.045748029436385,0.0,1.8828544616699219,1.8837029593331474,6.280206952776227,5.0569584256126765,2.797625978456009,7.228057043892997,8.270003727504186,9.045748029436385,1.7200000000000013,2.4609999999999914,2.7074999999999863,2.8949999999999823,4.70687500000003,4.9659180740031665,5.009999999999938,5.618999999999925,30.00000000000189,5.134400200098753,5.135107550238899,14.37244349807952,60.40330955013633,53.71875287424533,51.67121194674099,71.84493936598301,76.5765051111579,291.24543695989996,-0.3002912454369788,1.8227493265276133,1.8235978246004845,6.247001467693348,5.000044290193135,2.824899622095717,7.190962221304996,8.231898317069584,9.006969691330454,-300291.2454369788,1822749.3265276132,1823597.8246004845,6247001.4676933475,5000044.290193136,2824899.622095717,7190962.221304997,8231898.317069584,9006969.691330453,172.0,246.1,270.75,289.5,470.6875,496.5918074002866,501.0,561.9000000000001,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,inf,0.008089081362769725,9006969.691330453,0.0,0.09045748029436386,-0.0956666666666661,0.0,0.050569584256126766,-0.156895833333333
4,0.008089081362769725,8.571428571428571,9.045748029436385,9.045748029436385,2.869999999999983,0,1,78.33810593187809,287,9.006969691330454,"[0.0, 0.09045748029436386, -0.0956666666666661]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,186.81999999999815,1110.5500000000163,18682,111055,5.44474349997472,48.486784200009424,3.869047619047619,5.324145725795201,5.324145725795201,5.275177596810748,3.8920833333332947,1.0,100.0,0.0,0.0,0.0,0.0,5.714285714285714,3.869047619047619,2.7657762274973674,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8833885192871096,1.8869699750627789,6.770354679652622,5.324145725795201,2.755908647817151,7.325096130371094,8.39290155683245,9.045748029436385,0.0,1.8833885192871096,1.8869699750627789,6.770354679652622,5.324145725795201,2.755908647817151,7.325096130371094,8.39290155683245,9.045748029436385,1.9100000000000015,2.376999999999993,2.574999999999989,2.8449999999999833,3.8920833333332947,1.803728728603265,5.009999999999938,5.712999999999923,9.56999999999984,5.134399946779013,5.135202290736925,18.435023030642697,60.442184165120125,47.295651120029255,27.04381841661608,70.40643647871912,75.84414211511613,78.33810593187809,-0.10344982345119454,1.8232833838933564,1.826864760280104,6.735794237468458,5.275177596810748,2.7657036341054955,7.287950723934615,8.354695712690337,9.006969691330454,-103449.82345119453,1823283.3838933564,1826864.7602801041,6735794.237468457,5275177.596810748,2765703.634105495,7287950.723934615,8354695.712690336,9006969.691330453,191.0,237.7,257.5,284.5,389.2083333333333,180.37287286033035,501.0,571.3,957.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,inf,0.008089081362769725,9006969.691330453,0.0,0.09045748029436386,-0.0956666666666661,0.0,0.05324145725795201,-0.1297361111111098
5,0.008089081362769725,8.571428571428571,9.045748029436385,9.045748029436385,2.869999999999983,0,1,78.33810593187809,287,9.006969691330454,"[0.0, 0.09045748029436386, -0.0956666666666661]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,178.9599999999983,1289.5100000000145,17896,128951,6.283023500000127,54.88773479999509,4.821428571428572,6.1136224156334285,6.1136224156334285,6.0662835136822695,3.728333333333298,1.0,100.0,0.0,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,4.821428571428572,2.3442105556565735,5.714285714285714,8.571428571428571,8.571428571428571,0.0,2.9866115025111606,3.799160548618862,7.211309160505023,6.1136224156334285,2.369151703454112,7.6916851316179535,8.6487546648298,9.045748029436385,0.0,2.9866115025111606,3.799160548618862,7.211309160505023,6.1136224156334285,2.369151703454112,7.6916851316179535,8.6487546648298,9.045748029436385,1.7500000000000013,2.4239999999999924,2.677499999999987,2.8249999999999837,3.728333333333298,1.7240351568985177,5.009999999999938,5.779999999999921,10.95999999999981,5.134423855459318,18.434500226883394,34.71278374655958,69.73364905640483,55.56861782650185,25.02384545787877,73.04469504766166,77.03074484243989,93.9190598934656,-0.11969391905989157,2.921103630796607,3.7615321972316567,7.1672396789040524,6.0662835136822695,2.3809140298073013,7.6541873267637675,8.610288020374117,9.006969691330454,-119693.91905989157,2921103.630796607,3761532.197231657,7167239.678904053,6066283.513682269,2380914.029807301,7654187.326763768,8610288.020374116,9006969.691330453,175.0,242.4,267.75,282.5,372.8333333333333,172.40351568985542,501.0,578.0,1096.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,inf,0.008089081362769725,9006969.691330453,0.0,0.09045748029436386,-0.0956666666666661,0.0,0.061136224156334296,-0.1242777777777766
6,0.008274728088378914,8.571428571428571,9.244728088378906,9.244728088378906,2.909999999999982,0,1,79.17308845371008,291,9.205548915290452,"[0.0, 0.09244728088378906, -0.09699999999999939]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,163.60999999999862,1453.120000000013,16361,145312,6.174989099963568,61.21673240000382,5.05952380952381,6.423053287324453,6.423053287324453,6.378911780643208,3.408541666666638,1.0,100.0,0.0,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.05952380952381,2.4215292389057135,5.714285714285714,8.571428571428571,8.571428571428571,1.8831906999860493,2.6921882629394536,4.865981510707311,7.142857142857142,6.423053287324453,2.28578588753522,7.953151294163295,8.81079946245466,9.244728088378906,1.8831906999860493,2.6921882629394536,4.865981510707311,7.142857142857142,6.423053287324453,2.28578588753522,7.953151294163295,8.81079946245466,9.244728088378906,1.8700000000000014,2.479999999999991,2.6474999999999875,2.809999999999984,3.408541666666638,1.250754754776953,4.844999999999941,5.709999999999923,5.959999999999917,5.134581227117451,14.44512163340842,40.36951903812587,67.99834283813834,56.09001457632636,24.85283591618717,74.14934158697724,77.3820898592472,79.17308845371008,1.8230855652084896,2.626543815091544,4.836941141188272,7.10654076866699,6.378911780643208,2.2940431629709064,7.9151271448217075,8.772222080364802,9.205548915290452,1823085.5652084895,2626543.815091544,4836941.141188272,7106540.768666991,6378911.78064321,2294043.1629709066,7915127.144821707,8772222.080364801,9205548.915290453,187.0,248.0,264.75,281.0,340.8541666666667,125.07547547769795,484.5,571.0,596.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,inf,0.008274728088378914,9205548.915290453,0.0,0.09244728088378906,-0.09699999999999939,0.0,0.06423053287324451,-0.1136180555555546
7,0.00831203222365607,8.571428571428571,9.275365556989398,9.275365556989398,2.8899999999999824,0,1,79.2207797318697,289,9.236386336209666,"[0.0, 0.09275365556989397, -0.09633333333333274]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,154.8699999999988,1607.9900000000118,15487,160799,5.9765195999643765,67.32671049999772,5.892857142857143,7.425170228594825,7.425170228594825,7.382838305559834,3.2264583333333086,1.0,100.0,0.0,0.0,5.714285714285714,5.714285714285714,5.714285714285714,5.892857142857143,1.5871775745206407,5.714285714285714,8.571428571428571,8.571428571428571,1.858858380998884,6.624354226248605,7.142857142857142,7.676065989903041,7.425170228594825,1.4922380476569308,8.188088280814036,8.999482836042132,9.275365556989398,1.858858380998884,6.624354226248605,7.142857142857142,7.676065989903041,7.425170228594825,1.4922380476569308,8.188088280814036,8.999482836042132,9.275365556989398,1.8200000000000014,2.497999999999991,2.6849999999999867,2.7799999999999847,3.2264583333333086,1.3992043715139708,2.8824999999999825,5.507999999999927,9.929999999999833,4.9885841282011825,59.05718096420169,67.08253633789718,72.91217794641852,67.33970165753165,15.634012457337475,75.17432620190084,77.7799506854266,79.2207797318697,1.7987533924147563,6.590165169067641,7.097914225286102,7.638543077668407,7.382838305559834,1.4956468615375722,8.149613036145817,8.936165056091447,9.236386336209666,1798753.3924147564,6590165.169067641,7097914.225286102,7638543.077668407,7382838.3055598335,1495646.8615375722,8149613.0361458175,8936165.056091446,9236386.336209666,182.0,249.8,268.5,278.0,322.6458333333333,139.92043715140005,288.25,550.8000000000001,993.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,inf,0.00831203222365607,9236386.336209666,0.0,0.09275365556989397,-0.09633333333333274,0.0,0.07425170228594825,-0.10754861111111029
8,0.008430082557314925,8.571428571428571,9.396749223981585,9.396749223981585,2.899999999999982,0,1,79.6643740311265,290,9.357669559607555,"[0.0, 0.09396749223981585, -0.09666666666666607]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,153.68999999999886,1761.6800000000108,15369,176168,5.033219500037376,72.45617250003852,5.535714285714285,7.018795354025705,7.018795354025705,6.976714722705993,3.2018749999999763,1.0,100.0,0.0,0.0,2.857142857142857,5.0,5.714285714285714,5.535714285714285,2.213613569260363,5.714285714285714,8.571428571428571,8.571428571428571,1.8837411063058036,3.093567439488002,5.886000224522181,7.6929841722760886,7.018795354025705,2.0808038198148635,8.500565801348005,9.059172766549247,9.396749223981585,1.8837411063058036,3.093567439488002,5.886000224522181,7.6929841722760886,7.018795354025705,2.0808038198148635,8.500565801348005,9.059172766549247,9.396749223981585,2.0400000000000005,2.53499999999999,2.719999999999986,2.819999999999984,3.2018749999999763,1.0660492801499775,2.8924999999999823,5.383999999999932,5.779999999999921,5.1344025591388345,18.821022256831203,51.365366134792566,72.70059007033706,61.8813197109636,21.822392368379727,76.14850979857147,78.23869326040149,79.6643740311265,1.8236359718819946,3.0259986195191377,5.853473859156047,7.655511471763214,6.976714722705993,2.0889014442917184,8.462289652838207,9.020364471048747,9.357669559607555,1823635.9718819945,3025998.6195191382,5853473.859156047,7655511.471763214,6976714.722705994,2088901.4442917185,8462289.652838206,9020364.471048746,9357669.559607554,204.0,253.5,272.0,282.0,320.1875,106.60492801500001,289.25,538.4000000000002,578.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,inf,0.008430082557314925,9357669.559607554,0.0,0.09396749223981585,-0.09666666666666607,0.0,0.07018795354025704,-0.10672916666666586
9,0.008430082557314925,8.571428571428571,9.396749223981585,9.396749223981585,2.899999999999982,0,1,79.6643740311265,290,9.357669559607555,"[0.0, 0.09396749223981585, -0.09666666666666607]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,143.19999999999902,1904.8800000000097,14320,190488,5.379117100033909,77.9528761000256,5.2976190476190474,7.072939929508028,7.072939929508028,7.03304356714807,2.983333333333313,1.0,100.0,0.0,0.0,2.857142857142857,5.0,5.714285714285714,5.2976190476190474,1.843316972285955,5.714285714285714,8.571428571428571,8.571428571428571,1.8835013253348216,4.746377127511161,5.959677015032087,7.351482936314174,7.072939929508028,1.6634078026262726,8.182542664664131,9.048305783952985,9.396749223981585,1.8835013253348216,4.746377127511161,5.959677015032087,7.351482936314174,7.072939929508028,1.6634078026262726,8.182542664664131,9.048305783952985,9.396749223981585,1.8000000000000014,2.0380000000000007,2.439999999999992,2.7549999999999852,2.983333333333313,1.1704634647105243,2.8374999999999835,5.0759999999999375,7.309999999999889,5.135624127637129,39.11392191573977,52.14947736822069,70.57570127397776,63.02902662470615,16.886227671584678,75.27946398407221,78.02987024784089,79.88179932720959,1.8233961897106945,4.716748013619147,5.925874865554719,7.314512360612899,7.03304356714807,1.6630718966820464,8.144467385200148,9.009597754082737,9.357669559607555,1823396.1897106946,4716748.013619147,5925874.865554718,7314512.360612899,7033043.56714807,1663071.8966820461,8144467.3852001475,9009597.754082737,9357669.559607554,180.0,203.8,244.0,275.5,298.3333333333333,117.04634647105487,283.75,507.6000000000001,731.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,inf,0.008430082557314925,9357669.559607554,0.0,0.09396749223981585,-0.09666666666666607,0.0,0.07072939929508028,-0.09944444444444378
10,0.00852092320033483,8.571428571428571,9.490923200334823,9.490923200334823,2.909999999999982,0,1,80.10802876204252,291,9.45174309230606,"[0.0, 0.09490923200334823, -0.09699999999999939]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,144.36999999999904,2049.2500000000086,14437,204925,5.1165409999666736,83.17971719999332,5.654761904761904,7.253400882085164,7.253400882085164,7.2132590048625715,3.0077083333333134,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.654761904761904,1.9768716554066208,5.714285714285714,8.571428571428571,8.571428571428571,1.8835176740373882,5.188585553850447,6.841199057442801,7.760447093418666,7.253400882085164,1.6859165922712853,8.387731824602398,9.04031208583287,9.490923200334823,1.8835176740373882,5.188585553850447,6.841199057442801,7.760447093418666,7.253400882085164,1.6859165922712853,8.387731824602398,9.04031208583287,9.490923200334823,1.9100000000000015,2.1439999999999984,2.6149999999999882,2.774999999999985,3.0077083333333134,1.0207967467933294,2.862499999999983,4.358999999999956,6.379999999999908,5.135435718068038,43.824682895094156,61.154094783589244,73.0134604498744,64.79388925920163,17.223499186076932,75.82259959541261,78.03020717874169,80.10802876204252,1.8234125386016709,5.158601729167552,6.806537903348017,7.7162240799582165,7.2132590048625715,1.690756262102365,8.349531002036617,9.001604055910995,9.45174309230606,1823412.5386016709,5158601.729167552,6806537.9033480175,7716224.079958215,7213259.004862573,1690756.2621023653,8349531.002036617,9001604.055910995,9451743.09230606,191.0,214.4,261.5,277.5,300.7708333333333,102.0796746793351,286.25,435.9000000000004,638.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,inf,0.00852092320033483,9451743.09230606,0.0,0.09490923200334823,-0.09699999999999939,0.0,0.07253400882085163,-0.10025694444444377
