generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max,front0_size,best_rank,best_crowding,best_priority_score,best_scalar_fitness,best_obj_finished,best_obj_progress,best_obj_neg_time,best_obj_neg_crashes,mean_obj_finished,mean_obj_progress,mean_obj_neg_time,mean_obj_neg_crashes
1,0.0059321973746163555,5.714285714285714,7.85219737461635,7.85219737461635,2.759999999999985,0,1,73.4302780777216,276,7.814523944338272,"[0.0, 0.0785219737461635, -0.0919999999999995, -1.0]",0.2,0.2,0,48,48,0,0,48,0,43,5,43,5,355.47000000000696,355.47000000000696,35547,35547,20.375110600027256,20.468271200021263,2.142857142857143,3.1256484417688277,3.1256484417688277,3.0425770411915725,7.405625000000145,1.0,100.0,0.0,0.0,0.0,0.0,1.4285714285714286,2.142857142857143,2.369017707396714,3.5714285714285716,5.714285714285714,5.714285714285714,0.0,0.0,1.8833283015659879,2.447283608572824,3.1256484417688277,2.502787102237924,3.7799971444266185,7.1949645451137005,7.85219737461635,0.0,0.0,1.8833283015659879,2.447283608572824,3.1256484417688277,2.502787102237924,3.7799971444266185,7.1949645451137005,7.85219737461635,2.2299999999999964,2.6629999999999874,5.009999999999938,5.009999999999938,7.405625000000145,7.8107993899078005,5.722499999999922,14.586000000000572,30.00000000000189,5.134400961920619,5.134609734496917,5.135403044630948,18.435209270308405,56.81724392057807,84.27317343385232,66.98842491954565,139.01538441390824,293.600469464669,-0.3002936004694836,-0.1529973637606149,1.8232231662018474,2.382822122401715,3.0425770411915725,2.5443569528790047,3.7112957901333785,7.155887256927718,7.814523944338272,-300293.6004694836,-152997.3637606149,1823223.1662018474,2382822.122401715,3042577.041191573,2544356.9528790046,3711295.7901333785,7155887.256927718,7814523.944338272,223.0,266.3,501.0,501.0,740.5625,781.079938990722,572.25,1458.6000000000095,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,inf,0.0059321973746163555,7814523.944338272,0.0,0.0785219737461635,-0.0919999999999995,-1.0,0.0,0.031256484417688274,-0.24685416666666496,-0.8958333333333334
2,0.005934660579136445,5.714285714285714,7.854660579136439,7.854660579136439,2.759999999999985,0,1,73.55472715944052,276,7.81698702440928,"[0.0, 0.0785466057913644, -0.0919999999999995, -1.0]",0.2,0.2,0,48,48,0,0,48,0,42,6,42,6,355.87000000000944,711.3400000000164,35587,71134,13.783395399979781,34.393065300013404,2.7976190476190474,3.995159864425659,3.995159864425659,3.912200503272299,7.41395833333353,1.0,100.0,0.0,0.0,0.0,0.0,2.857142857142857,2.7976190476190474,2.5747058040335915,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.0,1.8836184910365512,3.0720383780343195,3.995159864425659,2.792136847929397,7.142857142857142,7.37084334237235,7.854660579136439,0.0,0.0,1.8836184910365512,3.0720383780343195,3.995159864425659,2.792136847929397,7.142857142857142,7.37084334237235,7.854660579136439,1.8700000000000014,2.4469999999999916,2.6524999999999874,5.009999999999938,7.41395833333353,8.672220914022432,5.734999999999922,30.00000000000189,30.00000000000189,5.1344045819714665,5.134763223168557,15.250691759374604,52.72034475579858,69.77782002493934,88.26639029606666,69.25800816528499,293.5997521352139,293.6060655331239,-0.30029360606555205,-0.30029359975215414,1.8235133559572352,3.0048699427313785,3.912200503272299,2.8444918177761798,7.106564391365181,7.32504415279432,7.81698702440928,-300293.60606555204,-300293.59975215414,1823513.3559572352,3004869.9427313786,3912200.5032722987,2844491.81777618,7106564.391365181,7325044.15279432,7816987.02440928,187.0,244.7,265.25,501.0,741.3958333333334,867.2220914021806,573.5,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,inf,0.005934660579136445,7816987.02440928,0.0,0.0785466057913644,-0.0919999999999995,-1.0,0.0,0.0399515986442566,-0.2471319444444431,-0.875
3,0.006935570693243123,8.571428571428571,8.888904026576451,8.888904026576451,2.859999999999983,0,1,77.45056731253862,286,8.85022657600914,"[0.0, 0.08888904026576451, -0.09533333333333277, -1.0]",0.2,0.2,0,48,48,0,0,48,0,47,1,47,1,211.0200000000001,922.3600000000165,21102,92236,6.670454499952029,41.17106219998095,3.4523809523809526,4.690999644143241,4.690999644143241,4.637196861763318,4.396250000000002,1.0,100.0,0.0,0.0,0.0,0.0,4.285714285714286,3.4523809523809526,2.732914353154523,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.3768882751464844,1.883561270577567,5.8199392046247205,4.690999644143241,2.8280104312841647,7.142857142857142,7.865171977451869,8.888904026576451,0.0,0.3768882751464844,1.883561270577567,5.8199392046247205,4.690999644143241,2.8280104312841647,7.142857142857142,7.865171977451869,8.888904026576451,1.6800000000000013,2.308999999999995,2.584999999999989,2.954999999999981,4.396250000000002,4.0175161402914075,5.009999999999938,5.81999999999992,30.00000000000189,5.134454101906158,5.135284245375805,18.362055156527276,54.20705525577068,48.61571325593786,44.19890154682733,67.29524135403335,74.3511363863945,293.60131856263615,-0.30029360131858157,0.3154337755411225,1.8234561352679588,5.7880385587307375,4.637196861763318,2.847995565277064,7.106715012970504,7.827468293728121,8.85022657600914,-300293.60131858155,315433.77554112254,1823456.135267959,5788038.558730737,4637196.861763318,2847995.5652770638,7106715.012970504,7827468.293728121,8850226.57600914,168.0,230.9,258.5,295.5,439.625,401.75161402911624,501.0,582.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,inf,0.006935570693243123,8850226.57600914,0.0,0.08888904026576451,-0.09533333333333277,-1.0,0.0,0.04690999644143241,-0.14654166666666543,-0.9791666666666666
4,0.006935570693243123,8.571428571428571,8.888904026576451,8.888904026576451,2.859999999999983,0,1,77.45056731253862,286,8.85022657600914,"[0.0, 0.08888904026576451, -0.09533333333333277, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,154.08999999999884,1076.4500000000153,15409,107645,5.483153200009838,46.74701130000176,4.642857142857143,6.096531095958891,6.096531095958891,6.054375867978206,3.210208333333309,1.0,100.0,0.0,0.0,0.0,5.0,5.714285714285714,4.642857142857143,2.3053472298853674,5.714285714285714,5.714285714285714,8.571428571428571,1.8810817173549106,1.883674621582031,5.666007995605469,6.838253566196986,6.096531095958891,2.079898969929943,7.142857142857142,7.979341506958009,8.888904026576451,1.8810817173549106,1.883674621582031,5.666007995605469,6.838253566196986,6.096531095958891,2.079898969929943,7.142857142857142,7.979341506958009,8.888904026576451,1.9400000000000015,2.3279999999999945,2.52499999999999,2.634999999999988,3.210208333333309,1.2626897375300954,2.899999999999982,5.009999999999938,7.309999999999889,5.134746269643074,5.135327418657107,48.787264225005856,61.12321373820305,53.14464735268515,23.40575980274315,68.02637865580618,74.24344000592828,77.45974841713905,1.8209765815419214,1.8235694867692258,5.603384208341244,6.803292442983247,6.054375867978206,2.0880458152591395,7.107292372662103,7.941507263814201,8.85022657600914,1820976.5815419215,1823569.4867692257,5603384.208341244,6803292.442983247,6054375.867978205,2088045.815259139,7107292.372662104,7941507.263814202,8850226.57600914,194.0,232.8,252.5,263.5,321.0208333333333,126.26897375301223,290.0,501.0,731.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,inf,0.006935570693243123,8850226.57600914,0.0,0.08888904026576451,-0.09533333333333277,-1.0,0.0,0.0609653109595889,-0.10700694444444363,-1.0
5,0.007303432806105847,8.571428571428571,9.266766139439174,9.266766139439174,2.8899999999999824,0,1,79.22102838009596,289,9.227786918410793,"[0.0, 0.09266766139439174, -0.09633333333333274, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,153.50999999999883,1229.9600000000141,15351,122996,5.468952299968805,52.33942229999229,5.1190476190476195,6.663259097508022,6.663259097508022,6.621218824092625,3.1981249999999757,1.0,100.0,0.0,0.0,2.857142857142857,5.0,5.714285714285714,5.1190476190476195,2.1789291925860863,5.714285714285714,8.571428571428571,8.571428571428571,1.8836212158203125,3.0674994332449774,6.142364229474749,7.142857142857142,6.663259097508022,2.0189218700239286,8.019926207406181,8.873646327427455,9.266766139439174,1.8836212158203125,3.0674994332449774,6.142364229474749,7.142857142857142,6.663259097508022,2.0189218700239286,8.019926207406181,8.873646327427455,9.266766139439174,1.6500000000000012,2.2609999999999957,2.572499999999989,2.7399999999999856,3.1981249999999757,1.177500276450757,2.8749999999999827,5.333999999999932,5.879999999999919,5.13440463040024,18.435427636695387,53.93620050512254,68.5457815034315,59.02341539691952,21.917371590075323,74.41524456255138,77.45312713459134,79.22102838009596,1.8235160807586621,3.0002209973619935,6.109585293274244,7.10714184219385,6.621218824092625,2.024642021375297,7.982051792137571,8.835068868132893,9.227786918410793,1823516.0807586622,3000220.997361994,6109585.293274244,7107141.84219385,6621218.824092624,2024642.0213752973,7982051.792137572,8835068.868132893,9227786.918410793,165.0,226.1,257.25,274.0,319.8125,117.75002764507813,287.5,533.4000000000001,588.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,inf,0.007303432806105847,9227786.918410793,0.0,0.09266766139439174,-0.09633333333333274,-1.0,0.0,0.06663259097508022,-0.10660416666666585,-1.0
6,0.007503705291748054,8.571428571428571,9.473705291748047,9.473705291748047,2.909999999999982,0,1,80.10794790834188,291,9.434525183800138,"[0.0, 0.09473705291748047, -0.09699999999999939, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,156.92999999999876,1386.8900000000128,15693,138689,5.72287579998374,58.1735055000172,5.476190476190477,6.9410567056565045,6.9410567056565045,6.898299501499669,3.269374999999974,1.0,100.0,0.0,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,5.476190476190477,2.3928275288383074,5.714285714285714,8.571428571428571,8.571428571428571,0.5801173618861608,2.993316105433873,6.820096969604492,7.343109675816127,6.9410567056565045,2.171426894460578,8.263085229056223,8.966325214930942,9.473705291748047,0.5801173618861608,2.993316105433873,6.820096969604492,7.343109675816127,6.9410567056565045,2.171426894460578,8.263085229056223,8.966325214930942,9.473705291748047,1.8600000000000014,2.5159999999999902,2.6574999999999873,2.7999999999999843,3.269374999999974,1.4238012593201275,2.8824999999999825,5.009999999999938,10.609999999999818,5.134625433376641,26.2448202747677,63.55947745591402,71.19699108228087,63.45415683626819,21.793326093869076,75.71341338567436,78.08522773459553,100.17261988396058,0.520004992254832,2.928151720164279,6.78548602021875,7.30613910065609,6.898299501499669,2.179079456215399,8.223709748719124,8.927577261540444,9.434525183800138,520004.992254832,2928151.720164279,6785486.0202187495,7306139.100656089,6898299.501499669,2179079.456215399,8223709.748719122,8927577.261540445,9434525.183800139,186.0,251.6,265.75,280.0,326.9375,142.38012593201577,288.25,501.0,1061.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,inf,0.007503705291748054,9434525.183800139,0.0,0.09473705291748047,-0.09699999999999939,-1.0,0.0,0.06941056705656506,-0.10897916666666581,-1.0
7,0.007550347217378168,8.571428571428571,9.523680550711495,9.523680550711495,2.9199999999999817,0,1,80.42576400190592,292,9.484400124947491,"[0.0, 0.09523680550711494, -0.09733333333333273, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,155.6999999999988,1542.5900000000115,15570,154259,5.451195499976166,63.73371020000195,5.595238095238095,7.007362785793485,7.007362785793485,6.964863532373564,3.243749999999975,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.595238095238095,2.4016953573609543,6.428571428571429,8.571428571428571,8.571428571428571,1.8835994175502233,3.071021488734654,6.33382933480399,7.529382705688477,7.007362785793485,2.132546471689317,8.463684490748815,9.16603606087821,9.523680550711495,1.8835994175502233,3.071021488734654,6.33382933480399,7.529382705688477,7.007362785793485,2.132546471689317,8.463684490748815,9.16603606087821,9.523680550711495,1.9600000000000015,2.3569999999999935,2.669999999999987,2.819999999999984,3.243749999999975,1.1837856383230625,2.912499999999982,5.009999999999938,7.24999999999989,5.134462223970331,18.435746337051388,55.98185848072171,71.7876708805561,61.753419921061926,22.36911163446437,75.93154477141798,78.7789480701089,80.42576400190592,1.8234942823110811,3.0038430529883176,6.300498352945509,7.4914609241338965,6.964863532373564,2.1394673817334056,8.425458559380466,9.127157281868199,9.484400124947491,1823494.2823110812,3003843.052988318,6300498.352945509,7491460.924133897,6964863.532373565,2139467.3817334054,8425458.559380466,9127157.281868199,9484400.124947492,196.0,235.7,267.0,282.0,324.375,118.37856383230876,291.25,501.0,725.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,inf,0.007550347217378168,9484400.124947492,0.0,0.09523680550711494,-0.09733333333333273,-1.0,0.0,0.07007362785793486,-0.10812499999999915,-1.0
8,0.007550347217378168,8.571428571428571,9.523680550711495,9.523680550711495,2.9199999999999817,0,1,80.42576400190592,292,9.484400124947491,"[0.0, 0.09523680550711494, -0.09733333333333273, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,155.7599999999988,1698.3500000000104,15576,169835,5.7292903999914415,69.59332159999758,5.476190476190477,7.029305128824144,7.029305128824144,6.986792664595746,3.244999999999975,1.0,100.0,0.0,0.0,2.857142857142857,5.0,5.714285714285714,5.476190476190477,2.3206653201926106,5.714285714285714,8.571428571428571,8.571428571428571,1.8832342965262279,3.066515786307199,6.041239329746792,7.6741790771484375,7.029305128824144,2.18969578241007,8.484935079302106,9.299712044852122,9.523680550711495,1.8832342965262279,3.066515786307199,6.041239329746792,7.6741790771484375,7.029305128824144,2.18969578241007,8.484935079302106,9.299712044852122,9.523680550711495,1.9500000000000015,2.338999999999994,2.7399999999999856,2.8249999999999837,3.244999999999975,1.2414457297844055,2.9249999999999816,5.009999999999938,8.589999999999861,5.13484665582655,18.43873028696762,55.095942148938775,73.12640777230263,62.464228397613624,22.84140480362997,76.69332900084555,79.66355815157294,87.14606607504538,1.8231291614487828,2.9991773508058843,6.0087113582219756,7.636706378861714,6.986792664595746,2.1971514323686194,8.44663382205549,9.260702690913845,9.484400124947491,1823129.1614487828,2999177.3508058847,6008711.358221975,7636706.378861714,6986792.6645957455,2197151.4323686194,8446633.822055489,9260702.690913847,9484400.124947492,195.0,233.9,274.0,282.5,324.5,124.14457297844316,292.5,501.0,859.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,inf,0.007550347217378168,9484400.124947492,0.0,0.09523680550711494,-0.09733333333333273,-1.0,0.0,0.07029305128824144,-0.10816666666666581,-1.0
9,0.007550347217378168,8.571428571428571,9.523680550711495,9.523680550711495,2.9199999999999817,0,1,80.42576400190592,292,9.484400124947491,"[0.0, 0.09523680550711494, -0.09733333333333273, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,135.5899999999992,1833.9400000000096,13559,183394,3.7187791999895126,73.41111470002215,6.19047619047619,7.724637360799879,7.724637360799879,7.686320922333014,2.82479166666665,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.19047619047619,2.1295885499997995,8.571428571428571,8.571428571428571,8.571428571428571,1.881425040108817,5.323612213134766,7.417950630187988,8.17348071507045,7.724637360799879,1.7543844673940598,8.72241497039795,9.25380379813058,9.523680550711495,1.881425040108817,5.323612213134766,7.417950630187988,8.17348071507045,7.724637360799879,1.7543844673940598,8.72241497039795,9.25380379813058,9.523680550711495,1.6600000000000013,2.53999999999999,2.7549999999999852,2.809999999999984,2.82479166666665,0.5468050748946499,2.8824999999999825,2.9259999999999815,5.009999999999938,5.135222417186014,45.32384785562754,70.89429199695587,75.27957923710346,68.52180020004168,17.44876278684376,77.0212632920593,79.00293515622616,80.42576400190592,1.8213199042581372,5.293226889286911,7.380904735551567,8.135405435160257,7.686320922333014,1.7557648402876018,8.68393794957747,9.214894886458163,9.484400124947491,1821319.904258137,5293226.889286911,7380904.735551568,8135405.435160256,7686320.922333013,1755764.8402876018,8683937.94957747,9214894.886458162,9484400.124947492,166.0,254.0,275.5,281.0,282.4791666666667,54.68050748946607,288.25,292.6,501.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,inf,0.007550347217378168,9484400.124947492,0.0,0.09523680550711494,-0.09733333333333273,-1.0,0.0,0.07724637360799881,-0.09415972222222169,-1.0
10,0.007678791678292418,8.571428571428571,9.658791678292411,9.658791678292411,2.9399999999999813,0,1,81.4460772946477,294,9.619310232215117,"[0.0, 0.09658791678292411, -0.09799999999999938, -1.0]",0.2,0.2,0,48,48,0,0,48,0,48,0,48,0,135.88999999999922,1969.8300000000088,13589,196983,4.80553150002379,78.32027600001311,6.30952380952381,7.868496860776628,7.868496860776628,7.830116563263378,2.8310416666666502,1.0,100.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,6.30952380952381,1.9306279452651016,8.571428571428571,8.571428571428571,8.571428571428571,3.0539321899414062,5.279182979038784,7.452284949166434,8.335067204066686,7.868496860776628,1.539193816118997,8.893727575029645,9.300154277256556,9.658791678292411,3.0539321899414062,5.279182979038784,7.452284949166434,8.335067204066686,7.868496860776628,1.539193816118997,8.893727575029645,9.300154277256556,9.658791678292411,1.6600000000000013,2.155999999999998,2.769999999999985,2.819999999999984,2.8310416666666502,0.6473028644026472,2.8799999999999826,2.9259999999999815,5.769999999999921,18.438254508982936,44.81016283333302,71.31526162289083,75.81830892153084,69.88084658498899,14.467277000732565,77.5684217326343,79.35372261330485,81.4460772946477,2.986213751686898,5.24889816887595,7.415138633904811,8.296891490403599,7.830116563263378,1.5386681193623086,8.855125006607913,9.261144923533942,9.619310232215117,2986213.751686898,5248898.16887595,7415138.633904811,8296891.490403598,7830116.563263376,1538668.1193623086,8855125.006607912,9261144.923533943,9619310.232215118,166.0,215.6,277.0,282.0,283.1041666666667,64.73028644026603,288.0,292.6,577.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,inf,0.007678791678292418,9619310.232215118,0.0,0.09658791678292411,-0.09799999999999938,-1.0,0.0,0.07868496860776629,-0.09436805555555501,-1.0
