generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max,front0_size,best_rank,best_crowding,best_priority_score,best_scalar_fitness,best_obj_finish,best_obj_progress,best_obj_speed_for_progress,best_obj_safe_progress,best_obj_path_efficiency,mean_obj_finish,mean_obj_progress,mean_obj_speed_for_progress,mean_obj_safe_progress,mean_obj_path_efficiency
1,0.008868084360122682,5.714285714285714,8.123188018798828,8.123188018798828,2.7899999999999845,0,1,74.84703347831964,279,8.08521317176535,"[0.0, 0.08123188018798828, 0.07367731533050541, 0.0, 0.08123188018798828]",0.2,0.2,0,48,48,0,0,48,0,42,6,42,6,373.09000000000907,373.09000000000907,37309,37309,30.205474599963054,30.331356699985918,2.9166666666666665,4.064802896408808,4.064802896408808,3.9782556655953005,7.772708333333522,1.0,100.0,0.0,0.0,0.0,0.0,2.857142857142857,2.9166666666666665,2.5077826705882016,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.0842247009277344,1.8836171286446706,3.065084729875837,4.064802896408808,2.7586260444308373,7.142857142857142,7.425146920340403,8.123188018798828,0.0,0.0842247009277344,1.8836171286446706,3.065084729875837,4.064802896408808,2.7586260444308373,7.142857142857142,7.425146920340403,8.123188018798828,2.52999999999999,2.656999999999987,2.7799999999999847,5.009999999999938,7.772708333333522,8.511548463603706,5.769999999999921,30.00000000000189,30.00000000000189,5.134423548588529,5.135178200536757,18.434550095300438,58.83457747939974,70.14748017152169,88.44148072882416,71.00172509253025,293.55326728553047,293.6005377402762,-0.3002935992612115,0.024104586314677892,1.8235119935212092,2.997766294608197,3.9782556655953005,2.8003882347883127,7.106365309759353,7.384010485594407,8.08521317176535,-300293.5992612115,24104.586314677894,1823511.993521209,2997766.294608197,3978255.6655953005,2800388.2347883126,7106365.309759353,7384010.485594407,8085213.17176535,253.0,265.7,278.0,501.0,777.2708333333334,851.1548463603075,577.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,inf,0.008868084360122682,8085213.17176535,0.0,0.08123188018798828,0.07367731533050541,0.0,0.08123188018798828,0.0,0.04064802896408808,0.03400234460679317,0.0011904761904761904,0.04056807255443254
2,0.008900332378932412,5.714285714285714,8.239522661481585,8.239522661481585,6.239999999999911,0,1,75.25871947221458,624,8.167047402762114,"[0.0, 0.08239522661481585, 0.06525701947893439, 0.0, 0.08239522661481585]",0.2,0.2,0,48,48,0,0,48,0,41,7,41,7,363.7900000000118,736.8800000000208,36379,73688,15.02838299999712,45.521435800008476,3.4523809523809526,4.990472736812773,4.990472736812773,4.906056957926638,7.578958333333579,1.0,100.0,0.0,0.0,0.0,0.0,5.714285714285714,3.4523809523809526,2.6054843605046774,5.714285714285714,5.714285714285714,5.714285714285714,0.0,1.8824419294084822,1.8837411063058036,6.3866506304059705,4.990472736812773,2.7485303666841854,7.394420760018485,7.868049894060408,8.239522661481585,0.0,1.8824419294084822,1.8837411063058036,6.3866506304059705,4.990472736812773,2.7485303666841854,7.394420760018485,7.868049894060408,8.239522661481585,1.8600000000000014,2.53899999999999,2.6999999999999864,3.7349999999999643,7.578958333333579,9.348248552444272,5.709999999999923,30.00000000000189,30.00000000000189,5.134405995719135,5.134735986248415,27.985198547416076,68.95300302281976,84.52888613331015,89.95754948084341,73.7146032564342,293.59850835759426,293.6005377402762,-0.3002936003187611,1.8223367940493724,1.8236359718901802,6.351644102663064,4.906056957926638,2.8060416625860616,7.350124982112643,7.830316147493788,8.167047402762114,-300293.60031876113,1822336.7940493724,1823635.9718901804,6351644.102663063,4906056.9579266375,2806041.6625860613,7350124.982112642,7830316.147493787,8167047.402762114,186.0,253.9,270.0,373.5,757.8958333333334,934.8248552443602,571.0,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,inf,0.008900332378932412,8167047.402762114,0.0,0.08239522661481585,0.06525701947893439,0.0,0.08239522661481585,0.0,0.04990472736812773,0.04266664625368425,0.0017857142857142857,0.049784947092287556
3,0.0097924534883045,8.571428571428571,8.971830095563615,8.971830095563615,2.859999999999983,0,1,77.89803925156593,286,8.933152197524363,"[0.0, 0.08971830095563614, 0.0811651562645322, 0.0, 0.08971830095563614]",0.2,0.2,0,48,48,0,0,48,0,43,5,43,5,337.8600000000087,1074.7400000000296,33786,107474,13.032954299997073,58.65951969998423,4.166666666666667,5.674630573817662,5.674630573817662,5.595198962443199,7.0387500000001815,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.166666666666667,2.4714927966698443,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.4276902335030695,3.071652821132115,7.0309938703264505,5.674630573817662,2.805791486456541,7.986862318856375,8.222919191632952,8.971830095563615,0.0,1.4276902335030695,3.071652821132115,7.0309938703264505,5.674630573817662,2.805791486456541,7.986862318856375,8.222919191632952,8.971830095563615,1.8300000000000014,2.476999999999991,2.7524999999999853,3.0249999999999795,7.0387500000001815,8.472399213771137,5.797499999999921,25.625000000001233,30.00000000000189,5.134876570518827,17.904025188440574,49.94435899370001,72.22249223664403,85.77804112766837,78.30929601049505,75.28499154606834,249.77155518990503,293.6009703424061,-0.30029360097036134,1.3675816502789124,3.004459385915349,6.972629034430549,5.595198962443199,2.857354511286995,7.944699655781886,8.170221598443353,8.933152197524363,-300293.6009703613,1367581.6502789126,3004459.385915349,6972629.034430549,5595198.962443199,2857354.5112869954,7944699.655781886,8170221.598443354,8933152.197524363,183.0,247.7,275.25,302.5,703.875,847.239921377056,579.75,2562.5000000000027,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,inf,0.0097924534883045,8933152.197524363,0.0,0.08971830095563614,0.0811651562645322,0.0,0.08971830095563614,0.0,0.05674630573817663,0.048341927321941154,0.0011904761904761904,0.056621708736883984
4,0.010161198678970338,8.571428571428571,9.311095646449498,9.311095646449498,2.909999999999982,0,1,79.33300615102053,291,9.271916313443349,"[0.0, 0.09311095646449498, 0.08407919368743902, 0.0, 0.09311095646449498]",0.2,0.2,0,48,48,0,0,48,0,45,3,45,3,292.90000000000566,1367.6400000000353,29290,136764,10.323659799993038,69.08963040000526,4.285714285714286,5.895176955631801,5.895176955631801,5.824707089049457,6.102083333333451,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.285714285714286,2.7969857439216024,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8837149483816964,3.020500455583845,7.228551592145647,5.895176955631801,2.7583123485751826,8.328664643423899,8.673131942749025,9.311095646449498,0.0,1.8837149483816964,3.020500455583845,7.228551592145647,5.895176955631801,2.7583123485751826,8.328664643423899,8.673131942749025,9.311095646449498,2.0500000000000003,2.5909999999999886,2.769999999999985,2.8849999999999825,6.102083333333451,7.328876095718652,5.724999999999922,8.142999999999878,30.00000000000189,5.134527072805213,17.87838203774445,35.75859058473725,72.99830828979611,74.03324901004392,70.24196507170059,76.25755454786122,78.47565383333713,293.60053587018047,-0.3002935308159346,1.823609813705261,2.9517070139699815,7.191782388433515,5.824707089049457,2.7916598341790273,8.290413603622614,8.63472522696542,9.271916313443349,-300293.5308159346,1823609.813705261,2951707.0139699816,7191782.388433515,5824707.089049456,2791659.834179027,8290413.6036226135,8634725.22696542,9271916.313443348,205.0,259.1,277.0,288.5,610.2083333333334,732.8876095718148,572.5,814.3000000000006,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,inf,0.010161198678970338,9271916.313443348,0.0,0.09311095646449498,0.08407919368743902,0.0,0.09311095646449498,0.0,0.058951769556318014,0.05004368868744563,0.0011904761904761904,0.05881134731611611
5,0.010441412269955593,8.571428571428571,9.656053270612444,9.656053270612444,5.899999999999919,0,1,81.66225440427661,590,9.58697160835804,"[0.0, 0.09656053270612444, 0.07757029460725356, 0.0, 0.09656053270612444]",0.2,0.2,0,48,48,0,0,48,0,44,4,44,4,301.82000000000653,1669.4600000000419,30182,166946,11.20946520002326,80.40759339998476,4.345238095238095,5.848851941880725,5.848851941880725,5.776727109547584,6.287916666666803,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.345238095238095,2.8565227501671018,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.681778499058315,3.0457128797258646,7.362895693097796,5.848851941880725,3.0048203819289414,8.359420640127999,8.81487328665597,9.656053270612444,0.0,1.681778499058315,3.0457128797258646,7.362895693097796,5.848851941880725,3.0048203819289414,8.359420640127999,8.81487328665597,9.656053270612444,1.5300000000000011,2.6969999999999863,2.809999999999984,2.9249999999999816,6.287916666666803,7.682097412798806,5.729999999999922,10.619000000000163,30.00000000000189,5.129517464505625,17.880610996112956,33.76940535288304,73.70028370246291,78.99899980652981,72.46489709771828,76.45370512455702,117.88934999367973,293.6014122880297,-0.30029360141230693,1.6216733655973188,2.977844441156878,7.3258749064506254,5.776727109547584,3.0470014027053876,8.320969923297614,8.776366133974852,9.58697160835804,-300293.60141230695,1621673.3655973189,2977844.4411568777,7325874.9064506255,5776727.109547584,3047001.4027053877,8320969.923297614,8776366.133974852,9586971.60835804,153.0,269.7,281.0,292.5,628.7916666666666,768.2097412798292,573.0,1061.9000000000065,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,inf,0.010441412269955593,9586971.60835804,0.0,0.09656053270612444,0.07757029460725356,0.0,0.09656053270612444,0.0,0.058488519418807255,0.05051361382007603,0.0011904761904761904,0.05838460116442091
6,0.010441412269955593,8.571428571428571,9.656053270612444,9.656053270612444,5.899999999999919,0,1,81.66225440427661,590,9.58697160835804,"[0.0, 0.09656053270612444, 0.07757029460725356, 0.0, 0.09656053270612444]",0.2,0.2,0,48,48,0,0,48,0,45,3,45,3,276.6900000000049,1946.1500000000467,27669,194615,9.872124399989843,90.36551420000615,5.178571428571428,6.508287304923648,6.508287304923648,6.441191271104743,5.7643750000001015,1.0,100.0,0.0,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.178571428571428,2.836607751772346,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.9347948346819197,4.277463640485491,7.81576429094587,6.508287304923648,2.6507006516887697,8.719771248953684,9.112491880144393,9.656053270612444,0.0,2.9347948346819197,4.277463640485491,7.81576429094587,6.508287304923648,2.6507006516887697,8.719771248953684,9.112491880144393,9.656053270612444,1.9200000000000015,2.573999999999989,2.8024999999999842,2.9199999999999817,5.7643750000001015,6.969077505383907,5.732499999999922,6.989999999999902,30.00000000000189,4.17304213137686,18.447168734481966,44.211620550602674,74.32502580806613,77.28381890286983,63.96960374837151,77.66134083177894,81.19826697967947,293.59990170877427,-0.30028197078038965,2.7949939142734115,4.084840799349418,7.778090785724634,6.441191271104743,2.6869047056221214,8.680819267203136,9.073553029651181,9.58697160835804,-300281.9707803897,2794993.9142734115,4084840.799349418,7778090.785724634,6441191.271104745,2686904.7056221217,8680819.267203137,9073553.029651182,9586971.60835804,192.0,257.40000000000003,280.25,292.0,576.4375,696.9077505383455,573.25,699.0000000000006,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,inf,0.010441412269955593,9586971.60835804,0.0,0.09656053270612444,0.07757029460725356,0.0,0.09656053270612444,0.0,0.06508287304923649,0.05581735240069651,0.0011904761904761904,0.06496260695627587
7,0.010441412269955593,8.571428571428571,9.656053270612444,9.656053270612444,5.899999999999919,0,1,81.66225440427661,590,9.58697160835804,"[0.0, 0.09656053270612444, 0.07757029460725356, 0.0, 0.09656053270612444]",0.2,0.2,0,48,48,0,0,48,0,46,2,46,2,243.33000000000192,2189.4800000000487,24333,218948,9.67934819997754,100.15243049996207,4.642857142857143,5.836965015956333,5.836965015956333,5.776627173528122,5.06937500000004,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.642857142857143,3.0093392047058423,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8833525521414622,3.0561719621930803,6.482583454677037,5.836965015956333,2.95828756316568,8.678741455078125,9.130210331508092,9.656053270612444,0.0,1.8833525521414622,3.0561719621930803,6.482583454677037,5.836965015956333,2.95828756316568,8.678741455078125,9.130210331508092,9.656053270612444,1.8900000000000015,2.674999999999987,2.8349999999999835,3.00499999999998,5.06937500000004,5.384122648371995,5.732499999999922,5.861999999999919,30.00000000000189,5.093788740283344,16.435051404178374,18.438246488665754,70.84456854686141,60.75909487824598,56.01414662858373,77.21336267422885,80.0646157257259,293.5996125099482,-0.3002935996125289,1.8232474169029782,2.988603524566781,6.448223772656387,5.776627173528122,2.9805804369640505,8.634039429364085,9.0913116947861,9.58697160835804,-300293.59961252887,1823247.4169029782,2988603.5245667812,6448223.772656387,5776627.173528123,2980580.4369640504,8634039.429364085,9091311.6947861,9586971.60835804,189.0,267.5,283.5,300.5,506.9375,538.412264837163,573.25,586.2,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,inf,0.010441412269955593,9586971.60835804,0.0,0.09656053270612444,0.07757029460725356,0.0,0.09656053270612444,0.0,0.05836965015956334,0.05073028955289303,0.0005952380952380952,0.05832958663855004
8,0.010441412269955593,8.571428571428571,9.656053270612444,9.656053270612444,5.899999999999919,0,1,81.66225440427661,590,9.58697160835804,"[0.0, 0.09656053270612444, 0.07757029460725356, 0.0, 0.09656053270612444]",0.2,0.2,0,48,48,0,0,48,0,46,2,46,2,247.53000000000182,2437.0100000000507,24753,243701,10.27581189997727,110.53095449996181,4.880952380952381,6.156063363665626,6.156063363665626,6.094848463695606,5.156875000000038,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.880952380952381,2.9714247557973055,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8837165832519531,3.0683135986328125,7.8631591796875,6.156063363665626,2.9899457255651534,8.660624367850167,9.338476453508651,9.656053270612444,0.0,1.8837165832519531,3.0683135986328125,7.8631591796875,6.156063363665626,2.9899457255651534,8.660624367850167,9.338476453508651,9.656053270612444,1.8400000000000014,2.770999999999985,2.8274999999999837,3.2599999999999745,5.156875000000038,5.371498920324343,5.754999999999922,5.9209999999999186,30.00000000000189,5.134524037479423,14.445573770831109,18.440117203073896,74.58816052228212,62.816636686201186,55.74088740428355,78.24038749886677,80.99890398606658,293.3481533708982,-0.300290037532181,1.8236114486125357,3.0010201637005074,7.825335439302746,6.094848463695606,3.0139714887802085,8.621372644548282,9.299497232936918,9.58697160835804,-300290.03753218096,1823611.4486125356,3001020.1637005075,7825335.439302746,6094848.463695607,3013971.488780208,8621372.644548282,9299497.232936919,9586971.60835804,184.0,277.1,282.75,326.0,515.6875,537.1498920323978,575.5,592.1,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,inf,0.010441412269955593,9586971.60835804,0.0,0.09656053270612444,0.07757029460725356,0.0,0.09656053270612444,0.0,0.06156063363665626,0.05340476161430761,0.0005952380952380952,0.06152074533485972
9,0.010441412269955593,8.571428571428571,9.656053270612444,9.656053270612444,5.899999999999919,0,1,81.66225440427661,590,9.58697160835804,"[0.0, 0.09656053270612444, 0.07757029460725356, 0.0, 0.09656053270612444]",0.2,0.2,0,48,48,0,0,48,0,47,1,47,1,194.41000000000045,2631.420000000051,19441,263142,6.635494599991944,117.27983329998096,5.654761904761905,6.907901366551717,6.907901366551717,6.85754048211665,4.050208333333343,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.654761904761905,2.5077826705882016,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.0656220572335378,5.08556502205985,7.876683643886022,6.907901366551717,2.4093768601712013,8.80702563694545,9.129514966692245,9.656053270612444,0.0,3.0656220572335378,5.08556502205985,7.876683643886022,6.907901366551717,2.4093768601712013,8.80702563694545,9.129514966692245,9.656053270612444,1.9900000000000015,2.395999999999993,2.767499999999985,2.8799999999999826,4.050208333333343,3.998596883899721,4.184999999999955,5.791999999999921,30.00000000000189,18.43436991933413,18.776558627517808,47.45153664983809,74.01560229808092,67.13443506749506,39.2729471000387,77.36153776757419,79.04453797936439,293.3481533708982,-0.07285171236946623,2.9983136220568145,5.0550972690291385,7.8375780997745945,6.85754048211665,2.42440826617999,8.768448275407684,9.090706496497821,9.58697160835804,-72851.71236946623,2998313.6220568144,5055097.269029138,7837578.099774595,6857540.48211665,2424408.2661799905,8768448.275407683,9090706.496497821,9586971.60835804,199.0,239.6,276.75,288.0,405.0208333333333,399.859688389947,418.5,579.2,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,inf,0.010441412269955593,9586971.60835804,0.0,0.09656053270612444,0.07757029460725356,0.0,0.09656053270612444,0.0,0.06907901366551718,0.06096792800426489,0.0005952380952380952,0.06903912536372063
10,0.010441412269955593,8.571428571428571,9.656053270612444,9.656053270612444,5.899999999999919,0,1,81.66225440427661,590,9.58697160835804,"[0.0, 0.09656053270612444, 0.07757029460725356, 0.0, 0.09656053270612444]",0.2,0.2,0,48,48,0,0,48,0,47,1,47,1,189.25000000000057,2820.6700000000515,18925,282067,5.83729580004001,123.22539420000976,5.654761904761905,7.029060522715251,7.029060522715251,6.979775362230072,3.942708333333345,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.654761904761905,2.7657762274973674,8.571428571428571,8.571428571428571,8.571428571428571,1.4007404872349332,3.0259001595633372,5.365969794137137,7.94872420174735,7.029060522715251,2.3671196669080894,8.857004983084543,9.346462794712613,9.656053270612444,1.4007404872349332,3.0259001595633372,5.365969794137137,7.94872420174735,7.029060522715251,2.3671196669080894,8.857004983084543,9.346462794712613,9.656053270612444,1.9400000000000015,2.07,2.7474999999999854,2.849999999999983,3.942708333333345,4.018644951754994,4.694999999999944,5.794999999999921,30.00000000000189,3.3541407397642615,18.440919247431886,46.364033438265324,74.75083486363292,66.41048517808713,40.06338904781005,78.20006996579468,80.10814405232668,293.3481533708982,1.3406371330941942,2.957401719446039,5.327673992472116,7.910900098636612,6.979775362230072,2.381016469876966,8.816457505444896,9.307423307517906,9.58697160835804,1340637.133094194,2957401.7194460393,5327673.992472116,7910900.098636611,6979775.362230073,2381016.4698769664,8816457.505444897,9307423.307517907,9586971.60835804,194.0,207.0,274.75,285.0,394.2708333333333,401.86449517547436,469.5,579.5,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,inf,0.010441412269955593,9586971.60835804,0.0,0.09656053270612444,0.07757029460725356,0.0,0.09656053270612444,0.0,0.07029060522715251,0.0621573167040235,0.0005952380952380952,0.07025071692535596
