generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,7891618845639.347,5.714285714285714,7.891624995640346,7.891624995640346,6.149999999999913,0,1,73.75641227886081,615,7891618.845639347,"[0.0, 7.891624995640346, -6.149999999999913, -1.0]",0.1,0.25,0,48,48,0,0,48,0,38,10,38,10,505.11000000001854,505.11000000001854,50511,50511,25.861719299980905,25.921086899994407,2.0238095238095237,2.964443138667516,2.964443138667516,2964432.615541724,10.523125000000386,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0238095238095237,2.3298078322358244,2.857142857142857,5.714285714285714,5.714285714285714,0.0,0.0,1.8829127720424106,2.5537354605538507,2.964443138667516,2.4482258087571434,3.073925290788923,6.94333975655692,7.891624995640346,0.0,0.0,1.8829127720424106,2.5537354605538507,2.964443138667516,2.4482258087571434,3.073925290788923,6.94333975655692,7.891624995640346,2.389999999999993,2.5579999999999896,5.009999999999938,5.709999999999923,10.523125000000386,10.644335965717115,6.214999999999912,30.00000000000189,30.00000000000189,5.134410733124241,5.134635893134691,6.883505275196512,18.43745040675276,87.86904431563835,113.83899438497033,73.28359492961317,293.6007426665281,293.6021735256072,-30.00000000000189,-30.00000000000189,1882907.7620414107,2553718.2705528503,2964432.615541724,2448232.7584355804,3073919.580787923,6943337.268555921,7891618.845639347,-30000000.00000189,-30000000.00000189,1882907762041.4106,2553718270552.8506,2964432615541.724,2448232758435.58,3073919580787.923,6943337268555.92,7891618845639.347,239.0,255.8,501.0,571.0,1052.3125,1064.4335965716305,621.5,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7891618845639.347,5.714285714285714,7.891624995640346,7.891624995640346,6.149999999999913,0,1,73.75641227886081,615,7891618.845639347,"[0.0, 7.891624995640346, -6.149999999999913, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,181.54999999999825,686.6600000000168,18155,68666,5.321296600042842,31.341919900034554,4.285714285714286,5.55388229233878,5.55388229233878,5553878.510046114,3.78229166666663,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.285714285714286,2.1821789023599236,5.714285714285714,5.714285714285714,5.714285714285714,0.36468505859375,1.8837378365652901,3.069918496268136,6.7653574262346545,5.55388229233878,2.219668371669095,7.1449095862252365,7.3426312037876675,7.891624995640346,0.36468505859375,1.8837378365652901,3.069918496268136,6.7653574262346545,5.55388229233878,2.219668371669095,7.1449095862252365,7.3426312037876675,7.891624995640346,1.9400000000000015,2.436999999999992,2.5474999999999897,2.7299999999999858,3.78229166666663,1.4467020534986235,5.009999999999938,5.738999999999923,6.579999999999904,5.134414407191798,5.135515927513916,18.43526406440651,60.419118627905846,48.237819358526394,24.798137688674363,68.27034600824118,70.47100533805788,73.75641227886081,364680.04859275,1883732.82656429,3069912.773767136,6765354.976233654,5553878.510046114,2219669.337703546,7144907.018724237,7342626.326786667,7891618.845639347,364680048592.75,1883732826564.2903,3069912773767.1357,6765354976233.654,5553878510046.113,2219669337703.546,7144907018724.236,7342626326786.668,7891618845639.347,194.0,243.7,254.75,273.0,378.2291666666667,144.6702053498654,501.0,573.9,658.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8115520412077.683,5.714285714285714,8.115523202078682,8.115523202078682,2.7899999999999845,0,1,74.84752682596445,279,8115520.412077683,"[0.0, 8.115523202078682, -2.7899999999999845, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,174.77999999999838,861.4400000000152,17478,86144,6.0295090999570675,37.488456499995664,4.761904761904762,6.376262676148187,6.376262676148187,6376259.034897189,3.641249999999966,1.0,100.0,0.0,0.0,2.857142857142857,5.0,5.714285714285714,4.761904761904762,1.7817416127494958,5.714285714285714,5.714285714285714,5.714285714285714,1.883730207170759,3.019224439348493,6.709559304373605,7.209533963884626,6.376262676148187,1.912945659936322,7.448580605643136,7.688977922712054,8.115523202078682,1.883730207170759,3.019224439348493,6.709559304373605,7.209533963884626,6.376262676148187,1.912945659936322,7.448580605643136,7.688977922712054,8.115523202078682,2.0400000000000005,2.616999999999988,2.679999999999987,2.7399999999999856,3.641249999999966,1.6916912457163134,5.009999999999938,5.725999999999923,11.509999999999799,5.134400304406881,17.894604738950147,59.81568608712405,69.44686632603407,58.12380939469737,22.66838964898483,71.21490409225225,72.8269089691341,74.84752682596445,1883725.1971697588,3019218.713347493,6709556.561872605,7209530.558883626,6376259.034897189,1912946.4195627864,7448577.835642136,7688975.179711054,8115520.412077683,1883725197169.7588,3019218713347.493,6709556561872.605,7209530558883.627,6376259034897.1875,1912946419562.7864,7448577835642.136,7688975179711.054,8115520412077.683,204.0,261.7,268.0,274.0,364.125,169.1691245716349,501.0,572.6,1151.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8449772330843.027,5.714285714285714,8.449775150844028,8.449775150844028,2.819999999999984,0,1,76.14881923794746,282,8449772.330843028,"[0.0, 8.449775150844028, -2.819999999999984, -1.0]",0.1,0.25,0,48,48,0,0,48,0,47,1,47,1,176.36000000000087,1037.800000000016,17636,103780,7.854697600007057,45.4803187000216,5.05952380952381,6.820532140277681,6.820532140277681,6820528.466110035,3.6741666666666846,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.05952380952381,1.569217419817151,5.714285714285714,5.714285714285714,5.714285714285714,1.883664812360491,3.0742345537458147,7.123710087367466,7.381093161446707,6.820532140277681,1.731178385440019,7.725917271205358,8.12844112941197,8.449775150844028,1.883664812360491,3.0742345537458147,7.123710087367466,7.381093161446707,6.820532140277681,1.731178385440019,7.725917271205358,8.12844112941197,8.449775150844028,1.6500000000000012,2.51699999999999,2.6399999999999877,2.7399999999999856,3.6741666666666846,3.9827983427347835,2.7999999999999843,5.44399999999993,30.00000000000189,5.134716706874315,28.349102234635943,65.58713109605014,70.9978801868856,68.07904352567114,37.84187832467353,73.12590735405684,74.97715549990535,293.6008326179581,1883659.8023594911,3074228.8437448144,7123707.477366466,7381090.466445707,6820528.466110035,1731180.2611885376,7725914.528704357,8128438.33941097,8449772.330843028,1883659802359.4912,3074228843744.8145,7123707477366.467,7381090466445.707,6820528466110.034,1731180261188.5374,7725914528704.357,8128438339410.97,8449772330843.027,165.0,251.7,264.0,274.0,367.4166666666667,398.27983427345265,280.0,544.4000000000002,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9373168620095.262,8.571428571428571,9.373171670096262,9.373171670096262,3.049999999999979,0,1,79.72069669514894,305,9373168.620095262,"[0.0, 9.373171670096262, -3.049999999999979, -1.0]",0.1,0.25,0,48,48,0,0,48,0,47,1,47,1,190.00000000000057,1227.8000000000166,19000,122780,6.646208200021647,52.21914950001519,4.642857142857143,6.352095320111229,6.352095320111229,6352091.361776915,3.958333333333345,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.642857142857143,2.3779743280283547,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8836926051548548,5.230048043387276,7.376604080200195,6.352095320111229,2.5321879120832858,8.02929265158517,8.357817241123744,9.373171670096262,0.0,1.8836926051548548,5.230048043387276,7.376604080200195,6.352095320111229,2.5321879120832858,8.02929265158517,8.357817241123744,9.373171670096262,2.06,2.6369999999999876,2.6974999999999865,2.7849999999999846,3.958333333333345,3.984562571837831,4.949999999999939,5.219999999999936,30.00000000000189,5.13453125115484,5.1351777558433245,62.20631942374894,71.20974526926875,63.03159340950424,42.378784194268846,74.88667504116893,75.84441565349698,293.60088348027784,-30.00000000000189,1883687.595153855,5230044.645886276,7376601.385199195,6352091.361776915,2532190.1690127617,8029289.83908417,8357814.431122744,9373168.620095262,-30000000.00000189,1883687595153.855,5230044645886.276,7376601385199.195,6352091361776.917,2532190169012.7617,8029289839084.17,8357814431122.744,9373168620095.262,206.0,263.7,269.75,278.5,395.8333333333333,398.45625718375777,495.0,522.0000000000003,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9465947647162.785,8.571428571428571,9.465950557163785,9.465950557163785,2.909999999999982,0,1,80.10849309712648,291,9465947.647162786,"[0.0, 9.465950557163785, -2.909999999999982, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,149.18999999999892,1376.9900000000155,14919,137699,5.182152599969413,57.52453619998414,5.476190476190477,7.31699199903579,7.31699199903579,7316988.890909791,3.1081249999999776,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.476190476190477,2.0062261364705614,5.714285714285714,8.571428571428571,8.571428571428571,1.8831634521484377,5.067835671561105,7.412419319152832,7.777120045253209,7.31699199903579,1.8339027083639605,8.232993398393905,8.659600939069474,9.465950557163785,1.8831634521484377,5.067835671561105,7.412419319152832,7.777120045253209,7.31699199903579,1.8339027083639605,8.232993398393905,8.659600939069474,9.465950557163785,2.010000000000001,2.6909999999999865,2.727499999999986,2.769999999999985,3.1081249999999776,0.8846271725280469,2.8299999999999836,5.009999999999938,6.0499999999999154,5.135081045569677,42.60056641669944,70.998036775738,73.12634672224522,66.41001441739309,19.851180443322246,75.2800786420703,76.66048454008997,80.10849309712648,1883158.4421474377,5067832.449560105,7412416.616651833,7777117.2952522095,7316988.890909791,1833903.2415864107,8232990.595892903,8659597.374068476,9465947.647162786,1883158442147.4377,5067832449560.1045,7412416616651.832,7777117295252.209,7316988890909.79,1833903241586.4106,8232990595892.904,8659597374068.475,9465947647162.785,201.0,269.1,272.75,277.0,310.8125,88.46271725280657,283.0,501.0,605.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9465947647162.785,8.571428571428571,9.465950557163785,9.465950557163785,2.909999999999982,0,1,80.10849309712648,291,9465947.647162786,"[0.0, 9.465950557163785, -2.909999999999982, -1.0]",0.1,0.25,0,48,48,0,0,48,0,46,2,46,2,212.64000000000254,1589.630000000018,21264,158963,7.975049700005911,65.6241845000186,5.773809523809523,7.150785468873523,7.150785468873523,7150781.038872565,4.430000000000053,1.0,100.0,0.0,0.0,0.0,5.714285714285714,5.714285714285714,5.773809523809523,2.703586892660896,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8835372924804688,7.142857142857142,8.060410363333567,7.150785468873523,2.5822476072302214,8.69828496660505,9.130243301391602,9.465950557163785,0.0,1.8835372924804688,7.142857142857142,8.060410363333567,7.150785468873523,2.5822476072302214,8.69828496660505,9.130243301391602,9.465950557163785,1.6400000000000012,2.6479999999999877,2.769999999999985,2.8299999999999836,4.430000000000053,5.551464521487759,2.902499999999982,5.219999999999936,30.00000000000189,5.134646169433836,28.13496030959068,70.89439807087183,74.84714872390032,75.60157028427147,50.285011887729006,77.13116785511374,79.68074314072729,293.59672127163503,-30.00000000000189,1883532.2824794687,7142854.5803561425,8060407.578332566,7150781.038872565,2582250.972055665,8698282.12660405,9130240.4213906,9465947.647162786,-30000000.00000189,1883532282479.4685,7142854580356.143,8060407578332.566,7150781038872.565,2582250972055.665,8698282126604.05,9130240421390.602,9465947647162.785,164.0,264.8,277.0,283.0,443.0,555.1464521487401,290.25,522.0000000000003,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9475201012815.686,8.571428571428571,9.475203922816686,9.475203922816686,2.909999999999982,0,1,80.06840293109417,291,9475201.012815686,"[0.0, 9.475203922816686, -2.909999999999982, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,153.15999999999883,1742.7900000000168,15316,174279,4.644986900035292,70.37656410003547,5.357142857142858,7.089125315348308,7.089125315348308,7089122.124513975,3.190833333333309,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.357142857142858,2.4484480715718013,5.714285714285714,8.571428571428571,8.571428571428571,1.8828092302594868,3.0044245038713724,5.542400905064174,8.123113087245397,7.089125315348308,2.296784376189387,8.532468250819614,9.21232087271554,9.475203922816686,1.8828092302594868,3.0044245038713724,5.542400905064174,8.123113087245397,7.089125315348308,2.296784376189387,8.532468250819614,9.21232087271554,9.475203922816686,1.8100000000000014,2.4599999999999915,2.757499999999985,2.809999999999984,3.190833333333309,1.012817508515484,2.909999999999982,5.009999999999938,5.779999999999921,5.1356559264531825,17.878771280693762,47.71819205023348,74.81453394889832,61.998244507991636,23.946160591921537,76.56194946356118,78.96737115606666,80.10849309712648,1882804.220258487,3004418.7448703726,5542398.800063174,8123110.297244396,7089122.124513975,2296785.0134645165,8532465.380818613,9212317.662714541,9475201.012815686,1882804220258.4868,3004418744870.3726,5542398800063.174,8123110297244.396,7089122124513.974,2296785013464.5166,8532465380818.613,9212317662714.541,9475201012815.686,181.0,246.0,275.75,281.0,319.0833333333333,101.28175085155053,291.0,501.0,578.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9476315449374.0,8.571428571428571,9.476318359375,9.476318359375,2.909999999999982,0,1,79.90714115649462,291,9476315.449374,"[0.0, 9.476318359375, -2.909999999999982, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,150.2799999999989,1893.0700000000156,15028,189307,5.229564500041306,75.71792790002655,5.654761904761905,7.187984841210501,7.187984841210501,7187981.710376169,3.1308333333333103,1.0,100.0,0.0,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.654761904761905,2.826597635853277,8.571428571428571,8.571428571428571,8.571428571428571,1.882814679827009,3.0022266932896207,5.650562558855329,8.18220955984933,7.187984841210501,2.3097464248930155,8.909480231148855,9.170669283185687,9.476318359375,1.882814679827009,3.0022266932896207,5.650562558855329,8.18220955984933,7.187984841210501,2.3097464248930155,8.909480231148855,9.170669283185687,9.476318359375,1.7100000000000013,2.107999999999999,2.7774999999999848,2.854999999999983,3.1308333333333103,0.9734663864538499,2.9724999999999806,5.009999999999938,6.119999999999914,5.135109769900737,17.895351162999578,49.018767669796944,75.14981032535434,62.208243538880346,23.455883304914092,77.45926756411791,78.8473777525127,80.10849309712648,1882809.6698260088,3002221.17928862,5650559.95885433,8182206.5798483305,7187981.710376169,2309746.869452066,8909477.381147856,9170666.386184687,9476315.449374,1882809669826.0088,3002221179288.6206,5650559958854.329,8182206579848.33,7187981710376.168,2309746869452.066,8909477381147.855,9170666386184.688,9476315449374.0,171.0,210.8,277.75,285.5,313.0833333333333,97.346638645387,297.25,501.0,612.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9643617152309.27,8.571428571428571,9.64362008231027,9.64362008231027,2.9299999999999815,0,1,80.99898735433817,293,9643617.152309269,"[0.0, 9.64362008231027, -2.9299999999999815, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,148.05999999999892,2041.1300000000147,14806,204113,5.3760439999750815,81.22345310001401,5.0,6.546766644432432,6.546766644432432,6546763.559848097,3.084583333333311,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.0,2.64060393009748,6.428571428571429,8.571428571428571,8.571428571428571,1.8818937029157365,3.0162200927734375,4.860848018101284,7.440678732735769,6.546766644432432,2.375524680530577,8.530987330845424,9.32964597429548,9.64362008231027,1.8818937029157365,3.0162200927734375,4.860848018101284,7.440678732735769,6.546766644432432,2.375524680530577,8.530987330845424,9.32964597429548,9.64362008231027,1.6500000000000012,1.9000000000000015,2.4649999999999914,2.7999999999999843,3.084583333333311,1.2039050321303708,2.947499999999981,5.009999999999938,6.31999999999991,5.135038966676802,18.442546701310494,40.31410980038345,71.14308424666524,56.374618408307164,24.296752753623448,76.58052814751863,79.42912465035916,80.99898735433817,1881888.6929147365,3016214.2107724375,4860846.118100284,7440676.0277347695,6546763.559848097,2375525.118215783,8530984.500844425,9329642.56229448,9643617.152309269,1881888692914.7366,3016214210772.4375,4860846118100.283,7440676027734.77,6546763559848.099,2375525118215.783,8530984500844.424,9329642562294.48,9643617152309.27,165.0,190.0,246.5,280.0,308.4583333333333,120.39050321303957,294.75,501.0,632.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
