generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,7918969060250.115,5.714285714285714,7.918973650251115,7.918973650251115,4.589999999999947,0,1,73.91954611241817,459,7918969.060250116,"[0.0, 7.918973650251115, -4.589999999999947, -1.0]",0.15,0.3,0,48,48,0,0,48,0,42,6,42,6,402.43000000001075,402.43000000001075,40243,40243,28.252106000029016,28.315431299968623,2.619047619047619,3.5062721797398155,3.5062721797398155,3506263.795780608,8.383958333333558,1.0,100.0,0.0,0.0,0.0,0.0,2.857142857142857,2.619047619047619,2.3206653201926106,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.0,1.8836443764822823,3.07197025844029,3.5062721797398155,2.523097595634194,6.230874742780413,7.142857142857142,7.918973650251115,0.0,0.0,1.8836443764822823,3.07197025844029,3.5062721797398155,2.523097595634194,6.230874742780413,7.142857142857142,7.918973650251115,2.259999999999996,2.6589999999999874,4.90499999999994,5.5299999999999265,8.383958333333558,8.950723373836473,5.722499999999922,30.00000000000189,30.00000000000189,3.2775223049684428,5.135112766682141,18.434477641225385,18.43579450404286,69.589796973865,94.67514199773721,67.8299605208449,293.5990561835235,293.6014903864125,-30.00000000000189,-29.370000700001793,1883639.3664812823,3071964.5434392905,3506263.795780608,2523102.7798820636,6230872.4427794125,7142854.547856143,7918969.060250116,-30000000.00000189,-29370000.70000179,1883639366481.2822,3071964543439.29,3506263795780.6074,2523102779882.0635,6230872442779.413,7142854547856.143,7918969060250.115,226.0,265.9,490.5,553.0,838.3958333333334,895.07233738358,572.25,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9141507674721.379,8.571428571428571,9.141510554722379,9.141510554722379,2.8799999999999826,0,1,78.77922389656305,288,9141507.674721379,"[0.0, 9.141510554722379, -2.8799999999999826, -1.0]",0.14917407,0.29938944,0,48,48,0,0,48,0,47,1,47,1,221.94999999999987,624.3800000000106,22195,62438,8.651947300008032,37.082502499979455,3.9285714285714284,5.046949556895665,5.046949556895665,5046944.932936353,4.623958333333331,1.0,100.0,0.0,0.0,0.0,2.142857142857143,5.714285714285714,3.9285714285714284,2.5836350493107982,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8834893362862721,2.6501192365373885,6.242915562220982,5.046949556895665,2.586966868325231,7.189993177141462,7.515339987618583,9.141510554722379,0.0,1.8834893362862721,2.6501192365373885,6.242915562220982,5.046949556895665,2.586966868325231,7.189993177141462,7.515339987618583,9.141510554722379,1.9400000000000015,2.493999999999991,2.679999999999987,5.009999999999938,4.623958333333331,3.9612964731594946,5.432499999999928,5.729999999999922,30.00000000000189,5.134415637468919,5.1352199864246355,18.43514283812692,56.65591729711741,49.22691563855187,44.396444351859394,69.54518411681056,72.6454305768013,293.508602501126,-30.00000000000189,1883484.3262852721,2650113.701536388,6242911.037219982,5046944.932936353,2586968.8054950163,7189990.489640461,7515337.256617583,9141507.674721379,-30000000.00000189,1883484326285.2722,2650113701536.3887,6242911037219.982,5046944932936.353,2586968805495.016,7189990489640.462,7515337256617.583,9141507674721.379,194.0,249.4,268.0,501.0,462.3958333333333,396.1296473159247,543.25,573.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9141507674721.379,8.571428571428571,9.141510554722379,9.141510554722379,2.8799999999999826,0,1,78.77922389656305,288,9141507.674721379,"[0.0, 9.141510554722379, -2.8799999999999826, -1.0]",0.148352687735766,0.298780122611712,0,48,48,0,0,48,0,47,1,47,1,228.50999999999974,852.8900000000103,22851,85289,8.280305199965369,45.481665099970996,3.5119047619047623,4.787519261950538,4.787519261950538,4787514.501324559,4.760624999999995,1.0,100.0,0.0,0.0,0.0,0.0,2.857142857142857,3.5119047619047623,2.750360726701886,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.883596692766462,2.290276118687221,3.6356626238141745,4.787519261950538,2.720537600071087,7.303006989615304,8.232799802507673,9.141510554722379,0.0,1.883596692766462,2.290276118687221,3.6356626238141745,4.787519261950538,2.720537600071087,7.303006989615304,8.232799802507673,9.141510554722379,1.6700000000000013,2.566999999999989,2.757499999999985,5.009999999999938,4.760624999999995,4.051307611053117,5.709999999999923,5.887999999999919,30.00000000000189,5.13440060056746,5.134638727040146,18.434386699085735,49.31978143379092,47.639482525419226,46.1223969161574,72.12979290853582,76.63471743017435,293.59904324030504,-30.00000000000189,1883591.682765462,2290271.1086862213,3635658.9288131744,4787514.501324559,2720539.7835485204,7303004.284614304,8232796.880506674,9141507.674721379,-30000000.00000189,1883591682765.4622,2290271108686.221,3635658928813.175,4787514501324.56,2720539783548.5205,7303004284614.305,8232796880506.673,9141507674721.379,167.0,256.7,275.75,501.0,476.0625,405.13076110528806,571.0,588.8000000000001,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9243199129471.656,8.571428571428571,9.243202209472656,9.243202209472656,3.0799999999999783,0,1,79.17196259647608,308,9243199.129471656,"[0.0, 9.243202209472656, -3.0799999999999783, -1.0]",0.1475358281665553,0.29817204530617264,0,48,48,0,0,48,0,47,1,47,1,249.5700000000016,1102.4600000000119,24957,110246,11.369712500018068,56.96299239998916,3.9285714285714284,5.494920355933053,5.494920355933053,5494915.156557074,5.199375000000034,1.0,100.0,0.0,0.0,0.0,0.0,5.714285714285714,3.9285714285714284,3.009339204705842,5.714285714285714,8.571428571428571,8.571428571428571,0.027896336146763394,1.8833236694335938,2.849938528878348,6.466579437255859,5.494920355933053,2.760172164206925,8.019583565848214,8.669034685407368,9.243202209472656,0.027896336146763394,1.8833236694335938,2.849938528878348,6.466579437255859,5.494920355933053,2.760172164206925,8.019583565848214,8.669034685407368,9.243202209472656,1.8400000000000014,2.481999999999991,2.7874999999999845,4.104999999999957,5.199375000000034,5.392938440780253,5.009999999999938,6.619999999999908,30.00000000000189,5.134583179489709,5.135202683929674,18.420761727451463,66.64900123141706,58.26959494397079,53.74825634299911,75.26595081575215,78.05400585064199,285.45908666041214,27866.336146763395,1883318.6594325937,2849933.518877348,6466575.01225486,5494915.156557074,2760174.189050001,8019580.783347214,8669030.400406368,9243199.129471656,27866336146.763393,1883318659432.5938,2849933518877.348,6466575012254.859,5494915156557.074,2760174189050.001,8019580783347.214,8669030400406.368,9243199129471.656,184.0,248.2,278.75,410.5,519.9375,539.2938440779913,501.0,662.0000000000005,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9769235338050.06,8.571428571428571,9.76924078805106,9.76924078805106,5.449999999999928,0,1,82.5406429246068,545,9769235.33805006,"[0.0, 9.76924078805106, -5.449999999999928, -1.0]",0.14672346638950462,0.2975652055595655,0,48,48,0,0,48,0,47,1,47,1,226.89999999999975,1329.3600000000115,22690,132936,9.399599900003523,66.47363750002114,4.404761904761904,5.615215925943283,5.615215925943283,5615211.198858972,4.727083333333328,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.404761904761904,2.971424755797306,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.881711687360491,3.048474448067801,6.531639099121094,5.615215925943283,2.8674965227019085,7.966864449637276,8.969249997820173,9.76924078805106,0.0,1.881711687360491,3.048474448067801,6.531639099121094,5.615215925943283,2.8674965227019085,7.966864449637276,8.969249997820173,9.76924078805106,1.6400000000000012,2.475999999999991,2.769999999999985,4.844999999999941,4.727083333333328,3.9998004941568635,5.744999999999922,6.130999999999914,30.00000000000189,5.134606753621483,7.278383277020476,18.44785248741755,64.18551613390446,54.50996244342468,44.44224487180329,74.41093871928751,78.12505180144217,293.59864162339363,-30.00000000000189,1881706.6773594911,3048468.665566801,6531636.679120094,5615211.198858972,2867498.0602318933,7966861.639636276,8969246.162819171,9769235.33805006,-30000000.00000189,1881706677359.4912,3048468665566.8013,6531636679120.094,5615211198858.972,2867498060231.8936,7966861639636.276,8969246162819.172,9769235338050.06,164.0,247.6,277.0,484.5,472.7083333333333,399.98004941566217,574.5,613.1,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9769235338050.06,8.571428571428571,9.76924078805106,9.76924078805106,5.449999999999928,0,1,82.5406429246068,545,9769235.33805006,"[0.0, 9.76924078805106, -5.449999999999928, -1.0]",0.14591557763887072,0.29695960085321066,0,48,48,0,0,48,0,47,1,47,1,224.99999999999983,1554.3600000000113,22500,155436,7.76412160001928,74.37303720001364,4.226190476190476,5.416848943347023,5.416848943347023,5416844.255846044,4.6874999999999964,1.0,100.0,0.0,0.0,0.0,2.857142857142857,2.857142857142857,4.226190476190476,2.796352296796749,5.714285714285714,8.571428571428571,8.571428571428571,1.18194580078125,1.8837340218680247,3.0291175842285156,5.199249812534878,5.416848943347023,2.7117920606511388,8.046372277396065,9.042024884905134,9.76924078805106,1.18194580078125,1.8837340218680247,3.0291175842285156,5.199249812534878,5.416848943347023,2.7117920606511388,8.046372277396065,9.042024884905134,9.76924078805106,1.8800000000000014,2.627999999999988,2.817499999999984,4.654999999999945,4.6874999999999964,3.9620099591834217,5.709999999999923,5.84399999999992,30.00000000000189,5.134528902184684,9.519418038879667,18.437269682541228,45.91300447285175,50.062261098653686,45.070228789224515,74.6846936289221,78.89691474586725,293.59961726423353,1181940.79078025,1883729.0118670247,3029111.744227516,5199247.587533878,5416844.255846044,2711793.4638951514,8046369.467395065,9042020.492904132,9769235.33805006,1181940790780.25,1883729011867.0247,3029111744227.5156,5199247587533.877,5416844255846.044,2711793463895.152,8046369467395.065,9042020492904.133,9769235338050.06,188.0,262.8,281.75,465.5,468.75,396.2009959183175,571.0,584.4000000000001,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9868060265499.836,8.571428571428571,9.868063245500837,9.868063245500837,2.9799999999999804,0,1,82.92658109217882,298,9868060.265499836,"[0.0, 9.868063245500837, -2.9799999999999804, -1.0]",0.14511213728527558,0.2963552286735542,0,48,48,0,0,48,0,48,0,48,0,171.19999999999845,1725.5600000000097,17120,172556,6.419674200005829,80.96650109998882,4.583333333333333,5.959341696330479,5.959341696330479,5959338.129662812,3.5666666666666345,1.0,100.0,0.0,0.0,0.0,2.857142857142857,4.285714285714286,4.583333333333333,3.015807747831762,8.571428571428571,8.571428571428571,8.571428571428571,1.881375994001116,2.522157941545759,3.073181424822126,6.402732304164341,5.959341696330479,2.7161580213105787,8.688084057399205,9.130720955984932,9.868063245500837,1.881375994001116,2.522157941545759,3.073181424822126,6.402732304164341,5.959341696330479,2.7161580213105787,8.688084057399205,9.130720955984932,9.868063245500837,1.7100000000000013,2.0410000000000004,2.7874999999999845,2.904999999999982,3.5666666666666345,1.3538253415989372,5.009999999999938,5.7199999999999225,6.649999999999903,5.135115088603925,13.147880530199474,19.212420824889705,56.82355690654367,50.29315521115162,27.598799472870887,77.02117718197405,78.43104599863291,82.92658109217882,1881370.9840001161,2522154.037544759,3073175.712321126,6402727.909163341,5959338.129662812,2716158.701483207,8688081.217398206,9130718.066983933,9868060.265499836,1881370984000.1162,2522154037544.759,3073175712321.126,6402727909163.342,5959338129662.8125,2716158701483.207,8688081217398.205,9130718066983.934,9868060265499.836,171.0,204.1,278.75,290.5,356.6666666666667,135.38253415989655,501.0,572.0,665.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9868060265499.836,8.571428571428571,9.868063245500837,9.868063245500837,2.9799999999999804,0,1,82.92658109217882,298,9868060.265499836,"[0.0, 9.868063245500837, -2.9799999999999804, -1.0]",0.1443131208349554,0.2957520865121578,0,48,48,0,0,48,0,48,0,48,0,165.16999999999857,1890.7300000000082,16517,189073,6.570638000033796,87.6796655000071,4.8809523809523805,6.262833447683424,6.262833447683424,6262830.006640759,3.441041666666637,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,4.285714285714286,4.8809523809523805,2.5393725009168504,6.428571428571429,8.571428571428571,8.571428571428571,1.0430853707449776,3.5211851937430243,4.4053336552211215,5.8043043954031805,6.262833447683424,2.346378886502083,8.5597596849714,9.369665690830775,9.868063245500837,1.0430853707449776,3.5211851937430243,4.4053336552211215,5.8043043954031805,6.262833447683424,2.346378886502083,8.5597596849714,9.369665690830775,9.868063245500837,1.6100000000000012,1.8200000000000014,2.4124999999999925,2.849999999999983,3.441041666666637,1.5458293884720236,4.577499999999947,6.0189999999999175,7.389999999999887,5.134934956411598,26.14308354887762,35.51080784806982,51.264388499464985,53.68798561559379,22.48205723663082,76.58447585813701,79.79738691821694,82.92658109217882,1043080.3607439777,3521179.0987420245,4405331.170220121,5804300.120402181,6262830.006640759,2346379.3153477213,8559756.854970401,9369662.780829776,9868060.265499836,1043080360743.9777,3521179098742.0244,4405331170220.121,5804300120402.181,6262830006640.758,2346379315347.7217,8559756854970.4,9369662780829.775,9868060265499.836,161.0,182.0,241.25,285.0,344.1041666666667,154.58293884720553,457.75,601.9000000000002,739.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9938336728267.695,8.571428571428571,9.938340868268694,9.938340868268694,4.139999999999956,0,1,83.83330085873604,414,9938336.728267696,"[0.0, 9.938340868268694, -4.139999999999956, -1.0]",0.14351850392901397,0.29515017186568826,0,48,48,0,0,48,0,48,0,48,0,155.21999999999878,2045.950000000007,15522,204595,6.1440075999707915,93.94342339999275,5.238095238095238,6.70263341494969,6.70263341494969,6702630.18119869,3.2337499999999744,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.238095238095238,2.357022603955158,6.428571428571429,8.571428571428571,8.571428571428571,1.8828201293945312,3.313353947230748,5.057163238525391,7.428865432739258,6.70263341494969,2.229540003518987,8.58837604522705,9.223315647670201,9.938340868268694,1.8828201293945312,3.313353947230748,5.057163238525391,7.428865432739258,6.70263341494969,2.229540003518987,8.58837604522705,9.223315647670201,9.938340868268694,1.6800000000000013,1.9670000000000016,2.344999999999994,2.819999999999984,3.2337499999999744,1.3367601146677712,3.804999999999963,5.557999999999928,6.829999999999899,5.141486208747665,23.39428270840945,42.47314928052947,71.02574877254665,57.852037053591026,22.043599803488654,76.24706756137311,78.9745980605483,83.83330085873604,1882815.1193935312,3313348.953229748,5057160.52852439,7428861.627738258,6702630.18119869,2229540.291814803,8588373.21522605,9223312.7646692,9938336.728267696,1882815119393.5312,3313348953229.748,5057160528524.391,7428861627738.258,6702630181198.69,2229540291814.8027,8588373215226.051,9223312764669.201,9938336728267.695,168.0,196.7,234.5,282.0,323.375,133.6760114667799,380.5,555.8000000000002,683.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9953559745141.3,8.571428571428571,9.9535642351423,9.9535642351423,4.489999999999949,0,1,83.23292252421379,449,9953559.745141301,"[0.0, 9.9535642351423, -4.489999999999949, -1.0]",0.14272826234268002,0.2945494822359072,0,48,48,0,0,48,0,48,0,48,0,160.81999999999863,2206.770000000006,16082,220677,5.073828799999319,99.13264279998839,5.238095238095238,6.78333464122954,6.78333464122954,6783331.290811871,3.350416666666638,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.238095238095238,2.497163924214646,8.571428571428571,8.571428571428571,8.571428571428571,1.881779261997768,3.7814363752092635,5.016424996512276,7.476114545549665,6.78333464122954,2.2618196531601593,8.68159566606794,9.453963143484934,9.9535642351423,1.881779261997768,3.7814363752092635,5.016424996512276,7.476114545549665,6.78333464122954,2.2618196531601593,8.68159566606794,9.453963143484934,9.9535642351423,1.5800000000000012,1.9140000000000015,2.289999999999995,2.8399999999999834,3.350416666666638,2.172461121951021,3.327499999999973,5.222999999999936,15.819999999999707,5.135680347884772,28.907185434922578,42.42615388147533,72.0588753670454,61.267921917600994,25.38437159019809,77.30262093618512,81.16005202010275,145.73510788168642,1881774.2519967682,3781434.2792082634,5016423.054011276,7476111.675548665,6783331.290811871,2261819.9336600984,8681592.81106694,9453958.945483934,9953559.745141301,1881774251996.768,3781434279208.2637,5016423054011.276,7476111675548.664,6783331290811.872,2261819933660.0977,8681592811066.94,9453958945483.934,9953559745141.3,158.0,191.4,229.0,284.0,335.0416666666667,217.2461121951067,332.75,522.3000000000003,1582.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
