generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,mutation_decay_trigger,mutation_decay_active,mutation_decay_trigger_generation,effective_mutation_prob_decay,effective_mutation_sigma_decay,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,8005376488100.283,5.714285714285714,8.005379268101283,8.005379268101283,2.7799999999999847,0,1,74.41541455686092,278,8005376.488100283,"[0.0, 8.005379268101283, -2.7799999999999847, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,37,11,37,11,518.5800000000183,518.5800000000183,51858,51858,47.83082400000421,47.97418950003339,1.9642857142857142,2.8353236402784074,2.8353236402784074,2835312.8365276367,10.803750000000383,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.9642857142857142,2.415669510440836,3.5714285714285716,5.714285714285714,5.714285714285714,0.0,0.0,0.06052289690290179,1.883681161063058,2.8353236402784074,2.664005385384791,4.6776853288922995,7.175757271902902,8.005379268101283,0.0,0.0,0.06052289690290179,1.883681161063058,2.8353236402784074,2.664005385384791,4.6776853288922995,7.175757271902902,8.005379268101283,2.2199999999999966,2.706999999999986,5.009999999999938,5.709999999999923,10.803750000000383,10.607255501346726,8.954999999999853,30.00000000000189,30.00000000000189,5.134594985560398,5.134868241098593,12.313059481972232,40.820828706964676,91.82689242850074,112.68472392558884,87.96914693320286,293.6011263652472,293.60204388352577,-30.00000000000189,-30.00000000000189,60515.57690190178,1883676.1510620578,2835312.8365276367,2664012.1529961484,4677678.3563912995,7175754.629901902,8005376.488100283,-30000000.00000189,-30000000.00000189,60515576901.90178,1883676151062.0579,2835312836527.636,2664012152996.1484,4677678356391.3,7175754629901.902,8005376488100.283,222.0,270.7,501.0,571.0,1080.375,1060.7255501345921,895.5,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9185646316868.42,8.571428571428571,9.18564932686942,9.18564932686942,3.00999999999998,0,1,78.82611463218927,301,9185646.31686842,"[0.0, 9.18564932686942, -3.00999999999998, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,46,2,46,2,244.33000000000186,762.9100000000202,24433,76291,15.092649500002153,63.21926090004854,3.9285714285714284,5.140511365163894,5.140511365163894,5140506.274954602,5.090208333333372,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,3.9285714285714284,2.4484480715718013,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8830086844308036,3.0617523193359375,6.472364153180804,5.140511365163894,2.6234450326818313,7.177566119602748,7.938675471714564,9.18564932686942,0.0,1.8830086844308036,3.0617523193359375,6.472364153180804,5.140511365163894,2.6234450326818313,7.177566119602748,7.938675471714564,9.18564932686942,1.8000000000000014,2.4139999999999926,2.6149999999999882,3.039999999999979,5.090208333333372,5.4385673242072174,5.7199999999999225,5.825999999999921,30.00000000000189,5.1343994140625,6.057007131150022,18.43543331363435,58.5852816067636,55.631378779211296,56.03202083442743,70.6812778674066,75.23778376951815,293.6009528383147,-30.00000000000189,1883003.6744298034,3061746.5718349377,6472361.788179804,5140506.274954602,2623448.0281842393,7177563.439601748,7938670.500713564,9185646.31686842,-30000000.00000189,1883003674429.8037,3061746571834.9375,6472361788179.805,5140506274954.603,2623448028184.2393,7177563439601.748,7938670500713.564,9185646316868.42,180.0,241.4,261.5,304.0,509.0208333333333,543.856732420686,572.0,582.6,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9185646316868.42,8.571428571428571,9.18564932686942,9.18564932686942,3.00999999999998,0,1,78.82611463218927,301,9185646.31686842,"[0.0, 9.18564932686942, -3.00999999999998, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,46,2,46,2,234.65000000000208,997.5600000000222,23465,99756,14.281848999962676,77.71739780000644,4.226190476190476,5.700820570900326,5.700820570900326,5700815.6823577015,4.88854166666671,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.226190476190476,2.403907203131985,5.714285714285714,5.714285714285714,8.571428571428571,0.0,2.702556610107422,3.0676392146519254,7.142857142857142,5.700820570900326,2.4214969507957798,7.487287521362304,8.192891802106585,9.18564932686942,0.0,2.702556610107422,3.0676392146519254,7.142857142857142,5.700820570900326,2.4214969507957798,7.487287521362304,8.192891802106585,9.18564932686942,1.8700000000000014,2.606999999999988,2.709999999999986,2.9699999999999807,4.88854166666671,5.470387322356722,5.107499999999936,5.824999999999921,30.00000000000189,5.134661877120379,16.55232553044916,20.360212839670567,67.23274907842278,61.41312851973104,54.410057020472394,71.84603499807417,76.25472101047636,293.5140837514773,-30.00000000000189,2702551.483106422,3067633.4846509253,7142854.237856142,5700815.6823577015,2421499.7787595442,7487284.808861304,8192889.003105585,9185646.31686842,-30000000.00000189,2702551483106.422,3067633484650.9253,7142854237856.143,5700815682357.702,2421499778759.5444,7487284808861.304,8192889003105.586,9185646316868.42,187.0,260.7,271.0,297.0,488.8541666666667,547.0387322356363,510.75,582.5000000000001,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9414588432832.426,8.571428571428571,9.414593832833425,9.414593832833425,5.399999999999929,0,1,80.04319798573852,540,9414588.432832425,"[0.0, 9.414593832833425, -5.399999999999929, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,46,2,46,2,247.21000000000183,1244.770000000024,24721,124477,13.290420399978757,91.17334600002505,4.166666666666667,5.536683003107707,5.536683003107707,5536677.852898415,5.150208333333372,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.166666666666667,2.669959701429262,5.714285714285714,6.571428571428584,8.571428571428571,0.0,1.8829525538853236,3.0485670907156805,7.129470280238561,5.536683003107707,2.794981549963441,8.023651668003629,8.388638087681361,9.414593832833425,0.0,1.8829525538853236,3.0485670907156805,7.129470280238561,5.536683003107707,2.794981549963441,8.023651668003629,8.388638087681361,9.414593832833425,2.020000000000001,2.669999999999987,2.7974999999999843,4.079999999999957,5.150208333333372,5.36402231289802,5.477499999999928,5.90699999999992,30.00000000000189,5.134674257424194,5.135547908777516,18.846708651139124,65.92750375997275,59.54859973734377,55.91138350217164,74.63320797681808,78.03024524524808,293.5999517433811,-30.00000000000189,1882947.5438843234,3048561.3157146806,7129466.130237561,5536677.852898415,2794984.0340224174,8023648.645502629,8388634.728680361,9414588.432832425,-30000000.00000189,1882947543884.3235,3048561315714.6807,7129466130237.561,5536677852898.415,2794984034022.4175,8023648645502.629,8388634728680.361,9414588432832.426,202.0,267.0,279.75,408.0,515.0208333333334,536.4022312897653,547.75,590.7000000000002,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9414588432832.426,8.571428571428571,9.414593832833425,9.414593832833425,5.399999999999929,0,1,80.04319798573852,540,9414588.432832425,"[0.0, 9.414593832833425, -5.399999999999929, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,46,2,46,2,225.0400000000023,1469.8100000000263,22504,146981,11.879787700017914,103.28589680005098,3.630952380952381,5.0928998561132515,5.0928998561132515,5092895.16777896,4.688333333333381,1.0,100.0,0.0,0.0,0.0,0.0,2.857142857142857,3.630952380952381,2.900831650240763,5.714285714285714,6.571428571428584,8.571428571428571,0.0,1.8413810729980469,1.8836770738874162,5.393396105085101,5.0928998561132515,2.898672043299828,7.267797333853585,8.473226819719589,9.414593832833425,0.0,1.8413810729980469,1.8836770738874162,5.393396105085101,5.0928998561132515,2.898672043299828,7.267797333853585,8.473226819719589,9.414593832833425,1.6600000000000013,2.4589999999999916,2.617499999999988,2.854999999999983,4.688333333333381,5.422828034235724,5.009999999999938,5.2739999999999325,30.00000000000189,5.074477006586676,5.135061812297499,17.67217892930057,60.002989154309034,55.56307135171619,53.72424938690634,72.30516507849097,77.98885455951095,282.74792832811363,-30.00000000000189,1841376.0629970469,1883672.0638864161,5393394.0450841,5092895.16777896,2898674.7105042604,7267794.248852585,8473222.586718589,9414588.432832425,-30000000.00000189,1841376062997.0469,1883672063886.4163,5393394045084.1,5092895167778.961,2898674710504.2603,7267794248852.585,8473222586718.588,9414588432832.426,166.0,245.9,261.75,285.5,468.8333333333333,542.2828034235355,501.0,527.4000000000001,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9486792242935.664,8.571428571428571,9.486795152936663,9.486795152936663,2.909999999999982,0,1,80.10805358737707,291,9486792.242935665,"[0.0, 9.486795152936663, -2.909999999999982, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,181.55999999999824,1651.3700000000244,18156,165137,8.925715600023977,112.42905670002801,4.464285714285714,5.842632282347907,5.842632282347907,5842628.4998469055,3.7824999999999633,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.464285714285714,2.3980044141052006,5.714285714285714,6.571428571428584,8.571428571428571,1.86187744140625,1.8983001708984375,3.6918871743338446,6.460653032575335,5.842632282347907,2.376235376552319,7.754124232700892,8.469056265694755,9.486795152936663,1.86187744140625,1.8983001708984375,3.6918871743338446,6.460653032575335,5.842632282347907,2.376235376552319,7.754124232700892,8.469056265694755,9.486795152936663,1.9200000000000015,2.3509999999999938,2.727499999999986,2.9249999999999816,3.7824999999999633,1.4788473833811386,5.009999999999938,5.792999999999921,8.029999999999873,4.974689858521742,5.343622047628014,28.200920555274934,57.42134356126189,49.84268576133976,25.755738998538817,73.14335031248629,76.24701982960106,80.10805358737707,1861872.43140525,1898295.1608974375,3691882.7493328443,6460649.667574335,5842628.4998469055,2376236.129184227,7754121.380199892,8469053.397693755,9486792.242935665,1861872431405.25,1898295160897.4375,3691882749332.8447,6460649667574.335,5842628499846.906,2376236129184.227,7754121380199.893,8469053397693.756,9486792242935.664,192.0,235.1,272.75,292.5,378.25,147.884738338117,501.0,579.3,803.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9486792242935.664,8.571428571428571,9.486795152936663,9.486795152936663,2.909999999999982,0,1,80.10805358737707,291,9486792.242935665,"[0.0, 9.486795152936663, -2.909999999999982, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,47,1,47,1,181.94000000000068,1833.3100000000252,18194,183331,9.736687399970833,122.39891490002628,4.8809523809523805,6.429056042716617,6.429056042716617,6429052.252298971,3.790416666666681,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.8809523809523805,2.7944510938822624,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8831732613699779,5.231692450387137,7.3425878797258655,6.429056042716617,2.6218767679020085,8.199317114693777,8.972732543945314,9.486795152936663,0.0,1.8831732613699779,5.231692450387137,7.3425878797258655,6.429056042716617,2.6218767679020085,8.199317114693777,8.972732543945314,9.486795152936663,1.9100000000000015,2.4369999999999923,2.6899999999999866,2.8349999999999835,3.790416666666681,3.970789677095007,2.9749999999999805,5.009999999999938,30.00000000000189,5.135329361008189,14.510463062024066,46.74436011351645,70.58276722580194,63.66826461655713,41.09725646442724,75.93135684169829,78.36509820893407,292.1786875092657,-30.00000000000189,1883168.2513689778,5231690.230386137,7342585.189724865,6429052.252298971,2621878.7867772067,8199314.307192778,8972729.681944313,9486792.242935665,-30000000.00000189,1883168251368.9778,5231690230386.137,7342585189724.865,6429052252298.972,2621878786777.2065,8199314307192.777,8972729681944.314,9486792242935.664,191.0,243.70000000000002,269.0,283.5,379.0416666666667,397.0789677094749,297.5,501.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9486792242935.664,8.571428571428571,9.486795152936663,9.486795152936663,2.909999999999982,0,1,80.10805358737707,291,9486792.242935665,"[0.0, 9.486795152936663, -2.909999999999982, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,47,1,47,1,197.39000000000038,2030.7000000000255,19739,203070,12.032403199991677,134.6469889000291,5.238095238095238,6.512049323036558,6.512049323036558,6512045.210743912,4.112291666666675,1.0,100.0,0.0,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.238095238095238,2.8769157079987075,8.571428571428571,8.571428571428571,8.571428571428571,1.169924054827009,2.9554623195103233,4.53211784362793,7.595545904976981,6.512049323036558,2.5701362810273713,8.779156548636301,9.098262241908483,9.486795152936663,1.169924054827009,2.9554623195103233,4.53211784362793,7.595545904976981,6.512049323036558,2.5701362810273713,8.779156548636301,9.098262241908483,9.486795152936663,1.6500000000000012,1.9170000000000016,2.804999999999984,2.869999999999983,4.112291666666675,4.070218687605438,5.009999999999938,5.781999999999921,30.00000000000189,5.135043376751128,18.435433620931143,39.11419717222452,72.26173446699977,61.46281214136176,42.103354641621834,77.4588440861553,79.0995079882443,293.60080613859463,1169894.0548270089,2955456.6515093236,4532116.05862693,7595543.034975981,6512045.210743912,2570137.856385068,8779153.7011353,9098258.917907484,9486792.242935665,1169894054827.0088,2955456651509.3237,4532116058626.93,7595543034975.98,6512045210743.911,2570137856385.068,8779153701135.301,9098258917907.482,9486792242935.664,165.0,191.7,280.5,287.0,411.2291666666667,407.0218687605195,501.0,578.2,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9614813443170.04,8.571428571428571,9.614816393171038,9.614816393171038,2.949999999999981,0,1,81.05777277052402,295,9614813.443170039,"[0.0, 9.614816393171038, -2.949999999999981, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,166.14999999999858,2196.850000000024,16615,219685,9.461582099960651,144.3818136000191,4.761904761904762,6.258412826628913,6.258412826628913,6258409.36516958,3.461458333333304,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.761904761904762,2.564364193873573,6.428571428571429,8.571428571428571,8.571428571428571,0.06872449602399552,3.0563501630510603,4.673309326171874,5.507153102329799,6.258412826628913,2.347412544676318,8.594777924673897,9.21378925868443,9.614816393171038,0.06872449602399552,3.0563501630510603,4.673309326171874,5.507153102329799,6.258412826628913,2.347412544676318,8.594777924673897,9.21378925868443,9.614816393171038,1.7000000000000013,1.9950000000000012,2.0974999999999993,2.8399999999999834,3.461458333333304,2.284883284385373,3.7274999999999645,5.742999999999922,16.219999999999736,18.21070982387755,18.437575669484794,40.70985215483233,48.44071950018406,56.55401990448505,25.483469266586734,77.29089554026723,78.88054974451661,150.75745115603786,68719.48602299552,3056344.4250500607,4673307.286170875,5507151.007328799,6258409.36516958,2347413.3268552385,8594774.427172897,9213786.03568343,9614813.443170039,68719486022.99553,3056344425050.0605,4673307286170.875,5507151007328.799,6258409365169.578,2347413326855.2383,8594774427172.897,9213786035683.432,9614813443170.04,170.0,199.5,209.75,284.0,346.1458333333333,228.48832843854169,372.75,574.3,1622.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9614813443170.04,8.571428571428571,9.614816393171038,9.614816393171038,2.949999999999981,0,1,81.05777277052402,295,9614813.443170039,"[0.0, 9.614816393171038, -2.949999999999981, -1.0]",0.15,0.3,first_finish,0,,1.0,1.0,0,48,48,0,0,48,0,47,1,47,1,177.1900000000008,2374.040000000025,17719,237404,9.962844200024847,154.54451030003838,4.94047619047619,6.333741460527693,6.333741460527693,6333737.76906838,3.6914583333333497,1.0,100.0,0.0,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.94047619047619,2.6559894663479886,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.0353186471121654,4.780671255929129,6.217209952218192,6.333741460527693,2.4571766610264896,8.662588936941964,9.39850207737514,9.614816393171038,0.0,3.0353186471121654,4.780671255929129,6.217209952218192,6.333741460527693,2.4571766610264896,8.662588936941964,9.39850207737514,9.614816393171038,1.8200000000000014,1.9710000000000016,2.3649999999999936,2.8399999999999834,3.6914583333333497,4.027131417845618,3.102499999999978,5.730999999999923,30.00000000000189,5.135121453378815,18.441232610924637,40.4004385471344,63.427604384720325,60.41920094293406,40.78524253926556,77.02126258611679,79.82182794883848,293.5201508314931,-30.00000000000189,3035312.827111165,4780668.428428128,6217207.652217192,6333737.76906838,2457178.6430428806,8662586.099440964,9398499.06937414,9614813.443170039,-30000000.00000189,3035312827111.165,4780668428428.129,6217207652217.191,6333737769068.38,2457178643042.8804,8662586099440.964,9398499069374.14,9614813443170.04,182.0,197.1,236.5,284.0,369.1458333333333,402.7131417845365,310.25,573.1,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
