generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated
1,1,8,0,both=0;mirror=0,0,0,1,1,8005376488100.283,"[0.0, 8.005379268101283, -2.7799999999999847, -1.0]",8.005379268101283,5.714285714285714,8.005379268101283,2.7799999999999847,0,1,0,74.41541455686092,8005376.488100283,278,1.0,100.0,0.0,1,0
1,2,41,0,both=0;mirror=0,0,0,1,1,7910082220404.971,"[0.0, 7.9100881304059705, -5.909999999999918, -1.0]",7.9100881304059705,5.714285714285714,7.9100881304059705,5.909999999999918,0,1,0,73.7783319465816,7910082.22040497,591,1.0,100.0,0.0,1,0
1,3,28,0,both=0;mirror=0,0,0,0,1,7769309012168.363,"[0.0, 7.769314902169364, -5.889999999999919, -1.0]",7.769314902169364,5.714285714285714,7.769314902169364,5.889999999999919,0,1,0,73.29372635670006,7769309.012168364,589,1.0,100.0,0.0,1,0
1,4,0,0,both=0;mirror=0,0,0,0,1,7491550460339.402,"[0.0, 7.491553170340402, -2.709999999999986, -1.0]",7.491553170340402,5.714285714285714,7.491553170340402,2.709999999999986,0,1,0,71.421621106565,7491550.460339403,271,1.0,100.0,0.0,1,0
1,5,34,0,both=0;mirror=0,0,0,0,1,7252521569675.339,"[0.0, 7.2525242396763385, -2.669999999999987, -1.0]",7.2525242396763385,5.714285714285714,7.2525242396763385,2.669999999999987,0,1,0,69.7335015013814,7252521.569675338,267,1.0,100.0,0.0,1,0
1,6,35,0,both=0;mirror=0,0,0,0,1,7142854512856.143,"[0.0, 7.142857142857142, -2.629999999999988, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.629999999999988,0,1,0,68.06244617700577,7142854.512856143,263,1.0,100.0,0.0,1,0
1,7,46,0,both=0;mirror=0,0,0,0,1,7142854442856.143,"[0.0, 7.142857142857142, -2.6999999999999864, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.6999999999999864,0,1,0,66.80389055609703,7142854.442856142,270,1.0,100.0,0.0,1,0
1,8,18,0,both=0;mirror=0,0,0,0,1,6850561669228.91,"[0.0, 6.850564139229911, -2.4699999999999913, -1.0]",6.850564139229911,5.714285714285714,6.850564139229911,2.4699999999999913,0,1,0,61.30714871734381,6850561.6692289105,247,1.0,100.0,0.0,1,0
1,9,4,0,both=0;mirror=0,0,0,0,1,6410192126885.161,"[0.0, 6.4101954868861615, -3.3599999999999723, -1.0]",6.4101954868861615,5.714285714285714,6.4101954868861615,3.3599999999999723,0,1,0,56.80305736511946,6410192.126885161,336,1.0,100.0,0.0,1,0
1,10,23,0,both=0;mirror=0,0,0,0,1,5911476095079.916,"[0.0, 5.911478315080916, -2.2199999999999966, -1.0]",5.911478315080916,5.714285714285714,5.911478315080916,2.2199999999999966,0,1,0,51.64510427415371,5911476.095079916,222,1.0,100.0,0.0,1,0
1,11,32,0,both=0;mirror=0,0,0,0,1,5904268336815.406,"[0.0, 5.904273986816406, -5.649999999999924, -1.0]",5.904273986816406,5.714285714285714,5.904273986816406,5.649999999999924,0,1,0,51.57831507176161,5904268.336815407,565,1.0,100.0,0.0,1,0
1,12,26,0,both=0;mirror=0,0,0,0,1,5832028199739.514,"[0.0, 5.832034519740514, -6.31999999999991, -1.0]",5.832034519740514,5.714285714285714,5.832034519740514,6.31999999999991,0,1,0,49.55921596103872,5832028.199739514,632,1.0,100.0,0.0,1,0
1,13,30,0,both=0;mirror=0,0,0,0,1,4292895075275.2285,"[0.0, 4.292902265276228, -7.189999999999891, -1.0]",4.292902265276228,2.857142857142857,4.292902265276228,7.189999999999891,0,1,0,32.082441452890635,4292895.075275228,719,1.0,100.0,0.0,1,0
1,14,9,0,both=0;mirror=0,0,0,0,1,3089212429647.4375,"[0.0, 3.0892181396484375, -5.709999999999923, -1.0]",3.0892181396484375,2.857142857142857,3.0892181396484375,5.709999999999923,0,1,0,18.601144037791528,3089212.4296474373,571,1.0,100.0,0.0,1,0
1,15,17,0,both=0;mirror=0,0,0,0,0,3073991787557.5938,"[0.0, 3.0739974975585938, -5.709999999999923, -1.0]",3.0739974975585938,2.857142857142857,3.0739974975585938,5.709999999999923,0,1,0,18.434664327069186,3073991.7875575935,571,1.0,100.0,0.0,1,0
1,16,3,0,both=0;mirror=0,0,0,0,0,3073822850964.402,"[0.0, 3.073828560965402, -5.709999999999923, -1.0]",3.073828560965402,2.857142857142857,3.073828560965402,5.709999999999923,0,1,0,18.43517469926155,3073822.850964402,571,1.0,100.0,0.0,1,0
1,17,20,0,both=0;mirror=0,0,0,0,0,3072743836594.982,"[0.0, 3.0727495465959818, -5.709999999999923, -1.0]",3.0727495465959818,2.857142857142857,3.0727495465959818,5.709999999999923,0,1,0,18.43467157399573,3072743.836594982,571,1.0,100.0,0.0,1,0
1,18,11,0,both=0;mirror=0,0,0,0,0,3071937290601.6787,"[0.0, 3.071943010602679, -5.7199999999999225, -1.0]",3.071943010602679,2.857142857142857,3.071943010602679,5.7199999999999225,0,1,0,18.433960996742826,3071937.2906016787,572,1.0,100.0,0.0,1,0
1,19,45,0,both=0;mirror=0,0,0,0,0,3069991794996.2095,"[0.0, 3.0699975149972096, -5.7199999999999225, -1.0]",3.0699975149972096,2.857142857142857,3.0699975149972096,5.7199999999999225,0,1,0,18.434467974992003,3069991.7949962094,572,1.0,100.0,0.0,1,0
1,20,47,0,both=0;mirror=0,0,0,0,0,3069005423274.67,"[0.0, 3.0690111432756697, -5.7199999999999225, -1.0]",3.0690111432756697,2.857142857142857,3.0690111432756697,5.7199999999999225,0,1,0,18.434638437873218,3069005.42327467,572,1.0,100.0,0.0,1,0
1,21,24,0,both=0;mirror=0,0,0,0,0,3016057265227.795,"[0.0, 3.0160631452287947, -5.879999999999919, -1.0]",3.0160631452287947,2.857142857142857,3.0160631452287947,5.879999999999919,0,1,0,18.44125459173665,3016057.265227795,588,1.0,100.0,0.0,1,0
1,22,42,0,both=0;mirror=0,0,0,0,0,1883687050197.1028,"[0.0, 1.8836920601981029, -5.009999999999938, -1.0]",1.8836920601981029,0.0,1.8836920601981029,5.009999999999938,0,1,0,5.134607975865947,1883687.0501971028,501,1.0,100.0,0.0,1,0
1,23,21,0,both=0;mirror=0,0,0,0,0,1883681600629.5806,"[0.0, 1.8836866106305805, -5.009999999999938, -1.0]",1.8836866106305805,0.0,1.8836866106305805,5.009999999999938,0,1,0,5.134594985560398,1883681.6006295807,501,1.0,100.0,0.0,1,0
