generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,7589386591067.639,5.714285714285714,7.589389256068639,7.589389256068639,2.664999999999987,0,1,69.23913347348571,266,7589386.591067638,"[0.0, 7.589389256068639, -2.664999999999987, -1.0]",0.1,0.25,0,48,96,48,48,48,0,40,8,40,10,450.4700000000149,450.4700000000149,45042,45042,39.37264670000877,39.48609230003785,2.4702380952380953,3.5285718951906477,3.5285718951906477,3528562.5103981686,9.384791666666978,1.0,100.0,0.0,0.0,0.0,0.0,2.857142857142857,2.4702380952380953,2.537802348418251,5.714285714285714,5.714285714285714,7.142857142857142,0.0,0.0,1.3879987171718053,3.033331462315151,3.5285718951906477,2.8391243025921367,7.14749983378819,7.456122262137277,7.589389256068639,0.0,0.0,1.3879987171718053,3.033331462315151,3.5285718951906477,2.8391243025921367,7.14749983378819,7.456122262137277,7.589389256068639,2.5449999999999897,2.6589999999999874,4.327499999999953,5.009999999999938,9.384791666666978,9.66926347798069,5.779999999999921,30.00000000000189,30.00000000000189,5.134414917440154,5.134765882702777,18.43516064299456,61.632382424644675,84.33638483016405,99.99179416780389,68.4437075490132,293.5987271043356,293.6011350156623,-30.00000000000189,-30.00000000000189,1387993.3284208053,3033325.637314151,3528562.5103981686,2839130.7235647743,7147495.682537191,7456118.183636276,7589386.591067638,-30000000.00000189,-30000000.00000189,1387993328420.8054,3033325637314.151,3528562510398.1685,2839130723564.7744,7147495682537.19,7456118183636.276,7589386591067.639,254.0,265.4,432.75,501.0,938.375,966.9805156818484,577.5,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7589386591067.639,5.714285714285714,7.589389256068639,7.589389256068639,2.664999999999987,0,1,69.23913347348571,266,7589386.591067638,"[0.0, 7.589389256068639, -2.664999999999987, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,0,169.36999999999853,619.8400000000134,16935,61977,11.90601149998838,51.490938500035554,4.642857142857143,6.049048701922099,6.049048701922099,6049045.173379432,3.528541666666636,1.0,100.0,0.0,0.0,2.0000000000000004,3.9285714285714284,5.714285714285714,4.642857142857143,1.9010380265084896,5.714285714285714,5.714285714285714,7.142857142857142,1.8835748944963728,2.6469497680664067,4.782970292227609,7.229206221444267,6.049048701922099,2.026744887425701,7.402383259364537,7.474249567304339,7.589389256068639,1.8835748944963728,2.6469497680664067,4.782970292227609,7.229206221444267,6.049048701922099,2.026744887425701,7.402383259364537,7.474249567304339,7.589389256068639,1.9050000000000016,2.5999999999999885,2.634999999999988,2.6574999999999873,3.528541666666636,1.310555288772848,5.009999999999938,5.709999999999923,6.549999999999905,5.134461893743719,14.326745257451696,39.17744331493759,68.14415895007551,53.45870842911919,23.48370075272369,68.81087854411453,69.25609535984695,69.75920422002673,1883569.884495373,2646944.0335654067,4782967.225976609,7229203.591443266,6049045.173379432,2026745.9866098708,7402380.636863537,7474246.921303338,7589386.591067638,1883569884495.3728,2646944033565.4067,4782967225976.609,7229203591443.267,6049045173379.433,2026745986609.8706,7402380636863.537,7474246921303.339,7589386591067.639,190.0,260.0,264.0,266.0,352.8125,131.06465583984368,501.0,571.0,655.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7903802998835.496,7.142857142857142,7.903807503836496,7.903807503836496,4.504999999999948,0,1,70.10461483895779,450,7903802.998835496,"[0.0, 7.903807503836496, -4.504999999999948, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,1,177.17999999999955,797.0200000000129,17718,79695,11.942600700014737,63.54057960002683,4.642857142857143,6.110310639653886,6.110310639653886,6110306.9484028965,3.691249999999991,1.0,100.0,0.0,0.0,1.0000000000000002,2.857142857142857,5.714285714285714,4.642857142857143,2.009755120968349,5.714285714285714,5.714285714285714,7.142857142857142,1.8835067749023438,2.5913301195417136,4.868949822017124,7.283543178013393,6.110310639653886,2.012906186294319,7.394852638244629,7.523158482142857,7.903807503836496,1.8835067749023438,2.5913301195417136,4.868949822017124,7.283543178013393,6.110310639653886,2.012906186294319,7.394852638244629,7.523158482142857,7.903807503836496,2.5449999999999897,2.6034999999999884,2.6449999999999876,2.672499999999987,3.691249999999991,2.368918199833102,4.302499999999952,5.321499999999933,18.0650000000009,5.134609589178581,14.444766228116716,41.78512021172901,68.12831307388842,56.750831982188934,26.815623954547966,69.12118091247976,70.12078950144351,155.4713804950843,1883501.7649013437,2591315.9710410633,4868945.662016124,7283540.560512393,6110306.9484028965,2012907.6267966453,7394849.941993629,7523155.826641858,7903802.998835496,1883501764901.3438,2591315971041.0635,4868945662016.125,7283540560512.393,6110306948402.898,2012907626796.6453,7394849941993.629,7523155826641.857,7903802998835.496,254.0,260.0,264.0,267.5,369.125,236.8564636546784,430.5,532.3000000000002,1806.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7903802998835.496,7.142857142857142,7.903807503836496,7.903807503836496,4.504999999999948,0,1,70.10461483895779,450,7903802.998835496,"[0.0, 7.903807503836496, -4.504999999999948, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,1,169.09999999999977,966.1200000000127,16912,96607,12.878014399961103,76.52112920000218,5.1190476190476195,6.482202382314772,6.482202382314772,6482198.859397116,3.522916666666662,1.0,100.0,0.0,0.0,2.857142857142857,4.285714285714286,5.714285714285714,5.1190476190476195,1.7455807498351403,5.714285714285714,7.142857142857142,7.142857142857142,0.9418705531529018,4.449953351702009,5.569465841565814,7.290188244410923,6.482202382314772,1.6715737729091458,7.428089550563268,7.535591942923409,7.903807503836496,0.9418705531529018,4.449953351702009,5.569465841565814,7.290188244410923,6.482202382314772,1.6715737729091458,7.428089550563268,7.535591942923409,7.903807503836496,1.9750000000000014,2.573499999999989,2.6287499999999877,2.6574999999999873,3.522916666666662,2.2554606960418075,3.9249999999999607,5.009999999999938,17.505000000000912,5.134595046576578,36.83981867457187,60.68321157150058,68.0080556832254,60.940882012766146,21.134578567043484,68.90804351493716,69.43300856761634,149.36802653584164,941853.0481524018,4449949.552701009,5569460.147814813,7290185.3469099235,6482198.859397116,1671575.315719177,7428086.886812268,7535589.219922409,7903802.998835496,941853048152.4019,4449949552701.009,5569460147814.813,7290185346909.924,6482198859397.117,1671575315719.1768,7428086886812.268,7535589219922.409,7903802998835.496,198.0,257.7,262.75,266.0,352.3333333333333,225.4562349745265,393.0,501.0,1750.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7903802998835.496,7.142857142857142,7.903807503836496,7.903807503836496,4.504999999999948,0,1,70.10461483895779,450,7903802.998835496,"[0.0, 7.903807503836496, -4.504999999999948, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,2,198.82000000000036,1164.940000000013,19880,116487,13.570403999998234,90.19974040001398,4.6726190476190474,6.035762996900648,6.035762996900648,6035758.854816337,4.142083333333341,1.0,100.0,0.0,0.0,1.0000000000000002,2.857142857142857,5.714285714285714,4.6726190476190474,2.0358100088884155,5.714285714285714,5.714285714285714,7.142857142857142,0.9418433053152903,2.5552201952253073,4.244039399283272,7.283740043640136,6.035762996900648,2.1292511485172416,7.409675802503314,7.566492353166852,7.903807503836496,0.9418433053152903,2.5552201952253073,4.244039399283272,7.283740043640136,6.035762996900648,2.1292511485172416,7.409675802503314,7.566492353166852,7.903807503836496,2.194999999999997,2.6084999999999883,2.624999999999988,2.667499999999987,4.142083333333341,3.1512160075738826,5.009999999999938,5.732999999999922,18.1150000000009,5.135188092703174,18.42059376317302,49.94966768879567,67.51399331726134,58.90117853645969,30.41433423242151,68.9068046733737,69.66822929754854,171.2861038666706,941825.8003147903,2555206.0117246574,4244035.0842822725,7283737.378639136,6035758.854816337,2129253.158822476,7409673.187502313,7566489.733165853,7903802.998835496,941825800314.7903,2555206011724.657,4244035084282.2725,7283737378639.137,6035758854816.336,2129253158822.4758,7409673187502.313,7566489733165.854,7903802998835.496,220.0,260.7,262.0,266.5,414.1666666666667,315.1498541258675,501.0,573.3,1812.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7903802998835.496,7.142857142857142,7.903807503836496,7.903807503836496,4.504999999999948,0,1,70.10461483895779,450,7903802.998835496,"[0.0, 7.903807503836496, -4.504999999999948, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,1,162.0549999999999,1326.9950000000129,16209,132696,10.851796799979638,101.17333020002116,5.1190476190476195,6.669477593331109,6.669477593331109,6669474.2171842875,3.376145833333331,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.1190476190476195,1.7697700889664887,5.714285714285714,6.142857142857149,7.142857142857142,1.4145987374441964,4.91333852495466,7.142857142857142,7.282468250819615,6.669477593331109,1.6520814501595098,7.5010463169642865,7.679029056004116,7.903807503836496,1.4145987374441964,4.91333852495466,7.142857142857142,7.282468250819615,6.669477593331109,1.6520814501595098,7.5010463169642865,7.679029056004116,7.903807503836496,2.0749999999999997,2.626999999999988,2.6399999999999877,2.6574999999999873,3.376145833333331,2.227984010168496,2.899999999999982,4.656499999999947,17.510000000000915,5.134404696058482,40.81075079878683,67.24400414712727,68.70398616604507,63.72212117758386,22.633939314419106,69.1083605736494,69.86379424668849,167.94003077071102,1414581.2274436962,4913333.313453659,7142854.506606143,7282465.6008186145,6669474.2171842875,1652082.981850093,7501043.666963287,7679026.421003116,7903802.998835496,1414581227443.6963,4913333313453.659,7142854506606.143,7282465600818.615,6669474217184.286,1652082981850.0933,7501043666963.286,7679026421003.116,7903802998835.496,208.0,262.7,264.0,266.0,337.6875,222.7632484135343,290.5,465.30000000000024,1751.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8062249617155.11,7.142857142857142,8.06225231715611,8.06225231715611,2.6999999999999864,0,1,71.11478766426444,270,8062249.61715511,"[0.0, 8.06225231715611, -2.6999999999999864, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,1,164.64999999999984,1491.6450000000127,16465,149161,11.289559199998621,112.57954080001218,5.1190476190476195,6.4923785130182905,6.4923785130182905,6492375.082808967,3.4302083333333298,1.0,100.0,0.0,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,5.1190476190476195,2.016794565011597,5.714285714285714,7.142857142857142,7.142857142857142,0.6755447387695311,2.6897836412702287,7.123925004686629,7.357403891427175,6.4923785130182905,2.034182499117626,7.589620862688337,7.758953094482422,8.06225231715611,0.6755447387695311,2.6897836412702287,7.123925004686629,7.357403891427175,6.4923785130182905,2.034182499117626,7.589620862688337,7.758953094482422,8.06225231715611,1.6100000000000012,2.5949999999999886,2.6424999999999876,2.669999999999987,3.4302083333333298,2.261620675886594,3.3612499999999725,5.009999999999938,17.505000000000912,5.1347393809846835,18.438420371869505,65.57953708432615,68.75882239080966,61.24531716786661,23.65541123693413,69.65849404968321,70.40051983594894,149.36730478252866,675539.7287685311,2689778.064269229,7123922.390935629,7357401.238926176,6492375.082808967,2034183.9494177552,7589618.176437337,7758949.588981422,8062249.61715511,675539728768.5312,2689778064269.229,7123922390935.629,7357401238926.176,6492375082808.966,2034183949417.7554,7589618176437.337,7758949588981.422,8062249617155.11,161.0,260.0,264.0,267.0,343.0208333333333,226.08916839594997,336.25,501.0,1750.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8168926263796.433,7.142857142857142,8.168928963797432,8.168928963797432,2.6999999999999864,0,1,71.16587881743908,270,8168926.263796433,"[0.0, 8.168928963797432, -2.6999999999999864, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,0,141.38999999999908,1633.0350000000117,14136,163297,9.965585199999623,122.65901440003654,5.595238095238095,7.095904690878733,7.095904690878733,7095901.745252732,2.9456249999999806,1.0,100.0,0.0,0.0,4.285714285714286,5.714285714285714,5.714285714285714,5.595238095238095,1.3309928437498748,5.714285714285714,7.142857142857142,7.142857142857142,1.883697509765625,5.561368533543178,7.245797089168003,7.45898927961077,7.095904690878733,1.215903953389176,7.705262047903878,7.805968284606934,8.168928963797432,1.883697509765625,5.561368533543178,7.245797089168003,7.45898927961077,7.095904690878733,1.215903953389176,7.705262047903878,7.805968284606934,8.168928963797432,1.8450000000000015,2.5939999999999888,2.6399999999999877,2.669999999999987,2.9456249999999806,0.948911451458088,2.7062499999999865,4.290499999999954,7.22999999999989,5.134670664592704,47.977391803424325,67.7918895771727,69.19622551091015,64.56815286835808,13.45990018140703,70.05515055730939,71.13011501021683,73.77405941393226,1883692.499764625,5561365.753542178,7245794.412917003,7458986.56210977,7095901.745252732,1215904.315689964,7705258.792902878,7805965.623605933,8168926.263796433,1883692499764.625,5561365753542.178,7245794412917.004,7458986562109.7705,7095901745252.731,1215904315689.964,7705258792902.878,7805965623605.934,8168926263796.433,184.0,259.4,264.0,267.0,294.5,94.88611594959507,270.25,428.90000000000003,723.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8168926263796.433,7.142857142857142,8.168928963797432,8.168928963797432,2.6999999999999864,0,1,71.16587881743908,270,8168926.263796433,"[0.0, 8.168928963797432, -2.6999999999999864, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,1,162.6499999999999,1795.6850000000115,16264,179561,10.832455100025982,133.60121520003304,5.386904761904762,6.81650698184967,6.81650698184967,6816503.593307015,3.3885416666666646,1.0,100.0,0.0,1.4285714285714286,2.857142857142857,5.714285714285714,5.714285714285714,5.386904761904762,1.6035564039314516,6.071428571428571,7.142857142857142,7.142857142857142,2.898540496826172,4.518002510070801,7.063956260681152,7.455483845302037,6.81650698184967,1.4001839966905938,7.687750203268869,7.835883821759905,8.168928963797432,2.898540496826172,4.518002510070801,7.063956260681152,7.455483845302037,6.81650698184967,1.4001839966905938,7.687750203268869,7.835883821759905,8.168928963797432,1.8750000000000013,2.6054999999999886,2.632499999999988,2.672499999999987,3.3885416666666646,2.1260120037128303,3.3062499999999737,4.5119999999999525,16.530000000000936,16.54847577426699,36.97055029321491,65.59571174159646,68.41885650157928,63.69139212534734,22.876333572842803,69.9180158264935,71.16215865500271,181.53181089420104,2898535.326825172,4517998.670569801,7063953.669430152,7455481.157801038,6816503.593307015,1400185.0449849484,7687747.477017868,7835881.137258905,8168926.263796433,2898535326825.172,4517998670569.801,7063953669430.152,7455481157801.037,6816503593307.016,1400185044984.9482,7687747477017.868,7835881137258.904,8168926263796.433,188.0,260.7,263.5,267.5,338.8333333333333,212.56659087343797,330.75,451.2000000000004,1653.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8168926263796.433,7.142857142857142,8.168928963797432,8.168928963797432,2.6999999999999864,0,1,71.16587881743908,270,8168926.263796433,"[0.0, 8.168928963797432, -2.6999999999999864, -1.0]",0.1,0.25,0,48,96,48,48,48,0,48,0,48,0,141.8649999999991,1937.5500000000106,14184,193745,9.44181380001828,143.15264840004966,5.238095238095238,6.755607099760147,6.755607099760147,6755604.144238313,2.9555208333333147,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.238095238095238,1.9849204762539363,6.071428571428571,7.142857142857142,7.142857142857142,1.8835258483886719,4.609190804617746,7.142857142857142,7.428161076136997,6.755607099760147,1.7033524995715517,7.699780804770334,7.912776810782296,8.168928963797432,1.8835258483886719,4.609190804617746,7.142857142857142,7.428161076136997,6.755607099760147,1.7033524995715517,7.699780804770334,7.912776810782296,8.168928963797432,2.0200000000000005,2.585499999999989,2.624999999999988,2.6849999999999867,2.9555208333333147,0.8034115018050287,2.7412499999999858,4.243499999999958,5.36499999999993,5.13450416046544,37.778598136603975,66.54125235322863,68.4911520536989,60.60595373992427,19.052209855100497,70.60585436969995,71.29597478732467,73.12660917267203,1883520.8383876719,4609186.897116745,7142854.514106142,7428158.401135998,6755604.144238313,1703353.1046176702,7699778.156019334,7912774.107781297,8168926.263796433,1883520838387.6719,4609186897116.745,7142854514106.143,7428158401135.997,6755604144238.313,1703353104617.6704,7699778156019.334,7912774107781.297,8168926263796.433,202.0,258.7,262.0,268.0,295.5,80.34742269253776,274.0,424.70000000000044,536.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
