generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,7915717488439.29,5.714285714285714,7.91572025844029,7.91572025844029,2.769999999999985,0,1,73.88574196398258,277,7915717.48843929,"[0.0, 7.91572025844029, -2.769999999999985, -1.0]",0.1,0.25,0,48,48,15,15,48,0,37,11,37,11,493.5200000000189,493.5200000000189,49352,49352,16.093774200009648,16.131988600012846,2.0238095238095237,2.90338465145656,2.90338465145656,2903374.369789123,10.28166666666706,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0238095238095237,2.401695357360954,3.5714285714285716,5.714285714285714,5.714285714285714,0.0,0.0,0.0990159170968192,1.9742447989327565,2.90338465145656,2.666208425498372,3.9570535932268416,7.012943812779018,7.91572025844029,0.0,0.0,0.0990159170968192,1.9742447989327565,2.90338465145656,2.666208425498372,3.9570535932268416,7.012943812779018,7.91572025844029,2.399999999999993,2.483999999999991,4.4499999999999496,5.009999999999938,10.28166666666706,10.813686607978477,5.762499999999921,30.00000000000189,30.00000000000189,5.134584056038875,5.134754118442652,17.035355567833903,40.555661184364,91.2980584093519,112.4760256918274,73.31578082405031,293.60093575072244,293.60177841049153,-30.00000000000189,-30.00000000000189,99010.9070958192,1974239.7889317567,2903374.369789123,2666215.0614661328,3957048.7107258416,7012941.277778018,7915717.48843929,-30000000.00000189,-30000000.00000189,99010907095.8192,1974239788931.7566,2903374369789.1226,2666215061466.133,3957048710725.842,7012941277778.019,7915717488439.29,240.0,248.4,445.0,501.0,1028.1666666666667,1081.3686607977668,576.25,3000.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9047074843910.83,8.571428571428571,9.04707772391183,9.04707772391183,2.8799999999999826,0,1,78.77855394780636,288,9047074.84391083,"[0.0, 9.04707772391183, -2.8799999999999826, -1.0]",0.1,0.25,0,48,48,26,26,48,0,47,1,47,1,183.96000000000066,677.4800000000196,18396,67748,4.1193319000303745,20.314023799961433,4.940476190476191,6.357648429416475,6.357648429416475,6357644.596915496,3.832500000000014,1.0,100.0,0.0,0.0,0.0,5.714285714285714,5.714285714285714,4.940476190476191,2.2390765325957176,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8837105887276786,6.585954938616071,7.142857142857142,6.357648429416475,2.1503663702033933,7.354140962873187,7.827707563127791,9.04707772391183,0.0,1.8837105887276786,6.585954938616071,7.142857142857142,6.357648429416475,2.1503663702033933,7.354140962873187,7.827707563127791,9.04707772391183,2.0300000000000007,2.5069999999999903,2.577499999999989,2.714999999999986,3.832500000000014,3.973292348083057,3.792499999999963,5.138999999999936,30.00000000000189,5.13447547663236,5.135481460829032,59.554570358246565,66.2023160085082,63.042602267193615,40.21750062295031,70.67167725972831,74.41808572411537,293.5981207175646,-30.00000000000189,1883705.5787266786,6585952.543615072,7142854.562856142,6357644.596915496,2150368.6513328888,7354137.867872186,7827704.80712679,9047074.84391083,-30000000.00000189,1883705578726.6787,6585952543615.071,7142854562856.143,6357644596915.495,2150368651332.889,7354137867872.187,7827704807126.79,9047074843910.83,203.0,250.7,257.75,271.5,383.25,397.32923480828003,379.25,513.9000000000002,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9110945480056.197,8.571428571428571,9.110949380057198,9.110949380057198,3.899999999999961,0,1,78.59038092195988,390,9110945.480056196,"[0.0, 9.110949380057198, -3.899999999999961, -1.0]",0.1,0.25,0,48,48,25,25,48,0,48,0,48,0,150.9099999999989,828.3900000000185,15091,82839,2.921753100003116,23.302640600013547,5.535714285714286,7.095374890736171,7.095374890736171,7095371.746776838,3.1439583333333103,1.0,100.0,0.0,0.0,5.714285714285714,5.714285714285714,5.714285714285714,5.535714285714286,1.2242240357859007,5.714285714285714,5.714285714285714,8.571428571428571,1.8837411063058036,6.579837254115513,7.045642307826451,7.142857142857142,7.095374890736171,1.337780074902118,7.879633903503418,8.165578024727958,9.110949380057198,1.8837411063058036,6.579837254115513,7.045642307826451,7.142857142857142,7.095374890736171,1.337780074902118,7.879633903503418,8.165578024727958,9.110949380057198,1.8700000000000014,2.4739999999999913,2.577499999999989,2.6999999999999864,3.1439583333333103,1.1920845530402455,2.804999999999984,5.514999999999927,7.69999999999988,5.134417004650459,58.51668199077248,63.251519383862615,67.77156380191445,64.75447411638727,14.738839998201309,72.69975122436881,74.96387819200754,78.77855394780636,1883736.0963048036,6579834.861114512,7045639.795325451,7142854.552856143,7095371.746776838,1337780.4791138244,7879627.4360024175,8165575.231726958,9110945.480056196,1883736096304.8037,6579834861114.513,7045639795325.451,7142854552856.143,7095371746776.837,1337780479113.8245,7879627436002.418,8165575231726.958,9110945480056.197,187.0,247.4,257.75,270.0,314.3958333333333,119.20845530402707,280.5,551.5,770.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9246120297663.621,8.571428571428571,9.246123177664622,9.246123177664622,2.8799999999999826,0,1,78.77893013507128,288,9246120.297663622,"[0.0, 9.246123177664622, -2.8799999999999826, -1.0]",0.1,0.25,0,48,48,28,28,48,0,48,0,48,0,138.79999999999913,967.1900000000177,13880,96719,3.0271926000132225,26.4148599000182,5.2976190476190474,6.827496687571208,6.827496687571208,6827493.795903541,2.8916666666666484,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.2976190476190474,1.427330810509738,5.714285714285714,5.714285714285714,8.571428571428571,1.8836866106305805,4.722668784005301,6.75973619733538,7.142857142857142,6.827496687571208,1.377857826624168,7.681622505187988,7.851243427821569,9.246123177664622,1.8836866106305805,4.722668784005301,6.75973619733538,7.142857142857142,6.827496687571208,1.377857826624168,7.681622505187988,7.851243427821569,9.246123177664622,1.7100000000000013,2.2209999999999965,2.53999999999999,2.6899999999999866,2.8916666666666484,1.0002527458375279,2.769999999999985,3.704999999999966,6.489999999999906,5.134590355184628,38.846932826191185,60.35648018307984,67.73486945405602,62.30717543607867,15.298560664146478,72.80475929938257,73.68362500742079,78.77893013507128,1883681.6006295807,4722666.937004302,6759733.75733438,7142854.522856142,6827493.795903541,1377858.1283906105,7681619.762686988,7851240.664820569,9246120.297663622,1883681600629.5806,4722666937004.302,6759733757334.38,7142854522856.143,6827493795903.542,1377858128390.6104,7681619762686.988,7851240664820.568,9246120297663.621,171.0,222.1,254.0,269.0,289.1666666666667,100.02527458375485,277.0,370.5000000000001,649.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9047074843910.83,8.571428571428571,9.04707772391183,9.04707772391183,2.8799999999999826,0,1,78.77855394780636,288,9047074.84391083,"[0.0, 9.04707772391183, -2.8799999999999826, -1.0]",0.1,0.25,0,48,48,20,20,48,0,47,1,47,1,178.4300000000008,1145.6200000000185,17843,114562,4.466820499976166,30.968443499994464,4.583333333333333,5.9536824339912044,5.9536824339912044,5953678.71669856,3.7172916666666835,1.0,100.0,0.0,0.0,0.0,2.857142857142857,5.714285714285714,4.583333333333333,2.0816319583387752,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8837411063058036,5.027924946376255,7.142857142857142,5.9536824339912044,2.2872300003944215,7.160020555768694,7.96560287475586,9.04707772391183,0.0,1.8837411063058036,5.027924946376255,7.142857142857142,5.9536824339912044,2.2872300003944215,7.160020555768694,7.96560287475586,9.04707772391183,1.8400000000000014,2.3739999999999934,2.5474999999999897,2.634999999999988,3.7172916666666835,4.0060447761184514,2.8349999999999835,5.709999999999923,30.00000000000189,5.134481583052548,18.435059668519536,45.94965192489326,65.79196217283607,59.494361950770326,40.50230469258659,69.82135035656393,74.41491459682584,290.9523209158797,-30.00000000000189,1883736.0963048036,5027923.001375255,7142854.5178561425,5953678.71669856,2287232.3405834804,7160017.983267694,7965600.10175486,9047074.84391083,-30000000.00000189,1883736096304.8037,5027923001375.256,7142854517856.143,5953678716698.56,2287232340583.4805,7160017983267.693,7965600101754.86,9047074843910.83,184.0,237.4,254.75,263.5,371.7291666666667,400.6044776118196,283.5,571.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9047074843910.83,8.571428571428571,9.04707772391183,9.04707772391183,2.8799999999999826,0,1,78.77855394780636,288,9047074.84391083,"[0.0, 9.04707772391183, -2.8799999999999826, -1.0]",0.1,0.25,0,48,48,24,24,48,0,48,0,48,0,143.39999999999907,1289.0200000000177,14340,128902,3.092720399959944,34.13158469996415,5.178571428571428,6.782589639936174,6.782589639936174,6782586.652435173,2.9874999999999807,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.178571428571428,1.8123020651950394,5.714285714285714,5.714285714285714,8.571428571428571,1.8834849766322543,4.037642342703683,7.106295994349888,7.142857142857142,6.782589639936174,1.788774769678581,7.736821174621582,8.03533036368234,9.04707772391183,1.8834849766322543,4.037642342703683,7.106295994349888,7.142857142857142,6.782589639936174,1.788774769678581,7.736821174621582,8.03533036368234,9.04707772391183,1.7900000000000014,2.481999999999991,2.587499999999989,2.7049999999999863,2.9874999999999807,0.9256382932873748,2.7824999999999847,5.009999999999938,5.869999999999919,5.134419479640201,30.705718229048948,63.85671882890165,68.47906160354614,61.569300393709455,20.22501387569746,73.12596579268575,74.54484375789762,78.77855394780636,1883479.9666312544,4037639.1567026833,7106293.466848888,7142854.592856143,6782586.652435173,1788775.316889019,7736818.424620582,8035327.58068134,9047074.84391083,1883479966631.2544,4037639156702.683,7106293466848.889,7142854592856.143,6782586652435.175,1788775316889.019,7736818424620.582,8035327580681.34,9047074843910.83,179.0,248.2,258.75,270.5,298.75,92.56382932873942,278.25,501.0,587.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9047074843910.83,8.571428571428571,9.04707772391183,9.04707772391183,2.8799999999999826,0,1,78.77855394780636,288,9047074.84391083,"[0.0, 9.04707772391183, -2.8799999999999826, -1.0]",0.1,0.25,0,48,48,17,17,48,0,48,0,48,0,158.63999999999874,1447.6600000000165,15864,144766,3.2966506000375375,37.50348810001742,5.178571428571429,6.5264846597399035,6.5264846597399035,6526481.354738903,3.3049999999999735,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.178571428571429,1.9038316180618424,5.714285714285714,5.714285714285714,8.571428571428571,0.0,3.071256365094866,6.5235778263637,7.18226705278669,6.5264846597399035,2.086612936041267,7.585201944623675,8.327818734305247,9.04707772391183,0.0,3.071256365094866,6.5235778263637,7.18226705278669,6.5264846597399035,2.086612936041267,7.585201944623675,8.327818734305247,9.04707772391183,1.7800000000000014,2.5369999999999897,2.6499999999999875,2.719999999999986,3.3049999999999735,1.2882061170480172,2.857499999999983,5.715999999999923,7.22999999999989,5.13461357873166,18.74885841143332,57.95984955877066,69.31406204029918,59.64873383368558,21.055017400376148,72.3419044855982,75.90646332576871,78.77855394780636,-5.010000999999938,3071250.649093866,6523575.3963627,7182264.392785691,6526481.354738903,2086613.9187960476,7585199.207122675,8327815.914304245,9047074.84391083,-5010000.999999938,3071250649093.8657,6523575396362.699,7182264392785.69,6526481354738.903,2086613918796.0474,7585199207122.675,8327815914304.246,9047074843910.83,178.0,253.7,265.0,272.0,330.5,128.82061170480443,285.75,571.6,723.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9047074843910.83,8.571428571428571,9.04707772391183,9.04707772391183,2.8799999999999826,0,1,78.77855394780636,288,9047074.84391083,"[0.0, 9.04707772391183, -2.8799999999999826, -1.0]",0.1,0.25,0,48,48,18,18,48,0,47,1,47,1,186.5500000000006,1634.210000000017,18655,163421,4.480333699961193,42.05765089998022,4.8809523809523805,6.343868857338315,6.343868857338315,6343864.970879003,3.886458333333346,1.0,100.0,0.0,0.0,0.0,5.0,5.714285714285714,4.8809523809523805,2.2556303954162398,5.714285714285714,5.714285714285714,8.571428571428571,1.883664812360491,2.5651223318917413,5.726477759225029,7.142857142857142,6.343868857338315,2.177184080640658,7.654179164341518,8.381606238228935,9.04707772391183,1.883664812360491,2.5651223318917413,5.726477759225029,7.142857142857142,6.343868857338315,2.177184080640658,7.654179164341518,8.381606238228935,9.04707772391183,1.9600000000000015,2.5079999999999907,2.5949999999999886,2.7499999999999853,3.886458333333346,3.9942216020896053,4.207499999999954,5.709999999999923,30.00000000000189,5.134403727017343,14.444358434624885,57.94871515780687,66.94681691844016,61.60338152221311,41.2610191419898,72.80501521751285,76.65279481187463,293.6004480133997,1883659.8023594911,2565099.828891441,5726475.604224028,7142854.512856143,6343864.970879003,2177185.8794026272,7654176.424340518,8381603.386227935,9047074.84391083,1883659802359.4912,2565099828891.4414,5726475604224.028,7142854512856.143,6343864970879.003,2177185879402.6272,7654176424340.519,8381603386227.935,9047074843910.83,196.0,250.8,259.5,275.0,388.6458333333333,399.4221602089351,420.75,571.0,3000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9047074843910.83,8.571428571428571,9.04707772391183,9.04707772391183,2.8799999999999826,0,1,78.77855394780636,288,9047074.84391083,"[0.0, 9.04707772391183, -2.8799999999999826, -1.0]",0.1,0.25,0,48,48,27,27,48,0,48,0,48,0,135.54999999999922,1769.7600000000164,13555,176976,2.7109672999940813,44.833173499966506,5.416666666666667,6.914479959578742,6.914479959578742,6914477.135619408,2.823958333333317,1.0,100.0,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.416666666666667,1.569217419817151,5.714285714285714,5.714285714285714,8.571428571428571,1.8830326625279017,4.6279160635811945,7.021093368530274,7.144527435302734,6.914479959578742,1.4748429277372783,7.739009857177734,8.353829792567662,9.04707772391183,1.8830326625279017,4.6279160635811945,7.021093368530274,7.144527435302734,6.914479959578742,1.4748429277372783,7.739009857177734,8.353829792567662,9.04707772391183,1.6600000000000013,2.2879999999999954,2.5974999999999886,2.6949999999999865,2.823958333333317,0.7548640594596258,2.7924999999999844,3.23399999999998,5.739999999999922,5.135314574668882,37.815174689143895,63.049051973968744,68.85835433006287,63.145072419640506,16.094152521040364,73.1258477345109,75.84429838880897,78.77855394780636,1883027.6525269016,4627914.238580194,7021090.861029274,7144524.820301734,6914477.135619408,1474843.1321290443,7739007.107176735,8353826.975566662,9047074.84391083,1883027652526.9016,4627914238580.194,7021090861029.274,7144524820301.734,6914477135619.407,1474843132129.0442,7739007107176.734,8353826975566.661,9047074843910.83,166.0,228.8,259.75,269.5,282.3958333333333,75.48640594596414,279.25,323.4000000000005,574.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8451540715504.022,5.714285714285714,8.451543535505023,8.451543535505023,2.819999999999984,0,1,76.14888418465853,282,8451540.715504022,"[0.0, 8.451543535505023, -2.819999999999984, -1.0]",0.1,0.25,0,48,48,27,27,48,0,48,0,48,0,146.539999999999,1916.3000000000154,14654,191630,2.965212100010831,47.872823600017,4.7023809523809526,6.291213546480452,6.291213546480452,6291210.493562784,3.0529166666666456,1.0,100.0,0.0,0.0,2.0000000000000004,5.0,5.714285714285714,4.7023809523809526,1.8888847205502894,5.714285714285714,5.714285714285714,5.714285714285714,1.876711164202009,2.6971184866768976,5.956693376813616,7.142857142857142,6.291213546480452,1.9173046626965233,7.280988012041364,7.9279793330601285,8.451543535505023,1.876711164202009,2.6971184866768976,5.956693376813616,7.142857142857142,6.291213546480452,1.9173046626965233,7.280988012041364,7.9279793330601285,8.451543535505023,1.7700000000000014,2.2879999999999954,2.577499999999989,2.6599999999999873,3.0529166666666456,1.1259180667595234,2.7874999999999845,5.009999999999938,6.959999999999896,5.134475502942223,14.451130155987633,52.03207500837743,67.02636203542352,56.53514211334186,22.210580457829735,70.1536602769047,74.11381946504116,76.14888418465853,1876706.1542010088,2697112.9306758977,5956691.154312616,7142854.527856142,6291210.493562784,1917305.500012208,7280985.332040364,7927976.560059127,8451540.715504022,1876706154201.0088,2697112930675.8975,5956691154312.616,7142854527856.143,6291210493562.784,1917305500012.208,7280985332040.364,7927976560059.128,8451540715504.022,177.0,228.8,257.75,266.0,305.2916666666667,112.59180667595469,278.75,501.0,696.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
