generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,8571875330748.163,8.571428571428571,8.571878160749163,8.571878160749163,2.8299999999999854,0,1,76.60973261296749,269,8571875.330748163,"[0.0, 8.571878160749163, -2.8299999999999854, -1.0]",0.1,0.25,0,48,48,0,0,48,0,40,8,40,8,423.7800000000108,423.7800000000108,39810,39810,22.269422899989877,22.330903100024443,2.4404761904761902,3.294472126733689,3.294472126733689,3294463.2979828552,8.828750000000225,1.0640259407742454,96.85439061963291,0.03145609380367081,0.0,0.0,0.0,2.857142857142857,2.4404761904761902,2.4736422327595413,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.8823528289794922,3.0635479518345425,3.294472126733689,2.542114385023928,6.47082737513951,7.0399900163922995,8.571878160749163,0.0,0.0,1.8823528289794922,3.0635479518345425,3.294472126733689,2.542114385023928,6.47082737513951,7.0399900163922995,8.571878160749163,2.389999999999996,2.520999999999992,4.52249999999995,5.134999999999941,8.828750000000225,9.552353249549464,5.739999999999927,30.0000000000016,30.01000000000159,5.147996656713076,5.153395006728533,18.426745508319073,25.45282149546256,74.78293699600333,100.30279511980929,64.99920622073114,293.59910030746835,293.69745270651765,-30.010000000001586,-30.000000000001577,1882347.8189784924,3063542.216833542,3294463.2979828552,2542120.092930173,6470824.482638509,7039987.486391299,8571875.330748163,-30010000.000001587,-30000000.00000158,1882347818978.4922,3063542216833.542,3294463297982.8555,2542120092930.1733,6470824482638.51,7039987486391.299,8571875330748.163,221.0,238.5,419.0,487.0,829.375,896.4265080724688,543.5,2810.0,2833.0,1.041894353369763,1.0538978509505197,1.057248530277809,1.06319527205107,1.0640259407742454,0.00902393117118234,1.0700835622710623,1.075445062453088,1.0844155844155845,95.92760180995475,96.2277468773456,96.54758864730775,96.91218763388548,96.85439061963291,0.472177012171393,97.19873150105708,97.41619618913197,97.90528233151184,0.020947176684881604,0.025838038108680312,0.028012684989429177,0.030878123661145084,0.03145609380367081,0.004721770121713928,0.034524113526922515,0.03772253122654401,0.04072398190045249
2,8571314025293.364,5.714285714285714,8.571316855294365,8.571316855294365,2.8299999999999854,0,1,76.61248648911715,265,8571314.025293365,"[0.0, 8.571316855294365, -2.8299999999999854, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,165.6099999999987,589.3900000000094,15574,55384,5.669798799965065,28.11348860000726,4.7023809523809526,6.0448065258207775,6.0448065258207775,6044803.075611445,3.4502083333333062,1.0628356841214908,96.89839362781221,0.03101606372187778,0.0,2.0000000000000004,5.0,5.714285714285714,4.7023809523809526,1.8888847205502894,5.714285714285714,5.714285714285714,5.714285714285714,0.47455378941127235,2.7104552132742743,6.13562856401716,7.0015362330845425,6.0448065258207775,2.092729539705491,7.142857142857142,7.584670475551061,8.571316855294365,0.47455378941127235,2.7104552132742743,6.13562856401716,7.0015362330845425,6.0448065258207775,2.092729539705491,7.142857142857142,7.584670475551061,8.571316855294365,2.1299999999999986,2.436999999999993,2.504999999999991,2.63499999999999,3.4502083333333062,1.410414374074918,5.009999999999942,5.719999999999927,7.369999999999893,4.956587842287263,18.425657106061408,53.93861494958401,62.810991298407316,53.89264882400479,21.9107159911075,67.2863285318017,72.29743102639914,76.61248648911715,474548.50941027235,2710449.6892732745,6135626.29151616,7001533.723083543,6044803.075611445,2092730.5280135334,7142854.547856143,7584667.70355006,8571314.025293365,474548509410.27234,2710449689273.2744,6135626291516.16,7001533723083.543,6044803075611.442,2092730528013.5332,7142854547856.143,7584667703550.061,8571314025293.364,203.0,230.7,237.0,247.5,324.4583333333333,132.15173701931514,473.5,532.3,698.0,1.0338983050847457,1.0471256316605795,1.0529261704681874,1.0592786739648798,1.0628356841214908,0.013766810991377337,1.0733794714057872,1.079502939914412,1.0982905982905984,95.40598290598291,96.1597009202454,96.35928764218238,97.03606630175602,96.89839362781221,0.6365141973488494,97.35369147659064,97.64371841697103,98.30508474576271,0.01694915254237288,0.02356281583028969,0.026463085234093638,0.02963933698243988,0.03101606372187778,0.006365141973488499,0.036407123578176215,0.03840299079754601,0.045940170940170943
3,9543153589819.033,8.571428571428571,9.543160029820033,9.543160029820033,6.439999999999916,0,1,81.07012464851141,598,9543153.589819033,"[0.0, 9.543160029820033, -6.439999999999916, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,155.65999999999894,745.0500000000084,14625,70009,5.311049100011587,33.5270457000006,5.0,6.501975854237874,6.501975854237874,6501972.611320208,3.2429166666666447,1.064162122221579,96.84565943143048,0.03154340568569517,0.0,0.0,5.714285714285714,5.714285714285714,5.0,2.142857142857143,5.714285714285714,5.714285714285714,8.571428571428571,1.8620518275669642,1.9973689488002233,7.003605706351143,7.212653841291155,6.501975854237874,2.1118424130874156,7.6187174660818915,7.844494138445174,9.543160029820033,1.8620518275669642,1.9973689488002233,7.003605706351143,7.212653841291155,6.501975854237874,2.1118424130874156,7.6187174660818915,7.844494138445174,9.543160029820033,2.2599999999999967,2.5599999999999903,2.6599999999999886,2.729999999999987,3.2429166666666447,1.1193058830016809,2.8624999999999865,5.012999999999944,6.439999999999916,5.046166199434083,6.494442512297247,62.84522648900747,69.55617205798626,58.54287447721799,24.07372548002604,72.46244627796113,73.46836437657475,81.07012464851141,1862046.817565964,1997363.9387992234,7003603.086350143,7212651.176290155,6501972.611320208,2111843.2289874917,7618714.726080891,7844491.3054441735,9543153.589819033,1862046817565.964,1997363938799.2234,7003603086350.143,7212651176290.156,6501972611320.207,2111843228987.4912,7618714726080.892,7844491305444.174,9543153589819.033,214.0,241.7,247.75,258.0,304.6875,104.6331202045987,268.0,475.0,598.0,1.0284552845528456,1.0451675009626493,1.0544747081712063,1.0623867403314917,1.064162122221579,0.01680774823540181,1.0730138599510826,1.0880459983307058,1.1008771929824561,94.95614035087719,95.59770008346472,96.42558528428094,96.942964570727,96.84565943143048,0.8349417170015413,97.2905317769131,97.74162495186754,98.57723577235772,0.014227642276422764,0.022583750481324605,0.027094682230869003,0.03057035429272998,0.03154340568569517,0.008349417170015408,0.03574414715719064,0.04402299916535288,0.05043859649122807
4,9596398349295.875,8.571428571428571,9.596405029296875,9.596405029296875,6.679999999999906,0,1,81.38555002957582,631,9596398.349295875,"[0.0, 9.596405029296875, -6.679999999999906, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,162.73999999999876,907.7900000000071,15275,85284,5.249296499998309,38.902487299987115,5.238095238095238,6.878921190897624,6.878921190897624,6878917.800479956,3.3904166666666407,1.065879154256595,96.82524662409163,0.03174753375908355,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,5.238095238095238,2.2837292968155807,5.714285714285714,8.571428571428571,8.571428571428571,1.8356541224888394,2.693625858851842,7.142857142857142,7.617959976196289,6.878921190897624,2.23819050609574,8.133774484906878,8.80083956037249,9.596405029296875,1.8356541224888394,2.693625858851842,7.142857142857142,7.617959976196289,6.878921190897624,2.23819050609574,8.133774484906878,8.80083956037249,9.596405029296875,1.6200000000000012,2.6429999999999896,2.7299999999999884,2.7899999999999867,3.3904166666666407,1.1980608608868049,3.742499999999969,5.222999999999942,6.679999999999906,4.93341244803014,14.447913553682158,65.87324936129153,72.30762221291661,61.262693558804735,24.360718424676556,74.97992155700922,77.45196692124009,81.38555002957582,1835649.1124878393,2693620.295850842,7142853.157856143,7617957.246195289,6878917.800479956,2238191.100106815,8133771.687405878,8800836.703371491,9596398.349295875,1835649112487.8394,2693620295850.842,7142853157856.143,7617957246195.289,6878917800479.957,2238191100106.815,8133771687405.878,8800836703371.49,9596398349295.875,152.0,244.5,254.75,263.0,318.2291666666667,112.85965465703657,348.0,492.7000000000003,631.0,1.0326797385620916,1.0475183823529413,1.0567664628075666,1.0654617866505345,1.065879154256595,0.015182033903027302,1.071629213483146,1.0806381444537916,1.1097560975609757,94.51219512195122,96.14731494920174,96.5260371650821,96.86635553381701,96.82524662409163,0.7110662906530111,97.24353312775067,97.62408088235294,98.36601307189542,0.016339869281045753,0.023759191176470587,0.027564668722493336,0.031336444661829846,0.03174753375908355,0.007110662906530113,0.034739628349178917,0.03852685050798259,0.054878048780487805
5,9519309127125.117,8.571428571428571,9.519315447126116,9.519315447126116,6.319999999999917,0,1,80.89595028758049,594,9519309.127125118,"[0.0, 9.519315447126116, -6.319999999999917, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,188.07999999999825,1095.8700000000053,17706,102990,6.188304700015578,45.19860280002467,5.357142857142857,6.662143922987437,6.662143922987437,6662140.004653105,3.918333333333297,1.0632407741707153,96.94871251641818,0.030512874835818226,0.0,0.0,2.857142857142857,5.714285714285714,5.357142857142857,2.834733547569204,8.571428571428571,8.571428571428571,8.571428571428571,1.7887115478515625,1.8832228524344308,3.7580667223249162,8.026347841535296,6.662143922987437,2.6412217389831523,8.642905780247279,8.952538626534599,9.519315447126116,1.7887115478515625,1.8832228524344308,3.7580667223249162,8.026347841535296,6.662143922987437,2.6412217389831523,8.642905780247279,8.952538626534599,9.519315447126116,1.6600000000000013,2.7599999999999865,2.8099999999999863,2.9049999999999843,3.918333333333297,1.785593194306986,5.009999999999941,5.850999999999926,12.219999999999791,4.2089780088863336,5.156922434817534,28.467403627135354,74.4490439556539,57.228646964882195,27.757334081077023,76.68306936323643,77.8837290816009,80.89595028758049,1788706.5378505625,1883217.8424334307,3758060.5348239164,8026345.061534297,6662140.004653105,2641222.6566265696,8642902.37024628,8952535.759533599,9519309.127125118,1788706537850.5625,1883217842433.4307,3758060534823.916,8026345061534.296,6662140004653.1045,2641222656626.57,8642902370246.279,8952535759533.6,9519309127125.117,150.0,258.0,263.75,273.5,368.875,168.22339128373318,472.75,556.1,1144.0,1.0425531914893618,1.0457866767887645,1.053046218487395,1.0617548217416715,1.0632407741707153,0.014691897038050367,1.0693349367353342,1.081549574923069,1.1066666666666667,94.8888888888889,96.11035111719106,96.63382010855518,96.98862805323972,96.94871251641818,0.6653205308363154,97.42240712074303,97.75573337733047,97.9014598540146,0.020985401459854013,0.022442666226695267,0.02577592879256966,0.030113719467602752,0.030512874835818226,0.006653205308363162,0.03366179891444818,0.038896488828089375,0.051111111111111114
6,9587828944367.023,8.571428571428571,9.587835584368024,9.587835584368024,6.639999999999907,0,1,81.27286963164806,631,9587828.944367023,"[0.0, 9.587835584368024, -6.639999999999907, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,167.97999999999865,1263.850000000004,15909,118899,5.7661842000088654,51.10086320003029,6.071428571428572,7.371539161318824,7.371539161318824,7371535.661734492,3.4995833333333053,1.0561599025140183,97.26465410229407,0.02735345897705908,0.0,2.857142857142857,5.0,5.714285714285714,6.071428571428572,2.64864231681988,8.571428571428571,8.571428571428571,8.571428571428571,1.8807165963309151,3.4889242989676337,5.763765062604632,8.438262939453125,7.371539161318824,2.2501831596923547,8.867784908839635,9.075556073869977,9.587835584368024,1.8807165963309151,3.4889242989676337,5.763765062604632,8.438262939453125,7.371539161318824,2.2501831596923547,8.867784908839635,9.075556073869977,9.587835584368024,1.9500000000000015,2.5189999999999917,2.8099999999999867,2.8449999999999855,3.4995833333333053,1.5935010698842087,3.06499999999998,5.737999999999927,9.41999999999985,5.152436711839982,23.662443344758504,50.09824629686773,76.17031080275774,63.79892816430962,22.765760666358474,77.48090341873467,78.34170041680336,81.27286963164806,1880711.586329915,3488917.164966634,5763762.892603632,8438260.119452124,7371535.661734492,2250183.6107623144,8867781.976338634,9075553.196868977,9587828.944367023,1880711586329.915,3488917164966.634,5763762892603.633,8438260119452.125,7371535661734.491,2250183610762.3145,8867781976338.635,9075553196868.979,9587828944367.023,187.0,240.60000000000002,264.75,270.0,331.4375,151.06619772056885,290.25,540.5,893.0,1.0317460317460319,1.0438235294117648,1.049146412037037,1.0548040313549834,1.0561599025140183,0.011192175055563826,1.0638084364859992,1.0709822526796695,1.0876288659793814,95.61855670103093,96.71153846153847,96.89867424242424,97.26315789473684,97.26465410229407,0.5283246718479562,97.61491811537279,97.86063403463575,98.41269841269842,0.015873015873015872,0.02139365965364248,0.023850818846272073,0.02736842105263158,0.02735345897705908,0.005283246718479553,0.03101325757575758,0.03288461538461539,0.04381443298969072
7,9597004276507.092,8.571428571428571,9.597007206508092,9.597007206508092,2.929999999999985,0,1,81.03257691115141,272,9597004.276507093,"[0.0, 9.597007206508092, -2.929999999999985, -1.0]",0.1,0.25,0,48,48,0,0,48,0,47,1,47,1,208.8,1472.650000000004,19502,138401,6.617965400044341,57.83696660003625,5.2976190476190474,6.49436280840919,6.49436280840919,6494358.458408211,4.3500000000000005,1.0727511031638632,96.4868126442476,0.0351318735575239,0.0,0.0,2.857142857142857,5.714285714285714,5.2976190476190474,3.2466405103082483,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8818212236676897,3.8528932843889505,8.064220973423549,6.49436280840919,3.003319558589999,8.802333559308734,9.186072758265905,9.597007206508092,0.0,1.8818212236676897,3.8528932843889505,8.064220973423549,6.49436280840919,3.003319558589999,8.802333559308734,9.186072758265905,9.597007206508092,1.8100000000000014,2.749999999999987,2.8299999999999854,2.869999999999986,4.3500000000000005,4.011704230540302,5.009999999999944,5.858999999999927,30.00000000000157,4.2724750368943205,5.160116595548606,30.17773924503672,75.10038911178708,61.49178091902089,44.04078328575071,77.6016168948263,79.24449590146543,292.64027158974204,-30.00000000000157,1881816.2066666898,3852887.1218879507,8064218.1884225495,6494358.458408211,3003321.437549905,8802330.709307732,9186069.875264904,9597004.276507093,-30000000.000001572,1881816206666.6897,3852887121887.9507,8064218188422.55,6494358458408.212,3003321437549.905,8802330709307.732,9186069875264.904,9597004276507.092,168.0,256.7,261.75,270.0,406.2916666666667,378.5836520469713,468.0,546.5000000000001,2830.0,1.0505836575875487,1.0606735311625315,1.0670398009950248,1.0729410311316094,1.0727511031638632,0.009640523858603384,1.0775669642857142,1.0837459727745045,1.098814229249012,95.4874835309618,95.8922304115118,96.25108127890341,96.4899654036654,96.4868126442476,0.41368788718043326,96.74067738466104,97.02512760109934,97.47081712062257,0.02529182879377432,0.029748723989006673,0.03259322615338971,0.03510034596334614,0.0351318735575239,0.004136878871804341,0.037489187210965835,0.041077695884881985,0.04512516469038209
8,9598456586251.79,8.571428571428571,9.59845951625279,9.59845951625279,2.929999999999985,0,1,81.03091613203287,275,9598456.58625179,"[0.0, 9.59845951625279, -2.929999999999985, -1.0]",0.1,0.25,0,48,48,0,0,48,0,47,1,47,1,188.14000000000044,1660.7900000000045,17574,155975,6.948100500041619,64.87814600003185,5.833333333333333,7.173952488672165,7.173952488672165,7173948.569087853,3.9195833333333425,1.071501616624875,96.5495163660288,0.03450483633971216,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.833333333333333,2.9136281548858136,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.054783957345145,5.380536488124302,8.459362302507673,7.173952488672165,2.5096100890015625,8.998792512076243,9.307423455374582,9.59845951625279,0.0,3.054783957345145,5.380536488124302,8.459362302507673,7.173952488672165,2.5096100890015625,8.998792512076243,9.307423455374582,9.59845951625279,1.8500000000000014,2.2389999999999968,2.8174999999999852,2.869999999999985,3.9195833333333425,4.022803209171924,3.169999999999979,5.811999999999926,30.00000000000161,5.154165179257689,30.972345961867543,46.08756579225883,76.39315432310104,67.28829221937788,39.93380720687053,78.36980119533837,79.68952282518148,293.604740771465,-30.00000000000161,3054778.145344145,5380534.258123302,8459357.137506671,7173948.569087853,2509612.0386591204,8998788.457075242,9307420.555373581,9598456.58625179,-30000000.00000161,3054778145344.145,5380534258123.303,8459357137506.673,7173948569087.8545,2509612038659.1206,8998788457075.242,9307420555373.582,9598456586251.79,169.0,204.1,264.75,267.5,366.125,376.9700267152107,292.75,546.0,2811.0,1.0381355932203389,1.051228818314443,1.0633205745565295,1.0713776238027308,1.071501616624875,0.014225984719767935,1.0818469044952808,1.087878787878788,1.1009615384615385,94.95192307692308,95.80895158481367,96.15621935272964,96.44858572307004,96.5495163660288,0.6536585431103302,96.96062271062272,97.50591100392491,98.09322033898304,0.019067796610169493,0.024940889960750934,0.03039377289377289,0.03551414276929957,0.03450483633971216,0.006536585431103302,0.03843780647270349,0.04191048415186347,0.05048076923076923
9,9626053196184.826,8.571428571428571,9.626056126185826,9.626056126185826,2.9299999999999824,0,1,81.01470855623484,283,9626053.196184827,"[0.0, 9.626056126185826, -2.9299999999999824, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,150.28999999999903,1811.0800000000036,14156,170131,5.193131199979689,70.174688900006,5.535714285714285,6.876104332151868,6.876104332151868,6876101.201109201,3.1310416666666465,1.0616401963328457,96.97597694317302,0.030240230568269744,0.0,0.0,2.857142857142857,5.714285714285714,5.535714285714285,3.2159387283904994,8.571428571428571,8.571428571428571,8.571428571428571,0.440216064453125,1.8834942408970425,4.958591461181641,8.204798017229352,6.876104332151868,2.730938064070213,9.207658086504255,9.449363436017718,9.626056126185826,0.440216064453125,1.8834942408970425,4.958591461181641,8.204798017229352,6.876104332151868,2.730938064070213,9.207658086504255,9.449363436017718,9.626056126185826,1.8300000000000014,1.9810000000000016,2.58249999999999,2.8899999999999855,3.1310416666666465,1.0845568211319512,3.014999999999982,5.009999999999943,6.12999999999992,5.151818212165381,11.530549506484387,41.38574117422104,75.30051414296031,58.33853943070714,25.793911873357928,78.91292546130717,80.13462612628936,81.0295264646411,440211.054452125,1883489.2308960427,4958589.538680641,8204795.217228353,6876101.201109201,2730938.4652322624,9207655.204003256,9449360.519016718,9626053.196184827,440211054452.125,1883489230896.0425,4958589538680.641,8204795217228.353,6876101201109.2,2730938465232.2627,9207655204003.254,9449360519016.719,9626053196184.826,172.0,186.7,242.75,270.0,294.9166666666667,102.16812804827585,284.75,470.3,581.0,1.0298507462686568,1.038150023009664,1.0564908821542953,1.0663120567375888,1.0616401963328457,0.012552842752983472,1.0701756184228508,1.0739653493189207,1.0774907749077491,96.24846248462485,96.43925259477314,96.55893475195487,96.78423698612701,96.97597694317302,0.5974763309154197,97.22062275074325,98.0924988495168,98.50746268656717,0.014925373134328358,0.01907501150483203,0.027793772492567675,0.0321576301387298,0.030240230568269744,0.005974763309154197,0.03441065248045122,0.035607474052268606,0.03751537515375154
10,9630938733468.586,8.571428571428571,9.630941663469587,9.630941663469587,2.929999999999985,0,1,81.02923443168402,273,9630938.733468587,"[0.0, 9.630941663469587, -2.929999999999985, -1.0]",0.1,0.25,0,48,48,0,0,48,0,48,0,48,0,135.55999999999926,1946.6400000000028,12852,182983,4.441085700003896,74.71805910003604,5.178571428571428,6.688244229271298,6.688244229271298,6688241.405103631,2.824166666666651,1.053774778344299,97.40800877555266,0.02591991224447333,0.0,2.857142857142857,2.857142857142857,4.285714285714286,5.178571428571428,2.6506481045490857,8.571428571428571,8.571428571428571,8.571428571428571,1.8804768153599332,4.119170597621373,4.87499645778111,6.538816179547991,6.688244229271298,2.2222911161280754,8.921357563563756,9.152102061680386,9.630941663469587,1.8804768153599332,4.119170597621373,4.87499645778111,6.538816179547991,6.688244229271298,2.2222911161280754,8.921357563563756,9.152102061680386,9.630941663469587,1.6700000000000013,1.8420000000000014,2.0275000000000007,2.809999999999986,2.824166666666651,1.203783676118277,2.889999999999984,3.6239999999999775,7.359999999999893,5.1451528284014785,32.447130011023546,40.540024384856224,60.07221054658294,57.30467687306251,21.556099849826232,77.91448305919766,78.9355363316834,81.02923443168402,1880471.805358933,4119167.601620373,4874994.560280111,6538813.759546991,6688241.405103631,2222291.3448413047,8921354.703562755,9152099.178679386,9630938.733468587,1880471805358.933,4119167601620.373,4874994560280.111,6538813759546.991,6688241405103.632,2222291344841.3047,8921354703562.756,9152099178679.385,9630938733468.586,162.0,176.2,190.75,267.0,267.75,113.15448510774992,275.0,345.2000000000008,698.0,1.0245398773006136,1.0341323557059598,1.0435575976370202,1.0556741495661754,1.053774778344299,0.014445106674503402,1.0634944115713347,1.0725061909921065,1.0817120622568093,95.91439688715953,96.55871804903495,96.88714378238342,97.35019165681197,97.40800877555266,0.6673033332646837,97.92203608247422,98.29338221470202,98.77300613496932,0.012269938650306749,0.017066177852979883,0.02077963917525773,0.026498083431880273,0.02591991224447333,0.006673033332646835,0.031128562176165803,0.0344128195096505,0.04085603112840467
