generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated
1,1,20,0,both=0;mirror=0,0,0,1,1,8571875330748.163,"[0.0, 8.571878160749163, -2.8299999999999854, -1.0]",8.571878160749163,8.571428571428571,8.571878160749163,2.8299999999999854,0,1,0,76.60973261296749,8571875.330748163,269,1.0520446096654275,97.67657992565056,0.023234200743494422,1,0
1,2,14,0,both=0;mirror=0,0,0,1,1,7145260476917.248,"[0.0, 7.145263126918248, -2.6499999999999897, -1.0]",7.145263126918248,5.714285714285714,7.145263126918248,2.6499999999999897,0,1,0,68.92268291115761,7145260.476917248,251,1.0557768924302788,97.50996015936255,0.0249003984063745,1,0
1,3,3,0,both=0;mirror=0,0,0,0,1,7142854602856.143,"[0.0, 7.142857142857142, -2.539999999999991, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.539999999999991,0,1,0,64.38452537357807,7142854.602856142,240,1.0583333333333333,97.08333333333333,0.029166666666666667,1,0
1,4,13,0,both=0;mirror=0,0,0,0,1,7142854542856.143,"[0.0, 7.142857142857142, -2.599999999999989, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.599999999999989,0,1,0,66.84324876219034,7142854.542856143,245,1.0612244897959184,96.93877551020408,0.030612244897959183,1,0
1,5,47,0,both=0;mirror=0,0,0,0,1,7142854542856.143,"[0.0, 7.142857142857142, -2.5999999999999903, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.5999999999999903,0,1,0,66.847422093153,7142854.542856143,241,1.0788381742738589,96.05809128630706,0.03941908713692946,1,0
1,6,15,0,both=0;mirror=0,0,0,0,1,6995901605049.223,"[0.0, 6.995904105050223, -2.4999999999999925, -1.0]",6.995904105050223,5.714285714285714,6.995904105050223,2.4999999999999925,0,1,0,62.769168466329575,6995901.605049223,235,1.0638297872340425,96.80851063829788,0.031914893617021274,1,0
1,7,36,0,both=0;mirror=0,0,0,0,1,6970348552937.058,"[0.0, 6.970351082938057, -2.5299999999999914, -1.0]",6.970351082938057,5.714285714285714,6.970351082938057,2.5299999999999914,0,1,0,62.500470995903015,6970348.552937058,241,1.049792531120332,97.64868603042878,0.02351313969571231,1,0
1,8,30,0,both=0;mirror=0,0,0,0,1,6931757055311.5,"[0.0, 6.9317626953125, -5.639999999999926, -1.0]",6.9317626953125,5.714285714285714,6.9317626953125,5.639999999999926,0,1,0,62.081353571265936,6931757.0553115,535,1.0542056074766355,97.28971962616822,0.027102803738317756,1,0
1,9,8,0,both=0;mirror=0,0,0,0,1,6881302679622.326,"[0.0, 6.881305149623326, -2.469999999999992, -1.0]",6.881305149623326,5.714285714285714,6.881305149623326,2.469999999999992,0,1,0,61.57111693173647,6881302.679622326,231,1.0692640692640694,96.53679653679653,0.03463203463203463,1,0
1,10,46,0,both=0;mirror=0,0,0,0,1,6876610601985.607,"[0.0, 6.876613071986608, -2.469999999999993, -1.0]",6.876613071986608,5.714285714285714,6.876613071986608,2.469999999999993,0,1,0,61.57078596949577,6876610.601985607,230,1.0739130434782609,96.30434782608695,0.03695652173913044,1,0
1,11,1,0,both=0;mirror=0,0,0,0,1,6606295774175.897,"[0.0, 6.606298174176898, -2.3999999999999946, -1.0]",6.606298174176898,5.714285714285714,6.606298174176898,2.3999999999999946,0,1,0,58.80576002597809,6606295.774175897,223,1.0762331838565022,96.18834080717488,0.03811659192825112,1,0
1,12,43,0,both=0;mirror=0,0,0,0,1,6523124484650.228,"[0.0, 6.523126874651227, -2.389999999999996, -1.0]",6.523126874651227,5.714285714285714,6.523126874651227,2.389999999999996,0,1,0,58.00926672667265,6523124.484650227,221,1.081447963800905,95.92760180995475,0.04072398190045249,1,0
