generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,mutation_decay_trigger,mutation_decay_active,mutation_decay_trigger_generation,effective_mutation_prob_decay,effective_mutation_sigma_decay,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,generalization_test_map,generalization_best_finished,generalization_best_crashes,generalization_best_progress,generalization_best_dense_progress,generalization_best_time,generalization_best_distance,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,9115442273262.113,8.571428571428571,9.115445273263113,9.115445273263113,2.9999999999999827,0,1,78.47970126569271,288,9115442.273262113,"[0.0, 9.115445273263113, -2.9999999999999827, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,43,5,43,5,334.11000000000615,334.11000000000615,31402,31402,29.58113239996601,29.739499900024384,2.6785714285714284,3.819332349868048,3.819332349868048,3819325.389242152,6.960625000000128,1.0636644919207674,96.88460932993178,0.031153906700682122,,,,,,,,0.0,0.0,0.0,2.857142857142857,2.6785714285714284,2.7606472917393408,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.8825721740722656,3.055793217250279,3.819332349868048,2.996157585593594,7.142857142857142,8.081045423235212,9.115445273263113,0.0,0.0,1.8825721740722656,3.055793217250279,3.819332349868048,2.996157585593594,7.142857142857142,8.081045423235212,9.115445273263113,2.359999999999995,2.7139999999999884,2.8049999999999855,5.009999999999943,6.960625000000128,7.945672670876657,5.709999999999929,13.116000000000524,30.000000000001624,3.4972669941053027,5.152395241399063,5.161021906285896,23.04754290906567,61.64265868376333,83.10021705197359,73.15018666349351,139.75515598023864,293.60836203733925,-30.000000000001624,-12.507000700000432,1882567.1640712656,3055787.457249279,3819325.389242152,2996161.9368848004,7142854.547856143,8081042.640234211,9115442.273262113,-30000000.000001624,-12507000.700000431,1882567164071.2656,3055787457249.2793,3819325389242.1523,2996161936884.801,7142854547856.143,8081042640234.211,9115442273262.113,222.0,256.0,266.25,470.0,654.2083333333334,746.7894046721307,534.0,1231.6000000000097,2824.0,1.0416666666666667,1.0527347423649953,1.0590358841331604,1.063302925299955,1.0636644919207674,0.00907331993245136,1.0661347517730497,1.0757411304621607,1.0859375,95.83333333333333,96.22717683858296,96.70212765957447,96.92796610169492,96.88460932993178,0.4584192693066932,97.16009522180408,97.4276913875598,97.91666666666667,0.020833333333333332,0.025723086124401915,0.028399047781959175,0.03072033898305085,0.031153906700682122,0.004584192693066924,0.03297872340425532,0.03772823161417037,0.04166666666666667
2,9115442273262.113,8.571428571428571,9.115445273263113,9.115445273263113,2.9999999999999827,0,1,78.47970126569271,288,9115442.273262113,"[0.0, 9.115445273263113, -2.9999999999999827, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,47,1,47,1,205.29000000000008,539.4000000000062,19293,50695,12.723098999995273,42.618116400029976,4.761904761904762,6.205872126988002,6.205872126988002,6205867.850112024,4.276875000000001,1.064849086380746,96.80182682424804,0.03198173175751957,,,,,,,,0.0,0.0,2.857142857142857,5.714285714285714,4.761904761904762,2.2080044036894533,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.9604524884905135,4.60075923374721,7.339951651436942,6.205872126988002,2.503205632809651,7.813484328133719,8.173237664358957,9.115445273263113,0.0,1.9604524884905135,4.60075923374721,7.339951651436942,6.205872126988002,2.503205632809651,7.813484328133719,8.173237664358957,9.115445273263113,2.3299999999999965,2.696999999999989,2.749999999999987,2.8649999999999847,4.276875000000001,3.97543821287373,5.009999999999945,5.732999999999927,30.00000000000159,5.147797097888542,18.381422878290323,47.93288959648635,71.4827896617353,61.754511401256046,41.83636809415708,74.11589371040463,75.32470714524389,293.60110110021196,-30.00000000000159,1960447.4784895135,4600756.05624621,7339948.921435941,6205867.850112024,2503207.895855298,7813481.460632719,8173234.764357958,9115442.273262113,-30000000.00000159,1960447478489.5134,4600756056246.21,7339948921435.941,6205867850112.023,2503207895855.298,7813481460632.719,8173234764357.958,9115442273262.113,216.0,251.1,258.5,269.5,401.9375,375.09184465552346,474.25,542.0,2830.0,1.039426523297491,1.05218203906177,1.057579854772069,1.064623272966078,1.064849086380746,0.011310655539182477,1.07144037202472,1.07991535105941,1.0888030888030888,95.78313253012048,96.00423244702951,96.42893359834503,96.80121760929066,96.80182682424804,0.53608875624417,97.14828897338403,97.3908980469115,98.02867383512545,0.01971326164874552,0.026091019530884964,0.028517110266159697,0.03198782390709334,0.03198173175751957,0.005360887562441704,0.03571066401654971,0.03995767552970503,0.04216867469879518
3,9115442273262.113,8.571428571428571,9.115445273263113,9.115445273263113,2.9999999999999827,0,1,78.47970126569271,288,9115442.273262113,"[0.0, 9.115445273263113, -2.9999999999999827, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,48,0,48,0,161.7699999999988,701.1700000000051,15209,65904,8.046146100037731,50.884814899996854,5.357142857142857,7.076571385065715,7.076571385065715,7076568.01485638,3.370208333333308,1.0642315356390009,96.85175032113536,0.03148249678864639,,,,,,,,0.0,0.0,5.714285714285714,5.714285714285714,5.357142857142857,2.516949346650711,5.714285714285714,8.571428571428571,8.571428571428571,1.8702370779854909,1.8849716186523438,7.263016019548688,8.143106188092913,7.076571385065715,2.3506083691109207,8.43444619859968,8.838208334786552,9.115445273263113,1.8702370779854909,1.8849716186523438,7.263016019548688,8.143106188092913,7.076571385065715,2.3506083691109207,8.43444619859968,8.838208334786552,9.115445273263113,1.9300000000000015,2.734999999999988,2.789999999999986,2.819999999999986,3.370208333333308,1.094905798047108,3.277499999999977,5.009999999999945,6.479999999999913,5.148522819989012,5.276783302206605,68.67381184734404,74.8732102997601,62.1569399448349,25.273445954910404,76.18306239321828,77.36367030069232,78.47970126569271,1870232.067984491,1884966.6086513437,7263013.369547688,8143103.398091912,7076568.01485638,2350609.107783015,8434443.378598679,8838205.149785552,9115442.273262113,1870232067984.491,1884966608651.3438,7263013369547.689,8143103398091.913,7076568014856.382,2350609107783.015,8434443378598.68,8838205149785.553,9115442273262.113,174.0,255.1,261.75,267.0,316.8541666666667,103.30012697300468,310.75,470.6,606.0,1.029520295202952,1.0469751153815012,1.0531654797963523,1.0661491393606681,1.0642315356390009,0.01514913503535972,1.0727989859459992,1.076865653194908,1.1091954022988506,94.54022988505747,96.18753123438282,96.51222375369537,96.78509314939276,96.85175032113536,0.7410850693933758,97.34172601018238,97.72261137291018,98.5239852398524,0.014760147601476014,0.022773886270898176,0.026582739898176194,0.032149068506072395,0.03148249678864639,0.007410850693933763,0.03487776246304637,0.03812468765617191,0.05459770114942529
4,9570546610969.982,8.571428571428571,9.570552280970983,9.570552280970983,5.66999999999993,0,1,81.1211306490004,535,9570546.610969983,"[0.0, 9.570552280970983, -5.66999999999993, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,47,1,47,1,173.4100000000007,874.5800000000058,16283,82187,7.605425199959427,58.67514760000631,6.25,7.619984660829817,7.619984660829817,7619981.048120505,3.612708333333348,1.0668375812333624,96.74006965737813,0.032599303426218564,,,,,,,,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,6.25,2.6506481045490853,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.2381591796875004,8.044290542602539,8.503420693533762,7.619984660829817,2.331638742996725,8.81791182926723,9.12673486982073,9.570552280970983,0.0,3.2381591796875004,8.044290542602539,8.503420693533762,7.619984660829817,2.331638742996725,8.81791182926723,9.12673486982073,9.570552280970983,1.5400000000000011,2.7899999999999863,2.809999999999986,2.8399999999999865,3.612708333333348,3.923952482077096,2.9074999999999847,5.009999999999942,30.000000000001616,5.151987560209818,33.77622231394053,74.81272975727916,76.4689497500658,72.96052236581106,38.477444964423306,77.47911633178592,78.61281422525644,293.58127161173616,-30.000000000001616,3238156.5986865005,8044287.750101539,8503417.863532761,7619981.048120505,2331640.899271934,8817908.97926623,9126731.84581973,9570546.610969983,-30000000.000001617,3238156598686.5005,8044287750101.539,8503417863532.762,7619981048120.505,2331640899271.9336,8817908979266.23,9126731845819.73,9570546610969.982,142.0,257.1,261.0,267.5,339.2291666666667,370.1044469461365,275.75,469.5,2827.0,1.032967032967033,1.046455223880597,1.0569620253164558,1.0634807756127624,1.0668375812333624,0.017984832754562922,1.0789878548499239,1.0926031102096012,1.1115702479338843,94.73140495867769,95.36984448951995,96.28584761581537,96.950148521245,96.74006965737813,0.8584585579362294,97.22222222222221,97.67723880597016,98.35164835164835,0.016483516483516484,0.023227611940298508,0.02777777777777778,0.030498514787550043,0.032599303426218564,0.008584585579362286,0.037141523841846255,0.046301555104800544,0.05268595041322314
5,9574151525102.236,8.571428571428571,9.574154445103236,9.574154445103236,2.9199999999999844,0,1,80.58442720770836,271,9574151.525102237,"[0.0, 9.574154445103236, -2.9199999999999844, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,47,1,47,1,193.20000000000036,1067.780000000006,18181,100368,9.39862989995163,68.25697970000328,5.595238095238095,6.905025130226499,6.905025130226499,6905021.105225518,4.0250000000000075,1.0626229476319866,96.97266032120767,0.03027339678792335,,,,,,,,0.0,0.0,2.857142857142857,5.714285714285714,5.595238095238095,3.2969958152681498,8.571428571428571,8.571428571428571,8.571428571428571,0.41975293840680805,1.8834070478166853,4.607319150652204,8.531183515276227,6.905025130226499,2.9347202250514317,9.096814564296178,9.337870734078544,9.574154445103236,0.41975293840680805,1.8834070478166853,4.607319150652204,8.531183515276227,6.905025130226499,2.9347202250514317,9.096814564296178,9.337870734078544,9.574154445103236,2.0799999999999996,2.7799999999999865,2.8299999999999867,2.8999999999999844,4.0250000000000075,3.9290944673467756,5.009999999999941,5.046999999999942,30.000000000001595,5.149192396485887,5.253984578319068,45.27084505977109,76.6116126589477,64.30003295759707,43.83682939142069,78.48826346360147,79.6878634929657,293.69128383207135,419747.91840580804,1883402.0378156854,4607315.5431512045,8531180.690275228,6905021.105225518,2934721.735903375,9096811.684295177,9337867.827077545,9574151.525102237,419747918405.80804,1883402037815.6853,4607315543151.204,8531180690275.228,6905021105225.52,2934721735903.375,9096811684295.178,9337867827077.545,9574151525102.236,196.0,256.0,262.0,274.0,378.7708333333333,369.0871757674225,466.25,481.0,2818.0,1.032258064516129,1.0403000589567755,1.0510969175229103,1.0625503448381677,1.0626229476319866,0.016605140465459512,1.0735242698477991,1.0845598759541986,1.1015625,95.16539440203562,96.0602785066794,96.44623349631851,96.9762721355078,96.97266032120767,0.7773003026512783,97.54545454545455,97.98499705216123,98.50597609561753,0.014940239043824702,0.020150029478387687,0.024545454545454544,0.030237278644921955,0.03027339678792335,0.007773003026512767,0.035537665036814804,0.03939721493320611,0.04834605597964377
6,9574151525102.236,8.571428571428571,9.574154445103236,9.574154445103236,2.9199999999999844,0,1,80.58442720770836,271,9574151.525102237,"[0.0, 9.574154445103236, -2.9199999999999844, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,48,0,48,0,166.13999999999868,1233.9200000000048,15674,116042,7.302572500018869,75.6777494000271,5.9523809523809526,7.236616384415399,7.236616384415399,7236612.9231644,3.4612499999999726,1.0600017260559076,97.07060509511325,0.029293949048867493,,,,,,,,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.9523809523809526,2.964261809044936,8.571428571428571,8.571428571428571,8.571428571428571,1.8809018816266743,2.882781982421875,5.441053935459681,8.517765317644391,7.236616384415399,2.495539229526968,9.093897002083915,9.398598534720284,9.574154445103236,1.8809018816266743,2.882781982421875,5.441053935459681,8.517765317644391,7.236616384415399,2.495539229526968,9.093897002083915,9.398598534720284,9.574154445103236,1.9000000000000015,2.121999999999999,2.8274999999999864,2.8699999999999846,3.4612499999999726,1.4851215228054273,2.9299999999999846,5.855999999999924,7.909999999999883,5.1551033448195085,18.4401384852521,48.46906218491495,76.38644027709961,62.3753627681264,23.913512793630993,78.35718081146479,79.6575083591044,81.1211306490004,1880896.8716256744,2882775.5004208754,5441050.450458681,8517762.442643393,7236612.9231644,2495540.026441441,9093894.109582914,9398595.617719283,9574151.525102237,1880896871625.6743,2882775500420.875,5441050450458.682,8517762442643.392,7236612923164.399,2495540026441.441,9093894109582.914,9398595617719.283,9574151525102.236,179.0,196.2,267.0,273.0,326.5416666666667,139.77824078597578,277.75,549.9,737.0,1.0317460317460319,1.0452554744525548,1.0505392326304874,1.0594795539033457,1.0600017260559076,0.014808886443214632,1.0714263420724095,1.079714122355632,1.0965250965250966,95.43114543114542,96.08633931124638,96.49377261254989,97.20955929029391,97.07060509511325,0.704834664134846,97.56488679009628,97.73722627737227,98.41269841269842,0.015873015873015872,0.022627737226277374,0.024351132099037106,0.02790440709706088,0.029293949048867493,0.007048346641348458,0.03506227387450112,0.03913660688753626,0.04568854568854569
7,9574151525102.236,8.571428571428571,9.574154445103236,9.574154445103236,2.9199999999999844,0,1,80.58442720770836,271,9574151.525102237,"[0.0, 9.574154445103236, -2.9199999999999844, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,47,1,47,1,191.98000000000042,1425.9000000000053,18053,134095,10.990034799964633,86.82961070002057,5.357142857142857,6.686310313996814,6.686310313996814,6686306.314412502,3.999583333333342,1.066024649338224,96.77550386643435,0.0322449613356565,,,,,,,,0.0,0.0,2.857142857142857,5.714285714285714,5.357142857142857,3.174355149041282,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.904364449637277,4.40244129725865,8.336850575038365,6.686310313996814,2.892147546344007,9.206421715872628,9.407283510480609,9.574154445103236,0.0,1.904364449637277,4.40244129725865,8.336850575038365,6.686310313996814,2.892147546344007,9.206421715872628,9.407283510480609,9.574154445103236,1.7800000000000014,2.0380000000000007,2.827499999999986,2.899999999999984,3.999583333333342,3.9940022525102963,5.009999999999941,5.641999999999929,30.00000000000166,5.145902653552184,6.227303461768315,39.135367438197136,76.10574321635067,62.16967202741231,43.132942540061336,78.90923130512238,79.83438703119755,292.71884458884597,-30.00000000000166,1904359.439636277,4402438.55475765,8336846.500037365,6686306.314412502,2892149.3364914428,9206418.843371628,9407280.60747961,9574151.525102237,-30000000.000001658,1904359439636.2769,4402438554757.649,8336846500037.365,6686306314412.503,2892149336491.443,9206418843371.629,9407280607479.61,9574151525102.236,168.0,191.7,263.75,272.0,376.1041666666667,379.316998014377,466.5,530.8000000000001,2846.0,1.044262295081967,1.0494113485212961,1.0537908219414205,1.0660552682611506,1.066024649338224,0.013220516439327826,1.0752698660423983,1.0800314671561557,1.0996168582375478,95.30651340996168,96.06298048492016,96.34047221180188,96.78689883913765,96.77550386643435,0.6275317850925265,97.36151257198671,97.57553997512156,97.78688524590164,0.022131147540983605,0.02424460024878435,0.02638487428013277,0.032131011608623555,0.0322449613356565,0.006275317850925252,0.03659527788198115,0.03937019515079834,0.04693486590038314
8,9574151525102.236,8.571428571428571,9.574154445103236,9.574154445103236,2.9199999999999844,0,1,80.58442720770836,271,9574151.525102237,"[0.0, 9.574154445103236, -2.9199999999999844, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,47,1,47,1,158.820000000001,1584.7200000000064,14810,148905,7.1177986999973655,94.16816450003535,5.357142857142857,6.972241458438692,6.972241458438692,6972238.149687712,3.3087500000000207,1.073822263993567,96.41931420468318,0.035806857953168146,,,,,,,,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.357142857142857,2.7120918452129805,8.571428571428571,8.571428571428571,8.571428571428571,0.0,4.810227530343193,5.296224866594587,7.819326945713588,6.972241458438692,2.2791069777762227,9.047865867614746,9.42615182059152,9.574154445103236,0.0,4.810227530343193,5.296224866594587,7.819326945713588,6.972241458438692,2.2791069777762227,9.047865867614746,9.42615182059152,9.574154445103236,1.8600000000000014,1.9900000000000015,2.0575,2.819999999999986,3.3087500000000207,3.988737072997137,2.9099999999999846,3.4079999999999813,30.000000000001606,5.158421664062189,42.358957313001156,45.43381021358073,74.54250228404999,66.05475290525435,37.862159513196545,78.45079375058413,80.15720656365156,290.38000845792703,-30.000000000001606,4810225.649342192,5296222.836593587,7819324.185712588,6972238.149687712,2279108.5724925837,9047862.970113747,9426148.84759052,9574151.525102237,-30000000.000001606,4810225649342.192,5296222836593.587,7819324185712.588,6972238149687.712,2279108572492.5835,9047862970113.746,9426148847590.518,9574151525102.236,171.0,186.7,192.75,263.0,308.5416666666667,373.2978010434683,272.25,316.9000000000005,2806.0,1.0408163265306123,1.0521148325358851,1.064196514616126,1.0747523125322815,1.073822263993567,0.014781336833645123,1.0854456941413464,1.0909090909090908,1.1036269430051813,95.20725388601036,95.47872340425532,95.93043370191727,96.31071925473353,96.41931420468318,0.6878800325433612,96.86798564348734,97.39425837320574,97.95918367346938,0.02040816326530612,0.026057416267942585,0.031320143565126565,0.03689280745266469,0.035806857953168146,0.006878800325433614,0.040695662980827364,0.04521276595744681,0.04792746113989637
9,9574151525102.236,8.571428571428571,9.574154445103236,9.574154445103236,2.9199999999999844,0,1,80.58442720770836,271,9574151.525102237,"[0.0, 9.574154445103236, -2.9199999999999844, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,47,1,47,1,179.1100000000006,1763.830000000007,16769,165674,8.316969299979974,102.6433274000301,5.654761904761904,6.851194302241008,6.851194302241008,6851190.570781696,3.731458333333346,1.0680150223337046,96.71217073540716,0.0328782926459285,,,,,,,,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.654761904761904,3.1129302059506863,8.571428571428571,8.571428571428571,8.571428571428571,1.8816266741071428,2.9284738813127786,5.1229722159249445,8.168221882411412,6.851194302241008,2.546861612280757,9.077504702976771,9.45821271623884,9.574154445103236,1.8816266741071428,2.9284738813127786,5.1229722159249445,8.168221882411412,6.851194302241008,2.546861612280757,9.077504702976771,9.45821271623884,9.574154445103236,1.7100000000000013,2.024000000000001,2.6299999999999892,2.874999999999985,3.731458333333346,4.011547908633974,3.014999999999982,5.599999999999932,30.000000000001602,5.151973297477525,18.27420612759088,44.11994625069201,76.26169343292713,63.540932224331755,40.567837884044046,78.81020330451429,80.18068015351892,286.9473915582057,1881621.654106143,2928460.723312079,5122970.233423944,8168219.052410413,6851190.570781696,2546862.910485153,9077501.830475772,9458209.80623784,9574151.525102237,1881621654106.1428,2928460723312.0786,5122970233423.943,8168219052410.412,6851190570781.695,2546862910485.1533,9077501830475.771,9458209806237.84,9574151525102.236,158.0,191.0,244.25,268.0,349.3541666666667,375.8948484163786,282.0,521.0000000000001,2811.0,1.03,1.0488348750779914,1.0604889853137518,1.068043710021322,1.0680150223337046,0.015417144574476693,1.0783267043472193,1.0824069667840488,1.1089494163424125,95.26588845654994,96.03781321554426,96.22493734335839,96.68789808917197,96.71217073540716,0.6913709072084151,97.09839602670574,97.55825624610043,98.5,0.015,0.02441743753899574,0.02901603973294252,0.033121019108280254,0.0328782926459285,0.0069137090720841595,0.037750626566416035,0.0396218678445574,0.047341115434500654
10,9681420792211.611,8.571428571428571,9.681423732212611,9.681423732212611,2.939999999999984,0,1,81.33198752254248,281,9681420.79221161,"[0.0, 9.681423732212611, -2.939999999999984, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,2,46,48,0,0,48,0,48,0,48,0,141.42999999999915,1905.2600000000061,13337,179011,5.975274799973704,108.7667025999981,4.940476190476191,6.510710943312872,6.510710943312872,6510707.996853539,2.946458333333316,1.0603330726417468,97.05858259282597,0.029414174071740223,,,,,,,,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.940476190476191,2.900831650240763,8.571428571428571,8.571428571428571,8.571428571428571,1.882204328264509,3.2461400713239397,4.743856702532087,5.5552264622279575,6.510710943312872,2.4632245498978187,9.096077510288783,9.392425537109375,9.681423732212611,1.882204328264509,3.2461400713239397,4.743856702532087,5.5552264622279575,6.510710943312872,2.4632245498978187,9.096077510288783,9.392425537109375,9.681423732212611,1.6100000000000012,1.8490000000000015,2.025000000000001,2.829999999999986,2.946458333333316,1.1635120855684473,2.9249999999999856,5.012999999999944,5.959999999999921,5.150607930598198,24.792325685372635,39.052300691604614,47.94606232797014,55.17781703841259,23.589733202262877,78.36548413336277,79.7832541808486,81.33198752254248,1882199.3182635088,3246134.7693229397,4743854.850031087,5555222.457226957,6510707.996853539,2463224.7305337847,9096074.520287784,9392422.637108376,9681420.79221161,1882199318263.5088,3246134769322.94,4743854850031.087,5555222457226.957,6510707996853.539,2463224730533.785,9096074520287.785,9392422637108.375,9681420792211.611,150.0,174.0,193.5,265.5,277.8541666666667,109.58025779904679,280.25,472.6,564.0,1.0283400809716599,1.0345294903607558,1.0539392295170917,1.0616192153875452,1.0603330726417468,0.01529088606150193,1.071535500427716,1.075658403055255,1.098901098901099,95.23809523809523,96.21707984723724,96.48596506105835,97.00077466001034,97.05858259282597,0.7482565167363769,97.45113439686959,98.27352548196221,98.582995951417,0.01417004048582996,0.017264745180377936,0.025488656031304086,0.029992253399896713,0.029414174071740223,0.007482565167363764,0.035140349389416556,0.037829201527627546,0.04761904761904762
