generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated
1,1,12,0,both=0;mirror=0,0,0,1,1,9115442273262.113,"[0.0, 9.115445273263113, -2.9999999999999827, -1.0]",9.115445273263113,8.571428571428571,9.115445273263113,2.9999999999999827,0,1,0,78.47970126569271,9115442.273262113,288,1.0416666666666667,97.91666666666667,0.020833333333333332,1,0
1,2,39,0,both=0;mirror=0,0,0,1,1,8998254913262.115,"[0.0, 8.998257773263115, -2.8599999999999834, -1.0]",8.998257773263115,8.571428571428571,8.998257773263115,2.8599999999999834,0,1,0,77.9281125292182,8998254.913262116,270,1.0592592592592593,97.31481481481481,0.026851851851851852,1,0
1,3,18,0,both=0;mirror=0,0,0,0,1,8330606647832.427,"[0.0, 8.330609457833427, -2.809999999999985, -1.0]",8.330609457833427,5.714285714285714,8.330609457833427,2.809999999999985,0,1,0,75.73509690910578,8330606.647832427,267,1.0524344569288389,97.37827715355806,0.026217228464419477,1,0
1,4,31,0,both=0;mirror=0,0,0,0,1,8165599212824.058,"[0.0, 8.165602002825057, -2.789999999999987, -1.0]",8.165602002825057,5.714285714285714,8.165602002825057,2.789999999999987,0,1,0,74.87255062162876,8165599.212824058,264,1.0568181818181819,97.44318181818181,0.02556818181818182,1,0
1,5,13,0,both=0;mirror=0,0,0,0,1,8159057007013.509,"[0.0, 8.159059797014509, -2.789999999999986, -1.0]",8.159059797014509,5.714285714285714,8.159059797014509,2.789999999999986,0,1,0,74.8777972087264,8159057.007013509,259,1.0772200772200773,96.13899613899613,0.03861003861003861,1,0
1,6,2,0,both=0;mirror=0,0,0,0,1,8047607911614.512,"[0.0, 8.047610691615512, -2.7799999999999874, -1.0]",8.047610691615512,5.714285714285714,8.047610691615512,2.7799999999999874,0,1,0,74.45090270787477,8047607.911614512,256,1.0859375,95.83333333333333,0.04166666666666667,1,0
1,7,47,0,both=0;mirror=0,0,0,0,1,7763658225863.956,"[0.0, 7.763660975864956, -2.7499999999999885, -1.0]",7.763660975864956,5.714285714285714,7.763660975864956,2.7499999999999885,0,1,0,73.14964961260557,7763658.225863956,259,1.0617760617760619,97.03989703989706,0.029601029601029602,1,0
1,8,16,0,both=0;mirror=0,0,0,0,1,7757086047432.035,"[0.0, 7.757088797433036, -2.749999999999987, -1.0]",7.757088797433036,5.714285714285714,7.757088797433036,2.749999999999987,0,1,0,73.15179781615734,7757086.047432035,258,1.065891472868217,96.70542635658914,0.03294573643410853,1,0
1,9,36,0,both=0;mirror=0,0,0,0,1,7616184774358.654,"[0.0, 7.6161875043596545, -2.7299999999999875, -1.0]",7.6161875043596545,5.714285714285714,7.6161875043596545,2.7299999999999875,0,1,0,72.29498296231031,7616184.774358654,260,1.05,97.78846153846153,0.022115384615384617,1,0
1,10,46,0,both=0;mirror=0,0,0,0,1,7510997232042.807,"[0.0, 7.510999952043806, -2.7199999999999886, -1.0]",7.510999952043806,5.714285714285714,7.510999952043806,2.7199999999999886,0,1,0,71.86749359965324,7510997.232042806,257,1.0583657587548638,97.08171206225681,0.029182879377431907,1,0
1,11,33,0,both=0;mirror=0,0,0,0,1,7301393261215.519,"[0.0, 7.301395961216518, -2.6999999999999873, -1.0]",7.301395961216518,5.714285714285714,7.301395961216518,2.6999999999999873,0,1,0,70.08845365792513,7301393.261215518,256,1.0546875,97.265625,0.02734375,1,0
1,12,1,0,both=0;mirror=0,0,0,0,1,7142854562856.143,"[0.0, 7.142857142857142, -2.579999999999991, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.579999999999991,0,1,0,66.022526063025,7142854.562856142,240,1.075,96.25,0.0375,1,0
1,13,38,0,both=0;mirror=0,0,0,0,1,7142854542856.143,"[0.0, 7.142857142857142, -2.5999999999999908, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.5999999999999908,0,1,0,66.84260377287865,7142854.542856143,245,1.0612244897959184,96.93877551020408,0.030612244897959183,1,0
1,14,27,0,both=0;mirror=0,0,0,0,1,7021415620188.732,"[0.0, 7.021418980189733, -3.359999999999977, -1.0]",7.021418980189733,5.714285714285714,7.021418980189733,3.359999999999977,0,1,0,63.03779558837414,7021415.620188733,315,1.0666666666666667,96.66666666666667,0.03333333333333333,1,0
1,15,44,0,both=0;mirror=0,0,0,0,0,6566105223698.777,"[0.0, 6.566107613699777, -2.3899999999999935, -1.0]",6.566107613699777,5.714285714285714,6.566107613699777,2.3899999999999935,0,1,0,58.40928898751736,6566105.223698777,227,1.052863436123348,97.3568281938326,0.02643171806167401,1,0
