generation,best_fitness,best_progress,best_block_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,mutation_decay_trigger,mutation_decay_active,mutation_decay_trigger_generation,effective_mutation_prob_decay,effective_mutation_sigma_decay,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_block_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,generalization_test_map,generalization_best_finished,generalization_best_crashes,generalization_best_progress,generalization_best_block_progress,generalization_best_time,generalization_best_distance,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,block_progress_min,block_progress_p10,block_progress_p25,block_progress_median,block_progress_mean,block_progress_std,block_progress_p75,block_progress_p90,block_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,7942894481673.106,7.942897251674107,5.714285714285714,7.942897251674107,2.769999999999985,0,1,73.98425836116076,277,7942894.481673107,"[0.0, 7.942897251674107, -2.769999999999985, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,127.4199999999994,127.4199999999994,12742,12742,8.597067800001241,8.65347819996532,7.169721864518665,5.654761904761905,7.169721864518665,7169719.2099343315,2.654583333333321,1.0,100.0,0.0,,,,,,,,5.534368242536273,7.142857142857142,7.142857142857142,7.142857142857142,7.169721864518665,0.29936907228254106,7.17449460710798,7.305682591029576,7.942897251674107,2.857142857142857,5.714285714285714,5.714285714285714,5.714285714285714,5.654761904761905,0.4080746785953003,5.714285714285714,5.714285714285714,5.714285714285714,5.534368242536273,7.142857142857142,7.142857142857142,7.142857142857142,7.169721864518665,0.29936907228254106,7.17449460710798,7.305682591029576,7.942897251674107,2.109999999999999,2.629999999999988,2.6599999999999873,2.6599999999999873,2.654583333333321,0.09039170162255977,2.679999999999987,2.7029999999999865,2.769999999999985,47.896825686097145,68.06240584850312,69.31406134553254,69.31460152938962,69.13109896766643,3.585061806740766,70.15419964492321,71.12515271008014,73.98448325693607,5534366.132535272,7142854.472856143,7142854.472856143,7142854.482856142,7169719.2099343315,299368.9882614168,7174491.922106979,7305679.895028576,7942894.481673107,5534366132535.272,7142854472856.143,7142854472856.143,7142854482856.143,7169719209934.331,299368988261.41675,7174491922106.98,7305679895028.576,7942894481673.106,211.0,263.0,266.0,266.0,265.4583333333333,9.03917016225617,268.0,270.3,277.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7942894481673.106,7.942897251674107,5.714285714285714,7.942897251674107,2.769999999999985,0,1,73.98425836116076,277,7942894.481673107,"[0.0, 7.942897251674107, -2.769999999999985, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,101.35999999999979,228.77999999999918,10136,22878,2.8043756000115536,11.539656199980527,5.577853747776577,4.107142857142857,5.577853747776577,5577851.63610891,2.1116666666666624,1.0,100.0,0.0,,,,,,,,3.3351462227957587,3.7825028555733815,4.213338579450335,5.087762560163226,5.577853747776577,1.5475023784298787,7.142857142857142,7.632121767316546,7.942897251674107,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,4.107142857142857,1.417366773784602,5.714285714285714,5.714285714285714,5.714285714285714,3.3351462227957587,3.7825028555733815,4.213338579450335,5.087762560163226,5.577853747776577,1.5475023784298787,7.142857142857142,7.632121767316546,7.942897251674107,1.360000000000001,1.5250000000000012,1.6775000000000013,1.9650000000000016,2.1116666666666624,0.4962582213144841,2.6374999999999877,2.7499999999999853,2.9199999999999817,24.25342045724392,28.87717369198799,33.44180654734373,42.80995550751686,49.34232500490422,18.034134677589815,68.37533517740667,73.12579357922077,80.55328597128391,3335144.8627947588,3782501.330572381,4213336.901949335,5087760.595162225,5577851.63610891,1547501.8830420827,7142854.552856143,7632119.024315546,7942894.481673107,3335144862794.759,3782501330572.3813,4213336901949.335,5087760595162.225,5577851636108.91,1547501883042.0825,7142854552856.143,7632119024315.546,7942894481673.106,136.0,152.5,167.75,196.5,211.16666666666666,49.62582213144909,263.75,275.0,292.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8799912423719.703,8.799915313720703,8.571428571428571,8.799915313720703,2.8899999999999824,0,1,79.22157570719719,289,8799912.423719702,"[0.0, 8.799915313720703, -2.8899999999999824, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,98.49999999999977,327.27999999999895,9850,32728,3.094274800037965,14.7051277999999,5.427394140334356,4.166666666666667,5.427394140334356,5427392.088250022,2.0520833333333286,1.0,100.0,0.0,,,,,,,,3.2781818934849327,3.4617173331124445,3.7314319610595703,4.967858450753348,5.427394140334356,1.7795781329957745,7.142857142857142,7.826895032610213,8.799915313720703,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,4.166666666666667,1.7455807498351406,5.714285714285714,5.714285714285714,8.571428571428571,3.2781818934849327,3.4617173331124445,3.7314319610595703,4.967858450753348,5.427394140334356,1.7795781329957745,7.142857142857142,7.826895032610213,8.799915313720703,1.340000000000001,1.410000000000001,1.5100000000000011,1.9450000000000016,2.0520833333333286,0.5597765861385068,2.6424999999999876,2.7879999999999847,2.909999999999982,23.716512739658356,25.617561553418636,28.44136461056769,42.129588812589645,47.60981419760113,20.060682163320532,68.58296523243189,74.76425901651383,80.10790088772774,3278180.5534839327,3461715.923111444,3731430.4510585703,4967856.505752347,5427392.088250022,1779577.5770053999,7142854.525356142,7826892.141609212,8799912.423719702,3278180553483.9326,3461715923111.4443,3731430451058.5703,4967856505752.348,5427392088250.022,1779577577005.4001,7142854525356.143,7826892141609.212,8799912423719.703,134.0,141.0,151.0,194.5,205.20833333333334,55.977658613851375,264.25,278.8,291.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8872263646929.803,8.872266496930802,8.571428571428571,8.872266496930802,2.849999999999983,0,1,77.45901593565941,285,8872263.646929802,"[0.0, 8.872266496930802, -2.849999999999983, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,103.17999999999972,430.4599999999987,10318,43046,2.759724300005473,17.532288399990648,5.8040665444873625,4.404761904761904,5.8040665444873625,5804064.394903029,2.1495833333333274,1.0,100.0,0.0,,,,,,,,3.359800066266741,3.770377022879465,4.039757592337472,5.2856309073311945,5.8040665444873625,1.8738042653408582,7.460861887250628,8.522594724382675,8.872266496930802,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,4.404761904761904,1.9306279452651016,5.714285714285714,6.571428571428584,8.571428571428571,3.359800066266741,3.770377022879465,4.039757592337472,5.2856309073311945,5.8040665444873625,1.8738042653408582,7.460861887250628,8.522594724382675,8.872266496930802,1.370000000000001,1.5210000000000012,1.6175000000000013,2.0400000000000005,2.1495833333333274,0.5537898154735365,2.727499999999986,2.855999999999983,3.0799999999999783,24.52348541468382,28.758897735178472,31.611049035564065,45.41555818915367,50.94957844354212,20.235976988108245,72.16630925796926,77.72274775728583,83.35162527859211,3359798.696265741,3770375.5018784646,4039755.974836472,5285628.867330194,5804064.394903029,1873803.716484309,7460859.149749628,8522591.704381675,8872263.646929802,3359798696265.7407,3770375501878.465,4039755974836.472,5285628867330.194,5804064394903.03,1873803716484.3088,7460859149749.629,8522591704381.674,8872263646929.803,137.0,152.1,161.75,204.0,214.95833333333334,55.37898154735443,272.75,285.6,308.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9589630991649.39,9.58963394165039,8.571428571428571,9.58963394165039,2.949999999999981,0,1,81.89354091137648,295,9589630.991649391,"[0.0, 9.58963394165039, -2.949999999999981, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,100.00999999999974,530.4699999999984,10001,53047,2.8459116999874823,20.444968700001482,5.562813509078254,4.226190476190476,5.562813509078254,5562811.425535586,2.0835416666666613,1.0,100.0,0.0,,,,,,,,3.2780729021344865,3.4499735151018416,3.6752714429582873,4.638677324567523,5.562813509078254,1.9826392923082345,7.478325707571847,8.118655341012138,9.58963394165039,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,4.226190476190476,1.7486227168533788,5.714285714285714,5.714285714285714,8.571428571428571,3.2780729021344865,3.4499735151018416,3.6752714429582873,4.638677324567523,5.562813509078254,1.9826392923082345,7.478325707571847,8.118655341012138,9.58963394165039,1.340000000000001,1.4070000000000011,1.4875000000000012,1.8250000000000015,2.0835416666666613,0.6092840387951631,2.7824999999999847,2.8759999999999826,2.949999999999981,23.716229267418385,25.535063423216343,27.794037649407983,38.129294227808714,49.040200441765286,22.14189186856788,74.52590041421354,78.60291003137827,81.89354091137648,3278071.5621334864,3449972.1081008418,3675269.955457287,4638675.499566523,5562811.425535586,1982638.6897076443,7478322.865070848,8118652.4650111385,9589630.991649391,3278071562133.4863,3449972108100.842,3675269955457.287,4638675499566.523,5562811425535.586,1982638689707.6445,7478322865070.848,8118652465011.139,9589630991649.39,134.0,140.7,148.75,182.5,208.35416666666666,60.928403879517106,278.25,287.6,295.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10705007370361.723,10.705010550362722,8.571428571428571,10.705010550362722,3.179999999999976,0,1,92.47086051106453,318,10705007.370361723,"[0.0, 10.705010550362722, -3.179999999999976, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,109.16999999999959,639.639999999998,10917,63964,3.0505455999518745,23.56334379996406,6.195819491431827,4.8809523809523805,6.195819491431827,6195817.217055826,2.2743749999999916,1.0,100.0,0.0,,,,,,,,3.351543971470424,3.486419132777623,3.8813808986118863,7.142857142857142,6.195819491431827,2.1613723539025327,8.03046567099435,8.766023635864258,10.705010550362722,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,4.8809523809523805,2.016794565011597,5.714285714285714,8.571428571428571,8.571428571428571,3.351543971470424,3.486419132777623,3.8813808986118863,7.142857142857142,6.195819491431827,2.1613723539025327,8.03046567099435,8.766023635864258,10.705010550362722,1.370000000000001,1.4170000000000011,1.562500000000001,2.6599999999999873,2.2743749999999916,0.6434927681864979,2.849999999999983,2.9359999999999813,3.179999999999976,24.5235388725996,25.811152198165654,29.971793297678232,66.73615942150354,55.97759837129464,23.5156845897895,77.13096713274717,81.26730126813054,92.47086051106453,3351542.6014694236,3486417.715776623,3881379.3361108867,7142854.387856143,6195817.217055826,2161371.7232095473,8030462.76349335,8766020.78286326,10705007.370361723,3351542601469.424,3486417715776.623,3881379336110.8867,7142854387856.143,6195817217055.825,2161371723209.5474,8030462763493.35,8766020782863.259,10705007370361.723,137.0,141.7,156.25,266.0,227.4375,64.34927681865068,285.0,293.6,318.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10705007370361.723,10.705010550362722,8.571428571428571,10.705010550362722,3.179999999999976,0,1,92.47086051106453,318,10705007.370361723,"[0.0, 10.705010550362722, -3.179999999999976, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,107.64999999999961,747.2899999999977,10765,74729,2.8109455999801867,26.441808499977924,6.174754812603905,4.8809523809523805,6.174754812603905,6174752.569894572,2.2427083333333253,1.0,100.0,0.0,,,,,,,,3.35977281842913,3.66261237008231,3.896017074584961,4.939460754394531,6.174754812603905,2.352610728725996,8.285652569362096,9.044823782784599,10.705010550362722,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,4.8809523809523805,2.3298078322358244,5.714285714285714,8.571428571428571,8.571428571428571,3.35977281842913,3.66261237008231,3.896017074584961,4.939460754394531,6.174754812603905,2.352610728725996,8.285652569362096,9.044823782784599,10.705010550362722,1.370000000000001,1.4850000000000012,1.5700000000000012,1.9300000000000015,2.2427083333333253,0.6816607770222238,2.9324999999999815,3.054999999999979,3.189999999999976,24.523719660937786,27.725848941504957,30.192250408232212,41.57080278173089,55.328786053694785,25.63206150224545,81.11078477650881,86.66021353378893,92.94267205893993,3359771.44842813,3662610.8850813103,3896015.504583961,4939458.824393531,6174752.569894572,2352610.05422542,8285649.589361096,9044820.8047836,10705007.370361723,3359771448428.13,3662610885081.31,3896015504583.961,4939458824393.531,6174752569894.571,2352610054225.42,8285649589361.096,9044820804783.598,10705007370361.723,137.0,148.5,157.0,193.0,224.27083333333334,68.16607770222338,293.25,305.5,319.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10705007370361.723,10.705010550362722,8.571428571428571,10.705010550362722,3.179999999999976,0,1,92.47086051106453,318,10705007.370361723,"[0.0, 10.705010550362722, -3.179999999999976, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,119.73999999999944,867.0299999999971,11974,86703,3.1540095999953337,29.663805199961644,7.014722653797695,5.595238095238095,7.014722653797695,7014720.159213361,2.494583333333322,1.0,100.0,0.0,,,,,,,,3.354590279715402,3.7557460239955356,4.579016821725028,7.879766736711774,7.014722653797695,2.3321729671602824,9.09594876425607,9.637640816824778,10.705010550362722,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.595238095238095,2.4714927966698443,8.571428571428571,8.571428571428571,8.571428571428571,3.354590279715402,3.7557460239955356,4.579016821725028,7.879766736711774,7.014722653797695,2.3321729671602824,9.09594876425607,9.637640816824778,10.705010550362722,1.370000000000001,1.5170000000000012,1.8125000000000013,2.8799999999999826,2.494583333333322,0.6598230770862308,3.0599999999999787,3.134999999999977,3.1999999999999758,24.52377390116453,28.642076119035483,37.72018258459866,78.78081779181957,64.78392389571916,25.160418209009002,86.88740666210651,90.3628391802311,93.41500403732061,3354588.9097144017,3755744.5069945357,4579015.009224027,7879763.846710775,7014720.159213361,2332172.3190543544,9095945.63175507,9637637.777823778,10705007.370361723,3354588909714.402,3755744506994.5356,4579015009224.027,7879763846710.775,7014720159213.362,2332172319054.354,9095945631755.07,9637637777823.777,10705007370361.723,137.0,151.7,181.25,288.0,249.45833333333334,65.98230770862409,306.0,313.5,320.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14632989565640.742,14.632993425641741,14.285714285714285,14.632993425641741,3.8599999999999617,0,1,126.67312654852867,386,14632989.565640742,"[0.0, 14.632993425641741, -3.8599999999999617, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,115.5799999999995,982.6099999999966,11558,98261,3.1740156000014395,32.90837849996751,6.826507080168951,5.595238095238095,6.826507080168951,6826504.672251284,2.4079166666666563,1.0,100.0,0.0,,,,,,,,3.2446561540876115,3.678119114467076,4.295143399919782,5.720814296177456,6.826507080168951,2.767734371168963,9.233320099966866,9.745319093976702,14.632993425641741,2.857142857142857,2.857142857142857,2.857142857142857,4.285714285714286,5.595238095238095,2.971424755797306,8.571428571428571,8.571428571428571,14.285714285714285,3.2446561540876115,3.678119114467076,4.295143399919782,5.720814296177456,6.826507080168951,2.767734371168963,9.233320099966866,9.745319093976702,14.632993425641741,1.350000000000001,1.490000000000001,1.7150000000000012,2.2149999999999967,2.4079166666666563,0.7374363202262765,3.134999999999977,3.189999999999976,3.8599999999999617,23.380274169147015,27.865289751440287,34.61214298941195,51.78037255629897,61.99843879245842,28.8555935359642,90.36070272512734,92.94244754314423,126.67312654852867,3244654.7740866113,3678117.6244660756,4295141.684918782,5720812.081176456,6826504.672251284,2767733.6467257785,9233316.924965866,9745315.956975702,14632989.565640742,3244654774086.6113,3678117624466.0757,4295141684918.782,5720812081176.455,6826504672251.284,2767733646725.779,9233316924965.867,9745315956975.703,14632989565640.742,135.0,149.0,171.5,221.5,240.79166666666666,73.74363202262883,313.5,319.0,386.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,14632989565640.742,14.632993425641741,14.285714285714285,14.632993425641741,3.8599999999999617,0,1,126.67312654852867,386,14632989.565640742,"[0.0, 14.632993425641741, -3.8599999999999617, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,119.15999999999943,1101.7699999999961,11916,110177,3.273843000002671,36.248541999957524,7.172065292085921,6.011904761904762,7.172065292085921,7172062.80958492,2.482499999999988,1.0,100.0,0.0,,,,,,,,3.543597630092076,3.8089272635323663,4.031595502580916,8.322857448032924,7.172065292085921,2.853654335729689,9.44190161568778,10.129329681396484,14.632993425641741,2.857142857142857,2.857142857142857,2.857142857142857,7.142857142857142,6.011904761904762,2.9874785931737153,8.571428571428571,8.571428571428571,14.285714285714285,3.543597630092076,3.8089272635323663,4.031595502580916,8.322857448032924,7.172065292085921,2.853654335729689,9.44190161568778,10.129329681396484,14.632993425641741,1.440000000000001,1.5400000000000011,1.6175000000000013,2.949999999999981,2.482499999999988,0.7452809872792826,3.1299999999999772,3.189999999999976,3.8599999999999617,26.450818188488483,29.310428232699632,31.61112955585122,81.89592793211341,65.03445916359003,29.156771153190547,90.12711038067937,92.94267543703317,126.67312654852867,3543596.1900910763,3808925.7235313663,4031593.885079915,8322854.4980319245,7172062.80958492,2853653.6039508404,9441898.455686778,10129326.598395485,14632989.565640742,3543596190091.076,3808925723531.366,4031593885079.9155,8322854498031.924,7172062809584.921,2853653603950.8403,9441898455686.78,10129326598395.486,14632989565640.742,144.0,154.0,161.75,295.0,248.25,74.52809872792946,313.0,319.0,386.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
