generation,rank,original_index,cached,evaluation_context,mirrored,evaluate_both_mirrors,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,block_progress,time,finished,crashes,timeout,distance,reward,steps,physics_tick_mean,physics_hz_mean,physics_delay_norm_mean,terminated,truncated
1,1,38,0,both=0;mirror=0,0,0,1,1,7942894481673.106,"[0.0, 7.942897251674107, -2.769999999999985, -1.0]",7.942897251674107,7.942897251674107,5.714285714285714,2.769999999999985,0,1,0,73.98425836116076,7942894.481673107,277,1.0,100.0,0.0,1,0
1,2,45,0,both=0;mirror=0,0,0,1,1,7815739722674.781,"[0.0, 7.815742492675781, -2.769999999999985, -1.0]",7.815742492675781,7.815742492675781,5.714285714285714,2.769999999999985,0,1,0,73.98448325693607,7815739.722674781,277,1.0,100.0,0.0,1,0
1,3,36,0,both=0;mirror=0,0,0,0,1,7737320456028.576,"[0.0, 7.737323216029576, -2.759999999999985, -1.0]",7.737323216029576,7.737323216029576,5.714285714285714,2.759999999999985,0,1,0,73.55490209162235,7737320.456028576,276,1.0,100.0,0.0,1,0
1,4,41,0,both=0;mirror=0,0,0,0,1,7486476892976.12,"[0.0, 7.48647962297712, -2.7299999999999858, -1.0]",7.48647962297712,7.48647962297712,5.714285714285714,2.7299999999999858,0,1,0,72.2715236544609,7486476.89297612,273,1.0,100.0,0.0,1,0
1,5,33,0,both=0;mirror=0,0,0,0,1,7458599650315.685,"[0.0, 7.458602360316685, -2.709999999999986, -1.0]",7.458602360316685,7.458602360316685,5.714285714285714,2.709999999999986,0,1,0,71.42162769287825,7458599.650315684,271,1.0,100.0,0.0,1,0
1,6,44,0,both=0;mirror=0,0,0,0,1,7240142857048.386,"[0.0, 7.240145547049385, -2.6899999999999866, -1.0]",7.240145547049385,7.240145547049385,5.714285714285714,2.6899999999999866,0,1,0,70.57598916441202,7240142.857048386,269,1.0,100.0,0.0,1,0
1,7,31,0,both=0;mirror=0,0,0,0,1,7233862230478.911,"[0.0, 7.2338649204799115, -2.6899999999999866, -1.0]",7.2338649204799115,7.2338649204799115,5.714285714285714,2.6899999999999866,0,1,0,70.57584814727306,7233862.230478911,269,1.0,100.0,0.0,1,0
1,8,26,0,both=0;mirror=0,0,0,0,1,7223167454216.3545,"[0.0, 7.223170144217354, -2.6899999999999866, -1.0]",7.223170144217354,7.223170144217354,5.714285714285714,2.6899999999999866,0,1,0,70.57612892985344,7223167.4542163545,269,1.0,100.0,0.0,1,0
1,9,5,0,both=0;mirror=0,0,0,0,1,7204647098991.745,"[0.0, 7.204649788992745, -2.6899999999999866, -1.0]",7.204649788992745,7.204649788992745,5.714285714285714,2.6899999999999866,0,1,0,70.57576961070299,7204647.098991745,269,1.0,100.0,0.0,1,0
1,10,25,0,both=0;mirror=0,0,0,0,1,7201363744559.547,"[0.0, 7.201366424560547, -2.679999999999987, -1.0]",7.201366424560547,7.201366424560547,5.714285714285714,2.679999999999987,0,1,0,70.1544026657939,7201363.744559547,268,1.0,100.0,0.0,1,0
1,11,21,0,both=0;mirror=0,0,0,0,1,7188074964156.365,"[0.0, 7.188077654157365, -2.6899999999999866, -1.0]",7.188077654157365,7.188077654157365,5.714285714285714,2.6899999999999866,0,1,0,70.5756264179945,7188074.964156365,269,1.0,100.0,0.0,1,0
1,12,47,0,both=0;mirror=0,0,0,0,1,7176870643330.473,"[0.0, 7.176873343331473, -2.6999999999999864, -1.0]",7.176873343331473,7.176873343331473,5.714285714285714,2.6999999999999864,0,1,0,70.99809200316668,7176870.6433304725,270,1.0,100.0,0.0,1,0
1,13,22,0,both=0;mirror=0,0,0,0,1,7173699015032.482,"[0.0, 7.173701695033483, -2.679999999999987, -1.0]",7.173701695033483,7.173701695033483,5.714285714285714,2.679999999999987,0,1,0,70.15388708561659,7173699.015032482,268,1.0,100.0,0.0,1,0
1,14,27,0,both=0;mirror=0,0,0,0,1,7148966152832.426,"[0.0, 7.148968832833426, -2.679999999999987, -1.0]",7.148968832833426,7.148968832833426,5.714285714285714,2.679999999999987,0,1,0,70.15413197129965,7148966.152832426,268,1.0,100.0,0.0,1,0
1,15,39,0,both=0;mirror=0,0,0,0,0,7142854512856.143,"[0.0, 7.142857142857142, -2.629999999999988, -1.0]",7.142857142857142,7.142857142857142,5.714285714285714,2.629999999999988,0,1,0,68.06313451379538,7142854.512856143,263,1.0,100.0,0.0,1,0
1,16,40,0,both=0;mirror=0,0,0,0,0,7142854512856.143,"[0.0, 7.142857142857142, -2.629999999999988, -1.0]",7.142857142857142,7.142857142857142,5.714285714285714,2.629999999999988,0,1,0,68.0625643208623,7142854.512856143,263,1.0,100.0,0.0,1,0
1,17,42,0,both=0;mirror=0,0,0,0,0,7142854512856.143,"[0.0, 7.142857142857142, -2.629999999999988, -1.0]",7.142857142857142,7.142857142857142,5.714285714285714,2.629999999999988,0,1,0,68.06241196393967,7142854.512856143,263,1.0,100.0,0.0,1,0
