generation,best_fitness,best_progress,best_block_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,current_mutation_prob,current_mutation_sigma,mutation_decay_trigger,mutation_decay_active,mutation_decay_trigger_generation,effective_mutation_prob_decay,effective_mutation_sigma_decay,cached_evaluations,evaluated_count,rollout_count,mirror_rollout_count,mirror_individual_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_block_progress,mean_ranking_progress,mean_reward,mean_time,mean_physics_tick_count,mean_physics_hz,mean_physics_delay_norm,generalization_test_map,generalization_best_finished,generalization_best_crashes,generalization_best_progress,generalization_best_block_progress,generalization_best_time,generalization_best_distance,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,block_progress_min,block_progress_p10,block_progress_p25,block_progress_median,block_progress_mean,block_progress_std,block_progress_p75,block_progress_p90,block_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,physics_tick_min,physics_tick_p10,physics_tick_p25,physics_tick_median,physics_tick_mean,physics_tick_std,physics_tick_p75,physics_tick_p90,physics_tick_max,physics_hz_min,physics_hz_p10,physics_hz_p25,physics_hz_median,physics_hz_mean,physics_hz_std,physics_hz_p75,physics_hz_p90,physics_hz_max,physics_delay_norm_min,physics_delay_norm_p10,physics_delay_norm_p25,physics_delay_norm_median,physics_delay_norm_mean,physics_delay_norm_std,physics_delay_norm_p75,physics_delay_norm_p90,physics_delay_norm_max
1,8637302798421.154,8.637305668422155,8.571428571428571,8.637305668422155,2.869999999999983,0,1,78.33765705674887,287,8637302.798421154,"[0.0, 8.637305668422155, -2.869999999999983, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,106.67999999999967,106.67999999999967,10668,10668,13.442339000001084,13.51022609998472,5.917999687648955,4.642857142857143,5.917999687648955,5917997.465147954,2.222499999999993,1.0,100.0,0.0,,,,,,,,3.349958147321429,3.7026492527553017,4.0952655247279575,6.884108952113561,5.917999687648955,1.6437562176346603,7.142857142857142,7.355897630964007,8.637305668422155,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,4.642857142857143,1.6104463402938909,5.714285714285714,5.714285714285714,8.571428571428571,3.349958147321429,3.7026492527553017,4.0952655247279575,6.884108952113561,5.917999687648955,1.6437562176346603,7.142857142857142,7.355897630964007,8.637305668422155,1.370000000000001,1.498000000000001,1.6350000000000011,2.494999999999991,2.222499999999993,0.528056578408027,2.682499999999987,2.7499999999999853,2.869999999999983,24.523545615375042,28.096442787349226,32.14084552973509,62.55300324037671,53.431808825582266,18.86633443268297,70.15400340594351,72.8266357846558,78.33765705674887,3349956.7773204288,3702647.754754301,4095263.889726958,6884106.45711256,5917997.465147954,1643755.6944096228,7142854.510356143,7355894.896963007,8637302.798421154,3349956777320.4287,3702647754754.3013,4095263889726.9575,6884106457112.561,5917997465147.954,1643755694409.623,7142854510356.143,7355894896963.007,8637302798421.154,137.0,149.8,163.5,249.5,222.25,52.805657840803384,268.25,275.0,287.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8637302798421.154,8.637305668422155,8.571428571428571,8.637305668422155,2.869999999999983,0,1,78.33765705674887,287,8637302.798421154,"[0.0, 8.637305668422155, -2.869999999999983, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,91.58999999999992,198.26999999999958,9159,19827,5.163403699989431,18.792708399996627,4.981369574864705,3.690476190476191,4.981369574864705,4981367.666738706,1.9081249999999983,1.0,100.0,0.0,,,,,,,,3.388769967215402,3.57207271030971,3.9934730529785156,4.514601571219307,4.981369574864705,1.417857249732116,5.30850955418178,7.142857142857142,8.637305668422155,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,3.690476190476191,1.5384342837285816,3.5714285714285716,5.714285714285714,8.571428571428571,3.388769967215402,3.57207271030971,3.9934730529785156,4.514601571219307,4.981369574864705,1.417857249732116,5.30850955418178,7.142857142857142,8.637305668422155,1.380000000000001,1.4550000000000012,1.6050000000000013,1.7850000000000015,1.9081249999999983,0.4288971139737309,2.0475,2.5899999999999888,2.869999999999983,24.795268073678017,26.875523364543916,31.23525084927678,36.8337581269443,41.93023942830041,15.286801588201962,45.77616458013654,66.4077535122633,78.33765705674887,3388768.587214402,3572071.25530871,3993471.4479775154,4514599.786218308,4981367.666738706,1417856.8232579918,5308507.506680781,7142854.475856142,8637302.798421154,3388768587214.402,3572071255308.71,3993471447977.5156,4514599786218.308,4981367666738.706,1417856823257.9917,5308507506680.78,7142854475856.143,8637302798421.154,138.0,145.5,160.5,178.5,190.8125,42.88971139737361,204.75,259.0,287.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9074426173305.361,9.074429103306361,8.571428571428571,9.074429103306361,2.9299999999999815,0,1,80.99888927489519,293,9074426.17330536,"[0.0, 9.074429103306361, -2.9299999999999815, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,102.5899999999997,300.8599999999993,10259,30086,5.204157000000123,24.132402100018226,5.5721668402353925,4.345238095238096,5.5721668402353925,5572164.702942725,2.1372916666666604,1.0,100.0,0.0,,,,,,,,3.2743181501116068,3.606825692313058,3.835878372192383,4.924409048897879,5.5721668402353925,1.8185152603049328,7.142857142857142,8.224337714059013,9.074429103306361,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,4.345238095238096,1.7486227168533788,5.714285714285714,5.714285714285714,8.571428571428571,3.2743181501116068,3.606825692313058,3.835878372192383,4.924409048897879,5.5721668402353925,1.8185152603049328,7.142857142857142,8.224337714059013,9.074429103306361,1.340000000000001,1.4610000000000012,1.5475000000000012,1.9250000000000016,2.1372916666666604,0.689117006221639,2.6524999999999874,2.855999999999983,4.989999999999938,23.71612173318863,27.04249815419316,29.529704712331295,41.44874783232808,48.704463971401616,19.910391760255077,68.16646108403802,76.54150285869838,80.99888927489519,3274316.8101106067,3606824.231312058,3835876.8246913827,4924407.12389688,5572164.702942725,1818514.6788075175,7142854.445356143,8224334.848058012,9074426.17330536,3274316810110.607,3606824231312.0576,3835876824691.383,4924407123896.879,5572164702942.726,1818514678807.5173,7142854445356.143,8224334848058.013,9074426173305.361,134.0,146.1,154.75,192.5,213.72916666666666,68.91170062216496,265.25,285.6,499.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9074426173305.361,9.074429103306361,8.571428571428571,9.074429103306361,2.9299999999999815,0,1,80.99888927489519,293,9074426.17330536,"[0.0, 9.074429103306361, -2.9299999999999815, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,101.29999999999973,402.159999999999,10130,40216,5.903391300002113,30.150889999989886,5.639526276361376,4.404761904761905,5.639526276361376,5639524.165943708,2.110416666666661,1.0,100.0,0.0,,,,,,,,3.3028030395507812,3.532709394182478,3.815268107822963,4.7628102983747205,5.639526276361376,1.8761986865115543,7.149908883231026,7.996226446969171,9.074429103306361,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,4.404761904761905,1.840431527826227,5.714285714285714,5.714285714285714,8.571428571428571,3.3028030395507812,3.532709394182478,3.815268107822963,4.7628102983747205,5.639526276361376,1.8761986865115543,7.149908883231026,7.996226446969171,9.074429103306361,1.350000000000001,1.440000000000001,1.5400000000000011,1.8700000000000014,2.110416666666661,0.5726581234810874,2.7049999999999863,2.8119999999999843,2.9299999999999815,23.984245441854,26.341071197390555,29.310653218999505,39.608702681958675,49.742984591672815,20.71242431201151,71.21024079434574,75.80225270316005,80.99888927489519,3302801.6895497814,3532707.954181478,3815266.5678219628,4762808.4283737205,5639524.165943708,1876198.1192158414,7149906.265730027,7996223.63196817,9074426.17330536,3302801689549.7812,3532707954181.478,3815266567821.963,4762808428373.721,5639524165943.708,1876198119215.842,7149906265730.026,7996223631968.171,9074426173305.361,135.0,144.0,154.0,187.0,211.04166666666666,57.265812348109485,270.5,281.20000000000005,293.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9137616543510.44,9.13761956351144,8.571428571428571,9.13761956351144,3.0199999999999796,0,1,85.0577707067132,302,9137616.543510439,"[0.0, 9.13761956351144, -3.0199999999999796, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,107.34999999999962,509.5099999999986,10735,50951,5.980334600026254,36.27427220001118,6.045513266608829,4.7023809523809526,6.045513266608829,6045511.030149494,2.2364583333333257,1.0,100.0,0.0,,,,,,,,3.280579703194755,3.481487274169922,4.001804079328265,6.8682016645159045,6.045513266608829,2.013167929331765,7.6328645433698386,8.529602595738002,9.13761956351144,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,4.7023809523809526,1.8888847205502894,5.714285714285714,6.571428571428584,8.571428571428571,3.280579703194755,3.481487274169922,4.001804079328265,6.8682016645159045,6.045513266608829,2.013167929331765,7.6328645433698386,8.529602595738002,9.13761956351144,1.340000000000001,1.4170000000000011,1.6075000000000013,2.5049999999999906,2.2364583333333257,0.6142830834372798,2.8274999999999837,2.8899999999999824,3.0199999999999796,23.716376170516014,25.811198553442956,31.30989589728415,62.964277274906635,54.634318984113634,22.464869089472636,76.47601528093219,79.22100343778729,85.0577707067132,3280578.363193755,3481485.8571689217,4001802.4718272653,6868199.159514904,6045511.030149494,2013167.3217589858,7632861.765868839,8529599.666737003,9137616.543510439,3280578363193.755,3481485857168.922,4001802471827.265,6868199159514.904,6045511030149.495,2013167321758.9858,7632861765868.839,8529599666737.003,9137616543510.44,134.0,141.7,160.75,250.5,223.64583333333334,61.42830834372881,282.75,289.0,302.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9779286670561.22,9.77928979056222,8.571428571428571,9.77928979056222,3.1199999999999775,0,1,89.66189894080162,312,9779286.67056122,"[0.0, 9.77928979056222, -3.1199999999999775, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,115.5499999999995,625.0599999999981,11555,62506,6.5730839999741875,42.991452199989,6.781434615453084,5.535714285714286,6.781434615453084,6781432.208160418,2.4072916666666564,1.0,100.0,0.0,,,,,,,,3.415837969098772,3.674364907400949,4.0529360089983255,7.706199373517718,6.781434615453084,2.2658765329092945,8.69908605303083,9.200657435825892,9.77928979056222,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.535714285714286,2.36227795630767,8.571428571428571,8.571428571428571,8.571428571428571,3.415837969098772,3.674364907400949,4.0529360089983255,7.706199373517718,6.781434615453084,2.2658765329092945,8.69908605303083,9.200657435825892,9.77928979056222,1.390000000000001,1.4870000000000012,1.6300000000000012,2.809999999999984,2.4072916666666564,0.633994412381169,2.9224999999999817,3.01299999999998,3.139999999999977,25.06809713691473,27.780046996474265,31.921122616156936,75.71416940167546,61.22788719522456,23.779276238571477,80.66451778449118,84.7389805957675,90.5941222757101,3415836.579097772,3674363.4203999485,4052934.378997325,7706196.533516717,6781432.208160418,2265875.9055589265,8699083.115529831,9200654.346824894,9779286.67056122,3415836579097.772,3674363420399.9487,4052934378997.325,7706196533516.717,6781432208160.417,2265875905558.927,8699083115529.831,9200654346824.893,9779286670561.22,139.0,148.7,163.0,281.0,240.72916666666666,63.399441238117824,292.25,301.3,314.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10277772185746.768,10.277775355747767,8.571428571428571,10.277775355747767,3.1699999999999764,0,1,91.99993252754211,317,10277772.185746768,"[0.0, 10.277775355747767, -3.1699999999999764, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,116.42999999999947,741.4899999999976,11643,74149,6.350795599981211,49.45949829998426,6.816338016873314,5.654761904761905,6.816338016873314,6816335.591247314,2.425624999999989,1.0,100.0,0.0,,,,,,,,3.304056440080915,3.4626464843749996,3.9248684474400113,7.666696820940291,6.816338016873314,2.4635605784378067,8.85631697518485,9.7381226675851,10.277775355747767,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.654761904761905,2.5077826705882016,8.571428571428571,8.571428571428571,8.571428571428571,3.304056440080915,3.4626464843749996,3.9248684474400113,7.666696820940291,6.816338016873314,2.4635605784378067,8.85631697518485,9.7381226675851,10.277775355747767,1.350000000000001,1.410000000000001,1.5850000000000013,2.864999999999983,2.425624999999989,0.7019879695372176,2.99249999999998,3.112999999999978,3.4399999999999706,23.983803629875183,25.617605391144753,30.637500958517194,78.11824373155832,62.06449529342353,25.995235216419655,83.80925483629107,88.87186305001379,91.99993252754211,3304055.0900799152,3462645.074374,3924866.862439011,7666693.94593929,6816335.591247314,2463559.8870263607,8856313.99518385,9738119.4585841,10277772.185746768,3304055090079.915,3462645074374.0,3924866862439.011,7666693945939.291,6816335591247.313,2463559887026.361,8856313995183.85,9738119458584.1,10277772185746.768,135.0,141.0,158.5,286.5,242.5625,70.19879695372279,299.25,311.3,344.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10277772185746.768,10.277775355747767,8.571428571428571,10.277775355747767,3.1699999999999764,0,1,91.99993252754211,317,10277772.185746768,"[0.0, 10.277775355747767, -3.1699999999999764, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,119.12999999999943,860.619999999997,11913,86062,6.386748799995985,55.97976720001316,7.055429844629198,5.9523809523809526,7.055429844629198,7055427.362753197,2.481874999999988,1.0,100.0,0.0,,,,,,,,3.352268763950893,3.5026092529296875,4.488316944667272,8.323815209524973,7.055429844629198,2.4715359037527556,9.173075131007604,9.590690340314593,10.277775355747767,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.9523809523809526,2.6619856874997496,8.571428571428571,8.571428571428571,8.571428571428571,3.352268763950893,3.5026092529296875,4.488316944667272,8.323815209524973,7.055429844629198,2.4715359037527556,9.173075131007604,9.590690340314593,10.277775355747767,1.370000000000001,1.4270000000000012,1.7825000000000013,2.8899999999999824,2.481874999999988,0.692446316360808,3.0624999999999787,3.1199999999999775,3.189999999999976,24.523733980953693,26.08883818760514,36.79029684327543,79.2209749147296,64.63397341780365,26.252288308982045,87.00273407064378,89.66180533692241,92.94210694730282,3352267.3939498924,3502607.8259286876,4488315.162166271,8323812.2345239725,7055427.362753197,2471535.2211497244,9173072.003506603,9590687.247313593,10277772.185746768,3352267393949.8926,3502607825928.6875,4488315162166.271,8323812234523.973,7055427362753.198,2471535221149.724,9173072003506.602,9590687247313.594,10277772185746.768,137.0,142.7,178.25,289.0,248.1875,69.24463163608185,306.25,312.0,319.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10277772185746.768,10.277775355747767,8.571428571428571,10.277775355747767,3.1699999999999764,0,1,91.99993252754211,317,10277772.185746768,"[0.0, 10.277775355747767, -3.1699999999999764, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,119.21999999999946,979.8399999999965,11922,97984,4.789840599987656,60.877614600001834,7.080830278850736,5.714285714285714,7.080830278850736,7080827.795099738,2.4837499999999886,1.0,100.0,0.0,,,,,,,,3.537962777273995,3.8028477260044644,4.526612418038504,7.93318612234933,7.080830278850736,2.484574363657227,9.301983288356237,10.100712639944893,10.277775355747767,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,2.608202654786505,8.571428571428571,8.571428571428571,8.571428571428571,3.537962777273995,3.8028477260044644,4.526612418038504,7.93318612234933,7.080830278850736,2.484574363657227,9.301983288356237,10.100712639944893,10.277775355747767,1.440000000000001,1.5380000000000011,1.7975000000000014,2.8399999999999834,2.4837499999999886,0.6773312366683317,3.1224999999999774,3.1729999999999765,3.2099999999999755,26.37972629070282,29.25409297645092,37.241970302537084,77.0465860068798,64.55712472011025,26.278130996481256,89.77821560017765,92.14112193807959,93.88843473792076,3537961.337272995,3802846.1880034646,4526610.620537505,7933183.18734833,7080827.795099738,2484573.700709451,9301980.228355236,10100709.506943895,10277772.185746768,3537961337272.995,3802846188003.465,4526610620537.504,7933183187348.33,7080827795099.737,2484573700709.451,9301980228355.236,10100709506943.893,10277772185746.768,144.0,153.8,179.75,284.0,248.375,67.73312366683429,312.25,317.3,321.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11083008367196.266,11.083011627197266,8.571428571428571,11.083011627197266,3.2599999999999745,0,1,96.27069426327944,326,11083008.367196266,"[0.0, 11.083011627197266, -3.2599999999999745, -1.0]",0.1,0.25,immediate,1,0,1.0,1.0,0,48,48,0,0,48,0,48,0,48,0,131.0699999999992,1110.9099999999958,13107,111091,6.7635601999936625,67.74036950001027,8.169184639340356,6.964285714285713,8.169184639340356,8169181.908714354,2.7306249999999834,1.0,100.0,0.0,,,,,,,,3.2548740931919644,3.757070813860212,5.45276233128139,9.490073067801339,8.169184639340356,2.517682114027101,9.856679098946708,10.116003036499023,11.083011627197266,2.857142857142857,2.857142857142857,2.857142857142857,8.571428571428571,6.964285714285713,2.535881952873904,8.571428571428571,8.571428571428571,8.571428571428571,3.2548740931919644,3.757070813860212,5.45276233128139,9.490073067801339,8.169184639340356,2.517682114027101,9.856679098946708,10.116003036499023,11.083011627197266,1.330000000000001,1.5180000000000011,2.117499999999999,3.1149999999999776,2.7306249999999834,0.6706539291678827,3.1524999999999768,3.192999999999976,3.2599999999999745,23.44981376081705,28.696448074281218,48.17530915141106,89.42918353900313,74.70116502434637,25.808186820409635,91.1790837328881,93.08432468697428,96.27069426327944,3254872.7631909642,3757069.295859212,5452760.213780389,9490069.92280034,8169181.908714354,2517681.451737071,9856676.031445708,10115999.905498022,11083008.367196266,3254872763190.9644,3757069295859.212,5452760213780.39,9490069922800.34,8169181908714.356,2517681451737.071,9856676031445.709,10115999905498.023,11083008367196.266,133.0,151.8,211.75,311.5,273.0625,67.0653929167893,315.25,319.3,326.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
