#{"t_start": 1777977855.2786772, "env_id": "None"}
r,l,t,episode_metrics
-0.52553,501,2.377176,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.14447021484375, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 8.203455640817992, 'reward': -1.0025213477725077, 'reward_score': -0.5255297851562293, 'fitness': 2084362.01138811}"
-0.517644,501,3.677493,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.152355739048549, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 8.424122938711662, 'reward': -1.002717532203311, 'reward_score': -0.5176442609514302, 'fitness': 2092247.3149256108}"
-0.710216,501,4.249174,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9597843715122767, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 6.29514704272151, 'reward': -1.0035949125744046, 'reward_score': -0.7102156284877026, 'fitness': 1899678.0763652346}"
-0.241776,501,4.823207,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.4282237461635043, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 11.414775210811058, 'reward': -1.0034641229538692, 'reward_score': -0.24177625383647494, 'fitness': 2368112.3313882938}"
-0.643889,501,5.404862,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.026111057826451, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 7.072545325441752, 'reward': -1.0033823794410337, 'reward_score': -0.6438889421735283, 'fitness': 1966003.9852811263}"
-0.762799,501,6.418928,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9072014944893974, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 5.655017120036064, 'reward': -1.0030990019298733, 'reward_score': -0.7627985055105819, 'fitness': 1847095.839472278}"
-0.395421,501,7.054693,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.274578639439174, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 9.54701325800852, 'reward': -1.0030281575520832, 'reward_score': -0.39542136056080524, 'fitness': 2214469.0924259163}"
-0.73906,501,7.628711,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9309398106166293, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 5.865647824859479, 'reward': -1.0033224341982887, 'reward_score': -0.7390601893833499, 'fitness': 1870833.9449688052}"
-0.434898,501,8.203155,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.235101972307478, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 9.27628815441858, 'reward': -1.0028919183640246, 'reward_score': -0.4348980276925014, 'fitness': 2174992.696019324}"
-0.501666,501,8.783544,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.1683338710239957, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 8.488769453833811, 'reward': -1.0031807454427082, 'reward_score': -0.5016661289759836, 'fitness': 2108225.3822545423}"
-0.638178,501,9.367309,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0318222045898438, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 7.0519364681094885, 'reward': -1.0031861950102308, 'reward_score': -0.6381777954101355, 'fitness': 1971715.1526533763}"
-0.62075,501,10.388813,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.049249921526228, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 7.188534222121234, 'reward': -1.0032570393880207, 'reward_score': -0.6207500784737514, 'fitness': 1989142.7329920065}"
-0.751044,501,10.97662,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9189562116350447, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 5.988136048807064, 'reward': -1.0032733880905875, 'reward_score': -0.7510437883649346, 'fitness': 1858850.2234989966}"
-0.674292,501,11.547015,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9957079206194197, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 6.864367868023692, 'reward': -1.0033224341982887, 'reward_score': -0.6742920793805596, 'fitness': 1935601.0562515524}"
-0.69409,501,12.107377,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.975909641810826, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 6.644182104675565, 'reward': -1.0033714803059892, 'reward_score': -0.6940903581891533, 'fitness': 1915802.997628722}"
-0.460903,501,12.69256,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.2090966360909596, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 8.98259230790427, 'reward': -1.0029518636067707, 'reward_score': -0.46090336390901965, 'fitness': 2148987.653498652}"
-0.493339,501,13.250983,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.176660810198103, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 8.71968529667356, 'reward': -1.003622160412016, 'reward_score': -0.4933391898018764, 'fitness': 2116552.090512807}"
-0.283155,501,14.247103,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.3868451799665182, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 11.056148598756408, 'reward': -1.0034641229538683, 'reward_score': -0.28315482003346104, 'fitness': 2326734.1238179198}"
-0.143586,501,14.841903,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.526414053780692, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 12.510133048548596, 'reward': -1.003224341982887, 'reward_score': -0.14358594621928744, 'fitness': 2466301.5436476436}"
-0.326473,501,15.424664,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.343526567731585, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 10.294618717161939, 'reward': -1.0026139904203861, 'reward_score': -0.3264734322683942, 'fitness': 2283416.273112868}"
-0.529688,501,15.995057,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.1403121948242188, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 8.059626551228575, 'reward': -1.002635788690476, 'reward_score': -0.5296878051757605, 'fitness': 2080204.1351976683}"
-0.433966,501,16.555706,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.2360338483537947, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 9.477707018784713, 'reward': -1.003496820359003, 'reward_score': -0.4339661516461846, 'fitness': 2175924.3706467766}"
-0.647671,501,17.120019,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.02232905796596, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 6.779573659878224, 'reward': -1.0026957339332212, 'reward_score': -0.6476709420340192, 'fitness': 1962222.278392301}"
-0.626478,501,18.104334,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0435224260602682, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 7.000391219015, 'reward': -1.0031861950102299, 'reward_score': -0.626477573939711, 'fitness': 1983415.4256690498}"
-0.660401,501,18.711953,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0095988682338173, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 6.860167241095041, 'reward': -1.0033769298735116, 'reward_score': -0.660401131766162, 'fitness': 1949492.008066577}"
-0.205291,501,19.286474,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.464708600725446, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 11.811780563584762, 'reward': -1.003507719494048, 'reward_score': -0.2052913992745331, 'fitness': 2404596.7889448833}"
