#{"t_start": 1777980725.4014556, "env_id": "None"}
r,l,t,episode_metrics
-0.601813,483,2.417917,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0681871686662947, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 7.545333958318224, 'reward': -1.003273388090588, 'reward_score': -0.6018128313336857, 'fitness': 2008079.6233323372}"
-0.457176,472,4.049358,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.212824140276228, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 9.003631025232607, 'reward': -1.003295186360677, 'reward_score': -0.45717585972375296, 'fitness': 2152715.1366452035}"
-0.508064,471,4.652148,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.16193607875279, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 8.435480628570076, 'reward': -1.0034532238188245, 'reward_score': -0.5080639212471909, 'fitness': 2101827.643272162}"
-0.447432,463,5.259781,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.2225679670061385, 'block_progress': 0.0, 'time': 5.009999999999945, 'distance': 9.15165750082815, 'reward': -1.0030608549572173, 'reward_score': -0.44743203299384304, 'fitness': 2162458.815348638}"
-0.6556,473,5.891555,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.014399937220982, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 6.9205553578503896, 'reward': -1.0031589471726188, 'reward_score': -0.6556000627789984, 'fitness': 1954293.016665625}"
-0.597197,471,6.476293,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.072802952357701, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 7.682413726375671, 'reward': -1.0032188924153644, 'reward_score': -0.5971970476422799, 'fitness': 2012695.2699439751}"
-0.684739,474,7.750564,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9852610996791296, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 6.594798634105246, 'reward': -1.0030554053896945, 'reward_score': -0.6847389003208513, 'fitness': 1925154.504880496}"
-0.214425,471,8.400417,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.4555751255580356, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 11.965394077531528, 'reward': -1.0033387829008558, 'reward_score': -0.21442487444194525, 'fitness': 2395463.1601639586}"
-0.362773,470,9.024286,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.307226998465402, 'block_progress': 0.0, 'time': 5.009999999999944, 'distance': 10.095847902761307, 'reward': -1.0031698463076637, 'reward_score': -0.36277300153457936, 'fitness': 2247116.9026174997}"
-0.438206,473,9.631907,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.2317940848214284, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 9.305236174230231, 'reward': -1.0029246157691591, 'reward_score': -0.43820591517855245, 'fitness': 2171684.7795852544}"
-0.58948,475,10.237185,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0805195399693077, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 7.486362141484278, 'reward': -1.0031589471726192, 'reward_score': -0.5894804600306729, 'fitness': 2020412.0536071667}"
-0.61105,471,10.839683,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.05895015171596, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 7.377874725636502, 'reward': -1.0033060854957212, 'reward_score': -0.6110498482840208, 'fitness': 1998842.7738412349}"
-0.272414,472,12.013437,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.3975862775530135, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 11.124373921426013, 'reward': -1.0033496820359, 'reward_score': -0.27241372244696715, 'fitness': 2337475.1531790923}"
-0.271253,467,12.669417,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.398747035435268, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 11.236851217283402, 'reward': -1.0030772036597841, 'reward_score': -0.2712529645647128, 'fitness': 2338635.798584051}"
-0.315224,472,13.274976,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.358109610421317, 'block_progress': 0.0, 'time': 5.019999999999942, 'distance': 10.53877381424536, 'reward': -1.0065140787760414, 'reward_score': -0.31522372291199696, 'fitness': 2297899.071647503}"
-0.646919,474,13.871113,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.02308109828404, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 6.858217282882833, 'reward': -1.0034205264136908, 'reward_score': -0.6469189017159409, 'fitness': 1962974.2400667574}"
-0.328021,473,14.46631,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.3419788905552457, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 10.373196871514665, 'reward': -1.0028319731212798, 'reward_score': -0.3280211094447347, 'fitness': 2281868.517358375}"
-0.59608,472,15.04952,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.073920113699777, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 7.442426346577122, 'reward': -1.0034477742513015, 'reward_score': -0.5960798863002039, 'fitness': 2013812.6712734308}"
-0.511246,469,15.627577,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.158753531319755, 'block_progress': 0.0, 'time': 5.009999999999946, 'distance': 8.5032849981435, 'reward': -1.003605811709449, 'reward_score': -0.5112464686802269, 'fitness': 2098645.028034757}"
