#{"t_start": 1777979332.50897, "env_id": "None"}
r,l,t,episode_metrics
-0.272681,501,2.124704,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.3973192487444197, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 10.977517693507252, 'reward': -1.0032406906854539, 'reward_score': -0.2726807512555596, 'fitness': 2337208.271226727}"
-0.169281,501,3.606595,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.5007193429129466, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 12.370580536982743, 'reward': -1.003322434198288, 'reward_score': -0.16928065708703266, 'fitness': 2440606.9723324105}"
0.108486,738,4.633368,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.5684858049665182, 'block_progress': 2.857142857142857, 'time': 7.379999999999887, 'distance': 24.329243494328693, 'reward': -1.0026630365280882, 'reward_score': 0.10848580496655558, 'fitness': 3484661.475723025}"
0.108849,501,5.379534,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.778848920549665, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 15.187580393976532, 'reward': -1.0020744832356774, 'reward_score': 0.10884892054968565, 'fitness': 2718733.7329692715}"
0.442327,932,6.675188,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.548993791852678, 'block_progress': 2.857142857142857, 'time': 9.319999999999846, 'distance': 35.678373932343675, 'reward': -1.0033823794410348, 'reward_score': 0.44232712518606254, 'fitness': 4445758.113478748}"
1.15741,1063,8.207789,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 5.700743538992746, 'block_progress': 2.857142857142857, 'time': 10.629999999999818, 'distance': 49.51384546614281, 'reward': -1.0020417858305426, 'reward_score': 1.157410205659473, 'fitness': 5584394.025147282}"
-0.163128,501,8.934597,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.5068719046456476, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 12.181647125558811, 'reward': -1.0019600423177077, 'reward_score': -0.1631280953543317, 'fitness': 2446759.722998522}"
0.063716,501,9.643987,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.733715602329799, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 14.705195976537652, 'reward': -1.0034368751162577, 'reward_score': 0.06371560232981976, 'fitness': 2673600.897133823}"
0.107391,557,10.522685,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.9640579223632812, 'block_progress': 2.857142857142857, 'time': 5.569999999999926, 'distance': 17.322440338379238, 'reward': -1.0034041777111236, 'reward_score': 0.10739125569663943, 'fitness': 2898340.599922944}"
0.177963,711,11.606437,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.5479627336774553, 'block_progress': 2.857142857142857, 'time': 7.109999999999893, 'distance': 24.053171413048403, 'reward': -1.0029736618768603, 'reward_score': 0.17796273367749071, 'fitness': 3466838.680506043}"
0.274408,768,12.884652,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 3.8344083513532365, 'block_progress': 2.857142857142857, 'time': 7.679999999999881, 'distance': 27.420044022219372, 'reward': -1.0030445062546498, 'reward_score': 0.27440835135327646, 'fitness': 3747580.9313092157}"
-1.390699,1320,14.79618,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.009301321847098, 'block_progress': 2.857142857142857, 'time': 13.199999999999763, 'distance': 30.442734751493845, 'reward': -1.0029300653366828, 'reward_score': -1.3906986781528232, 'fitness': 3867270.879112349}"
