#{"t_start": 1777981751.9467845, "env_id": "None"}
r,l,t,episode_metrics
-0.403923,483,2.027007,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.2660773141043524, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 9.600107333768392, 'reward': -1.0027066330682664, 'reward_score': -0.40392268589562796, 'fitness': 2205967.7139970195}"
-0.333645,472,3.510026,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.33635493687221, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 10.298768816079246, 'reward': -1.003453223818824, 'reward_score': -0.33364506312777076, 'fitness': 2276244.6381033943}"
-0.576423,471,4.114301,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0935767037527904, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 8.161418960764422, 'reward': -1.00304450625465, 'reward_score': -0.5764232962471905, 'fitness': 2033468.5423338301}"
-0.789659,463,4.81559,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.880340576171875, 'block_progress': 0.0, 'time': 5.009999999999945, 'distance': 5.927033042171388, 'reward': -1.0030118088495164, 'reward_score': -0.7896594238281065, 'fitness': 1820234.6491388334}"
-0.739899,473,5.50772,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9301005772181918, 'block_progress': 0.0, 'time': 5.009999999999942, 'distance': 6.16506081087573, 'reward': -1.002766578311012, 'reward_score': -0.7398994227817888, 'fitness': 1869994.4121573817}"
-0.848738,471,6.289171,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.8212618146623882, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 5.494634283313644, 'reward': -1.0031371489025298, 'reward_score': -0.8487381853375926, 'fitness': 1761156.3200281055}"
-0.718216,474,7.008649,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.9517844063895091, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 6.393097282882081, 'reward': -1.0033387829008553, 'reward_score': -0.7182155936104717, 'fitness': 1891678.0132922267}"
-0.812711,471,7.712574,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.8572889055524553, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 5.776836971344892, 'reward': -1.0032842872256322, 'reward_score': -0.8127110944475255, 'fitness': 1797183.1287154844}"
-0.633693,470,8.41441,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0363071986607144, 'block_progress': 0.0, 'time': 5.009999999999944, 'distance': 7.642271067306865, 'reward': -1.0035077194940474, 'reward_score': -0.6336928013392669, 'fitness': 1976199.5563896475}"
-0.828275,473,9.10618,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.8417249407087055, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 5.5731709835527, 'reward': -1.0033932785760786, 'reward_score': -0.8282750592912753, 'fitness': 1781619.3675377225}"
