#{"t_start": 1777980156.7762928, "env_id": "None"}
r,l,t,episode_metrics
-0.528968,501,2.100851,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.141031537737165, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 8.24871972593246, 'reward': -1.002564944312686, 'reward_score': -0.5289684622628144, 'fitness': 2080923.2890174398}"
-0.766809,501,3.587056,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 1.903190612792969, 'block_progress': 0.0, 'time': 5.009999999999938, 'distance': 5.6896048315102234, 'reward': -1.0032188924153642, 'reward_score': -0.7668093872070103, 'fitness': 1843084.9231881383}"
4.584726,513,4.254886,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.294725690569197, 'block_progress': 5.714285714285714, 'time': 5.129999999999935, 'distance': 69.70229698717594, 'reward': -1.002859220958892, 'reward_score': 4.584725690569218, 'fitness': 7233355.988272211}"
4.557131,517,4.965122,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.280464172363281, 'block_progress': 5.714285714285714, 'time': 5.169999999999934, 'distance': 69.67595656961203, 'reward': -1.0028592209588902, 'reward_score': 4.55713083902997, 'fitness': 7218694.496406713}"
4.432782,535,5.681857,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.216115679059709, 'block_progress': 5.714285714285714, 'time': 5.34999999999993, 'distance': 69.1420096307993, 'reward': -1.0032297915504094, 'reward_score': 4.432782345726399, 'fitness': 7152546.53705008}"
4.361345,566,6.4542,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.248011997767858, 'block_progress': 5.714285714285714, 'time': 5.659999999999924, 'distance': 69.43017978966236, 'reward': -1.0030581301734554, 'reward_score': 4.361345331101217, 'fitness': 7181342.567588069}"
4.348069,570,7.211629,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.248069218226842, 'block_progress': 5.714285714285714, 'time': 5.699999999999923, 'distance': 69.39585295319557, 'reward': -1.0032297915504076, 'reward_score': 4.348069218226868, 'fitness': 7180999.822373889}"
4.264006,609,8.006116,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.29400634765625, 'block_progress': 5.714285714285714, 'time': 6.089999999999915, 'distance': 69.65111245214939, 'reward': -1.0029436892554866, 'reward_score': 4.264006347656279, 'fitness': 7223036.696543799}"
4.128418,633,8.816399,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.23841803414481, 'block_progress': 5.714285714285714, 'time': 6.3299999999999095, 'distance': 69.32041954249144, 'reward': -1.0031398736862913, 'reward_score': 4.12841803414484, 'fitness': 7165048.713725268}"
4.561348,524,9.495777,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.308014460972377, 'block_progress': 5.714285714285714, 'time': 5.239999999999933, 'distance': 69.83800280839205, 'reward': -1.00278565179734, 'reward_score': 4.561347794305733, 'fitness': 7245544.62296957}"
4.216073,634,10.303341,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.329406738281249, 'block_progress': 5.714285714285714, 'time': 6.339999999999909, 'distance': 69.94111588597298, 'reward': -1.0029109918503538, 'reward_score': 4.216073404947946, 'fitness': 7255936.797165364}"
3.816766,730,11.235608,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.250099182128906, 'block_progress': 5.714285714285714, 'time': 7.299999999999889, 'distance': 69.38080637902021, 'reward': -1.0030254327683235, 'reward_score': 3.81676584879561, 'fitness': 7167029.801322528}"
3.839634,743,12.171799,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.316300528390067, 'block_progress': 5.714285714285714, 'time': 7.429999999999886, 'distance': 69.9146639816463, 'reward': -1.0030799284435448, 'reward_score': 3.8396338617234385, 'fitness': 7231930.613726086}"
3.722515,740,13.095,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.189181191580636, 'block_progress': 5.714285714285714, 'time': 7.399999999999887, 'distance': 68.91032199561596, 'reward': -1.0031371489025291, 'reward_score': 3.7225145249140077, 'fitness': 7105112.281258642}"
3.664323,768,14.037111,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.224322727748326, 'block_progress': 5.714285714285714, 'time': 7.679999999999881, 'distance': 69.19787823408842, 'reward': -1.003243415469214, 'reward_score': 3.6643227277483668, 'fitness': 7137453.529870093}"
3.373464,855,15.098476,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.223464420863561, 'block_progress': 5.714285714285714, 'time': 8.549999999999862, 'distance': 69.08502998948097, 'reward': -1.0031698463076637, 'reward_score': 3.3734644208636064, 'fitness': 7127895.335833572}"
3.734848,762,16.148356,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.274848393031529, 'block_progress': 5.714285714285714, 'time': 7.619999999999882, 'distance': 69.58066064864397, 'reward': -1.0030990019298738, 'reward_score': 3.7348483930315677, 'fitness': 7188578.8123708805}"
3.680949,783,17.123491,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.290949140276227, 'block_progress': 5.714285714285714, 'time': 7.8299999999998775, 'distance': 69.66229588910937, 'reward': -1.0029545883905318, 'reward_score': 3.680949140276269, 'fitness': 7202579.477980339}"
3.283493,886,18.18947,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.2368267604282925, 'block_progress': 5.714285714285714, 'time': 8.859999999999856, 'distance': 69.27483812719584, 'reward': -1.0031316993350075, 'reward_score': 3.2834934270950074, 'fitness': 7138157.485590167}"
3.342449,872,19.22176,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.249115535191127, 'block_progress': 5.714285714285714, 'time': 8.719999999999859, 'distance': 69.38089794293046, 'reward': -1.0030962771461134, 'reward_score': 3.3424488685245066, 'fitness': 7151846.154293186}"
3.19799,903,20.339708,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.207990373883928, 'block_progress': 5.714285714285714, 'time': 9.029999999999852, 'distance': 68.98892835900187, 'reward': -1.003101726713636, 'reward_score': 3.197990373883977, 'fitness': 7107621.384955571}"
4.040649,675,21.280667,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.2906494140625, 'block_progress': 5.714285714285714, 'time': 6.7499999999999005, 'distance': 69.67027215659618, 'reward': -1.0029355149042036, 'reward_score': 4.040649414062534, 'fitness': 7213079.743790344}"
2.340366,1141,22.65122,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.143699101039341, 'block_progress': 5.714285714285714, 'time': 11.409999999999801, 'distance': 68.51297463942319, 'reward': -1.0034968203590031, 'reward_score': 2.340365767706074, 'fitness': 7019530.588064703}"
3.455637,842,23.673308,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.262303488595146, 'block_progress': 5.714285714285714, 'time': 8.419999999999865, 'distance': 69.45811550691724, 'reward': -1.0029818362281429, 'reward_score': 3.4556368219285236, 'fitness': 7168034.03047964}"
3.082857,918,24.84832,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.142857142857142, 'block_progress': 5.714285714285714, 'time': 9.179999999999849, 'distance': 68.38653983920813, 'reward': -1.003333333333332, 'reward_score': 3.0828571428571934, 'fitness': 7040988.756317305}"
2.20893,1183,26.396703,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.15226309640067, 'block_progress': 5.714285714285714, 'time': 11.829999999999792, 'distance': 68.61685715429485, 'reward': -1.0035485912504645, 'reward_score': 2.208929763067406, 'fitness': 7023894.479543517}"
0.701905,934,27.544159,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.815237862723214, 'block_progress': 2.857142857142857, 'time': 9.339999999999845, 'distance': 37.96217552947928, 'reward': -1.0020962815057666, 'reward_score': 0.7019045293899326, 'fitness': 4711799.900547687}"
1.662857,1344,29.14254,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.142857142857142, 'block_progress': 5.714285714285714, 'time': 13.439999999999758, 'distance': 68.14313939679414, 'reward': -1.003333333333333, 'reward_score': 1.6628571428572236, 'fitness': 6998388.999717749}"
1.277159,715,30.018319,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 4.660491943359375, 'block_progress': 2.857142857142857, 'time': 7.149999999999892, 'distance': 36.23902934975922, 'reward': -1.003284287225633, 'reward_score': 1.2771586100260777, 'fitness': 4578955.704330026}"
3.047915,938,31.199957,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 7.174581800188337, 'block_progress': 5.714285714285714, 'time': 9.379999999999844, 'distance': 68.78437976166606, 'reward': -1.0033960033598417, 'reward_score': 3.0479151335217214, 'fitness': 7070713.015808577}"
