#{"t_start": 1777982498.8602817, "env_id": "None"}
r,l,t,episode_metrics
-0.638189,483,2.042477,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.031811305454799, 'block_progress': 0.0, 'time': 5.009999999999941, 'distance': 6.90680519954185, 'reward': -1.0032461402529764, 'reward_score': -0.6381886945451813, 'fitness': 1971704.3986496}"
-0.596271,472,3.634342,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 2.0737293788364957, 'block_progress': 0.0, 'time': 5.009999999999943, 'distance': 7.813247435202356, 'reward': -1.003066304524739, 'reward_score': -0.5962706211634852, 'fitness': 2013621.5655890608}"
3.890458,454,4.148199,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.503791809082031, 'block_progress': 5.714285714285714, 'time': 4.839999999999947, 'distance': 57.777108892798424, 'reward': -0.9888919793991819, 'reward_score': 3.8904584757487157, 'fitness': 6445334.031973139}"
3.94405,386,4.698435,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.337383815220424, 'block_progress': 5.714285714285714, 'time': 4.179999999999962, 'distance': 56.03723996132612, 'reward': -0.9885977027529771, 'reward_score': 3.9440504818871025, 'fitness': 6285527.777980463}"
4.018748,405,5.279706,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.452080862862723, 'block_progress': 5.714285714285714, 'time': 4.299999999999958, 'distance': 57.207457542419434, 'reward': -0.9871154203869059, 'reward_score': 4.018747529529404, 'fitness': 6399023.6554051805}"
3.945354,415,5.861688,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.402021135602679, 'block_progress': 5.714285714285714, 'time': 4.369999999999956, 'distance': 56.690058559179306, 'reward': -0.9879383050827748, 'reward_score': 3.945354468936027, 'fitness': 6348264.44554412}"
3.870719,400,6.474347,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.290719168526786, 'block_progress': 5.714285714285714, 'time': 4.259999999999957, 'distance': 55.54233580827713, 'reward': -0.9903524634951637, 'reward_score': 3.8707191685268, 'fitness': 6238063.626190977}"
3.935315,395,7.071331,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.328648158482143, 'block_progress': 5.714285714285714, 'time': 4.179999999999958, 'distance': 55.90987414866686, 'reward': -0.9883633713495161, 'reward_score': 3.935314825148824, 'fitness': 6276792.248607995}"
4.018264,393,7.617244,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.414931161063057, 'block_progress': 5.714285714285714, 'time': 4.18999999999996, 'distance': 56.80954411625862, 'reward': -0.9891481090727323, 'reward_score': 4.018264494396403, 'fitness': 6362974.351518941}"
3.835727,432,8.222581,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.375726972307477, 'block_progress': 5.714285714285714, 'time': 4.619999999999952, 'distance': 56.428052701056004, 'reward': -0.9914914231073286, 'reward_score': 3.8357269723074934, 'fitness': 6319470.544254777}"
4.158033,381,8.758108,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.501366751534599, 'block_progress': 5.714285714285714, 'time': 4.029999999999964, 'distance': 57.69531796127558, 'reward': -0.9882380312965013, 'reward_score': 4.158033418201278, 'fitness': 6451009.056216638}"
3.96946,393,9.302922,"{'finished': 0.0, 'crashes': 1.0, 'timeout': 0.0, 'progress': 6.339460100446429, 'block_progress': 5.714285714285714, 'time': 4.10999999999996, 'distance': 56.048034600913525, 'reward': -0.989071815127418, 'reward_score': 3.969460100446442, 'fitness': 6288304.052411828}"
