experiment,family,first_finish_generation,total_finish,best_time,last50_finish_rate,last50_mean_progress,last50_crash_rate,last50_timeout_rate,cached_evaluations,run_dir
both_mirrors_holdout_single_surface_flat,generalization,191.0,13,25.410000000001173,0.005416666666666667,32.31234753093909,0.9783333333333334,0.01625,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_generalization\both_mirrors_holdout_single_surface_flat_seed_2026050501\20260505_012530_tm2d_ga_AI_Training_5
live_tm_overnight_20260505,live_tm,,0,,0.0,18.530352687835695,0.953125,0.046875,302,C:\Users\sampu\Desktop\Trackmania-BC\logs\ga_runs\20260505_012752_map_AI_Training__5_v2d_asphalt_h32x16_p32_ranking_finished_progress_neg_time_neg_crashes
moo_finished_progress,moo,158.0,1990,20.92000000000047,0.37666666666666665,62.533986388268346,0.5520833333333334,0.07125,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_moo\moo_lex_sweep_aabb_lidar_fixed100_seed_2026050406\finished_progress\20260504_201212_tm2d_ga_moo_AI_Training_5_lexicographic_primitives
moo_finished_progress_neg_crashes_neg_time,moo,,0,,0.0,7.872139686629884,1.0,0.0,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_moo\moo_lex_sweep_aabb_lidar_fixed100_seed_2026050406\finished_progress_crashes_time\20260504_223450_tm2d_ga_moo_AI_Training_5_lexicographic_primitives
moo_finished_progress_neg_time,moo,,0,,0.0,9.063803143728347,1.0,0.0,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_moo\moo_lex_sweep_aabb_lidar_fixed100_seed_2026050406\finished_progress_time\20260504_214037_tm2d_ga_moo_AI_Training_5_lexicographic_primitives
moo_finished_progress_neg_time_neg_crashes,moo,,0,,0.0,8.870963495118277,1.0,0.0,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_moo\moo_lex_sweep_aabb_lidar_fixed100_seed_2026050406\finished_progress_time_crashes\20260504_220703_tm2d_ga_moo_AI_Training_5_lexicographic_primitives
moo_trackmania_racing,moo,204.0,1069,18.5500000000001,0.27375,51.84421973096718,0.72125,0.005,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_moo\moo_trackmania_racing_aabb_lidar_fixed100_seed_2026050406\20260505_004133_tm2d_ga_moo_AI_Training_5_trackmania_racing
exp00_base_fixed100,training_improvements,121.0,942,20.66000000000043,0.3325,55.67877155381121,0.6483333333333333,0.01916666666666667,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_training_improvements\seed_2026050407\exp00_base_fixed100\20260504_202817_tm2d_ga_AI_Training_5
exp01_mutation_decay_fixed100,training_improvements,158.0,762,21.42000000000055,0.3175,62.471612653395326,0.6745833333333334,0.007916666666666667,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_training_improvements\seed_2026050407\exp01_mutation_decay_fixed100\20260504_212154_tm2d_ga_AI_Training_5
exp01b_mutation_decay_first_finish_fixed100,training_improvements,157.0,654,18.840000000000146,0.2725,56.59150257510708,0.7033333333333333,0.024166666666666666,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_training_improvements\seed_2026050407\exp01b_mutation_decay_first_finish_fixed100\20260505_010135_tm2d_ga_AI_Training_5
exp02_both_mirrors_fixed100,training_improvements,139.0,584,20.305000000000376,0.23166666666666666,66.08641628439759,0.7179166666666666,0.050416666666666665,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_training_improvements\seed_2026050407\exp02_both_mirrors_fixed100\20260504_222025_tm2d_ga_AI_Training_5
exp03_mirror_prob_050_fixed100,training_improvements,,0,,0.0,9.797542937924526,0.9983333333333334,0.0016666666666666668,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_training_improvements\seed_2026050407\exp03_mirror_prob_050_fixed100\20260504_234800_tm2d_ga_AI_Training_5
exp04_max_touches_3_fixed100,training_improvements,145.0,647,22.690000000000747,0.25875,70.10395644515384,1.0,0.0,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_training_improvements\seed_2026050407\exp04_max_touches_3_fixed100\20260504_235901_tm2d_ga_AI_Training_5
exp05a_variable_tick_no_cache_control,training_improvements,,0,,0.0,31.646578084383545,0.9883333333333333,0.011666666666666667,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_training_improvements\seed_2026050407\exp05a_variable_tick_no_cache_control\20260505_005006_tm2d_ga_AI_Training_5
exp05b_variable_tick_elite_cache,training_improvements,160.0,572,18.710000000000065,0.2383333333333333,49.98982851288263,0.7304166666666667,0.03125,398,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\runs_ga_training_improvements\seed_2026050407\exp05b_variable_tick_elite_cache\20260505_014136_tm2d_ga_AI_Training_5
