id,time_sec
1,23.666
2,25.425
3,27.427
4,25.631
5,25.98
6,24.809
7,26.641
8,26.918
9,25.312
10,24.114
11,24.556
12,24.896
13,23.806
14,27.632
15,23.233
16,24.522
17,26.176
18,26.097
19,25.033
20,24.987
21,24.297
22,29.214
23,24.298
24,24.744
25,24.654
26,23.343
27,26.104
28,23.807
29,25.515
30,25.888
31,26.393
32,25.372
33,23.806
34,25.417
35,24.15
36,26.93
37,24.719
38,23.621
39,26.144
40,25.199
41,25.003
42,23.577
43,26.817
44,23.051
45,25.757
46,24.861
47,24.086
48,24.631
49,26.278
50,24.194
51,23.793
52,23.606
53,27.296
54,23.1
55,27.405
56,24.253
57,23.857
58,25.219
59,24.364
60,24.033
61,23.541
62,26.645
63,26.296
64,26.265
65,25.454
66,28.124
67,25.874
68,24.242
69,25.998
70,24.23
71,28.763
72,25.05
73,26.293
74,26.176
75,26.381
76,24.047
77,24.57
78,27.462
79,26.02
80,23.682
81,25.811
82,24.052
83,26.134
84,23.971
85,25.311
86,24.846
87,24.079
88,24.528
89,29.681
90,24.512
91,25.888
92,24.122
93,26.559
94,23.428
95,25.346
96,26.827
97,25.181
98,26.64
99,23.5
100,26.077
101,23.349
102,24.816
103,26.563
104,23.874
105,24.014
106,25.956
107,25.287
108,25.165
109,25.115
110,24.795
111,24.188
112,27.309
113,31.103
