generation,rank,original_index,finished,crashes,time,dense_progress,path_file
1,1,14,0,1,3.2799999713897705,7.970384870256697,trajectories/gen_0001_rank_001_idx_014_finish_0.npz
2,1,8,0,1,4.5,9.085581643240792,trajectories/gen_0002_rank_001_idx_008_finish_0.npz
3,1,0,0,1,4.5,9.085581643240792,trajectories/gen_0003_rank_001_idx_000_finish_0.npz
4,1,13,0,1,3.7799999713897705,9.290744236537389,trajectories/gen_0004_rank_001_idx_013_finish_0.npz
5,1,9,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0005_rank_001_idx_009_finish_0.npz
6,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0006_rank_001_idx_000_finish_0.npz
7,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0007_rank_001_idx_000_finish_0.npz
8,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0008_rank_001_idx_000_finish_0.npz
9,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0009_rank_001_idx_000_finish_0.npz
10,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0010_rank_001_idx_000_finish_0.npz
11,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0011_rank_001_idx_000_finish_0.npz
12,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0012_rank_001_idx_000_finish_0.npz
13,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0013_rank_001_idx_000_finish_0.npz
14,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0014_rank_001_idx_000_finish_0.npz
15,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0015_rank_001_idx_000_finish_0.npz
16,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0016_rank_001_idx_000_finish_0.npz
17,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0017_rank_001_idx_000_finish_0.npz
18,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0018_rank_001_idx_000_finish_0.npz
19,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0019_rank_001_idx_000_finish_0.npz
20,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0020_rank_001_idx_000_finish_0.npz
21,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0021_rank_001_idx_000_finish_0.npz
22,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0022_rank_001_idx_000_finish_0.npz
23,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0023_rank_001_idx_000_finish_0.npz
24,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0024_rank_001_idx_000_finish_0.npz
25,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0025_rank_001_idx_000_finish_0.npz
26,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0026_rank_001_idx_000_finish_0.npz
27,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0027_rank_001_idx_000_finish_0.npz
28,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0028_rank_001_idx_000_finish_0.npz
29,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0029_rank_001_idx_000_finish_0.npz
30,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0030_rank_001_idx_000_finish_0.npz
31,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0031_rank_001_idx_000_finish_0.npz
32,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0032_rank_001_idx_000_finish_0.npz
33,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0033_rank_001_idx_000_finish_0.npz
34,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0034_rank_001_idx_000_finish_0.npz
35,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0035_rank_001_idx_000_finish_0.npz
36,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0036_rank_001_idx_000_finish_0.npz
37,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0037_rank_001_idx_000_finish_0.npz
38,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0038_rank_001_idx_000_finish_0.npz
39,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0039_rank_001_idx_000_finish_0.npz
40,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0040_rank_001_idx_000_finish_0.npz
41,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0041_rank_001_idx_000_finish_0.npz
42,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0042_rank_001_idx_000_finish_0.npz
43,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0043_rank_001_idx_000_finish_0.npz
44,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0044_rank_001_idx_000_finish_0.npz
45,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0045_rank_001_idx_000_finish_0.npz
46,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0046_rank_001_idx_000_finish_0.npz
47,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0047_rank_001_idx_000_finish_0.npz
48,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0048_rank_001_idx_000_finish_0.npz
49,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0049_rank_001_idx_000_finish_0.npz
50,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0050_rank_001_idx_000_finish_0.npz
51,1,0,0,1,9.789999961853027,14.808872767857142,trajectories/gen_0051_rank_001_idx_000_finish_0.npz
52,1,7,0,1,5.78000020980835,15.783593314034597,trajectories/gen_0052_rank_001_idx_007_finish_0.npz
53,1,0,0,1,5.78000020980835,15.783593314034597,trajectories/gen_0053_rank_001_idx_000_finish_0.npz
54,1,0,0,1,5.78000020980835,15.783593314034597,trajectories/gen_0054_rank_001_idx_000_finish_0.npz
55,1,0,0,1,5.78000020980835,15.783593314034597,trajectories/gen_0055_rank_001_idx_000_finish_0.npz
56,1,0,0,1,5.78000020980835,15.783593314034597,trajectories/gen_0056_rank_001_idx_000_finish_0.npz
57,1,30,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0057_rank_001_idx_030_finish_0.npz
58,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0058_rank_001_idx_000_finish_0.npz
59,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0059_rank_001_idx_000_finish_0.npz
60,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0060_rank_001_idx_000_finish_0.npz
61,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0061_rank_001_idx_000_finish_0.npz
62,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0062_rank_001_idx_000_finish_0.npz
63,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0063_rank_001_idx_000_finish_0.npz
64,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0064_rank_001_idx_000_finish_0.npz
65,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0065_rank_001_idx_000_finish_0.npz
66,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0066_rank_001_idx_000_finish_0.npz
67,1,0,0,1,8.5600004196167,27.787519182477677,trajectories/gen_0067_rank_001_idx_000_finish_0.npz
