attempt_index,saved_attempts,event,agent_probability,mix_mode,frames,finish_time,dense_progress,discrete_progress,distance,train_loss,train_frames,train_attempt_files,train_seconds,model_path
1,0,discard_during_attempt,0.0,blend,2112,36.70000076293945,97.13470663250794,94.87179487179486,1306.8243408203125,,,,,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
2,1,saved_and_trained,0.0,blend,2366,28.68000030517578,100.0,100.0,1394.4832763671875,0.29706429878462043,4668,1,20.02219139994122,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
3,2,saved_and_trained,0.1,blend,2119,30.510000228881836,100.0,100.0,1400.648193359375,0.15335022791179873,8824,2,25.279267300036736,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
4,3,saved_and_trained,0.2,blend,1392,28.670000076293945,100.0,100.0,1370.0994873046875,0.11565585320923798,11552,3,24.278206999995746,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
5,4,saved_and_trained,0.3,blend,1572,30.450000762939453,100.0,100.0,1392.971435546875,0.1031876667215912,14660,4,20.506122899940237,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
6,5,saved_and_trained,0.4,blend,1890,28.59000015258789,100.0,100.0,1386.36572265625,0.09860399218487154,18396,5,19.050374899990857,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
7,6,saved_and_trained,0.5,blend,1917,28.600000381469727,100.0,100.0,1434.915283203125,0.0868742808517068,22204,6,25.51933540008031,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
8,7,saved_and_trained,0.6,blend,1609,27.649999618530273,100.0,100.0,1406.957763671875,0.08171133694796047,25314,7,24.15555010002572,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
9,8,saved_and_trained,0.7,blend,1547,28.079999923706055,100.0,100.0,1371.865478515625,0.07755154093559093,28364,8,23.41961079998873,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
10,9,saved_and_trained,0.8,blend,1549,30.15999984741211,100.0,100.0,1351.0682373046875,0.08037816275675869,31402,9,24.937835999997333,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
11,10,saved_and_trained,0.9,blend,1507,30.209999084472656,100.0,100.0,1374.7921142578125,0.08212563559314043,34348,10,22.48098269989714,logs/imitation_runs\20260507_213010_map_single_surface_flat_v2d_asphalt_imitation\latest_model.pt
