#{"t_start": 1777460467.4057462, "env_id": "None"}
r,l,t,episode_metrics
-1000.0,328,7.878466,"{'term': -1.0, 'progress': 0.0, 'time': 2.130000114440918, 'distance': 5.171849250793457, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,173,11.607822,"{'term': -1.0, 'progress': 0.0, 'time': 2.1700000762939453, 'distance': 3.6967296600341797, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,186,15.260331,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 3.5268125534057617, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,182,18.862696,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 2.9543633460998535, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
79.55,3299,65.432816,"{'term': 0.0, 'progress': 80.0, 'time': 45.0, 'distance': 990.1535034179688, 'fitness': 79550000.0, 'fitness_delta_score': 79.55, 'last_fitness_delta_score': 79.55, 'last_fitness_delta_progress': 80.0, 'reward': -0.030699996948243324}"
-954.577214,2956,96.189679,"{'term': -1.0, 'progress': 45.714285714285715, 'time': 29.149999618530273, 'distance': 475.3924560546875, 'fitness': -954577214.2818996, 'fitness_delta_score': -954.5772142818996, 'last_fitness_delta_score': -954.5772142818996, 'last_fitness_delta_progress': 45.714285714285715, 'reward': -1000.0087999916077}"
90.978571,4815,142.735033,"{'term': 0.0, 'progress': 91.42857142857143, 'time': 45.0, 'distance': 1109.045654296875, 'fitness': 90978571.42857143, 'fitness_delta_score': 90.97857142857143, 'last_fitness_delta_score': 90.97857142857143, 'last_fitness_delta_progress': 91.42857142857143, 'reward': -0.015299987792971592}"
65.264286,4729,189.336307,"{'term': 0.0, 'progress': 65.71428571428571, 'time': 45.0, 'distance': 765.6677856445312, 'fitness': 65264285.71428571, 'fitness_delta_score': 65.2642857142857, 'last_fitness_delta_score': 65.2642857142857, 'last_fitness_delta_progress': 65.71428571428571, 'reward': -0.04830001831055597}"
-934.530514,2500,215.42167,"{'term': -1.0, 'progress': 65.71428571428571, 'time': 24.479999542236328, 'distance': 708.7217407226562, 'fitness': -934530514.2811366, 'fitness_delta_score': -934.5305142811367, 'last_fitness_delta_score': -934.5305142811367, 'last_fitness_delta_progress': 65.71428571428571, 'reward': -1000.0039999961854}"
-994.285714,367,221.38513,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 4.349999904632568, 'distance': 50.06655502319336, 'fitness': -994285714.2857143, 'fitness_delta_score': -994.2857142857142, 'last_fitness_delta_score': -994.2857142857142, 'last_fitness_delta_progress': 5.714285714285714, 'reward': -999.9999999999999}"
70.978571,4798,267.933391,"{'term': 0.0, 'progress': 71.42857142857143, 'time': 45.0, 'distance': 806.382080078125, 'fitness': 70978571.42857143, 'fitness_delta_score': 70.97857142857143, 'last_fitness_delta_score': 70.97857142857143, 'last_fitness_delta_progress': 71.42857142857143, 'reward': -0.028300018310545738}"
-960.2833,2887,297.862547,"{'term': -1.0, 'progress': 40.0, 'time': 28.329999923706055, 'distance': 422.4916076660156, 'fitness': -960283299.9992371, 'fitness_delta_score': -960.2832999992371, 'last_fitness_delta_score': -960.2832999992371, 'last_fitness_delta_progress': 40.0, 'reward': -1000.0096999931336}"
