#{"t_start": 1777506949.6058538, "env_id": "None"}
r,l,t,episode_metrics
0.04942,1225,17.887356,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 12.100000381469727, 'distance': 54.94939422607422, 'fitness': -994285714.2857143, 'lexicographic_score': 0.0788080217412733, 'delta_score': 0.0788080217412733, 'terminal_fitness_score': -994.2857142857142, 'reward': -1.2748692002462203e-05}"
-0.001284,143,21.497138,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 2.109513998031616, 'fitness': -1000000000.0, 'lexicographic_score': 0.02810367788496549, 'delta_score': 0.02810367788496549, 'terminal_fitness_score': -1000.0, 'reward': -1.2724133112453767e-05}"
-0.001757,230,25.840222,"{'term': -1.0, 'progress': 0.0, 'time': 2.759999990463257, 'distance': 6.779065132141113, 'fitness': -1000000000.0, 'lexicographic_score': 0.027630433146143406, 'delta_score': 0.027630433146143406, 'terminal_fitness_score': -1000.0, 'reward': -6.365401288396105e-06}"
-0.001278,152,29.390297,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.9698679447174072, 'fitness': -1000000000.0, 'lexicographic_score': 0.028109400005123547, 'delta_score': 0.028109400005123547, 'terminal_fitness_score': -1000.0, 'reward': -6.374168731965862e-06}"
-0.002962,409,35.633434,"{'term': -1.0, 'progress': 0.0, 'time': 4.650000095367432, 'distance': 13.868914604187012, 'fitness': -1000000000.0, 'lexicographic_score': 0.02642526555076787, 'delta_score': 0.02642526555076787, 'terminal_fitness_score': -1000.0, 'reward': -6.380061096149248e-06}"
0.046002,1635,54.643309,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 17.459999084472656, 'distance': 75.86404418945312, 'fitness': -994285714.2857143, 'lexicographic_score': 0.07538960404762142, 'delta_score': 0.07538960404762142, 'terminal_fitness_score': -994.2857142857142, 'reward': -6.3665134836521364e-06}"
-0.001277,160,58.293307,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.5222008228302002, 'fitness': -1000000000.0, 'lexicographic_score': 0.028110455156087025, 'delta_score': 0.028110455156087025, 'terminal_fitness_score': -1000.0, 'reward': -6.35593223038966e-06}"
-0.001278,161,61.895392,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.9895997047424316, 'fitness': -1000000000.0, 'lexicographic_score': 0.02810938562337426, 'delta_score': 0.02810938562337426, 'terminal_fitness_score': -1000.0, 'reward': -6.360817986630213e-06}"
0.023218,667,71.88793,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 8.390000343322754, 'distance': 35.95130157470703, 'fitness': -997142857.1428572, 'lexicographic_score': 0.052605995755926234, 'delta_score': 0.052605995755926234, 'terminal_fitness_score': -997.1428571428572, 'reward': -0.0001019400886088373}"
0.048717,1156,86.700547,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 13.210000038146973, 'distance': 52.65557861328125, 'fitness': -994285714.2857143, 'lexicographic_score': 0.07810493193176289, 'delta_score': 0.07810493193176289, 'terminal_fitness_score': -994.2857142857142, 'reward': -1.3226322814752223e-08}"
-0.001444,165,90.551931,"{'term': -1.0, 'progress': 0.0, 'time': 2.2699999809265137, 'distance': 3.706355094909668, 'fitness': -1000000000.0, 'lexicographic_score': 0.027943783847884835, 'delta_score': 0.027943783847884835, 'terminal_fitness_score': -1000.0, 'reward': -6.378462699227483e-06}"
-0.001278,162,94.18848,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.4249815940856934, 'fitness': -1000000000.0, 'lexicographic_score': 0.02810979715260943, 'delta_score': 0.02810979715260943, 'terminal_fitness_score': -1000.0, 'reward': -6.372914427805326e-06}"
-0.003186,426,100.781944,"{'term': -1.0, 'progress': 0.0, 'time': 5.0, 'distance': 14.985063552856445, 'fitness': -1000000000.0, 'lexicographic_score': 0.026202229869454505, 'delta_score': 0.026202229869454505, 'terminal_fitness_score': -1000.0, 'reward': -6.382548851536357e-06}"
-0.001278,144,104.394758,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.9181418418884277, 'fitness': -1000000000.0, 'lexicographic_score': 0.028109437706364676, 'delta_score': 0.028109437706364676, 'terminal_fitness_score': -1000.0, 'reward': -6.363963130848194e-06}"
-0.001277,137,107.993759,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.250669002532959, 'fitness': -1000000000.0, 'lexicographic_score': 0.028110653065577036, 'delta_score': 0.028110653065577036, 'terminal_fitness_score': -1000.0, 'reward': -6.356235727512927e-06}"
-0.001284,142,111.597756,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 1.4499497413635254, 'fitness': -1000000000.0, 'lexicographic_score': 0.02810415861693099, 'delta_score': 0.02810415861693099, 'terminal_fitness_score': -1000.0, 'reward': -1.2715527887362243e-05}"
-0.001354,143,115.313761,"{'term': -1.0, 'progress': 0.0, 'time': 2.130000114440918, 'distance': 2.4487991333007812, 'fitness': -1000000000.0, 'lexicographic_score': 0.028033589237980522, 'delta_score': 0.028033589237980522, 'terminal_fitness_score': -1000.0, 'reward': -6.364677884566211e-06}"
0.022332,873,126.661658,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 9.779999732971191, 'distance': 40.88664627075195, 'fitness': -997142857.1428572, 'lexicographic_score': 0.051719859270899664, 'delta_score': 0.051719859270899664, 'terminal_fitness_score': -997.1428571428572, 'reward': -6.379644655281347e-06}"
-0.001278,137,130.290688,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.4600579738616943, 'fitness': -1000000000.0, 'lexicographic_score': 0.028109771586734958, 'delta_score': 0.028109771586734958, 'terminal_fitness_score': -1000.0, 'reward': -6.35943891240387e-06}"
-0.001277,132,133.88668,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.3589283227920532, 'fitness': -1000000000.0, 'lexicographic_score': 0.028110574159366936, 'delta_score': 0.028110574159366936, 'terminal_fitness_score': -1000.0, 'reward': -1.2725006937400196e-05}"
-0.001277,139,137.490716,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.7376153469085693, 'fitness': -1000000000.0, 'lexicographic_score': 0.028110298148416413, 'delta_score': 0.028110298148416413, 'terminal_fitness_score': -1000.0, 'reward': -6.376606787841105e-06}"
-0.001412,146,141.302682,"{'term': -1.0, 'progress': 0.0, 'time': 2.2200000286102295, 'distance': 2.8694210052490234, 'fitness': -1000000000.0, 'lexicographic_score': 0.027976139859624924, 'delta_score': 0.027976139859624924, 'terminal_fitness_score': -1000.0, 'reward': -6.3648158421872325e-06}"
-0.001285,140,144.897681,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 3.0280864238739014, 'fitness': -1000000000.0, 'lexicographic_score': 0.028103008371535575, 'delta_score': 0.028103008371535575, 'terminal_fitness_score': -1000.0, 'reward': -1.2726543538191248e-05}"
-0.001399,145,148.677682,"{'term': -1.0, 'progress': 0.0, 'time': 2.200000047683716, 'distance': 2.7248897552490234, 'fitness': -1000000000.0, 'lexicographic_score': 0.02798894360368986, 'delta_score': 0.02798894360368986, 'terminal_fitness_score': -1000.0, 'reward': -1.2729146679820585e-05}"
-0.001296,125,152.32268,"{'term': -1.0, 'progress': 0.0, 'time': 2.0399999618530273, 'distance': 1.371773362159729, 'fitness': -1000000000.0, 'lexicographic_score': 0.02809151719621095, 'delta_score': 0.02809151719621095, 'terminal_fitness_score': -1000.0, 'reward': -2.5454418883959912e-05}"
-0.001277,133,155.886746,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.2177802324295044, 'fitness': -1000000000.0, 'lexicographic_score': 0.028110677036983816, 'delta_score': 0.028110677036983816, 'terminal_fitness_score': -1000.0, 'reward': -1.2712640537582837e-05}"
-0.00256,329,161.50439,"{'term': -1.0, 'progress': 0.0, 'time': 4.019999980926514, 'distance': 10.924211502075195, 'fitness': -1000000000.0, 'lexicographic_score': 0.026827411908488617, 'delta_score': 0.026827411908488617, 'terminal_fitness_score': -1000.0, 'reward': -6.377514566384412e-06}"
-0.001431,147,165.334387,"{'term': -1.0, 'progress': 0.0, 'time': 2.25, 'distance': 3.946810722351074, 'fitness': -1000000000.0, 'lexicographic_score': 0.027956306989269424, 'delta_score': 0.027956306989269424, 'terminal_fitness_score': -1000.0, 'reward': -6.378136176987681e-06}"
-0.001277,135,168.896392,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.3869619369506836, 'fitness': -1000000000.0, 'lexicographic_score': 0.028110553726703555, 'delta_score': 0.028110553726703555, 'terminal_fitness_score': -1000.0, 'reward': -6.363036044024217e-06}"
-0.001277,125,172.486473,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.5161484479904175, 'fitness': -1000000000.0, 'lexicographic_score': 0.028110459567438947, 'delta_score': 0.028110459567438947, 'terminal_fitness_score': -1000.0, 'reward': -1.2713735142996091e-05}"
-0.001277,136,176.086566,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.427996277809143, 'fitness': -1000000000.0, 'lexicographic_score': 0.02811052381829185, 'delta_score': 0.02811052381829185, 'terminal_fitness_score': -1000.0, 'reward': -1.2721018726322836e-05}"
-0.001278,127,179.693568,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.099372386932373, 'fitness': -1000000000.0, 'lexicographic_score': 0.028110034477104442, 'delta_score': 0.028110034477104442, 'terminal_fitness_score': -1000.0, 'reward': -6.3603677369662714e-06}"
