architecture,requested_activation,reason
8,"relu,tanh","hidden_activation must provide either one activation or exactly 1 activations, got 2."
8,"tanh,tanh","hidden_activation must provide either one activation or exactly 1 activations, got 2."
8,"relu,relu","hidden_activation must provide either one activation or exactly 1 activations, got 2."
16,"relu,tanh","hidden_activation must provide either one activation or exactly 1 activations, got 2."
16,"tanh,tanh","hidden_activation must provide either one activation or exactly 1 activations, got 2."
16,"relu,relu","hidden_activation must provide either one activation or exactly 1 activations, got 2."
24,"relu,tanh","hidden_activation must provide either one activation or exactly 1 activations, got 2."
24,"tanh,tanh","hidden_activation must provide either one activation or exactly 1 activations, got 2."
24,"relu,relu","hidden_activation must provide either one activation or exactly 1 activations, got 2."
32,"relu,tanh","hidden_activation must provide either one activation or exactly 1 activations, got 2."
32,"tanh,tanh","hidden_activation must provide either one activation or exactly 1 activations, got 2."
32,"relu,relu","hidden_activation must provide either one activation or exactly 1 activations, got 2."
32x16x8,"relu,tanh","hidden_activation must provide either one activation or exactly 3 activations, got 2."
32x16x8,"tanh,tanh","hidden_activation must provide either one activation or exactly 3 activations, got 2."
32x16x8,"relu,relu","hidden_activation must provide either one activation or exactly 3 activations, got 2."
