candidate_index,candidate_id,architecture,activation,requested_activation,hidden_dims,hidden_activations,parameter_count,epochs,best_epoch,final_train_loss,final_train_eval_loss,best_val_loss,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_val_gas_bce,best_val_brake_bce,best_val_gas_mae,best_val_brake_mae,train_samples,val_samples,wall_seconds,random_seed
1,arch_8_act_tanh,8,tanh,tanh,[8],"[""tanh""]",307,80,80,0.09080092972513212,0.09069756030577442,0.08556680113823731,0.27401612542307513,0.908822987658869,0.9450174986185301,0.27665478011964106,0.188547980040998,0.19444563551751876,0.14076282657912081,43898,10858,51.26243549998617,52952
2,arch_8_act_relu,8,relu,relu,[8],"[""relu""]",307,80,80,0.0941585915028992,0.09401222835460596,0.08975871006528807,0.2726597823717248,0.8655369312948977,0.8855221956161355,0.29247917024925457,0.23677826630386292,0.2043005872506159,0.1689256213826355,43898,10858,46.41391969996039,52953
3,arch_8_act_sigmoid,8,sigmoid,sigmoid,[8],"[""sigmoid""]",307,80,80,0.1098976080049208,0.10979928059566318,0.10572021476256077,0.2941690874617937,0.8621293055811383,0.874194142567692,0.3667353294373964,0.33712995651787564,0.24011601468962976,0.2142276760402756,43898,10858,64.69159359997138,52954
4,arch_16_act_tanh,16,tanh,tanh,[16],"[""tanh""]",611,80,80,0.08638963967736878,0.08629867556737471,0.08168712300607833,0.26745385117108356,0.9096518695892429,0.9485172223245534,0.2559055195567928,0.15628975323494199,0.16850486498200493,0.10630354825952783,43898,10858,74.88300359999994,52955
5,arch_16_act_relu,16,relu,relu,[16],"[""relu""]",611,80,80,0.08337226510760756,0.08325932500826655,0.080668189354772,0.26433041162046417,0.9032971081230429,0.9488856142936084,0.23632700637814572,0.1565221764365488,0.15695398976776917,0.11454191434490986,43898,10858,78.01184819999617,52956
6,arch_16_act_sigmoid,16,sigmoid,sigmoid,[16],"[""sigmoid""]",611,80,80,0.10983125541285016,0.10973956053019591,0.1056725378042757,0.29058852505784905,0.8621293055811383,0.874194142567692,0.36611096980624885,0.3309706840578375,0.23748222796555535,0.2061313721197792,43898,10858,70.11357540002791,52957
7,arch_24_act_tanh,24,tanh,tanh,[24],"[""tanh""]",915,80,80,0.08475247261712826,0.0846203209901813,0.0805535752385948,0.2648532521024245,0.9130594953030023,0.9503591821698287,0.2478680528973453,0.15285426315670186,0.16101356403760475,0.1004725266697438,43898,10858,64.66078590002144,52958
8,arch_24_act_relu,24,relu,relu,[24],"[""relu""]",915,80,80,0.08128729546671332,0.08109784158767071,0.07742419872940037,0.2564507830667768,0.9105728495118807,0.9501749861853012,0.2480172343314693,0.15878313605265845,0.17008753783752475,0.11340338776708418,43898,10858,66.29774629999883,52959
9,arch_24_act_sigmoid,24,sigmoid,sigmoid,[24],"[""sigmoid""]",915,80,80,0.10554853558935463,0.10545614595474091,0.1009740694962081,0.27814308682250416,0.8621293055811383,0.874194142567692,0.3544170993053797,0.3176898657671763,0.23375028061107017,0.20261244634212677,43898,10858,58.80022039997857,52960
10,arch_32_act_tanh,32,tanh,tanh,[32],"[""tanh""]",1219,80,80,0.08351176307728918,0.0833960761998372,0.07922496142435038,0.26254895853719606,0.9205194326763677,0.9580033155277214,0.23744961929532085,0.14026197348099473,0.156306723684078,0.0877748729335513,43898,10858,57.416891400003806,52961
11,arch_32_act_relu,32,relu,relu,[32],"[""relu""]",1219,80,80,0.07642478525538103,0.07629252696893792,0.07547137657786672,0.2495638217950618,0.9113096334499908,0.9557929637133911,0.23636297653515842,0.13796628037524894,0.15777312451072942,0.09290699757667158,43898,10858,47.44179289997555,52962
12,arch_32_act_sigmoid,32,sigmoid,sigmoid,[32],"[""sigmoid""]",1219,80,80,0.1039790924628496,0.10385519313549657,0.0992726386979505,0.27723776760582636,0.8621293055811383,0.874194142567692,0.3425230910532557,0.30575362532414174,0.23457300168942255,0.20298767933026052,43898,10858,63.675836300011724,52963
13,arch_16x8_act_tanh_tanh,16x8,"tanh,tanh",tanh,"[16, 8]","[""tanh"", ""tanh""]",723,80,79,0.08337258069735137,0.08332115086735373,0.07865523865872225,0.2618845252618317,0.9102965555350894,0.949438202247191,0.24891405989175608,0.16350873159119428,0.1616641072898439,0.11803226467434005,43898,10858,58.09149969997816,52964
14,arch_16x8_act_relu_relu,16x8,"relu,relu",relu,"[16, 8]","[""relu"", ""relu""]",723,80,80,0.08540179062653545,0.08481373649048607,0.08318350090135591,0.2529207610100272,0.8705102228771413,0.8776938662737153,0.27298956221255355,0.21947082530773682,0.19111657753068015,0.15196888801207922,43898,10858,59.499662499991246,52965
15,arch_16x8_act_relu_tanh,16x8,"relu,tanh","relu,tanh","[16, 8]","[""relu"", ""tanh""]",723,80,80,0.07931780473264759,0.07924932145375566,0.07615013505943047,0.2534790488759728,0.9046785780069995,0.9512801620924664,0.24883985984916077,0.1647500252280145,0.16553494363315066,0.12101152567249522,43898,10858,63.58605009998428,52966
16,arch_16x8_act_tanh_tanh,16x8,"tanh,tanh","tanh,tanh","[16, 8]","[""tanh"", ""tanh""]",723,80,80,0.08256864225727545,0.08247373304465805,0.07816798258198847,0.26026338361907697,0.9125069073494197,0.9496223982317186,0.24642766143410963,0.15465912298067958,0.16183496975156567,0.10973727327614863,43898,10858,64.25137780001387,52967
