candidate_id,architecture,activation,parameter_count,best_val_loss,best_epoch,val_loss_epoch_10,val_loss_epoch_20,val_loss_epoch_50,val_loss_epoch_80,val_loss_epoch_100,val_loss_epoch_120,improvement_80_to_120_pct,improvement_100_to_120_pct,epoch_within_20pct_of_best,epoch_within_10pct_of_best,epoch_within_5pct_of_best
c038_arch_128x64_act_relu_tanh,128x64,"relu,tanh",12931,0.05627483719893638,118,0.0871196100342491,0.07105194550123546,0.06092855825726554,0.05780354403487708,0.05755499793056362,0.05676927218523489,1.7892879526870096,1.3651737878205772,27,45,66
c037_arch_128x64_act_relu_relu,128x64,"relu,relu",12931,0.05777606567538428,114,0.09260352774095877,0.07326974736642916,0.062455537365459564,0.060059685382884295,0.058838213309659375,0.057949032325714106,3.5142592634554153,1.5112304299003814,26,44,64
c029_arch_64x32_act_relu_relu,64x32,"relu,relu",4419,0.058384078548118806,120,0.10416323491240935,0.08353728831615824,0.06696998485792713,0.06110935699113014,0.05938283299423753,0.058384078548118806,4.459674552633405,1.6818908693959436,40,62,80
c030_arch_64x32_act_relu_tanh,64x32,"relu,tanh",4419,0.05880697305678092,120,0.10390230671990355,0.08195346255293866,0.06702299931251798,0.06185649602584229,0.059600914271469824,0.05880697305678092,4.929996305945536,1.332095697513409,38,65,81
c025_arch_48x24_act_relu_relu,48x24,"relu,relu",2931,0.06059922946681852,119,0.1092042656583469,0.08997563694305766,0.07012120504217004,0.06549773377884947,0.06333719198738678,0.06080583118617282,7.163457912175527,3.9966419757258445,40,74,96
c026_arch_48x24_act_relu_tanh,48x24,"relu,tanh",2931,0.06177375618238699,120,0.10829552770660032,0.08957246854849164,0.07111711014418295,0.06603383421788099,0.0632566887398828,0.06177375618238699,6.451356468924287,2.3443094904852906,39,67,88
c039_arch_128x64_act_tanh_tanh,128x64,"tanh,tanh",12931,0.062402528311132965,117,0.08946286302439348,0.08068739774752375,0.07002084073846479,0.06599266768780877,0.06425670494024739,0.06259379840990657,5.150374120320786,2.5879113033996424,34,56,87
c035_arch_32x16x8_act_relu_relu_tanh,32x16x8,"relu,relu,tanh",1811,0.06443736249871578,119,0.1527461405177212,0.11007664686140599,0.07535101186643979,0.06851245623873092,0.06636591101273535,0.06478445671209206,5.441345605314007,2.38293165348069,46,67,87
c031_arch_64x32_act_tanh_tanh,64x32,"tanh,tanh",4419,0.06530993136198707,117,0.10201494292393642,0.08404207942421692,0.07574861196275792,0.07030567443102934,0.06700977928721019,0.0654026623777558,6.973849682764152,2.398331895059882,36,72,91
c027_arch_48x24_act_tanh_tanh,48x24,"tanh,tanh",2931,0.06558728392918173,120,0.1061793926874782,0.08769259945197666,0.07736197422636128,0.070929494610773,0.06761281474049655,0.06558728392918173,7.5317196476680905,2.9957794525918935,42,75,92
