candidate_index,candidate_id,architecture,activation,requested_activation,hidden_dims,hidden_activations,parameter_count,epochs,best_epoch,final_train_loss,final_train_eval_loss,best_val_loss,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_val_gas_bce,best_val_brake_bce,best_val_gas_mae,best_val_brake_mae,train_samples,val_samples,wall_seconds,random_seed
1,c001_arch_8_act_relu,8,relu,relu,[8],"[""relu""]",307,1,1,0.4193706428905821,0.3936889816880568,0.3962488494309784,0.7145640720515691,0.13234481488303554,0.5081046233192117,0.7184108945629086,0.6942697504998835,0.5122903713887513,0.5004858528849696,43898,10858,5.949331599986181,52952
2,c002_arch_8_act_tanh,8,tanh,tanh,[8],"[""tanh""]",307,1,1,0.3785342033362681,0.33409278890370636,0.33493434896476143,0.6584915945292353,0.8601031497513354,0.8739178485909007,0.6028929180061648,0.6256042497332396,0.4505708827610546,0.4640980283294863,43898,10858,7.7010658000072,52953
3,c003_arch_8_act_sigmoid,8,sigmoid,sigmoid,[8],"[""sigmoid""]",307,1,1,0.4111831959105661,0.3970900191329944,0.40019793270766835,0.7352138792618705,0.8621293055811383,0.874194142567692,0.6107677910116677,0.6248395677033567,0.45512216441164494,0.463401835187405,43898,10858,8.290060600003926,52954
4,c004_arch_16x8_act_relu_relu,16x8,"relu,relu","relu,relu","[16, 8]","[""relu"", ""relu""]",723,1,1,0.41456462476480427,0.40150113398841186,0.4052539032826131,0.7371251796090728,0.8621293055811383,0.874194142567692,0.6254566478606284,0.6487121610137326,0.46365110236080254,0.4768282401449752,43898,10858,2.925627099990379,52955
5,c005_arch_16x8_act_relu_tanh,16x8,"relu,tanh","relu,tanh","[16, 8]","[""relu"", ""tanh""]",723,1,1,0.413626200151072,0.38454301804310914,0.38780737503454554,0.7167109996931266,0.8403020814146251,0.874194142567692,0.684448259051146,0.5952893726336932,0.4955995720950998,0.4463234812015766,43898,10858,2.833907199994428,52956
6,c006_arch_16x8_act_tanh_tanh,16x8,"tanh,tanh","tanh,tanh","[16, 8]","[""tanh"", ""tanh""]",723,1,1,0.40686478798218567,0.3586642539763517,0.36082931834813925,0.6788140811804229,0.8619451095966107,0.125805857432308,0.653241902167109,0.7118596941051529,0.47930416627842803,0.509200105440509,43898,10858,2.8768591999833006,52957
7,c007_arch_16x8_act_sigmoid_sigmoid,16x8,"sigmoid,sigmoid","sigmoid,sigmoid","[16, 8]","[""sigmoid"", ""sigmoid""]",723,1,1,0.409358587984485,0.4018061912555652,0.4052201692659259,0.7514032071237078,0.8621293055811383,0.874194142567692,0.5840824089956714,0.5250295827700127,0.4388177871352776,0.39988056435113367,43898,10858,2.8897265999985393,52958
8,c008_arch_32x16x8_act_relu_relu_relu,32x16x8,"relu,relu,relu","relu,relu,relu","[32, 16, 8]","[""relu"", ""relu"", ""relu""]",1811,1,1,0.40119862321694133,0.35688676729528795,0.35921487567898625,0.6825715572844115,0.8621293055811383,0.874194142567692,0.6361710637462009,0.6557268081920804,0.4698600663645181,0.48064208860708263,43898,10858,6.409159100003308,52959
9,c009_arch_32x16x8_act_tanh_tanh_tanh,32x16x8,"tanh,tanh,tanh","tanh,tanh,tanh","[32, 16, 8]","[""tanh"", ""tanh"", ""tanh""]",1811,1,1,0.39762676777402556,0.3276651070310106,0.33132644296570757,0.6501295560849791,0.8621293055811383,0.8682077730705471,0.6297899303481952,0.6560894749533034,0.46613968466061173,0.4807224495016995,43898,10858,7.662779300007969,52960
10,c010_arch_32x16x8_act_relu_relu_tanh,32x16x8,"relu,relu,tanh","relu,relu,tanh","[32, 16, 8]","[""relu"", ""relu"", ""tanh""]",1811,1,1,0.4080510507333718,0.35921513528491245,0.36113984113482617,0.6841313152555647,0.8621293055811383,0.5659421624608584,0.6366599970571813,0.6880839149867177,0.4700314263037982,0.4972098985195248,43898,10858,5.683134299993981,52961
11,c011_arch_32x16x8_act_sigmoid_sigmoid_sigmoid,32x16x8,"sigmoid,sigmoid,sigmoid","sigmoid,sigmoid,sigmoid","[32, 16, 8]","[""sigmoid"", ""sigmoid"", ""sigmoid""]",1811,1,1,0.42186094369235044,0.41358656708002256,0.4165423437802035,0.7528556111241423,0.8621293055811383,0.874194142567692,0.6007336349332721,0.6337194943388516,0.44915623646411346,0.4685946745775005,43898,10858,9.641002599993953,52962
