attempt_index,saved,num_frames,finish_time,discrete_progress,dense_progress,finished,crashes,timeout,distance,path
1,1,2766,26.059999465942383,100.0,100.0,1,0,0,1222.65771484375,logs/supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0001.npz
2,1,2842,25.68000030517578,100.0,100.0,1,0,0,1194.962158203125,logs/supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0002.npz
3,0,1054,10.100000381469727,34.285714285714285,35.66282544817243,0,0,0,372.556396484375,
4,0,2042,18.639999389648438,74.28571428571429,76.87272208077567,0,0,0,854.1942138671875,
5,0,693,6.760000228881836,22.857142857142858,25.71428571428571,0,0,0,224.82220458984375,
6,0,1569,14.720000267028809,57.14285714285714,60.0,0,0,0,674.1484375,
7,0,933,8.9399995803833,34.285714285714285,34.50955254690988,0,0,0,359.39361572265625,
8,1,2576,23.229999542236328,100.0,100.0,1,0,0,1176.039306640625,logs/supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0008.npz
9,0,271,2.690000057220459,5.714285714285714,5.75446537562779,0,0,0,51.08501052856445,
10,0,979,9.3100004196167,34.285714285714285,36.717442103794646,0,0,0,363.7039489746094,
11,0,1709,15.869999885559082,62.857142857142854,62.9606192452567,0,0,0,694.1181030273438,
12,1,2700,24.670000076293945,100.0,100.0,1,0,0,1160.8870849609375,logs/supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0012.npz
13,0,2508,22.790000915527344,88.57142857142857,91.25737054007394,0,0,0,1072.722900390625,
14,1,2620,23.579999923706055,100.0,100.0,1,0,0,1179.2274169921875,logs/supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0014.npz
15,1,2720,24.6200008392334,100.0,100.0,1,0,0,1176.0177001953125,logs/supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0015.npz
16,0,2381,21.719999313354492,88.57142857142857,91.14913395472935,0,0,0,1053.6676025390625,
17,0,938,8.989999771118164,31.428571428571427,33.222999572753906,0,0,0,345.5528259277344,
18,0,694,6.739999771118164,22.857142857142858,25.71428571428571,0,0,0,234.89712524414062,
19,0,2238,20.850000381469727,80.0,82.85714285714286,0,0,0,996.7864379882812,
20,1,2692,24.309999465942383,100.0,100.0,1,0,0,1166.448486328125,logs/supervised_data\20260502_154227_map_AI Training #5_v2d_asphalt_target_dataset\attempts\attempt_0020.npz
