attempt_index,saved,num_frames,finish_time,discrete_progress,dense_progress,finished,crashes,timeout,distance,path
1,0,55,24.84000015258789,0.0,2.564102564102564,0,0,0,2.111748695373535,
1,0,129,2.4200000762939453,2.564102564102564,4.727295117500501,0,0,0,43.26997756958008,
1,0,57,0.5299999713897705,0.0,1.452793219150641,0,0,0,2.1317880153656006,
1,1,2698,24.649999618530273,100.0,100.0,1,0,0,1374.62158203125,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0001.npz
2,1,2594,24.049999237060547,100.0,100.0,1,0,0,1338.4908447265625,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0002.npz
3,0,1653,15.470000267028809,61.53846153846154,61.779418358436,0,1,0,828.568115234375,
3,1,2646,24.3700008392334,100.0,100.0,1,1,0,1373.850341796875,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0003.npz
4,1,2567,23.809999465942383,100.0,100.0,1,0,0,1327.18115234375,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0004.npz
5,0,2074,19.489999771118164,79.48717948717949,80.68473995464056,0,1,0,1081.6748046875,
5,0,486,4.519999980926514,12.82051282051282,14.734126359988482,0,1,0,131.06072998046875,
5,0,1176,10.520000457763672,35.8974358974359,37.53313895983574,0,0,0,542.5285034179688,
5,1,2617,24.079999923706055,100.0,100.0,1,0,0,1351.9969482421875,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0005.npz
6,1,2564,23.81999969482422,100.0,100.0,1,0,0,1328.22314453125,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0006.npz
7,1,2675,24.56999969482422,100.0,100.0,1,0,0,1363.0111083984375,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0007.npz
8,0,1894,17.93000030517578,71.7948717948718,74.35897435897436,0,1,0,965.570068359375,
8,1,2649,24.459999084472656,100.0,100.0,1,0,0,1346.609130859375,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0008.npz
9,1,2604,24.06999969482422,100.0,100.0,1,0,0,1348.8055419921875,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0009.npz
10,1,2590,23.979999542236328,100.0,100.0,1,0,0,1324.779052734375,logs/supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0010.npz
