attempt_index,saved,num_frames,finish_time,discrete_progress,dense_progress,finished,crashes,timeout,distance,path
1,0,3,10.039999961853027,0.0,1.155818592418324,0,0,0,0.0010986328125,
1,1,1718,29.540000915527344,100.0,100.0,1,0,0,1392.54345703125,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0001.npz
2,1,1815,29.56999969482422,100.0,100.0,1,0,0,1402.025146484375,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0002.npz
3,0,462,7.510000228881836,22.727272727272727,24.038982391357422,0,0,0,302.8705749511719,
3,0,485,7.989999771118164,25.0,26.689946399121162,0,0,0,333.59869384765625,
3,0,480,7.909999847412109,25.0,27.051272097711387,0,0,0,336.03851318359375,
3,0,1200,20.149999618530273,68.18181818181817,70.45454545454545,0,1,0,951.8850708007812,
3,0,724,12.229999542236328,38.63636363636363,40.909090909090914,0,1,0,577.923583984375,
3,0,517,8.34000015258789,25.0,27.156608566735162,0,0,0,334.17303466796875,
3,0,464,7.539999961853027,22.727272727272727,24.73636973987926,0,0,0,317.86968994140625,
3,0,241,3.549999952316284,9.090909090909092,9.928638284856623,0,0,0,85.67931365966797,
3,1,1722,28.5,100.0,100.0,1,0,0,1368.308349609375,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0003.npz
4,0,1604,26.5,90.9090909090909,91.6539799083363,0,0,0,1272.653564453125,
4,0,800,13.149999618530273,40.909090909090914,42.59214834733443,0,1,0,604.3206176757812,
4,1,1773,29.139999389648438,100.0,100.0,1,0,0,1396.9638671875,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0004.npz
5,0,1615,26.68000030517578,90.9090909090909,91.55283841219816,0,1,0,1270.425048828125,
5,1,1755,28.889999389648438,100.0,100.0,1,0,0,1407.345947265625,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0005.npz
6,1,1700,28.06999969482422,100.0,100.0,1,0,0,1367.9150390625,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0006.npz
7,0,467,7.679999828338623,22.727272727272727,24.218021739612926,0,0,0,316.2560729980469,
7,0,749,12.319999694824219,38.63636363636363,40.66231084226434,0,1,0,565.6505737304688,
7,1,1715,28.350000381469727,100.0,100.0,1,0,0,1375.3160400390625,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0007.npz
8,1,1707,28.31999969482422,100.0,100.0,1,0,0,1407.66162109375,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0008.npz
9,1,1744,28.520000457763672,100.0,100.0,1,0,0,1391.84912109375,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0009.npz
10,1,1714,28.530000686645508,100.0,100.0,1,0,0,1414.324462890625,logs/supervised_data\20260505_135345_map_single_surface_height_v3d_surface_target_dataset\attempts\attempt_0010.npz
