"combined_attempt","source_label","source_path"
"attempt_ai5_0001.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0001.npz"
"attempt_ai5_0002.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0002.npz"
"attempt_ai5_0003.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0003.npz"
"attempt_ai5_0004.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0004.npz"
"attempt_ai5_0005.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0005.npz"
"attempt_ai5_0006.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0006.npz"
"attempt_ai5_0007.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0007.npz"
"attempt_ai5_0008.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0008.npz"
"attempt_ai5_0009.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0009.npz"
"attempt_ai5_0010.npz","ai5","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_195744_map_AI Training #5_v3d_surface_target_dataset\attempts\attempt_0010.npz"
"attempt_flat_0001.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0001.npz"
"attempt_flat_0002.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0002.npz"
"attempt_flat_0003.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0003.npz"
"attempt_flat_0004.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0004.npz"
"attempt_flat_0005.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0005.npz"
"attempt_flat_0006.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0006.npz"
"attempt_flat_0007.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0007.npz"
"attempt_flat_0008.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0008.npz"
"attempt_flat_0009.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0009.npz"
"attempt_flat_0010.npz","flat","C:\Users\sampu\Desktop\Trackmania-AI\logs\supervised_data\20260505_132438_map_single_surface_flat_v3d_surface_target_dataset\attempts\attempt_0010.npz"
