generation,rank,original_index,finished,crashes,time,dense_progress,path_file
1,1,8,0,1,6.900000095367432,22.592362490567293,trajectories/gen_0001_rank_001_idx_008_finish_0.npz
1,2,40,0,1,7.130000114440918,22.202357378872957,trajectories/gen_0001_rank_002_idx_040_finish_0.npz
2,1,0,0,1,6.900000095367432,22.592362490567293,trajectories/gen_0002_rank_001_idx_000_finish_0.npz
2,2,1,0,1,7.130000114440918,22.202357378872957,trajectories/gen_0002_rank_002_idx_001_finish_0.npz
3,1,0,0,1,6.900000095367432,22.592362490567293,trajectories/gen_0003_rank_001_idx_000_finish_0.npz
3,2,1,0,1,7.130000114440918,22.202357378872957,trajectories/gen_0003_rank_002_idx_001_finish_0.npz
4,1,0,0,1,6.900000095367432,22.592362490567293,trajectories/gen_0004_rank_001_idx_000_finish_0.npz
4,2,1,0,1,7.130000114440918,22.202357378872957,trajectories/gen_0004_rank_002_idx_001_finish_0.npz
5,1,40,0,1,8.0,22.73713458668102,trajectories/gen_0005_rank_001_idx_040_finish_0.npz
5,2,24,0,1,8.270000457763672,22.73555668917569,trajectories/gen_0005_rank_002_idx_024_finish_0.npz
6,1,0,0,1,8.0,22.73713458668102,trajectories/gen_0006_rank_001_idx_000_finish_0.npz
6,2,1,0,1,8.270000457763672,22.73555668917569,trajectories/gen_0006_rank_002_idx_001_finish_0.npz
7,1,0,0,1,8.0,22.73713458668102,trajectories/gen_0007_rank_001_idx_000_finish_0.npz
7,2,1,0,1,8.270000457763672,22.73555668917569,trajectories/gen_0007_rank_002_idx_001_finish_0.npz
8,1,0,0,1,8.0,22.73713458668102,trajectories/gen_0008_rank_001_idx_000_finish_0.npz
8,2,1,0,1,8.270000457763672,22.73555668917569,trajectories/gen_0008_rank_002_idx_001_finish_0.npz
9,1,0,0,1,8.0,22.73713458668102,trajectories/gen_0009_rank_001_idx_000_finish_0.npz
9,2,1,0,1,8.270000457763672,22.73555668917569,trajectories/gen_0009_rank_002_idx_001_finish_0.npz
10,1,0,0,1,8.0,22.73713458668102,trajectories/gen_0010_rank_001_idx_000_finish_0.npz
10,2,1,0,1,8.270000457763672,22.73555668917569,trajectories/gen_0010_rank_002_idx_001_finish_0.npz
11,1,0,0,1,8.0,22.73713458668102,trajectories/gen_0011_rank_001_idx_000_finish_0.npz
11,2,1,0,1,8.270000457763672,22.73555668917569,trajectories/gen_0011_rank_002_idx_001_finish_0.npz
12,1,0,0,1,8.0,22.73713458668102,trajectories/gen_0012_rank_001_idx_000_finish_0.npz
12,2,1,0,1,8.270000457763672,22.73555668917569,trajectories/gen_0012_rank_002_idx_001_finish_0.npz
13,1,5,0,1,13.430000305175781,37.048912048339844,trajectories/gen_0013_rank_001_idx_005_finish_0.npz
13,2,0,0,1,8.0,22.73713458668102,trajectories/gen_0013_rank_002_idx_000_finish_0.npz
14,1,0,0,1,13.430000305175781,37.048912048339844,trajectories/gen_0014_rank_001_idx_000_finish_0.npz
